Time (s),x,y,z
4.800708900E-2,-0.2428715,-0.11006984,10.055838
5.292818200E-2,-0.23389842,-0.11964113,10.031909
5.784932800E-2,0.4001996,0.17347965,8.050054
6.277042200E-2,0.012562319,-0.009571291,9.647263
6.769156800E-2,0.3786642,0.17647067,10.565509
7.261266200E-2,-0.3164508,-0.098703936,9.88475
7.753380700E-2,-0.35832518,-0.16630118,10.070792
8.245490100E-2,-0.16689938,-0.062213387,10.396216
8.737599500E-2,0.0011964113,0.02632105,10.376475
9.229714100E-2,0.1274178,0.109471634,9.958928
9.721828700E-2,0.69272214,0.26141587,7.501499
1.021393800E-1,-0.39361933,-0.12562318,10.752149
1.070604740E-1,-0.31046873,-0.19501504,9.620343
1.119816200E-1,-0.023928227,-0.019740786,10.725827
1.169027140E-1,0.07956135,0.071186475,10.025927
1.218238590E-1,0.30089745,0.14476576,9.134003
1.267450050E-1,0.22612174,0.066400826,8.955737
1.316660990E-1,-0.44865423,-0.23748764,10.196416
1.365576620E-1,-0.16510476,-0.1268196,10.218549
1.413823490E-1,0.07956135,0.05742774,10.47159
1.462069840E-1,0.10229317,0.08673982,9.887143
1.510316720E-1,0.51086766,0.18125631,8.116454
1.558563070E-1,-0.401396,-0.16091733,10.527224
1.606809950E-1,-0.28414768,-0.1692922,9.85484
1.655056300E-1,0.0041874396,0.018544376,10.654043
1.703303180E-1,0.10348958,0.10468599,9.987641
1.751549530E-1,0.3930211,0.18544376,8.744571
1.799796410E-1,-0.14955142,-0.046660043,10.209576
1.848042760E-1,-0.15433706,-0.12861422,9.413364
1.896289640E-1,-0.08015956,-0.04007978,9.969097
1.944535990E-1,0.11246266,0.08135597,9.968499
1.992782870E-1,0.14536397,0.13459627,10.299307
2.041029220E-1,-0.05383851,-0.02871387,9.734002
2.089276090E-1,0.3469593,0.069391854,8.102695
2.137388070E-1,-0.58923256,-0.2548356,10.609178
2.186583390E-1,0.11365908,0.01794617,10.140184
2.234015160E-1,0.15254244,0.089132644,10.557732
2.282262550E-1,-0.08673982,-0.023928227,9.806385
2.330508910E-1,-0.17108682,-0.096311115,10.0265255
2.378755780E-1,0.15134603,0.02751746,8.693125
2.427002140E-1,-0.23808585,-0.11545369,10.079765
2.475249010E-1,0.1698904,0.11425728,10.385448
2.523495370E-1,0.13100705,0.12502499,9.834501
2.571742240E-1,0.4019942,0.123828575,8.284551
2.619988590E-1,-0.4833502,-0.21714866,10.560722
2.668234950E-1,-0.22492532,-0.12861422,9.96491
2.716481820E-1,0.09092726,0.050847482,10.672587
2.764728180E-1,0.089132644,0.07597212,10.025927
2.812975050E-1,0.060418773,0.052043892,9.590433
2.861221410E-1,0.6412765,0.19322042,7.243074
2.909468280E-1,-0.7088737,-0.27696922,11.074581
2.957714640E-1,-0.07178468,-0.053240303,9.882358
3.005961510E-1,0.22253251,0.119042926,10.805987
3.054207870E-1,-0.06699903,-0.014955142,9.839885
3.102454740E-1,-0.18484555,-0.096909314,10.103694
3.150701090E-1,-0.23868406,-0.119042926,9.988838
3.198947970E-1,0.015553347,0.0065802624,9.470194
3.247194320E-1,0.2644069,0.09032906,8.879167
3.295441200E-1,0.38584265,0.20279172,9.842278
3.343687550E-1,-0.09272188,0.0059820567,10.089336
3.391934430E-1,-0.3074777,-0.15972091,9.873982
3.440180780E-1,-0.18723837,-0.10887343,10.324431
3.488427660E-1,-0.039481573,0.019142581,10.146765
3.536674010E-1,0.3044867,0.16031912,8.999406
3.584920890E-1,0.5557331,0.19800608,8.733803
3.633167240E-1,-0.35353956,-0.12801601,10.488339
3.681414120E-1,-0.4336991,-0.23389842,9.802796
3.729660470E-1,-0.030508488,-0.052043892,10.615159
3.777907340E-1,0.06759724,0.031106694,10.299307
3.826153700E-1,0.05623133,0.028115666,10.135997
3.874400570E-1,-0.0065802624,0.009571291,9.652647
3.922646930E-1,0.7088737,0.23030917,6.8165536
3.970893800E-1,-0.74596244,-0.2727818,11.190035
4.019140160E-1,0.14416756,0.025124637,9.83809
4.067387030E-1,0.1794617,0.11964113,10.806585
4.115633390E-1,-0.16390835,-0.046660043,9.74477
4.163880260E-1,-0.23688944,-0.10707881,10.185648
4.212126620E-1,-0.25722843,-0.1058824,10.066007
4.260372970E-1,-0.0951147,-0.04426722,10.390832
4.308485470E-1,0.59342,0.26979074,7.6941214
4.356866200E-1,0.31106696,0.11964113,9.238688
4.405113070E-1,-0.07058827,-0.0065802624,10.415359
4.453359430E-1,-0.54376894,-0.25244278,9.894919
4.501606300E-1,-0.08973085,-0.054436713,10.462617
4.549852660E-1,0.04007978,0.0011964113,10.452448
4.598099530E-1,0.07597212,0.01794617,10.174282
4.646345890E-1,-0.051445685,-0.016749758,9.959526
4.694592760E-1,-0.029312078,-0.04426722,9.374481
4.742704740E-1,0.5688936,0.1896312,7.2245297
4.791085990E-1,-0.5270192,-0.20638095,10.953744
4.839332340E-1,0.41575295,0.15373886,9.999606
4.887579220E-1,-0.06999006,0.011964113,10.434502
4.935825570E-1,-0.3182454,-0.13519448,9.769297
4.984072450E-1,-0.25962126,-0.10348958,10.305887
5.032318800E-1,-0.16331014,-0.07058827,10.276575
5.080565680E-1,0.04007978,0.020338992,10.418948
5.128812030E-1,0.44985065,0.2428715,8.132008
