Time (s),x,y,z
267481555883519,-0.010519478,0.036485277,-0.09707214
267481558365758,-0.020106848,-0.008255793,-0.019307902
267481560847998,1.3315794E-4,-0.015712637,0.09254477
267481563330237,0.004394212,0.02902843,-0.05233107
267481565812529,-0.009454214,-0.021038955,-0.023568956
267481568294769,0.002263685,0.0013315794,0.08082687
267481570777008,0.004394212,0.026897904,-0.081093185
267481573259248,-0.0062584234,-0.03169159,0.027563693
267481575741539,0.004394212,0.016245268,0.049934227
267481578223779,-0.0031957906,0.016112112,-0.08961529
267481580706019,-0.004261054,-0.033955276,0.06804371
267481583188258,0.006391581,0.018242639,-0.002263685
267481585670550,-0.0074568447,-0.0062584234,-0.06511423
267481588152789,0.0010652635,-0.019041585,0.09361003
267481590635029,0.0074568447,0.02463422,-0.051265806
267481593117269,-0.009587372,-0.025433166,-0.018242639
267481595599560,0.0010652635,0.0011984215,0.082957394
267481598081800,0.0031957906,0.02783001,-0.08535424
267481600564039,-0.006391581,-0.033955276,0.02969422
267481603046279,0.004261054,0.01291632,0.043542646
267481605528571,-0.0031957906,0.0139815835,-0.08855003
267481608010810,-0.0031957906,-0.022237375,0.073370025
267481610493050,0.006391581,0.025699483,-0.006524739
267481612975289,-0.0074568447,-0.0062584234,-0.06191844
267481615457581,0.0,-0.014780532,0.09254477
267481617939821,0.0,0.025699483,-0.05552686
267481620422060,-0.0053263176,-0.025433166,-0.015046847
267481622904300,0.0031957906,0.0011984215,0.075500555
267481625386592,0.0,0.02143843,-0.08215845
267481627868831,-0.0053263176,-0.03182475,0.037151065
267481630351071,0.002130527,0.016112112,0.036085803
267481632833310,-0.006391581,0.010785793,-0.083223715
267481635315602,-0.004261054,-0.023302639,0.074435286
267481637797842,0.0053263176,0.02463422,-0.015046847
267481640280081,-0.006391581,-0.0083889505,-0.056592125
267481642762321,0.002130527,-0.009454214,0.085087925
267481645244612,0.0053263176,0.02783001,-0.06085318
267481647726852,-0.006391581,-0.025433166,-0.006524739
267481650209092,0.004261054,0.0054594753,0.06910897
267481652691331,-0.0010652635,0.02143843,-0.083223715
267481655173623,-0.006391581,-0.02969422,0.042477384
267481657655862,0.004261054,0.016112112,0.027563693
