Time (s),x,y,z
261725602664537,7.1073847,2.00801,10.108919
261725605147506,-7.3080063,-1.7151626,8.763858
261725607630475,1.9606992,0.15390949,10.657484
261725610113392,4.847251,1.6882135,9.841824
261725612596360,-8.734513,-2.28349,8.978852
261725615079381,6.316877,1.3246996,10.681438
261725617562715,0.404237,0.5982708,9.355541
261725620045996,-7.302616,-2.1643147,9.579518
261725622529277,9.018378,2.213422,10.533518
261725625012610,-4.415466,-0.72103906,8.8453045
261725627495892,-3.3770258,-1.1222817,10.099338
261725629979225,8.787813,2.3236141,10.380806
261725632462506,-8.230865,-1.9349478,8.716548
261725634945787,1.9241681,0.15390949,10.6479025
261725637429121,5.586256,1.874462,9.860988
261725639912402,-9.389078,-2.4655464,8.930943
261725642395683,6.6534414,1.4205188,10.681438
261725644879017,0.3964517,0.64138937,9.407643
261725647362298,-7.5170116,-2.2026424,9.632219
261725649845631,9.205225,2.2661228,10.586219
261725652328912,-4.683161,-0.81146836,8.859677
261725654812194,-3.1033425,-1.0647902,10.104129
261725657295527,8.616536,2.3140323,10.323914
261725659778808,-8.3500395,-1.9780664,8.721338
261725662262090,2.306846,0.28266647,10.581428
261725664745423,5.0879965,1.8025976,9.799304
261725667228704,-9.163903,-2.393682,9.064491
261725669712037,6.806752,1.4444735,10.719767
261725672195319,-0.0011977393,0.49766067,9.29805
261725674678600,-6.9618597,-2.044541,9.722649
261725677161933,8.960886,2.2086313,10.5431
261725679645215,-4.9131265,-0.8737508,8.840513
261725682128496,-2.5050716,-0.92166036,10.137665
261725684611829,8.051204,2.1756933,10.285586
261725687095110,-8.197328,-1.9828573,8.806977
261725689578444,2.6272411,0.3545308,10.586219
261725692061725,4.3986974,1.6498859,9.737021
261725694545006,-8.613542,-2.2978628,9.10761
261725697028340,6.7875886,1.4678295,10.523936
261725699511621,-0.61384135,0.32578507,9.212412
261725701994902,-6.0569673,-1.8918291,9.784931
261725704478235,8.400943,2.1038291,10.495191
261725706961517,-5.204776,-0.96477896,8.768649
261725709444850,-1.5187334,-0.68271136,10.213721
261725711928131,7.0175543,1.993637,10.237677
261725714411412,-7.900288,-1.9876484,8.87405
261725716894746,3.321331,0.50724256,10.604783
261725719378027,3.1302917,1.27679,9.627428
261725721861308,-7.675113,-2.1643147,9.331587
261725724344642,6.8498707,1.5732305,10.514354
261725726827923,-1.6385074,0.014971741,9.035745
261725729311256,-4.6927423,-1.5139425,9.846615
261725731794537,7.726017,1.9840552,10.428716
261725734277819,-5.7461543,-1.1797732,8.802186
261725736761152,-0.12995471,-0.36231613,10.3376875
261725739244433,5.70064,1.7882247,9.980163
261725741727715,-7.60804,-1.9589026,8.940525
261725744211048,4.3603697,0.84201074,10.719767
261725746694329,1.5642475,0.8659655,9.450762
261725749177662,-6.5887637,-1.9636935,9.522626
261725751660944,7.0463,1.6786315,10.519145
261725754144225,-3.0218961,-0.376689,8.945315
261725756627558,-3.0266871,-1.0743722,10.084965
261725759110840,6.960063,1.9415354,10.280795
261725761594121,-6.5025263,-1.4714227,8.778231
261725764077454,1.5642475,0.06288131,10.567055
261725766560735,4.1974773,1.5396938,9.837032
261725769044069,-7.3930454,-1.9636935,9.093237
261725771527350,5.495228,1.157615,10.652693
261725774010631,-0.21140099,0.42160422,9.241158
261725776493965,-5.3628774,-1.6289254,9.741813
261725778977246,7.304413,1.8457162,10.457461
261725781460527,-4.472358,-0.78751355,8.887824
261725783943860,-1.3127222,-0.6348018,10.232885
261725786427142,6.184527,1.8121796,10.094546
261725788910475,-7.172662,-1.7864281,8.902197
261725791393756,3.1446645,0.50724256,10.581428
261725793877037,2.7182693,1.1432421,9.574728
261725796360371,-6.9906054,-1.9876484,9.336378
261725798843652,6.504922,1.5013661,10.5622635
261725801326933,-1.8247558,-0.008983045,9.040536
261725803810267,-4.175319,-1.3468578,9.913688
261725806293548,7.304413,1.9223715,10.376016
261725808776881,-5.7317815,-1.2372646,8.816559
261725811260162,0.24314107,-0.2623049,10.395179
261725813743444,5.2892165,1.7259423,9.937044
261725816226777,-7.5170116,-1.9253659,9.035745
