Time (s),x,y,z
440543662974313,-0.013848426,0.030093694,-0.09201214
440543665457490,-0.017044216,-0.014647374,-0.015313163
440543667940667,0.0010652635,-0.01038632,0.0880174
440543670423844,0.0053263176,0.02902843,-0.06325002
440543672907021,-0.006391581,-0.024234746,-0.0142479
440543675390198,0.0053263176,0.002396843,0.075234234
440543677873375,0.002130527,0.021571586,-0.088816345
440543680356552,-0.0053263176,-0.035952643,0.03368896
440543682839677,0.0031957906,0.018375795,0.035819486
440543685322855,-0.0010652635,0.014114741,-0.08775108
440543687806032,-0.002130527,-0.029561063,0.07843003
440543690289209,0.0053263176,0.02583264,-0.0142479
440543692772386,-0.0074568447,-0.0050600017,-0.061119493
440543695255563,0.0010652635,-0.012516847,0.09121319
440543697738740,0.006391581,0.030093694,-0.06538055
440543700221917,-0.004261054,-0.0284958,-0.007856319
440543702705042,0.0053263176,0.0055926335,0.07310371
440543705188219,0.0,0.027963167,-0.09201214
440543707671396,-0.0031957906,-0.032756854,0.042211067
440543710154573,0.0031957906,0.017310532,0.03368896
440543712637750,-0.0074568447,0.010918951,-0.08455529
440543715120927,-0.002130527,-0.026365273,0.07843003
440543717604105,0.006391581,0.02583264,-0.021704745
440543720087282,-0.0074568447,-0.011451583,-0.05366265
440543722570407,0.0010652635,-0.01038632,0.09121319
440543725053584,0.0053263176,0.02902843,-0.06644581
440543727536761,-0.0053263176,-0.029561063,-0.0057257917
440543730019938,0.0031957906,0.0054594753,0.067777395
440543732503115,-0.0010652635,0.02143843,-0.08988161
440543734986292,-0.002130527,-0.033955276,0.044341594
440543737469469,0.004261054,0.016112112,0.02516685
440543739952646,-0.004261054,0.0075900024,-0.08242477
440543742435771,-0.0010652635,-0.022237375,0.07949529
440543744918948,0.0030626326,0.02783001,-0.028096326
440543747402125,-0.008655266,-0.015845794,-0.04833633
440543749885302,9.321056E-4,-0.011584741,0.08588687
440543752368480,0.001997369,0.02463422,-0.06644581
440543754851657,-0.0075900024,-0.028628957,0.0017310532
440543757334834,0.0041278964,0.006524739,0.06351634
440543759818011,-0.0011984215,0.020373166,-0.08668582
440543762301136,-0.004394212,-0.030759484,0.049667913
440543764784313,0.0041278964,0.022503693,0.01877527
440543767267490,-0.0054594753,0.004394212,-0.07603318
440543769750667,-0.0011984215,-0.023302639,0.077364765
440543772233844,0.0083889505,0.02783001,-0.031292114
440543774717021,-0.0033289485,-0.013715268,-0.036618434
440543777200198,-0.0011984215,-0.0041278964,0.077364765
440543779683375,0.0030626326,0.02463422,-0.067511074
440543782166500,-0.0054594753,-0.028628957,0.012383688
440543784649677,0.00519316,0.010785793,0.049667913
440543787132855,-0.002263685,0.015046847,-0.08029424
440543789616032,-0.0011984215,-0.030759484,0.052863702
440543792099209,0.00519316,0.022503693,0.0027963168
440543794582386,-0.004394212,1.3315794E-4,-0.06218476
440543797065563,-1.3315794E-4,-0.014780532,0.0762995
440543799548740,0.00519316,0.028895274,-0.040879488
440543802031865,-0.0054594753,-0.021172112,-0.018508954
440543804515042,0.00519316,-9.321056E-4,0.07097318
440543806998219,9.321056E-4,0.02463422,-0.069641605
440543809481396,-0.004394212,-0.03182475,0.024101587
440543811964573,0.0030626326,0.0139815835,0.035819486
440543814447750,-0.0033289485,0.01291632,-0.07390266
440543816930927,-0.0033289485,-0.027563693,0.06032055
440543819414105,0.00519316,0.022503693,-0.008921582
440543821897230,-0.004394212,-0.010519478,-0.050466858
440543824380407,-0.002263685,-0.011584741,0.07416897
440543826863584,0.0030626326,0.025699483,-0.051532123
440543829346761,-0.004394212,-0.027563693,-0.004660528
440543831829938,0.001997369,0.0033289485,0.059255283
440543834313115,0.001997369,0.019307902,-0.07070687
440543836796292,0.001997369,-0.03182475,0.03901528
440543839279469,0.009454214,0.017177375,0.017710006
440543841762594,-0.0054594753,0.0054594753,-0.06644581
440543844245771,-0.0011984215,-0.020106848,0.065646864
440543846728948,0.00519316,0.02783001,-0.027031062
440543849212125,-0.004394212,-0.020106848,-0.03555317
440543851695302,-0.0011984215,-0.0062584234,0.07097318
440543854178480,0.001997369,0.02783001,-0.06644581
440543856661657,-0.006524739,-0.03182475,0.012383688
440543859144834,0.0041278964,0.008655266,0.05179844
440543861627959,9.321056E-4,0.0139815835,-0.07070687
440543864111136,-0.0011984215,-0.02969422,0.052863702
440543866594313,0.0041278964,0.023568956,0.0027963168
440543869077490,-0.0054594753,-0.0041278964,-0.057923704
440543871560667,9.321056E-4,-0.015845794,0.07097318
440543874043844,0.0030626326,0.028895274,-0.04194475
440543876527021,-0.010785793,-0.019041585,-0.016378427
440543879010198,-1.3315794E-4,0.002263685,0.065646864
440543881493323,0.001997369,0.023568956,-0.069641605
440543883976448,-0.004394212,-0.030759484,0.028362641
440543886459521,0.0030626326,0.01291632,0.03688475
440543888942646,-0.004394212,0.010785793,-0.07283739
440543891425771,-0.0011984215,-0.027563693,0.06032055
440543893908896,0.007323687,0.02783001,-0.015313163
440543896392021,-0.0054594753,-0.009454214,-0.04833633
440543898875146,9.321056E-4,-0.009454214,0.075234234
440543901358219,0.00519316,0.028895274,-0.052597385
440543903841344,-0.006524739,-0.02649843,-0.0025300009
440543906324469,0.0030626326,0.006524739,0.05819002
440543908807594,9.321056E-4,0.020373166,-0.07390266
440543911290719,-1.3315794E-4,-0.028628957,0.04008054
440543913773844,0.00519316,0.020373166,0.016644742
440543916256969,-0.0054594753,0.0033289485,-0.06644581
440543918740042,-0.0033289485,-0.023302639,0.06884266
440543921223167,0.0041278964,0.023568956,-0.02916159
440543923706292,-0.008655266,-0.019041585,-0.03342264
440543926189417,9.321056E-4,-0.00519316,0.06990792
440543928672542,0.001997369,0.028895274,-0.06644581
440543931155667,-0.0033289485,-0.02649843,0.011318425
440543933638740,0.0041278964,0.009720529,0.04647212
440543936121865,-0.002263685,0.015046847,-0.07390266
440543938604990,-0.004394212,-0.02969422,0.052863702
440543941088115,0.0062584234,0.022503693,0.0027963168
440543943571240,-0.0054594753,-0.0041278964,-0.057923704
440543946054365,9.321056E-4,-0.016911058,0.07310371
440543948537490,0.0041278964,0.026764747,-0.043010015
440543951020563,-0.0075900024,-0.020106848,-0.019574217
440543953503688,-1.3315794E-4,-0.001997369,0.065646864
440543955986813,-1.3315794E-4,0.019307902,-0.07177213
440543958469938,-1.3315794E-4,-0.03182475,0.028362641
440543960953063,0.009454214,0.015046847,0.034754224
440543963436188,-0.0054594753,0.010785793,-0.07177213
440543965919313,-0.004394212,-0.023302639,0.06351634
440543968402386,0.00519316,0.022503693,-0.012117373
440543970885511,-0.008655266,-0.010519478,-0.045140542
440543973368636,-0.0011984215,-0.0083889505,0.07310371
440543975851761,0.007323687,0.026764747,-0.054727912
440543978334886,-0.0054594753,-0.025433166,-0.0035952644
440543980818011,0.0030626326,0.0075900024,0.06032055
440543983301084,-0.0011984215,0.019307902,-0.07283739
440543985784209,-0.004394212,-0.030759484,0.041145805
440543988267334,0.007323687,0.016112112,0.016644742
440543990750459,-0.0033289485,-9.321056E-4,-0.06538055
440543993233584,9.321056E-4,-0.024367902,0.07310371
440543995716709,0.00519316,0.026764747,-0.027031062
440543998199834,-0.0054594753,-0.016911058,-0.031292114
440544000682907,0.0030626326,-0.007323687,0.07310371
440544003166032,0.001997369,0.025699483,-0.06218476
440544005649157,-0.0054594753,-0.028628957,0.013448952
440544008132282,0.0030626326,0.01291632,0.04540686
440544010615407,-0.0033289485,0.016112112,-0.07390266
440544013098532,-0.0075900024,-0.03289001,0.05179844
440544015581605,0.0041278964,0.02143843,-0.0014647373
440544018064730,-0.0033289485,-0.00519316,-0.058988966
440544020547855,9.321056E-4,-0.013715268,0.075234234
440544023030980,0.0030626326,0.02783001,-0.045140542
440544025514105,-0.0075900024,-0.021172112,-0.019574217
440544027997230,0.007323687,0.004394212,0.062451076
440544030480355,0.0030626326,0.02143843,-0.07070687
440544032963427,-0.004394212,-0.027563693,0.029427905
440544035446552,0.0030626326,0.016112112,0.03368896
440544037929677,-0.0075900024,0.008655266,-0.07283739
440544040412802,-0.0011984215,-0.025433166,0.06351634
440544042895927,0.0062584234,0.025699483,-0.012117373
440544045379052,-0.0054594753,-0.011584741,-0.046205804
440544047862125,0.001997369,-0.011584741,0.07203845
440544050345250,0.00519316,0.02783001,-0.05366265
440544052828375,-0.0033289485,-0.025433166,-0.0035952644
440544055311500,0.00519316,0.008655266,0.056059495
440544057794625,9.321056E-4,0.020373166,-0.07496792
440544060277750,-0.004394212,-0.03289001,0.044341594
440544062760875,0.00519316,0.018242639,0.017710006
440544065243948,-0.0054594753,0.0033289485,-0.06644581
440544067727073,9.321056E-4,-0.019041585,0.06990792
440544070210198,0.00519316,0.026764747,-0.027031062
440544072693323,-0.008655266,-0.019041585,-0.03235738
440544075176448,-0.002263685,-0.00519316,0.07097318
440544077659573,0.0041278964,0.02463422,-0.06431528
440544080142646,-0.004394212,-0.033955276,0.012383688
440544082625771,0.0062584234,0.0118510565,0.04540686
440544085108896,-1.3315794E-4,0.01291632,-0.07070687
440544087592021,-0.0011984215,-0.027563693,0.057124756
440544090075146,0.0083889505,0.023568956,0.0038615803
440544092558271,-0.002263685,-0.001997369,-0.058988966
440544095041396,-1.3315794E-4,-0.014780532,0.07416897
440544097524469,0.001997369,0.025699483,-0.043010015
440544100007594,-0.006524739,-0.023302639,-0.019574217
440544102490719,0.001997369,0.004394212,0.06351634
440544104973844,-0.0011984215,0.023568956,-0.07070687
440544107456969,-0.0054594753,-0.030759484,0.028362641
440544109940094,0.0030626326,0.010785793,0.028362641
440544112423167,-0.004394212,0.006524739,-0.07177213
440544114906292,-0.0011984215,-0.02649843,0.065646864
440544117389417,0.007323687,0.022503693,-0.012117373
440544119872542,-0.004394212,-0.010519478,-0.045140542
440544122355667,-1.3315794E-4,-0.0083889505,0.075234234
440544124838792,9.321056E-4,0.025699483,-0.055793177
440544127321917,-0.0054594753,-0.02649843,-0.0035952644
440544129804990,0.00519316,0.0054594753,0.05499423
440544132288115,-0.0011984215,0.019307902,-0.07603318
440544134771240,-0.002263685,-0.030759484,0.041145805
440544137254365,0.00519316,0.019307902,0.015579479
440544139737490,-0.004394212,0.0011984215,-0.068576336
440544142220615,-0.0011984215,-0.021172112,0.06990792
440544144703688,0.00519316,0.022503693,-0.02916159
440544147186813,-0.0075900024,-0.017976321,-0.036618434
440544149669938,-1.3315794E-4,-0.0030626326,0.06884266
440544152153063,0.001997369,0.026764747,-0.06325002
440544154636188,-0.004394212,-0.02969422,0.013448952
440544157119313,0.007323687,0.01291632,0.043276332
440544159602438,-0.0011984215,0.0118510565,-0.07496792
440544162085511,-0.002263685,-0.02969422,0.053928968
440544164568636,0.0062584234,0.020373166,6.657897E-4
440544167051761,-0.006524739,-0.0030626326,-0.057923704
440544169534886,-0.0011984215,-0.014780532,0.07416897
440544172018011,9.321056E-4,0.029960537,-0.04194475
440544174501136,-0.006524739,-0.022237375,-0.01744369
440544176984261,9.321056E-4,0.004394212,0.065646864
440544179467334,0.001997369,0.023568956,-0.07177213
440544181950459,-0.002263685,-0.033955276,0.029427905
440544184433584,0.0083889505,0.0139815835,0.03155843
440544186916709,-0.004394212,0.008655266,-0.07283739
440544189399834,-0.0011984215,-0.022237375,0.066712126
440544191882959,0.0041278964,0.022503693,-0.0142479
440544194366032,-0.0054594753,-0.011584741,-0.046205804
440544196849157,0.0030626326,-0.010519478,0.07203845
440544199332282,0.0041278964,0.02783001,-0.055793177
440544201815407,-0.004394212,-0.025433166,-3.9947382E-4
440544204298532,0.0041278964,0.008655266,0.057124756
440544206781657,-1.3315794E-4,0.017177375,-0.07603318
440544209264782,-0.004394212,-0.033955276,0.042211067
440544211747855,0.0030626326,0.020373166,0.016644742
440544214230980,-0.002263685,0.002263685,-0.069641605
440544216714105,0.0041278964,-0.020106848,0.066712126
440544219197230,0.0062584234,0.02783001,-0.031292114
440544221680355,-0.0075900024,-0.019041585,-0.03342264
440544224163480,9.321056E-4,-0.0041278964,0.07097318
440544226646552,0.00519316,0.02463422,-0.06325002
440544229129677,-0.004394212,-0.02969422,0.013448952
440544231612802,0.0062584234,0.0118510565,0.04540686
440544234095927,-0.002263685,0.017177375,-0.07603318
440544236579052,-0.006524739,-0.027563693,0.052863702
440544239062177,0.0041278964,0.020373166,0.0038615803
440544241545302,-0.0054594753,-0.007323687,-0.055793177
440544244028375,-0.0011984215,-0.017976321,0.075234234
440544246511500,0.0030626326,0.023568956,-0.044075277
440544248994625,-0.002263685,-0.022237375,-0.019574217
440544251477750,0.00519316,0.0011984215,0.066712126
440544253960875,-1.3315794E-4,0.022503693,-0.07177213
440544256444000,-0.002263685,-0.030759484,0.028362641
440544258927073,0.00519316,0.0139815835,0.03155843
440544261410198,-0.0054594753,0.006524739,-0.069641605
440544263893323,-0.0033289485,-0.024367902,0.0645816
440544266376448,0.0030626326,0.028895274,-0.0142479
440544268859573,-0.0075900024,-0.009454214,-0.046205804
440544271342698,9.321056E-4,-0.009454214,0.07203845
440544273825823,0.0030626326,0.023568956,-0.054727912
440544276308896,-0.006524739,-0.02969422,6.657897E-4
440544278792021,0.0030626326,0.0054594753,0.05499423
440544281275146,9.321056E-4,0.019307902,-0.077098444
440544283758271,-0.0054594753,-0.02969422,0.043276332
440544286241396,0.0030626326,0.02143843,0.016644742
440544288724521,-0.0033289485,-9.321056E-4,-0.067511074
440544291207594,-0.0011984215,-0.020106848,0.07097318
440544293690719,0.0041278964,0.02463422,-0.03342264
440544296173844,-0.0033289485,-0.015845794,-0.03235738
440544298656969,0.00519316,-0.001997369,0.07097318
440544301140094,0.0030626326,0.026764747,-0.06538055
440544303623219,-0.0054594753,-0.028628957,0.014514215
440544306106344,0.0030626326,0.008655266,0.043276332
