Time (s),x,y,z
35192552216888,-6.6606283,-1.878654,9.318412
35192554740013,11.302466,1.9355466,9.957405
35192557263138,-5.928809,-2.2152188,9.201632
35192559786263,-0.74080175,-0.08983044,9.713666
35192562309388,9.72205,1.1031178,10.155032
35192564832513,-10.089157,-2.8793652,8.732119
35192567355638,6.524086,1.3821911,10.249654
35192569878763,3.42254,-0.21978515,9.65797
35192572401888,-8.769248,-2.3990717,9.03335
35192574925013,11.195269,1.9589026,10.137066
35192577448138,-4.1028557,-1.9085976,9.212412
35192579971263,-2.6194558,-0.5521578,9.5364
35192582494388,10.313733,1.415129,10.119101
35192585017513,-9.306434,-2.8901448,8.907587
35192587540638,5.1389003,1.0348468,10.020287
35192590063763,4.353782,0.04850844,9.738818
35192592586940,-8.637497,-2.3325973,9.034547
35192595110065,10.3508625,1.8235581,10.152637
35192597633190,-3.3057604,-1.7313321,9.245948
35192600156315,-2.769772,-0.6779204,9.5190325
35192602679440,9.856795,1.4959763,10.134072
35192605202565,-8.590785,-2.7661788,8.965078
35192607725690,4.801737,0.9282479,10.002919
35192610248815,4.131003,-0.019762699,9.782536
35192612771940,-8.165587,-2.2224052,9.073474
35192615295065,9.927462,1.7840327,10.120897
35192617818190,-3.3602576,-1.6983943,9.275892
35192620341315,-2.4080548,-0.61623687,9.491485
35192622864440,9.390276,1.3989595,10.05562
35192625387565,-8.396751,-2.742823,9.012988
35192627910690,4.9909797,0.98514056,9.97597
35192630433815,3.6507094,-0.025152525,9.755587
35192632956940,-7.827825,-2.1271849,9.144739
35192635480065,9.857993,1.6965977,10.093947
35192638003190,-3.6022007,-1.7858293,9.27649
35192640526367,-2.1229928,-0.5545533,9.535202
35192643049492,9.182468,1.2923607,10.10353
35192645572617,-8.479994,-2.6763484,9.061497
35192648095742,5.141895,1.0078976,9.990942
35192650618867,3.403975,-0.10300558,9.803496
35192653141992,-7.7296104,-2.099637,9.145937
35192655665117,9.932253,1.7343265,10.019688
35192658188242,-3.8004267,-1.7726542,9.306434
35192660711367,-1.8762586,-0.5024516,9.545982
35192663234492,9.141745,1.2719991,9.982558
35192665757617,-8.544672,-2.6865292,9.066886
35192668280742,5.388629,1.0120897,9.983157
35192670803867,3.3063593,-0.14732192,9.734027
35192673326992,-7.6649323,-2.1241906,9.161508
35192675850117,10.007112,1.7235469,10.096343
35192678373242,-3.945952,-1.7924168,9.29805
35192680896367,-1.8355354,-0.43118614,9.598682
35192683419492,9.096829,1.203728,10.110716
35192685942669,-8.584796,-2.692518,9.04952
35192688465794,5.5012164,1.0162817,9.984355
35192690988919,3.2129357,-0.18684733,9.731032
35192693512044,-7.6379833,-2.1253884,9.190852
35192696035169,10.033462,1.7469027,10.102332
35192698558294,-4.0681214,-1.8079875,9.256728
35192701081419,-1.6750383,-0.48029345,9.576525
35192703604544,9.056107,1.2079201,10.027473
35192706127669,-8.635101,-2.7368343,9.004005
35192708650794,5.613804,1.0534117,9.990343
35192711173919,3.081783,-0.22577386,9.783733
35192713697044,-7.515814,-2.0972414,9.210615
35192716220169,10.088558,1.7654676,10.061009
35192718743294,-4.1322007,-1.8475128,9.272299
35192721266419,-1.552869,-0.40902796,9.591496
35192723789544,8.958491,1.1540217,10.089756
35192726312669,-8.637497,-2.7134783,9.084852
35192728835794,5.7030354,1.1109031,9.977168
35192731358919,2.9697945,-0.23116368,9.784332
35192733882096,-7.5170116,-2.0786765,9.20223
35192736405221,10.063405,1.7696598,10.0664
35192738928346,-4.2094545,-1.9103942,9.268106
35192741451471,-1.3857844,-0.3707003,9.596886
35192743974596,8.914773,1.1827675,10.084965
35192746497721,-8.6997795,-2.6559868,9.037541
35192749020846,5.789273,1.1156942,9.953813
35192751543971,2.817083,-0.26529926,9.756186
35192754067044,-7.3786726,-2.0499308,9.150728
35192756590169,10.1065235,1.7840327,10.061608
35192759113242,-4.310065,-1.8954223,9.268106
35192761636367,-1.2947562,-0.34674552,9.629225
35192764159492,8.818954,1.1204851,10.127484
35192766682565,-8.718344,-2.6655688,9.0896435
35192769205690,5.870719,1.1636037,9.93944
35192771728815,2.6685631,-0.35153648,9.760976
35192774251940,-7.3211813,-2.0595126,9.220796
35192776775013,10.101733,1.7600778,10.122693
35192779298138,-4.4537935,-1.9630947,9.258525
35192781821263,-1.1893551,-0.24613541,9.587304
35192784344335,8.751881,1.0959314,10.052027
35192786867460,-8.751881,-2.6751506,9.028559
35192789390585,6.0288205,1.1827675,10.02388
35192791913658,2.5104616,-0.32279074,9.775349
35192794436783,-7.2157803,-2.044541,9.178875
35192796959908,10.08736,1.7744508,10.061608
35192799482981,-4.6071043,-1.9535128,9.263315
35192802006106,-1.0695812,-0.28925404,9.666954
35192804529231,8.642287,1.0288581,10.052027
35192807052304,-8.756672,-2.6751506,8.967474
35192809575429,6.11925,1.1971405,9.9346485
35192812098554,2.4002695,-0.40004492,9.69031
35192814621679,-7.0960064,-2.0547218,9.19744
35192817144752,10.14006,1.7792417,10.043044
35192819667877,-4.717296,-1.9966314,9.268106
35192822191002,-0.89770555,-0.2605083,9.592095
35192824714075,8.560842,0.9857394,10.02388
35192827237200,-8.74709,-2.6751506,8.986039
35192829760325,6.229442,1.2210952,9.986151
35192832283398,2.246959,-0.4239997,9.686117
35192834806523,-7.004978,-1.9726766,9.207022
35192837329648,10.1592245,1.8223603,10.075383
35192839852721,-4.7747874,-1.9966314,9.187858
35192842375846,-0.7731407,-0.18325411,9.638806
35192844898971,8.484186,0.9761575,10.0472355
35192847422044,-8.751881,-2.645806,9.037541
35192849945169,6.354007,1.240259,10.010106
35192852468294,2.1373658,-0.41441777,9.751394
35192854991419,-6.8612494,-1.9678856,9.216004
35192857514492,10.207134,1.7936145,10.033462
35192860037617,-4.951454,-2.0014224,9.23996
35192862560742,-0.64857584,-0.16888124,9.643598
35192865083815,8.412322,0.94681287,10.071191
35192867606940,-8.771045,-2.6559868,9.005202
35192870130065,6.454617,1.235468,9.986151
35192872653138,1.9792641,-0.4575364,9.73762
35192875176263,-6.8133397,-1.9295579,9.23996
35192877699388,10.226298,1.8175694,10.061608
35192880222460,-5.0137367,-2.0595126,9.150728
35192882745585,-0.5383838,-0.16888124,9.629225
35192885268710,8.30213,0.91806716,10.043044
35192887791783,-8.823745,-2.6218512,9.023767
35192890314908,6.555227,1.2696036,9.953813
35192892838033,1.883445,-0.4910731,9.65318
35192895361158,-6.7468653,-1.9103942,9.207022
35192897884231,10.192761,1.8175694,10.0801735
35192900407356,-5.152674,-2.0738854,9.178875
35192902930481,-0.404237,-0.0868361,9.666954
35192905453554,8.196729,0.9276491,10.0801735
35192907976679,-8.814163,-2.5835235,9.028559
35192910499804,6.67021,1.2791855,10.019089
35192913022877,1.6965977,-0.52940077,9.709474
35192915546002,-6.641464,-1.9535128,9.178875
35192918069127,10.192761,1.7840327,10.043044
35192920592200,-5.2532845,-2.030168,9.178875
35192923115325,-0.27548003,-0.058090355,9.699891
35192925638450,8.134446,0.822248,10.019089
35192928161523,-8.866864,-2.559569,9.005202
35192930684648,6.770221,1.2791855,10.019089
35192933207773,1.5247221,-0.5874911,9.666954
35192935730898,-6.560018,-1.9056032,9.248942
35192938253971,10.211925,1.8079875,10.099338
35192940777096,-5.3922224,-2.1553319,9.220796
35192943300221,-0.0886327,-0.04850844,9.643598
35192945823294,8.062582,0.8414118,9.981959
35192948346419,-8.852491,-2.5835235,9.037541
35192950869544,6.9187407,1.3175132,9.949021
35192953392617,1.4336939,-0.5874911,9.643598
35192955915742,-6.449826,-1.8570948,9.286672
35192958438867,10.18797,1.7936145,10.127484
35192960961940,-5.425759,-2.136168,9.211813
35192963485065,0.09821462,-5.9886964E-4,9.695101
35192966008190,7.9673615,0.7976943,10.02388
35192968531315,-8.790209,-2.5787327,9.005202
35192971054388,6.995396,1.3175132,9.962795
35192973577513,1.2995471,-0.601864,9.638806
35192976100638,-6.3013062,-1.7996032,9.286672
35192978623710,10.226298,1.8127784,10.094546
35192981146835,-5.549725,-2.1984503,9.145937
35192983669960,0.21319759,0.08144627,9.686117
35192986193033,7.8811245,0.8174571,10.052027
35192988716158,-8.809372,-2.5499868,8.967474
35192991239283,7.0480967,1.3654227,9.981959
35192993762356,1.1270727,-0.6785193,9.625032
35192996285481,-6.2150693,-1.7852304,9.258525
35192998808606,10.202343,1.8127784,10.028671
35193001331679,-5.669499,-2.1744957,9.19744
35193003854804,0.29464385,0.110192016,9.784332
35193006377929,7.723023,0.7593667,10.02388
35193008901054,-8.8477,-2.5547779,8.986039
35193011424127,7.2014074,1.3558408,10.019089
35193013947252,1.0264626,-0.70307297,9.681327
35193016470377,-6.12464,-1.7564846,9.258525
35193018993450,10.221507,1.7744508,10.075383
35193021516575,-5.784482,-2.237377,9.169293
35193024039700,0.48568326,0.09102818,9.793914
35193026562773,7.6367855,0.69708425,10.019089
35193029085898,-8.905191,-2.5739417,8.972265
35193031609023,7.234944,1.3510499,9.953813
35193034132096,0.8306322,-0.6785193,9.634016
35193036655221,-6.105476,-1.7415129,9.347756
35193039178346,10.216716,1.7792417,10.061608
35193041701419,-5.8323913,-2.2565408,9.164502
35193044224544,0.63420296,0.11498297,9.728039
35193046747669,7.5409665,0.6779204,10.0005245
35193049270794,-8.876446,-2.545196,9.018977
35193051793867,7.349927,1.4330951,10.02388
35193054316992,0.7491859,-0.7557735,9.69031
35193056840117,-5.9473743,-1.736722,9.305237
35193059363190,10.18797,1.8079875,10.056818
35193061886315,-5.995284,-2.2804956,9.183666
35193064409440,0.7108583,0.20661002,9.732829
35193066932513,7.430774,0.72103906,10.010106
35193069455638,-8.842909,-2.5691507,9.023767
35193071978763,7.4834747,1.346259,9.972377
35193074501835,0.58150244,-0.7797283,9.634016
35193077024960,-5.8036456,-1.6792305,9.342965
35193079548085,10.168806,1.7840327,10.010106
35193082071158,-6.100685,-2.2996595,9.154921
35193084594283,0.8881237,0.1676835,9.756186
35193087117408,7.359509,0.629412,10.052027
35193089640533,-8.814163,-2.545196,8.962683
35193092163606,7.56013,1.4235132,10.0005245
35193094686731,0.48089233,-0.81326497,9.662163
35193097209856,-5.7030354,-1.731931,9.277089
