Time (s),x,y,z
35499431642849,8.94831,1.4067447,10.243665
35499434166182,-0.72044015,-1.2288805,9.52023
35499436689567,-5.6647077,-1.0845529,9.139949
35499439212901,11.241382,1.5319085,10.492196
35499441736234,-7.158289,-2.4218287,8.829734
35499444259567,0.9072875,0.5701239,9.835236
35499446782953,8.794999,0.27667776,10.220309
35499449306286,-10.53232,-2.4362016,8.52431
35499451829620,7.91526,1.5414904,10.389191
35499454353005,1.989445,-0.9210615,9.586106
35499456876338,-8.311112,-1.6522813,8.867463
35499459399672,11.844443,1.7678632,10.609574
35499461923057,-5.4395328,-2.2727103,8.81596
35499464446390,-1.7582812,0.25272298,9.656174
35499466969724,10.399371,0.7240334,10.445484
35499469493057,-10.115507,-2.700902,8.459034
35499472016442,6.033612,1.4360894,10.332896
35499474539776,3.9758954,-0.5551522,9.8017
35499477063109,-8.976457,-1.8253547,8.665644
35499479586495,11.012014,1.6714451,10.609574
35499482109828,-3.7878504,-2.0756822,8.989632
35499484633161,-2.8212748,-0.05030505,9.388479
35499487156547,10.313134,0.97915184,10.492196
35499489679880,-9.005202,-2.6865292,8.52431
35499492203213,4.9855895,1.2145076,10.205936
35499494726599,4.3250365,-0.40124264,9.857993
35499497249932,-8.464423,-1.7966089,8.69379
35499499773265,10.265224,1.5899988,10.54849
35499502296599,-3.2853987,-1.9457275,9.087847
35499504819984,-2.6727552,-0.13714115,9.402852
35499507343317,9.6573715,1.0078976,10.46884
35499509866651,-8.474006,-2.512857,8.590186
35499512390036,4.861025,1.1665981,10.163417
35499514913370,3.932777,-0.40124264,9.905304
35499517436703,-7.9619718,-1.7774451,8.721937
35499519960088,9.915484,1.4887899,10.440693
35499522483422,-3.4482913,-1.8828461,9.078864
35499525006755,-2.2613318,-0.17067784,9.454355
35499527530088,9.3076315,0.89231575,10.370027
35499530053474,-8.392559,-2.4745293,8.585395
35499532576807,5.071827,1.1474342,10.158626
35499535100140,3.578246,-0.48807874,9.811281
35499537623526,-7.7607517,-1.6714451,8.778231
35499540146859,9.915484,1.5223266,10.46884
35499542670192,-3.6584947,-1.892428,9.045926
35499545193578,-2.0553205,-0.107796535,9.492084
35499547716911,9.140547,0.8444062,10.440693
35499550240245,-8.478796,-2.4505746,8.618333
35499552763578,5.301793,1.1857619,10.196355
35499555286963,3.3776248,-0.53119737,9.792716
35499557810297,-7.698469,-1.6858181,8.796796
35499560333630,9.949021,1.5223266,10.543699
35499562857015,-3.8740876,-2.003219,8.947112
35499565380349,-1.8828461,-0.031141222,9.571733
35499567903682,9.159711,0.8108695,10.351461
35499570427067,-8.517124,-2.4793203,8.684209
35499572950401,5.387431,1.2097167,10.186772
35499575473734,3.2530599,-0.49766067,9.839428
35499577997120,-7.6649323,-1.6474904,8.829734
35499580520453,9.99214,1.5414904,10.473631
35499583043786,-3.9172063,-2.0223827,9.055508
35499585567120,-1.7630723,-0.026350264,9.510649
35499588090505,9.05431,0.82524234,10.346671
35499590613838,-8.579407,-2.4793203,8.562039
35499593137172,5.4832506,1.2192986,10.14006
35499595660557,3.1668227,-0.5749149,9.764569
35499598183890,-7.525995,-1.7049818,8.81596
35499600707224,10.030468,1.483999,10.46884
35499603230609,-4.0130253,-1.993637,9.0597
35499605753942,-1.65827,0.0071864356,9.449564
35499608277276,9.044728,0.76236105,10.295168
35499610800609,-8.579407,-2.508066,8.637497
35499613323995,5.6030245,1.2773889,10.196355
35499615847328,3.1141222,-0.60845155,9.750196
35499618370661,-7.4834747,-1.6235356,8.81596
35499620894047,10.068795,1.5319085,10.450275
35499623417380,-4.1280084,-2.012801,9.02257
35499625940713,-1.5576599,0.026350264,9.553168
35499628464099,8.968073,0.70966053,10.332896
35499630987432,-8.608152,-2.4601564,8.604559
35499633510765,5.6844707,1.2582251,10.17779
35499636034099,2.9751844,-0.67552495,9.726841
35499638557484,-7.4020286,-1.6426994,8.862672
35499641080817,10.068795,1.5127447,10.440693
35499643604151,-4.2190366,-2.0271738,8.989632
35499646127536,-1.4474679,0.079649664,9.543587
35499648650870,8.862672,0.77673393,10.323315
35499651174203,-8.632107,-2.4553654,8.627914
35499653697588,5.775499,1.3205075,10.18258
35499656220922,2.8506196,-0.68989784,9.708276
35499658744255,-7.325373,-1.6474904,8.862672
35499661267640,10.078377,1.5271176,10.4826145
35499663790974,-4.3142567,-2.0661004,8.975259
35499666314307,-1.332485,0.055694874,9.576525
35499668837640,8.781225,0.6761238,10.379608
35499671361026,-8.684808,-2.4553654,8.679418
35499673884359,5.9096456,1.267807,10.205936
35499676407692,2.7314444,-0.7144515,9.68432
35499678931078,-7.2247634,-1.5750271,8.857881
35499681454411,10.078377,1.5414904,10.435903
35499683977745,-4.4771495,-2.0708911,8.966276
35499686501130,-1.212711,0.11797732,9.590299
35499689024463,8.709361,0.6371973,10.313733
35499691547797,-8.684808,-2.4505746,8.632706
35499694071130,5.9910917,1.3109256,10.234083
35499696594515,2.5685518,-0.7431972,9.717258
