Time (s),x,y,z
438649639158849,-0.0010652635,0.053928968,0.080693714
438649641641817,-0.0010652635,0.0017310532,-0.0077231606
438649644124786,-0.0031957906,0.009187898,-0.084422134
438649646607755,-0.004261054,-0.027031062,0.07536739
438649649090724,0.004261054,0.02197106,-0.009853687
438649651573692,-0.006391581,-3.9947382E-4,-0.065247394
438649654056661,0.0,-0.018508954,0.09241161
438649656539578,0.004261054,0.030493168,-0.054594755
438649659022546,-0.0074568447,-0.020639481,-0.018375795
438649661505515,0.0031957906,6.657897E-4,0.07749792
438649663988484,0.0010652635,0.027297378,-0.08761793
438649666471453,-0.006391581,-0.03235738,0.035952643
438649668954421,0.006391581,0.015579479,0.041278962
438649671437390,-0.002130527,0.013448952,-0.08761793
438649673920359,-0.002130527,-0.030226853,0.07536739
438649676403276,0.006391581,0.02197106,-0.006657897
438649678886244,-0.009587372,-0.0035952644,-0.060986336
438649681369213,0.004261054,-0.012117373,0.08815055
438649683852182,0.0053263176,0.029427905,-0.05885581
438649686335151,-0.0074568447,-0.023835272,-0.014114741
438649688818119,0.004261054,6.657897E-4,0.07536739
438649691301088,0.0,0.027297378,-0.086552665
438649693784005,-0.0053263176,-0.03235738,0.037017908
438649696266974,0.009587372,0.013448952,0.03488738
438649698749942,-0.0031957906,0.011318425,-0.08335687
438649701232911,-0.0031957906,-0.024900535,0.07536739
438649703715880,0.0074568447,0.02516685,-0.013049478
438649706198849,-0.0031957906,-0.007856319,-0.052464228
438649708681817,0.002130527,-0.013182636,0.08602003
438649711164786,0.004261054,0.026232114,-0.060986336
438649713647703,-0.004261054,-0.028096326,-0.009853687
438649716130671,0.004261054,0.0017310532,0.06578002
438649718613640,-0.002130527,0.024101587,-0.08016108
438649721096609,-0.009587372,-0.030226853,0.042344224
438649723579578,0.002130527,0.015579479,0.027430536
438649726062546,-0.0031957906,0.0049268436,-0.074834764
438649728545515,-0.002130527,-0.025965799,0.072171606
438649731028432,0.006391581,0.026232114,-0.023702113
438649733511401,-0.008522108,-0.011052109,-0.04074633
438649735994369,0.0,-0.009986846,0.081758976
438649738477338,0.0031957906,0.026232114,-0.059921075
438649740960307,-0.0031957906,-0.025965799,0.0050600017
438649743443276,0.006391581,0.0070573706,0.05938844
438649745926244,0.0,0.019840533,-0.075900026
438649748409213,-0.002130527,-0.027031062,0.046605278
438649750892130,0.006391581,0.017710006,0.01358211
438649753375099,-0.004261054,0.0017310532,-0.065247394
438649755858067,-0.0010652635,-0.01744369,0.072171606
438649758341036,0.006391581,0.027297378,-0.033289485
438649760824005,-0.009587372,-0.01744369,-0.02902843
438649763306974,0.0010652635,-0.0035952644,0.070041075
438649765789942,0.002130527,0.024101587,-0.06737792
438649768272911,-0.006391581,-0.028096326,0.015712637
438649770755828,0.006391581,0.013448952,0.042344224
438649773238796,-0.0031957906,0.014514215,-0.07057371
438649775721765,-0.004261054,-0.024900535,0.05832318
438649778204734,0.006391581,0.026232114,-0.002396843
438649780687703,-0.006391581,-0.0057257917,-0.051398966
438649783170671,0.0010652635,-0.016378427,0.07430213
438649785653640,0.004261054,0.02516685,-0.047137912
438649788136557,-0.008522108,-0.021704745,-0.010918951
438649790619526,0.002130527,0.0017310532,0.060453705
438649793102494,0.0,0.023036323,-0.06844318
438649795585463,-0.004261054,-0.027031062,0.032756854
438649798068432,0.0074568447,0.016644742,0.023169482
438649800551401,-0.002130527,0.0038615803,-0.064182125
438649803034369,-0.004261054,-0.022770008,0.06684528
438649805517338,0.004261054,0.02516685,-0.020506322
438649808000255,-0.0074568447,-0.011052109,-0.03755054
438649810483224,0.002130527,-0.007856319,0.072171606
438649812966192,0.008522108,0.027297378,-0.05885581
438649815449161,-0.0053263176,-0.024900535,0.0061252653
438649817932130,0.0031957906,0.009187898,0.04980107
438649820415099,-0.0010652635,0.017710006,-0.0737695
438649822898067,-0.002130527,-0.030226853,0.047670543
438649825380984,0.006391581,0.016644742,0.01038632
438649827863953,-0.006391581,-3.9947382E-4,-0.059921075
438649830346921,-0.0010652635,-0.018508954,0.07110634
438649832829890,0.0053263176,0.027297378,-0.03542001
438649835312859,-0.0074568447,-0.020639481,-0.020506322
438649837795828,0.002130527,-0.004660528,0.072171606
438649840278796,0.0031957906,0.024101587,-0.06737792
438649842761765,-0.004261054,-0.030226853,0.022104219
438649845244682,0.0053263176,0.010253161,0.040213697
438649847727651,-0.002130527,0.013448952,-0.07270423
438649850210619,-0.0031957906,-0.022770008,0.05938844
438649852693588,0.008522108,0.02197106,-0.00452737
438649855176557,-0.0010652635,-0.011052109,-0.051398966
438649857659526,0.0031957906,-0.0142479,0.07536739
438649860142494,0.0053263176,0.028362641,-0.047137912
438649862625411,-0.0074568447,-0.021704745,-0.010918951
438649865108380,0.004261054,0.0027963168,0.06258423
438649867591349,0.0010652635,0.023036323,-0.06950845
438649870074317,-0.004261054,-0.028096326,0.03169159
438649872557286,0.006391581,0.015579479,0.02530001
438649875040255,-0.0031957906,0.0070573706,-0.06950845
438649877523224,-0.0031957906,-0.02916159,0.06791055
438649880006140,0.006391581,0.026232114,-0.021571586
438649882489109,-0.009587372,-0.009986846,-0.036485277
438649884972078,0.004261054,-0.0057257917,0.07323687
438649887455099,0.0074568447,0.027297378,-0.05885581
438649889938067,-0.004261054,-0.024900535,0.0050600017
438649892421036,0.0053263176,0.0070573706,0.051931597
438649894904005,0.0,0.017710006,-0.07270423
438649897387026,-0.0053263176,-0.028096326,0.047670543
438649899869994,0.008522108,0.019840533,0.008255793
438649902352963,-0.004261054,-3.9947382E-4,-0.060986336
438649904835932,-0.0010652635,-0.01744369,0.07323687
438649907318901,0.0053263176,0.02516685,-0.03542001
