Time (s),x,y,z
3584456949545,-0.007989476,-0.03874896,0.13488899
3584459469441,-0.017576847,-0.040879488,0.019840533
3584461989285,-5.3263176E-4,0.01877527,-0.10905635
3584464509181,0.0101200035,0.013448952,0.09547424
3584467029076,-0.0122505305,-0.036618434,-0.030226853
3584469548920,0.011185267,0.034754224,-0.03555317
3584472068816,-0.0026631588,-0.022770008,0.097604774
3584474588660,-0.0101200035,-0.0057257917,-0.10905635
3584477108556,0.011185267,0.024101587,0.07203845
3584479628399,-0.016511586,-0.03235738,6.657897E-4
3584482148295,0.006924213,0.032623697,-0.068576336
3584484668139,0.0015978953,-0.011052109,0.10932267
3584487188035,-0.011185267,-0.012117373,-0.098403715
3584489707878,0.014381058,0.027297378,0.04647212
3584492227774,-0.011185267,-0.03342264,0.029427905
3584494747618,0.004793686,0.023036323,-0.088816345
3584497267514,0.006924213,-0.0035952644,0.11358372
3584499787358,-0.0122505305,-0.016378427,-0.0813595
3584502307253,0.014381058,0.032623697,0.017710006
3584504827097,-0.0101200035,-0.030226853,0.05499423
3584507346993,-0.0026631588,0.01877527,-0.100534245
3584509866837,0.0101200035,0.0027963168,0.10612688
3584512386733,-0.013315794,-0.021704745,-0.061119493
3584514906576,0.013315794,0.035819486,-0.006791055
3584517426472,-0.0058589494,-0.024900535,0.075234234
3584519946316,-0.0026631588,0.010253161,-0.11118688
3584522466212,0.014381058,0.011318425,0.09334372
3584524986056,-0.0122505305,-0.02916159,-0.03874896
3584527505951,0.0101200035,0.03368896,-0.03874896
3584530025847,-0.0026631588,-0.025965799,0.09227845
3584532545691,-0.0058589494,-3.9947382E-4,-0.10905635
3584535065587,0.013315794,0.01877527,0.077364765
3584537585431,-0.013315794,-0.030226853,-0.012117373
3584540105326,0.007989476,0.03155843,-0.055793177
3584542625170,-0.0015978953,-0.0142479,0.10293109
3584545145066,-0.011185267,-0.008921582,-0.10266477
3584547664910,0.0122505305,0.020905796,0.057124756
3584550184806,-0.007989476,-0.03342264,0.014514215
3584552704649,0.006924213,0.024101587,-0.077098444
3584555224545,0.0037284223,-0.009986846,0.10612688
3584557744389,-0.0122505305,-0.013182636,-0.090946876
3584560264285,0.014381058,0.03155843,0.035819486
3584562784128,-0.00905474,-0.03342264,0.037950013
3584565304024,0.0026631588,0.019840533,-0.0930774
3584567823868,0.007989476,-0.0025300009,0.10506161
3584570343764,-0.014381058,-0.015313163,-0.07603318
3584572863608,0.015446321,0.03155843,0.009187898
3584575383503,-0.004793686,-0.031292114,0.06032055
3584577903347,-5.3263176E-4,0.014514215,-0.10373004
3584580423243,0.00905474,0.005992107,0.098670036
3584582943087,-0.013315794,-0.027031062,-0.05366265
3584585462983,0.011185267,0.029427905,-0.015313163
3584587982826,-0.006924213,-0.027031062,0.075234234
3584590502722,-0.0015978953,0.0049268436,-0.10692582
3584593022618,0.0122505305,0.017710006,0.089082666
3584595542462,-0.0122505305,-0.027031062,-0.03235738
3584598062358,0.0101200035,0.029427905,-0.03555317
3584600582201,5.3263176E-4,-0.020639481,0.09334372
3584603102097,-0.006924213,0.0017310532,-0.10799109
3584605621941,0.011185267,0.020905796,0.07310371
3584608141837,-0.014381058,-0.031292114,-0.007856319
3584610661681,0.006924213,0.027297378,-0.06005423
3584613181576,0.0037284223,-0.016378427,0.10293109
3584615701420,-0.0101200035,-0.0057257917,-0.098403715
3584618221316,0.013315794,0.028362641,0.052863702
3584620741160,-0.0101200035,-0.03235738,0.016644742
3584623261056,0.0058589494,0.024101587,-0.07816371
3584625780899,0.0058589494,-0.0057257917,0.10612688
3584628300795,-0.007989476,-0.012117373,-0.08775108
3584630820639,0.013315794,0.028362641,0.03155843
3584633340535,-0.00905474,-0.031292114,0.037950013
3584635860378,0.0015978953,0.020905796,-0.090946876
3584638380274,0.006924213,-0.0014647373,0.10612688
3584640900118,-0.013315794,-0.020639481,-0.07177213
3584643420014,0.015446321,0.02516685,0.008122634
3584645939858,-0.004793686,-0.031292114,0.062451076
3584648459753,-5.3263176E-4,0.014514215,-0.10159951
3584650979597,0.00905474,0.005992107,0.098670036
3584653499493,-0.013315794,-0.024900535,-0.05366265
3584656019389,0.013315794,0.032623697,-0.018508954
3584658539233,-0.0026631588,-0.025965799,0.08056056
3584661059128,-0.004793686,0.005992107,-0.10266477
3584663578972,0.0122505305,0.015579479,0.086952135
3584666098868,-0.014381058,-0.030226853,-0.02916159
3584668618712,0.00905474,0.030493168,-0.040879488
3584671138608,-5.3263176E-4,-0.019574217,0.09227845
3584673658451,-0.00905474,-0.0014647373,-0.10586056
3584676178347,0.013315794,0.017710006,0.07097318
3584678698191,-0.0122505305,-0.03555317,-0.004660528
3584681218087,0.007989476,0.028362641,-0.06218476
3584683737931,0.0037284223,-0.015313163,0.10399635
3584686257826,-0.013315794,-0.009986846,-0.09733845
3584688777670,0.015446321,0.027297378,0.05179844
3584691297566,-0.0101200035,-0.030226853,0.020905796
3584693817410,0.0026631588,0.02197106,-0.079228975
3584696337306,0.0037284223,-0.0035952644,0.110387936
3584698857149,-0.013315794,-0.0142479,-0.08455529
3584701377045,0.013315794,0.024101587,0.026232114
3584703896889,-0.006924213,-0.03235738,0.037950013
3584706416785,0.0015978953,0.017710006,-0.09627319
3584708936628,0.00905474,0.0017310532,0.10399635
3584711456524,-0.014381058,-0.020639481,-0.07070687
3584713976420,0.0122505305,0.03688475,6.657897E-4
3584716496264,-0.007989476,-0.025965799,0.0645816
3584719016160,-0.0026631588,0.015579479,-0.10266477
