Time (s),x,y,z
3901434764570,3.1177154,1.5223266,8.1584015
3901437284622,2.2769024,0.46831605,12.067224
3901439804727,-6.564809,-2.4679418,7.8895087
3901442324831,8.196729,3.3327096,10.308343
3901444844883,-5.4592957,-2.4775236,11.100648
3901447364987,0.362915,0.36351386,7.3852606
3901449885091,5.5808663,2.1451511,12.218139
3901452405143,-8.664446,-3.569862,8.502751
3901454925247,8.136842,3.3937943,9.242355
3901457445352,-3.403376,-1.5720328,11.897743
3901459965404,-2.5529811,-0.98274505,7.045701
3901462485508,7.984729,3.2231164,11.779766
3901465005612,-9.327993,-3.9004378,9.341767
3901467525716,6.90317,2.8398397,8.441667
3901470045768,-0.8809372,-0.42280197,12.364263
3901472565872,-5.1574655,-2.1373658,7.1073847
3901475085977,9.387281,3.7830596,11.298873
3901477606029,-8.986638,-3.7519183,10.171801
3901480126133,4.976607,1.9391398,7.7248197
3901482646237,1.7235469,0.63599956,12.6092005
3901485166289,-7.242729,-2.9901562,7.475091
3901487686393,9.99753,4.075308,10.5490885
3901490206497,-7.896096,-3.3111503,10.916795
3901492726549,2.636224,1.024067,7.3379498
3901495246654,4.097466,1.6229367,12.533743
3901497766758,-8.669836,-3.5938168,7.9649663
3901500286810,9.820264,3.9890707,9.917281
3901502806914,-6.1809335,-2.55897,11.458772
3901505327018,0.2820676,0.061084703,7.055283
3901507847070,6.1923122,2.5140548,12.30737
3901510367174,-9.486694,-3.9483476,8.550062
3901512887279,9.051315,3.6776583,9.115395
3901515407383,-4.2298164,-1.6965977,11.939664
3901517927435,-2.048134,-0.84380734,7.0223455
3901520447539,7.8931017,3.156043,11.930681
3901522967643,-9.784332,-4.039376,9.18666
3901525487695,7.763147,3.2183254,8.5548525
3901528007799,-2.0145974,-0.8390164,12.3121605
3901530527904,-4.253771,-1.7876259,7.0031815
3901533047956,9.099225,3.6824493,11.4965
3901535568060,-9.501067,-3.8525283,9.874762
3901538088164,6.1198487,2.4661453,8.012277
3901540608216,0.27727664,0.123367146,12.552906
3901543128320,-6.1857243,-2.5158513,7.281656
3901545648424,9.786129,3.9699068,10.897631
3901548168477,-8.69379,-3.5986075,10.46884
3901550688581,4.178912,1.584609,7.593068
3901553208685,2.4972863,0.9761575,12.571471
3901555728789,-7.7517686,-3.215331,7.663735
3901558248841,10.007112,4.051353,10.303552
3901560768945,-7.4828763,-3.0716023,11.105438
3901563289049,2.025976,0.73660964,7.1870346
3901565809102,4.659206,1.804993,12.528952
3901568329206,-8.905191,-3.66089,8.087734
3901570849310,9.632818,3.9411612,9.775948
3901573369362,-5.7581315,-2.329004,11.543811
3901575889466,-0.280271,-0.11138975,7.116368
3901578409570,6.5815773,2.605083,12.185201
3901580929622,-9.606468,-3.9579294,8.729124
3901583449727,8.811169,3.5626755,9.073474
3901585969831,-3.7495227,-1.5337051,12.006139
3901588489883,-2.5050716,-1.0594004,6.9420967
3901591009987,8.1715765,3.2326982,11.850432
3901593530091,-9.750795,-4.039376,9.341767
3901596050143,7.5038366,3.0266871,8.3895645
3901598570247,-1.6109593,-0.63360405,12.34989
