Time (s),x,y,z
1854059328987,-0.0030626326,-0.0620516,-0.05233107
1854061849144,-0.022237375,-0.0055926335,-0.102398455
1854064369300,-0.00519316,0.050866332,0.009454214
1854066889404,0.022503693,-0.052464228,0.05419528
1854069409560,-0.024367902,0.024234746,-0.08535424
1854071929717,0.0139815835,0.01358211,0.07017423
1854074449873,-0.001997369,-0.047137912,-0.023568956
1854076969977,-0.016911058,0.057257913,-0.028895274
1854079490133,0.026764747,-0.041811593,0.07230476
1854082010290,-0.020106848,0.0050600017,-0.08428898
1854084530446,0.008655266,0.0284958,0.05419528
1854087050602,0.0075900024,-0.05566002,-0.0011984215
1854089570706,-0.022237375,0.054062124,-0.05233107
1854092090862,0.026764747,-0.02902843,0.08189213
1854094611019,-0.016911058,-0.006657897,-0.07683213
1854097131175,1.3315794E-4,0.03808317,0.035020538
1854099651279,0.01291632,-0.053529494,0.020106848
1854102171435,-0.025433166,0.04340949,-0.06724476
1854104691592,0.026764747,-0.017310532,0.08615319
1854107211748,-0.0062584234,-0.018375795,-0.06191844
1854109731852,-0.00519316,0.04980107,0.016911058
1854112252008,0.017177375,-0.053529494,0.040346857
1854114772165,-0.025433166,0.039148435,-0.07789739
1854117292321,0.022503693,-2.6631588E-4,0.08189213
1854119812477,-0.0041278964,-0.03435475,-0.048070017
1854122332581,-0.009454214,0.054062124,-0.0075900024
1854124852737,0.023568956,-0.04926844,0.058456335
1854127372894,-0.022237375,0.026365273,-0.081093185
1854129893050,0.015046847,0.01038632,0.073370025
1854132413154,0.0011984215,-0.041811593,-0.029960537
1854134933310,-0.014780532,0.05832318,-0.02463422
1854137453467,0.025699483,-0.04394212,0.06804371
1854139973623,-0.022237375,0.01358211,-0.0864195
1854142493727,0.009720529,0.02530001,0.060586862
1854145013883,0.006524739,-0.048203174,-0.009720529
1854147534040,-0.019041585,0.05299686,-0.044874225
1854150054196,0.028895274,-0.038615804,0.07869634
1854152574352,-0.015845794,7.9894764E-4,-0.081093185
1854155094456,0.004394212,0.033822116,0.04460791
1854157614612,0.0139815835,-0.054594755,0.009454214
1854160134769,-0.023302639,0.050866332,-0.058722652
1854162654925,0.022503693,-0.019441059,0.082957394
1854165175029,-0.014780532,-0.011984214,-0.071505815
1854167695185,-0.001997369,0.04447475,0.027563693
1854170215342,0.017177375,-0.052464228,0.027563693
1854172735498,-0.023302639,0.042344224,-0.07044055
1854175255654,0.020373166,-0.011984214,0.082957394
1854177775758,-0.010519478,-0.02902843,-0.059787914
1854180295915,-0.007323687,0.04447475,0.010519478
1854182816071,0.020373166,-0.056725282,0.04460791
1854185336227,-0.024367902,0.029561063,-0.07789739
1854187856331,0.020373166,0.0029294747,0.07656582
1854190376487,-9.321056E-4,-0.03542001,-0.044874225
1854192896644,-0.011584741,0.05832318,-0.008655266
1854195416800,0.020373166,-0.051398966,0.0595216
