Time (s),x,y,z
3734285470729,7.090018,2.688326,8.829135
3734287990729,-1.3911742,-1.2204963,11.974399
3734290510781,-4.778381,-0.71744585,7.381667
3734293030781,9.314818,2.5254333,11.106636
3734295550781,-9.039937,-3.2039526,10.078377
3734298070833,4.976008,2.3146312,7.980537
3734300590833,1.9487218,-0.29105064,12.303777
3734303110833,-7.709249,-1.9487218,7.6978703
3734305630885,10.46345,3.3878055,10.531122
3734308150885,-8.016469,-3.1895797,10.705993
3734310670885,2.2038403,1.5289142,7.617622
3734313190937,5.0430813,0.767152,12.10615
3734315710937,-9.678931,-2.8542128,8.353034
3734318230937,10.290377,3.6417263,9.757982
3734320750989,-5.5515213,-2.6338286,11.323427
3734323270989,-1.006101,0.49406746,7.5421643
3734325790989,6.715724,1.5145413,11.818692
3734328311041,-8.8914175,-3.0171053,8.6357
3734330831041,7.892503,3.2632406,9.790919
3734333351041,-2.692518,-1.8481117,11.078489
3734335871093,-3.2069468,-0.29105064,7.749373
3734338391093,7.993712,2.2667215,11.639031
3734340911093,-8.886626,-3.3428903,8.965677
3734343431145,6.22525,2.9662013,9.28188
3734345951145,-0.2856608,-1.0911405,11.464761
3734348471145,-5.28742,-1.143841,7.6601415
3734350991197,8.974062,2.9470375,11.389303
3734353511197,-8.160796,-3.3189356,9.3998575
3734356031197,4.250777,2.3146312,8.791407
3734358551250,1.9972303,-0.21918629,11.709698
3734361071250,-6.925927,-2.0014224,7.749373
3734363591250,9.190253,3.3734326,11.101846
3734366111302,-6.9403,-3.1225064,9.88075
3734368631302,2.1217952,1.5816147,8.296141
3734371151302,4.0633307,0.6234233,11.789947
3734373671354,-8.016469,-2.6721563,7.919452
3734376191354,8.868062,3.450088,10.588016
3734378711354,-5.403002,-2.6721563,10.38979
3734381231406,-0.006587566,0.74798816,8.041621
3734383751406,5.821612,1.4330951,11.870195
3734386271406,-8.612344,-3.0985515,8.197328
3734388791458,8.103904,3.3925965,10.120897
3734391311458,-3.6489127,-2.0589137,10.814388
3734393831458,-2.0966425,-0.037129916,7.8014746
3734396351510,7.1864357,2.10862,11.898342
3734398871510,-8.794999,-3.3237264,8.5746155
3734401391510,6.9846168,3.1195118,9.62144
3734403911562,-1.6642587,-1.4121346,11.271325
3734406431562,-3.9902685,-0.77493733,7.735599
3734408951562,8.214695,2.669162,11.582738
3734411471614,-8.459034,-3.3907998,9.032152
3734413991614,5.466482,2.669162,9.1357565
3734416511614,0.4162144,-0.6312086,11.545009
3734419031666,-5.6623125,-1.5079538,7.6834974
3734421551666,8.800988,3.0668113,11.323427
3734424071666,-7.6565485,-3.2326982,9.559756
3734426591718,3.7171838,2.0655015,8.702175
3734429111718,2.424823,0.039525397,11.738443
3734431631718,-6.983419,-2.2265973,7.8014746
3734434151770,8.950107,3.3303142,10.927574
3734436671770,-6.517498,-2.9787776,10.031665
3734439191770,1.7612756,1.322903,8.267994
3734441711822,4.3034773,0.8342254,11.804319
3734444231510,-7.9877234,-2.7152748,7.9901185
3734446751041,8.589587,3.3925965,10.498185
3734449270572,-5.076019,-2.5284276,10.48441
3734451790104,-0.25152525,0.5563499,7.99491
3734454309635,5.9371934,1.5816147,11.818692
3734456829166,-8.550062,-3.04106,8.282367
3734459348697,7.87813,3.2967772,10.026875
3734461868229,-3.3560655,-1.9103942,10.90362
3734464387760,-2.3032527,-0.17127672,7.782311
3734466907291,7.277464,2.1804843,11.799528
3734469426875,-8.665644,-3.2997718,8.715949
3734471946406,6.710933,2.9614103,9.62144
3734474465937,-1.424112,-1.2971517,11.280908
3734476985468,-4.1872964,-0.8995022,7.6834974
3734479505000,8.276978,2.7218626,11.587528
3734482024531,-8.348243,-3.376427,9.098027
3734484544062,5.255081,2.5302243,9.045926
3734487063593,0.65157014,-0.51622564,11.554591
3734489583125,-5.835386,-1.6085639,7.6224127
3734492102656,8.824943,3.100348,11.266535
3734494622187,-7.584085,-3.2183254,9.602276
3734497141718,3.4722462,1.9888461,8.645282
3734499661250,2.641015,0.23116368,11.776173
3734502180781,-7.1037917,-2.2505522,7.8344126
3734504700312,8.915971,3.3590598,10.880263
3734507219843,-6.416888,-2.921286,10.059813
3734509739375,1.5259198,1.2606206,8.258412
3734512258906,4.5005054,0.91088074,11.912715
3734514778437,-8.040423,-2.835049,7.9757457
3734517297968,8.565633,3.3830147,10.422728
3734519817500,-4.878991,-2.38949,10.502975
3734522337083,-0.52580756,0.46532172,7.919452
3734524856614,6.1102667,1.7349254,11.874986
3734527376145,-8.602762,-3.1129243,8.3434515
3734529895677,7.767938,3.2440767,9.956207
3734532415208,-3.0674102,-1.8624846,10.979077
3734534934739,-2.5098627,-0.30063257,7.754164
3734537454270,7.4122095,2.3002582,11.780964
3734539973802,-8.660852,-3.3333085,8.711158
3734542493333,6.5713964,2.9805741,9.480106
3734545012864,-1.1552196,-1.1821686,11.356365
3734547532395,-4.427443,-0.99532133,7.6834974
