Time (s),x,y,z
483839188470564,-0.018242639,-0.16098794,0.10586056
483839190990252,-0.002263685,-0.06831002,0.07283739
483839193509991,0.014780532,0.11704583,-0.066712126
483839196029679,-0.014114741,-0.0661795,0.013182636
483839198549418,0.003994738,-0.0139815835,0.03874896
483839201069106,0.0018642112,0.08828372,-0.065646864
483839203588845,-0.009853687,-0.11624688,0.069641605
483839206108533,0.014647374,0.09361003,-0.035819486
483839208628273,-0.006657897,-0.02783001,-0.011318425
483839211147960,-2.6631588E-4,-0.053396333,0.052597385
483839213667700,0.009321056,0.10852372,-0.07203845
483839216187387,-0.014114741,-0.11518162,0.06005423
483839218707127,0.01038632,0.06910897,-0.015579479
483839221226814,-0.0034621065,0.0041278964,-0.030493168
483839223746554,-0.0034621065,-0.08002792,0.06325002
483839226266241,0.01038632,0.115980566,-0.06990792
483839228785981,-0.015180005,-0.10559425,0.046205804
483839231305668,0.009321056,0.036085803,-6.657897E-4
483839233825408,-0.0013315794,0.036085803,-0.044341594
483839236345095,-0.008788424,-0.10133319,0.07070687
483839238864835,0.01358211,0.12024162,-0.0645816
483839241384523,-0.010918951,-0.08428898,0.027031062
483839243904262,0.009321056,0.011584741,0.015313163
483839246423950,-2.6631588E-4,0.06591318,-0.056059495
483839248943689,-0.011984214,-0.11518162,0.07177213
483839251463377,0.015712637,0.11065425,-0.05179844
483839253983116,-0.0077231606,-0.059787914,0.0142479
483839256502804,0.0061252653,-0.018242639,0.03342264
483839259022543,0.0029294747,0.08934898,-0.065646864
483839261542231,-0.013049478,-0.12050793,0.067511074
483839264061970,0.01358211,0.10106688,-0.042211067
483839266581658,-0.006657897,-0.032091063,-0.0027963168
483839269101398,0.0018642112,-0.04700475,0.045140542
483839271621085,0.0050600017,0.105327934,-0.07203845
483839274140825,-0.011984214,-0.114116356,0.06218476
483839276660512,0.015712637,0.08082687,-0.027297378
483839279180252,-0.006657897,-0.0054594753,-0.01877527
483839281699939,-0.00452737,-0.069375284,0.057923704
483839284219679,0.008255793,0.1181111,-0.067777395
483839286739366,-0.016245268,-0.1098553,0.052597385
483839289259106,0.011451583,0.05632581,-0.010253161
483839291778793,-0.0034621065,0.02649843,-0.034754224
483839294298533,-0.0077231606,-0.08855003,0.06431528
483839296818220,0.012516847,0.11917636,-0.065646864
483839299337960,-0.011984214,-0.09494161,0.040879488
483839301857648,0.008255793,0.02969422,0.0035952644
483839304377387,7.9894764E-4,0.04673844,-0.047537386
483839306897075,-0.0077231606,-0.10559425,0.07070687
483839309416814,0.014647374,0.115980566,-0.059255283
483839311936502,-0.009853687,-0.07683213,0.027031062
483839314456241,0.003994738,0.0062584234,0.020639481
483839316975929,0.003994738,0.073370025,-0.057124756
483839319495668,-0.008788424,-0.114116356,0.07070687
483839322015356,0.012516847,0.11171951,-0.05179844
483839324535095,-0.006657897,-0.05233107,0.007856319
483839327054783,0.0050600017,-0.026764747,0.034487907
483839329574523,0.007190529,0.09041424,-0.066712126
483839332094210,-0.013049478,-0.11624688,0.06431528
483839334613950,0.015712637,0.094675295,-0.03901528
483839337133637,-0.008788424,-0.028895274,-0.0070573706
483839339653377,-2.6631588E-4,-0.050200544,0.04833633
483839342173064,0.008255793,0.106393196,-0.066712126
483839344692804,-0.014114741,-0.113051094,0.058988966
483839347212491,0.014647374,0.073370025,-0.024101587
483839349732231,-0.0055926335,0.001997369,-0.02197106
483839352251918,-0.008788424,-0.07470161,0.055793177
483839354771658,0.009321056,0.115980566,-0.06990792
483839357291345,-0.014114741,-0.104528986,0.050466858
483839359811085,0.01038632,0.048868965,-0.008122634
483839362330773,-0.0013315794,0.028628957,-0.035819486
483839364850512,-0.006657897,-0.090680555,0.06431528
483839367370200,0.01358211,0.12130688,-0.065646864
483839369889939,-0.009853687,-0.09174582,0.036618434
483839372409627,0.009321056,0.023302639,0.007856319
483839374929366,-0.0013315794,0.05313002,-0.049667913
483839377449054,-0.0077231606,-0.10665951,0.069641605
483839379968793,0.012516847,0.1181111,-0.06032055
483839382488481,-0.009853687,-0.07044055,0.023835272
483839385008220,0.0061252653,-0.0011984215,0.023835272
483839387527908,0.0029294747,0.075500555,-0.06138581
483839390047648,-0.0077231606,-0.11624688,0.067511074
483839392567335,0.012516847,0.105327934,-0.047537386
483839395087075,-0.010918951,-0.04913528,0.0057257917
483839397606762,0.0029294747,-0.02783001,0.03555317
483839400126502,0.0050600017,0.094675295,-0.065646864
483839402646189,-0.015180005,-0.11944267,0.06538055
483839405165929,0.014647374,0.09041424,-0.034754224
483839407685616,-0.0077231606,-0.020373166,-0.010253161
483839410205356,-0.0034621065,-0.0544616,0.049401596
483839412725043,0.0061252653,0.106393196,-0.067777395
483839415244783,-0.014114741,-0.114116356,0.05685844
483839417764470,0.011451583,0.073370025,-0.023036323
483839420284210,-0.0055926335,0.0062584234,-0.024101587
483839422803898,-0.0034621065,-0.07576687,0.058988966
483839425323637,0.009321056,0.11917636,-0.067777395
483839427843325,-0.013049478,-0.10346372,0.04833633
483839430363064,0.014647374,0.04673844,-0.005992107
483839432882752,-0.0013315794,0.033955276,-0.037950013
483839435402491,-0.006657897,-0.09494161,0.06644581
483839437922179,0.01038632,0.11917636,-0.0645816
483839440441918,-0.009853687,-0.08855003,0.03342264
483839442961606,0.007190529,0.019041585,0.008921582
483839445481293,-2.6631588E-4,0.05419528,-0.049667913
483839448001033,-0.008788424,-0.111985825,0.068576336
483839450520720,0.011451583,0.11278477,-0.056059495
483839453040460,-0.011984214,-0.06831002,0.021704745
483839455560148,0.0050600017,-0.009720529,0.027031062
483839458079887,0.0050600017,0.08615319,-0.06032055
483839460599575,-0.009853687,-0.11624688,0.06538055
483839463119314,0.012516847,0.104262665,-0.047537386
483839465639002,-0.010918951,-0.041678436,0.004660528
483839468158741,0.003994738,-0.033156328,0.039814223
483839470678429,0.0061252653,0.09787109,-0.065646864
483839473198168,-0.011984214,-0.11731215,0.06538055
483839475717856,0.01358211,0.085087925,-0.032623697
483839478237595,-0.00452737,-0.017177375,-0.010253161
483839480757283,-0.002396843,-0.057657387,0.05366265
483839483277023,0.01038632,0.11278477,-0.067777395
483839485796710,-0.015180005,-0.111985825,0.057923704
483839488316450,0.009321056,0.063782655,-0.01877527
483839490836137,-0.0055926335,0.009454214,-0.028362641
483839493355877,-0.0055926335,-0.08215845,0.06005423
483839495875564,0.01038632,0.115980566,-0.06884266
483839498395304,-0.015180005,-0.10559425,0.044075277
