Time (s),x,y,z
483634818145058,0.4874799,-1.0031066,8.07396
483634820664642,4.3603697,1.6025752,10.205338
483634823184225,-6.9654527,-1.966089,10.954523
483634825703808,6.315679,0.8557847,7.781712
483634828223392,-2.429614,0.15630497,11.742037
483634830742975,-2.1601229,-1.4774114,8.814163
483634833262558,5.888685,1.616948,9.521428
483634835782194,-6.724707,-1.5444847,11.180896
483634838301777,4.730471,0.2658981,7.819441
483634840821360,-0.32458735,0.6779204,11.392896
483634843340944,-4.0771046,-1.7504959,9.304638
483634845860527,6.7965717,1.6073661,9.063892
483634848380110,-6.292323,-1.1899539,11.520455
483634850899694,3.0967548,-0.2563162,7.9134636
483634853419277,1.6840215,1.0372422,10.94554
483634855938860,-5.566493,-1.8654789,9.865778
483634858458444,7.1427183,1.4636374,8.6207285
483634860978027,-5.273646,-0.7970955,11.614478
483634863497610,1.3378748,-0.6581577,8.196729
483634866017194,3.4524834,1.3390725,10.55388
483634868536777,-6.546843,-1.8654789,10.247258
483634871056360,6.858854,1.2192986,8.323689
483634873575944,-3.9477487,-0.33776248,11.633641
483634876095527,-0.4635251,-1.0270615,8.427294
483634878615110,4.965827,1.5211289,10.110716
483634881134694,-7.0031815,-1.8750608,10.72815
483634883654277,6.1479955,0.836022,8.11169
483634886173860,-2.35236,0.0886327,11.482726
483634888693444,-2.1792867,-1.415129,8.762062
483634891213027,6.090504,1.7031852,9.625032
483634893732610,-6.974436,-1.635513,11.016207
483634896252194,5.0424824,0.42879066,8.07396
483634898771777,-0.6605532,0.49586406,11.421641
483634901291360,-3.7698843,-1.6786315,9.1818695
483634903810944,6.8253174,1.6983943,9.275892
483634906330579,-6.624097,-1.410338,11.313247
483634908850162,3.6543026,-0.0071864356,7.993712
483634911369746,1.0546094,0.8024853,11.091664
483634913889329,-5.1005726,-1.9181794,9.539993
483634916408912,7.2002096,1.6025752,8.804582
483634918928496,-5.797657,-1.0893439,11.553393
483634921448079,2.1451511,-0.4713104,8.0595875
483634923967662,2.6979077,1.1618071,10.76588
