ID,Item,Weight (g),Intensity
0,Apple,146,0.07285287477461262
1,Apple,192,0.07754591160609406
2,Apple,135,0.0687343525154391
3,Apple,72,0.05353236676651378
4,Apple,116,0.07813928031075948
5,Apple,184,0.08713362156944457
6,Apple,104,0.06715447959036928
7,Apple,188,0.07546663365743203
8,Apple,108,0.07145878187576611
9,Apple,147,0.07226317735199878
10,Apple,146,0.06626548185149005
11,Apple,140,0.07360291259553081
12,Apple,98,0.05782858828064068
13,Apple,123,0.06250402270638525
14,Apple,133,0.058451240318435904
15,Apple,125,0.060431839847909244
16,Apple,122,0.06279905219466327
17,Apple,124,0.07557781621583891
18,Apple,76,0.05563250532937623
19,Apple,73,0.053870282614296064
20,Apple,155,0.08716916516555762
21,Apple,147,0.05865355730431272
22,Apple,147,0.07090115564400287
23,Apple,153,0.06420239549273822
24,Onion,91,0.04532696084213983
25,Onion,100,0.06179754946970603
26,Onion,102,0.06204671832596431
27,Onion,108,0.06612669930881854
28,Onion,105,0.060052744196658014
29,Onion,109,0.07412089948728515
30,Onion,236,0.10406139114935832
31,Onion,286,0.09437907414342192
32,Onion,152,0.08063259305817644
33,Onion,121,0.06615383083847408
34,Onion,191,0.09093448568974816
35,Onion,222,0.08408392406425191
36,Onion,77,0.06224538917843228
37,Onion,275,0.10126231205581498
38,Onion,73,0.06305605636223087
39,Onion,186,0.08619825665183575
40,Pepper,213,0.09916181845502406
41,Pepper,216,0.08543587013838316
42,Pepper,220,0.08755239013370428
43,Pepper,166,0.08820902387203633
44,Pepper,115,0.07181873103240835
45,Pepper,196,0.09285978156964206
46,Tableware,105,0.0840908920418493
47,Tableware,145,0.07512511062597138
48,Tableware,130,0.08514838388249767
49,Tableware,284,0.10427183590385225
50,Tableware,379,0.12203836625787011
51,Tableware,298,0.11250797533349546
52,Kiwi,85,0.07899405039632407
53,Kiwi,82,0.0830237828322871
54,Kiwi,90,0.07366908905074221
55,Kiwi,94,0.09031767869470977
56,Kiwi,90,0.08746838388479053
57,Kiwi,90,0.08752656115824965
58,Kiwi,81,0.07851106491144252
59,Kiwi,87,0.07681134727052619
60,Pear,200,0.1203032702147071
61,Pear,184,0.118858774333597
62,Pear,126,0.10825619437743031
63,Pear,169,0.1243741524579244
64,Pear,220,0.13879223313986833
65,Pear,130,0.10032351269340639
66,Pear,146,0.09204080222931817
67,Pear,122,0.07926186615468248
68,Pear,128,0.09596991840537299
69,Pear,137,0.08792625036481824
70,Pear,160,0.08806340228119633
71,Pear,153,0.11392513308912126
