Time (s),x,y,z
267252824746834,0.0057257917,0.0013315794,-0.050200544
267252827229594,0.0142479,0.021571586,-0.09494161
267252829712407,-0.011318425,-0.019973692,-0.008655266
267252832195167,0.0035952644,-0.003994738,0.07976161
267252834677927,0.0035952644,0.024767376,-0.08428898
267252837160740,-0.008122634,-0.03169159,0.024367902
267252839643500,0.0025300009,0.009853687,0.048868965
267252842126261,-0.0027963168,0.018375795,-0.08855003
267252844609073,-0.0049268436,-0.03169159,0.06804371
267252847091834,0.009986846,0.020506322,-0.0011984215
267252849574646,-0.0070573706,-0.0029294747,-0.069375284
267252852057407,-6.657897E-4,-0.021038955,0.08615319
267252854540167,0.004660528,0.027963167,-0.05233107
267252857022980,-0.012383688,-0.018908428,-0.02463422
267252859505740,0.0025300009,-0.003994738,0.082957394
267252861988500,0.0035952644,0.023702113,-0.0864195
267252864471313,-0.0070573706,-0.027430536,0.027563693
267252866954073,0.006791055,0.014114741,0.04673844
267252869436834,-0.0017310532,0.016245268,-0.092811085
267252871919646,-6.657897E-4,-0.030626327,0.07230476
267252874402407,0.008921582,0.020506322,-0.006524739
267252876885219,-0.0070573706,-0.0018642112,-0.06511423
267252879367980,3.9947382E-4,-0.017843165,0.0914795
267252881850740,0.007856319,0.026897904,-0.05552686
267252884333552,-0.008122634,-0.018908428,-0.019307902
267252886816313,0.0057257917,-0.0018642112,0.07869634
267252889299073,0.0025300009,0.023702113,-0.08428898
267252891781886,-0.0049268436,-0.03169159,0.036085803
267252894264646,0.008921582,0.015180005,0.04141212
267252896747407,-0.0027963168,0.014114741,-0.08855003
267252899230219,-0.0049268436,-0.029561063,0.074435286
267252901712980,0.011052109,0.020506322,-0.010785793
267252904195792,-0.005992107,-0.0061252653,-0.059787914
267252906678552,0.0025300009,-0.016777901,0.08934898
267252909161313,0.0057257917,0.02263685,-0.059787914
267252911644125,-0.0070573706,-0.022104219,-0.009720529
267252914126886,0.0025300009,0.0034621065,0.074435286
267252916609646,0.004660528,0.021571586,-0.083223715
267252919092459,-0.0049268436,-0.030626327,0.03928159
267252921575219,0.006791055,0.017310532,0.03182475
267252924057980,-0.0038615803,0.011984214,-0.083223715
267252926540792,-6.657897E-4,-0.02530001,0.07656582
267252929023552,0.007856319,0.021571586,-0.016112112
267252931506365,-0.0070573706,-0.008255793,-0.05233107
267252933989125,0.0035952644,-0.01038632,0.082957394
267252936471886,0.0057257917,0.026897904,-0.06085318
267252938954542,-0.010253161,-0.0284958,-0.004394212
267252941437146,0.0025300009,0.006657897,0.06697845
267252943919750,0.0025300009,0.021571586,-0.083223715
267252946402355,-0.0049268436,-0.030626327,0.040346857
267252948884959,0.007856319,0.016245268,0.022237375
267252951367563,-0.0038615803,0.006657897,-0.07576687
267252953850167,3.9947382E-4,-0.021038955,0.074435286
267252956332771,0.008921582,0.02583264,-0.025699483
267252958815375,-0.008122634,-0.014647374,-0.04061317
267252961297980,0.0025300009,-0.008255793,0.07869634
267252963780584,0.0057257917,0.02902843,-0.06298371
267252966263136,-0.0070573706,-0.024234746,0.007323687
267252968745740,0.006791055,0.0055926335,0.05419528
267252971228344,-0.0017310532,0.017310532,-0.07576687
267252973710948,-0.005992107,-0.029561063,0.049934227
267252976193552,0.007856319,0.018375795,0.0062584234
267252978676157,-0.0038615803,-0.0029294747,-0.06298371
267252981158761,-6.657897E-4,-0.019973692,0.075500555
267252983641365,0.006791055,0.02583264,-0.037417382
267252986123969,-0.0070573706,-0.019973692,-0.02783001
267252988606573,0.0025300009,-0.0029294747,0.06910897
267252991089177,0.0025300009,0.023702113,-0.06724476
267252993571782,-0.005992107,-0.026365273,0.021172112
267252996054334,0.006791055,0.010918951,0.03928159
267252998536938,-0.0027963168,0.008788424,-0.07257108
267253001019542,-6.657897E-4,-0.024234746,0.06271739
267253003502146,0.009986846,0.024767376,-0.006524739
267253005984750,-0.0070573706,-0.0061252653,-0.050200544
267253008467355,-0.0017310532,-0.01358211,0.074435286
267253010949959,0.006791055,0.026897904,-0.051265806
267253013432563,-0.0049268436,-0.019973692,-0.008655266
267253015915167,0.0057257917,0.0055926335,0.061652128
267253018397771,0.0014647373,0.019441059,-0.071505815
267253020880375,-0.008122634,-0.0284958,0.036085803
267253023362980,0.008921582,0.017310532,0.022237375
267253025845584,-0.0038615803,0.0055926335,-0.06724476
267253028328136,-0.0017310532,-0.021038955,0.06910897
267253030810740,0.006791055,0.021571586,-0.023568956
267253033293344,-0.005992107,-0.014647374,-0.035286855
267253035775948,0.0025300009,-0.008255793,0.074435286
267253038258552,0.0035952644,0.023702113,-0.06191844
267253040741157,-0.005992107,-0.027430536,0.009454214
267253043223761,0.006791055,0.010918951,0.052064754
