Time (s),x,y,z
260569313016541,-5.6072164,-1.7157615,9.721451
260569315499354,8.951304,2.2984617,10.522738
260569317982166,-6.090504,-1.2570274,8.75787
260569320464926,-1.1977392,-0.6216267,10.189168
260569322947739,7.654153,2.1936595,10.231688
260569325430551,-8.963282,-2.2511508,8.71535
260569327913364,3.7615001,0.6833103,10.651495
260569330396176,3.8381555,1.5337051,9.750196
260569332878989,-9.068683,-2.5236366,9.082457
260569335361801,7.849983,1.8157728,10.622749
260569337844614,-1.2749934,0.109593146,9.259124
260569340327426,-6.2821426,-1.8882359,9.745405
260569342810187,9.372909,2.4182355,10.617959
260569345292999,-6.0473857,-1.2330726,8.75787
260569347775812,-1.4947786,-0.63599956,10.107721
260569350258624,7.769136,2.2080324,10.212523
260569352741437,-8.9243555,-2.1894674,8.743497
260569355224249,3.6998167,0.64977354,10.632332
260569357707062,3.7477262,1.5001684,9.66875
260569360189874,-8.829135,-2.3852978,9.072875
260569362672687,7.7020626,1.7253435,10.622749
260569365155447,-1.3893776,0.0808474,9.172886
260569367638260,-5.9371934,-1.8019987,9.745405
260569370121072,8.980649,2.3032527,10.551484
260569372603885,-5.9611483,-1.2666093,8.815361
260569375086697,-1.1019201,-0.5353895,10.160422
260569377569510,7.257102,2.1601229,10.222106
260569380052322,-8.541677,-2.112812,8.777034
260569382535135,3.8675,0.6976831,10.617959
260569385017947,3.1494553,1.3714114,9.659767
260569387500708,-8.167983,-2.3086424,9.206423
260569389983520,7.443351,1.6534791,10.551484
260569392466333,-1.805592,-0.062282443,9.168096
260569394949145,-4.989183,-1.5774226,9.816671
260569397431958,8.218887,2.1840775,10.561066
260569399914770,-6.033013,-1.3241007,8.824943
260569402397583,-0.22577386,-0.40663248,10.289179
260569404880395,6.170154,1.9163828,10.136467
260569407363208,-8.024853,-2.0553205,8.886626
260569409845968,4.350788,0.84560394,10.603586
260569412328781,1.952315,1.0222704,9.47831
260569414811593,-7.0624695,-2.0744843,9.368716
260569417294406,7.300221,1.7349254,10.603586
260569419777218,-2.7871392,-0.28685856,8.939327
260569422260031,-3.5291388,-1.2049257,9.917281
260569424742843,7.324176,2.021185,10.384399
260569427225656,-6.4114985,-1.4768125,8.762661
260569429708468,1.1767788,-0.023954786,10.441891
260569432191229,4.6286635,1.6247333,9.917281
260569434674041,-7.5361757,-2.007411,9.068084
260569437156854,5.250889,1.1899539,10.594004
260569439639666,0.19044055,0.52520865,9.368716
260569442122479,-5.7455554,-1.7253435,9.57353
260569444605291,7.266684,1.8636823,10.522738
260569447088104,-4.1513643,-0.70307297,8.863271
260569449570916,-1.690609,-0.7503837,10.160422
