Time (s),x,y,z
440633029911112,7.1283455,2.0223827,10.075383
440633032394810,-8.157803,-2.030767,8.744695
440633034878508,3.2315006,0.45454204,10.709586
440633037362206,4.0789013,1.5870045,9.726841
440633039845852,-8.803983,-2.393682,9.0501175
440633042329550,7.286447,1.5301119,10.614366
440633044813248,-0.83302766,0.30662125,9.3076315
440633047296894,-6.5342665,-1.9589026,9.669948
440633049780591,9.269304,2.3134334,10.504173
440633052264289,-5.6293745,-1.0558071,8.778231
440633054747987,-1.8756597,-0.8024853,10.218513
440633057231633,8.05839,2.1942585,10.241869
440633059715331,-8.846502,-2.1786878,8.744695
440633062199029,3.4141557,0.48807874,10.733541
440633064682675,4.074709,1.5678407,9.760377
440633067166373,-9.014186,-2.4703372,9.145338
440633069650071,7.7984805,1.6301231,10.561665
440633072133769,-1.2929596,0.105401054,9.235767
440633074617414,-6.2144704,-1.8636823,9.72744
440633077101112,9.268106,2.3236141,10.523337
440633079584810,-6.138414,-1.2803832,8.783022
440633082068508,-1.2743946,-0.63001084,10.252049
440633084552154,7.620616,2.1750946,10.161021
440633087035852,-8.929745,-2.1834786,8.792604
440633089519550,4.010031,0.63599956,10.743122
440633092003196,3.3830147,1.3815923,9.636412
440633094486894,-8.657858,-2.4272187,9.198039
440633096970591,7.9493957,1.7211514,10.59041
440633099454289,-1.8792529,-0.042519744,9.1357565
440633101937935,-5.49403,-1.7199535,9.9082985
440633104421633,8.925553,2.2709136,10.485608
440633106905331,-6.398922,-1.3851855,8.725531
440633109388977,-0.46771717,-0.47250813,10.280795
440633111872675,6.895385,1.9744732,10.152038
440633114356373,-8.669237,-2.1882696,8.811768
440633116840071,4.4627767,0.80368304,10.662275
440633119323716,2.5188458,1.152824,9.579518
440633121807414,-8.003893,-2.2978628,9.288468
440633124291112,7.8853164,1.7738519,10.567055
440633126774810,-2.4751282,-0.24314107,9.030954
440633129258456,-4.510087,-1.4810046,9.984954
440633131742154,8.286559,2.1565297,10.476027
440633134225852,-6.6121197,-1.5426881,8.716548
440633136709498,0.4635251,-0.25272298,10.380806
440633139193196,5.8683233,1.8073885,9.999327
440633141676894,-8.288356,-2.1643147,8.887824
440633144160591,4.9730134,0.95220274,10.714975
440633146644237,1.3582363,0.808474,9.513044
440633149127935,-6.9576674,-2.044541,9.508253
440633151611633,7.652955,1.8169705,10.504772
440633154095279,-3.4159524,-0.52940077,8.911779
440633156578977,-3.1093311,-1.1222817,10.056818
440633159062675,7.3984356,2.0223827,10.35206
440633161546373,-6.9301195,-1.6624621,8.792604
440633164030019,1.7301344,0.053299397,10.571846
440633166513716,4.4394207,1.5588577,9.880151
440633168997414,-7.7062545,-2.1451511,9.074073
440633171481112,5.72699,1.1863607,10.63353
440633173964758,-0.15690385,0.41681325,9.293858
440633176448456,-5.610211,-1.800801,9.689711
440633178932154,7.469102,1.874462,10.514354
440633181415800,-4.6005163,-0.8593779,8.811768
440633183899498,-1.4169255,-0.7156492,10.228693
440633186383196,6.338436,1.8840439,10.171202
440633188866894,-7.229554,-1.7576823,8.864469
440633191350539,3.192574,0.45514092,10.662275
440633193834237,2.7326422,1.152824,9.684919
440633196317935,-7.0576787,-2.049332,9.207621
440633198801581,6.514504,1.4396826,10.514953
440633201285279,-1.8493094,-0.080248535,9.0698805
440633203768977,-4.151963,-1.3941685,9.880151
440633206252675,7.2846503,1.8888348,10.40536
440633208736321,-5.775499,-1.2606206,8.77883
440633211220019,0.34255344,-0.3000337,10.395778
440633213703716,5.249691,1.6498859,9.966389
440633216187414,-7.451735,-2.0157952,8.941124
440633218671060,4.6460304,0.86177343,10.672456
440633221154758,1.0983269,0.7755362,9.417824
440633223638456,-6.303702,-1.8624846,9.470525
440633226122102,7.1678705,1.6642587,10.553281
440633228605800,-3.4075682,-0.50544596,8.883632
440633231089498,-2.7086873,-0.9929259,10.104728
440633233573196,6.9187407,1.8936257,10.314332
440633236056841,-6.70195,-1.6043718,8.783621
440633238540539,1.9487218,0.10180784,10.567654
440633241024237,4.0070367,1.4684284,9.823258
440633243507935,-7.4732943,-2.053524,9.108209
