Time (s),x,y,z
439662915148594,2.2451622,0.20960437,10.579631
439662917631510,4.56698,1.6528802,9.783134
439662920114479,-8.645881,-2.34697,8.99622
439662922597396,6.582775,1.3660216,10.741924
439662925080313,0.043118615,0.5539544,9.220197
439662927563281,-6.9894075,-2.1463487,9.6639595
439662930046198,8.999813,2.1834786,10.503574
439662932529115,-4.835872,-0.8180559,8.800988
439662935012031,-2.9105065,-1.0378411,10.131078
439662937495000,8.526706,2.3505633,10.302953
439662939977917,-8.39196,-2.003219,8.657858
439662942460833,2.4517722,0.23355916,10.689224
439662944943802,5.0652394,1.7534903,9.81188
439662947426719,-9.320807,-2.4954898,8.915372
439662949909635,7.00917,1.4666318,10.689224
439662952392552,-0.15750271,0.43897143,9.306434
439662954875521,-7.0990005,-2.1798854,9.66875
439662957358438,9.278886,2.260134,10.584422
439662959841354,-5.15507,-0.937231,8.767451
439662962324323,-2.5793316,-0.9803496,10.226897
439662964807240,8.36022,2.3032527,10.28379
439662967290156,-8.548864,-2.0750833,8.6668415
439662969773125,2.8212748,0.31979638,10.708388
439662972256042,4.621477,1.6624621,9.759179
439662974738958,-9.12318,-2.4954898,9.039338
439662977221875,7.230752,1.5384961,10.636523
439662979704844,-0.61563796,0.2958416,9.248942
439662982187760,-6.561815,-2.0607104,9.725643
439662984670677,9.054909,2.2122245,10.565258
439662987153646,-5.498821,-1.0186772,8.771644
439662989636563,-1.9223715,-0.808474,10.231089
439662992119479,7.8200397,2.1882696,10.28379
439662994602396,-8.51952,-2.0559194,8.733914
439662997085365,3.2722237,0.42459857,10.722761
439662999568281,3.904031,1.5241232,9.706479
439663002051198,-8.619531,-2.3858967,9.110603
439663004534167,7.2463226,1.5384961,10.646106
439663007017083,-1.2181008,0.1952315,9.09144
439663009500000,-5.775499,-1.8073885,9.816072
439663011982917,8.6009655,2.135569,10.526931
439663014465885,-5.761126,-1.152824,8.748287
439663016948802,-1.0594004,-0.569525,10.274207
439663019431719,6.9546733,2.025377,10.19336
439663021914688,-8.216492,-2.094247,8.781225
439663024397604,3.7998278,0.6060561,10.71797
439663026880521,2.8236704,1.1893551,9.587304
439663029363490,-7.746978,-2.223004,9.224988
439663031846406,7.304413,1.6432983,10.626942
439663034329323,-2.035558,-0.08204514,9.019575
439663036812240,-4.5490136,-1.5444847,9.9544115
439663039295208,7.9032826,2.025377,10.47423
439663041778125,-6.147397,-1.3342816,8.66205
439663044261042,0.16229367,-0.34973988,10.350264
439663046744010,5.6772842,1.7768462,10.011903
439663049226927,-7.8230343,-2.0702922,8.929146
439663051709844,4.658008,0.8210503,10.741325
439663054192760,1.3881798,0.849796,9.448965
439663056675729,-6.6258936,-1.9840552,9.387281
439663059158646,7.3199835,1.6959988,10.588614
439663061641563,-3.183591,-0.45993188,8.881237
439663064124531,-2.9200883,-1.0857507,10.121495
439663066607448,7.037916,1.9541116,10.278998
439663069090365,-6.6492496,-1.6163491,8.781225
439663071573333,1.7385186,0.037129916,10.588614
439663074056250,4.1274095,1.5187334,9.716061
439663076539167,-7.4343677,-2.0415466,9.077067
439663079022083,5.683273,1.1510274,10.726953
439663081505052,-0.36770597,0.376689,9.229779
439663083987969,-5.317962,-1.7169592,9.716061
439663086470885,7.349927,1.7768462,10.564659
439663088953854,-4.6663923,-0.87075645,8.781225
439663091436771,-1.17618,-0.68450797,10.278998
439663093919688,6.1342216,1.8247558,10.097541
439663096402604,-7.218176,-1.7978066,8.842909
439663098885573,3.362653,0.5150279,10.655687
439663101368490,2.5392072,1.1606094,9.544186
439663103851406,-6.9540744,-2.0463376,9.348954
439663106334375,6.6181083,1.4851967,10.636523
439663108817292,-2.0086088,-0.091627054,9.067485
439663111300208,-4.010031,-1.4109368,9.940039
439663113783177,7.322379,1.9391398,10.393382
439663116266094,-5.867126,-1.281581,8.757271
439663118749010,0.4713104,-0.32099414,10.445484
439663121231927,5.177827,1.6858181,9.992739
439663123714896,-7.5038366,-1.9511173,9.014785
439663126197813,4.742449,0.8833327,10.674851
439663128680729,0.99352473,0.7635588,9.410638
439663131163698,-6.2492046,-1.9032077,9.510649
439663133646615,7.2463226,1.6714451,10.540705
439663136129531,-3.482427,-0.50784147,8.881237
439663138612448,-2.6440094,-0.9713665,10.044841
439663141095417,6.9450912,1.9439309,10.302355
439663143578333,-6.761238,-1.6163491,8.786016
439663146061250,1.9804618,0.037129916,10.588614
439663148544219,3.9675114,1.4660329,9.71127
439663151027135,-7.474492,-2.0038178,9.143541
439663153510052,5.834787,1.2797844,10.679044
439663155992969,-0.5084403,0.32877943,9.191451
439663158475938,-5.2574763,-1.6930045,9.787327
439663160958854,7.49665,1.810383,10.52214
439663163441771,-4.835872,-0.91387504,8.809372
439663165924740,-1.1306659,-0.63180745,10.259235
439663168407656,6.242617,1.8487105,10.168806
439663170890573,-7.325373,-1.8127784,8.838119
439663173373542,3.4464948,0.49586406,10.646106
439663175856458,2.5805292,1.1126997,9.587304
439663178339375,-7.056481,-2.0469365,9.286672
439663180822292,6.688176,1.4851967,10.626942
439663183305260,-1.9816597,-0.09701688,9.014785
439663185788177,-4.0214095,-1.4157279,9.983157
439663188271094,7.3541193,1.8912303,10.387993
439663190754063,-5.90725,-1.2630161,8.714152
439663193236979,0.43118614,-0.2784744,10.4167385
439663195719896,5.214358,1.7289367,9.963993
439663198202813,-7.5445595,-1.9415354,8.971666
439663200685781,4.740652,0.87315196,10.693417
439663203168698,1.0108919,0.7300221,9.420219
439663205651615,-6.2995095,-1.8888348,9.51544
439663208134583,7.26369,1.7097728,10.555078
439663210617500,-3.4363139,-0.47430477,8.8716545
439663213100417,-2.6320322,-1.0480219,10.14006
439663215583385,6.904967,1.9056032,10.249654
439663218066302,-6.8157353,-1.6025752,8.738107
439663220549219,1.9882472,0.09941236,10.535913
439663223032135,3.9848785,1.4660329,9.8017
439663225515104,-7.428379,-2.090055,9.138751
439663227998021,5.8521543,1.1743834,10.640716
439663230480938,-0.5102369,0.3191975,9.162705
439663232963906,-5.2544823,-1.6977954,9.768163
439663235446823,7.451136,1.8816484,10.598196
439663237929740,-4.7562227,-0.95220274,8.762062
439663240412656,-1.0605981,-0.69888085,10.278399
439663242895625,6.197103,1.819366,10.216716
439663245378542,-7.336752,-1.8846427,8.909384
439663247861458,3.4351163,0.47190928,10.698207
439663250344427,2.5206423,1.1408466,9.510649
439663252827344,-6.948684,-2.0517273,9.338773
439663255310260,6.724707,1.4420781,10.683834
439663257793229,-2.0553205,-0.120971665,9.019575
439663260276146,-3.9992514,-1.3684171,9.982558
439663262759063,7.3565145,1.919976,10.354456
439663265241979,-5.9186287,-1.2486432,8.809372
439663267724948,0.46771717,-0.31680202,10.397574
439663270207865,5.1790247,1.6139537,9.949021
439663272690781,-7.51282,-1.984654,8.981248
439663275173750,4.7143016,0.9258525,10.735936
439663277656667,0.99951345,0.8108695,9.405847
439663280139583,-6.2150693,-1.9319534,9.548377
439663282622500,7.2331476,1.6522813,10.535913
439663285105469,-3.5291388,-0.49346858,8.857282
439663287588385,-2.6242468,-1.0432309,10.116106
439663290071302,6.8648424,1.924767,10.196953
439663292554271,-6.793577,-1.6121571,8.804582
439663295037188,2.0247781,0.12755923,10.597597
439663297520104,3.8824718,1.4708239,9.720253
439663300003021,-7.430176,-2.0469365,9.062096
439663302485990,5.8551483,1.2510387,10.698207
439663304968906,-0.53598833,0.33776248,9.210016
439663307451823,-5.198787,-1.6792305,9.815474
439663309934792,7.463712,1.8385298,10.540705
439663312417708,-4.767601,-0.85698247,8.785418
439663314900625,-1.0576038,-0.6371973,10.240072
439663317383594,6.142606,1.814575,10.168806
439663319866510,-7.3193846,-1.8367332,8.828536
439663322349427,3.4716473,0.48149118,10.645507
439663324832344,2.4661453,1.102519,9.543587
439663327315313,-6.9792266,-2.0325634,9.281281
439663329798229,6.7181196,1.4564509,10.592806
439663332281146,-2.048134,-0.08743497,8.9572935
439663334764115,-3.9770932,-1.4259086,9.99214
439663337247031,7.345136,1.919976,10.430512
439663339729948,-5.9204254,-1.2965528,8.771045
439663342212865,0.532994,-0.27368343,10.430512
439663344695833,5.1622562,1.7001909,9.929857
439663347178750,-7.5050344,-2.0038178,8.947711
439663349661667,4.7795787,0.8539881,10.65988
439663352144635,0.93543434,0.69169444,9.357937
439663354627552,-6.2456117,-1.9038066,9.553168
439663357110469,7.240933,1.7475016,10.61197
439663359593438,-3.4878168,-0.5174234,8.871056
439663362076354,-2.5398061,-1.0096942,10.13527
439663364559271,6.863046,1.934349,10.292173
439663367042188,-6.781001,-1.621739,8.737508
439663369525156,2.0613093,0.094022535,10.588016
439663372008073,3.8806753,1.460643,9.801101
439663374490990,-7.417599,-2.0086088,9.057304
439663376973958,5.9108434,1.2073212,10.669461
439663379456875,-0.60485834,0.280271,9.186061
439663381939740,-5.234121,-1.5977842,9.796309
439663384422656,7.4571247,1.919976,10.516749
439663386905573,-4.822697,-0.9288468,8.737508
439663389388490,-0.987536,-0.65157014,10.316129
439663391871406,6.1216455,1.8002021,10.13527
439663394354323,-7.345136,-1.8319422,8.83752
439663396837240,3.5225513,0.55275667,10.716772
439663399320156,2.4451847,1.102519,9.581914
