Time (s),x,y,z
439077946511265,-0.0139815835,-0.006791055,-0.027963167
439077948994181,0.0030626326,-0.019574217,0.08815055
439077951477150,0.0041278964,0.027297378,-0.056725282
439077953960067,-0.0075900024,-0.019574217,-0.020506322
439077956443035,0.00519316,0.0038615803,0.07856318
439077958925952,0.001997369,0.026232114,-0.086552665
439077961408921,-0.0075900024,-0.03235738,0.0284958
439077963891890,0.0041278964,0.017710006,0.047670543
439077966374806,-0.002263685,0.013448952,-0.08761793
439077968857775,-0.004394212,-0.02916159,0.07323687
439077971340692,0.0062584234,0.027297378,-0.0055926335
439077973823660,-0.0075900024,-0.0025300009,-0.066312656
439077976306577,-1.3315794E-4,-0.020639481,0.09347688
439077978789546,0.0062584234,0.02516685,-0.056725282
439077981272515,-0.0054594753,-0.021704745,-0.020506322
439077983755431,9.321056E-4,0.0017310532,0.08495477
439077986238400,-1.3315794E-4,0.027297378,-0.08868319
439077988721317,-0.006524739,-0.03342264,0.029561063
439077991204285,0.00519316,0.013448952,0.04447475
439077993687202,-0.0033289485,0.015579479,-0.08868319
439077996170171,-0.0011984215,-0.02916159,0.07110634
439077998653088,0.0083889505,0.02197106,-0.008788424
439078001136056,-0.006524739,-0.004660528,-0.060986336
439078003619025,-0.0011984215,-0.011052109,0.091346346
439078006101942,0.0062584234,0.026232114,-0.054594755
439078008584910,-0.0075900024,-0.024900535,-0.016245268
439078011067827,0.001997369,0.0027963168,0.07856318
439078013550796,-1.3315794E-4,0.023036323,-0.08122634
439078016033713,-0.006524739,-0.027031062,0.037017908
439078018516681,0.00519316,0.015579479,0.039148435
439078020999598,-0.0033289485,0.010253161,-0.084422134
439078023482567,-1.3315794E-4,-0.025965799,0.07430213
439078025965535,0.0062584234,0.024101587,-0.014114741
439078028448452,-0.008655266,-0.008921582,-0.056725282
439078030931421,-1.3315794E-4,-0.007856319,0.08602003
439078033414338,0.0030626326,0.024234746,-0.05566002
439078035897306,-0.0075900024,-0.02583264,-0.008788424
439078038380223,0.00519316,0.003994738,0.070041075
439078040863192,9.321056E-4,0.022104219,-0.07909582
439078043346108,-0.002263685,-0.02902843,0.03808317
439078045829077,0.007323687,0.017843165,0.0284958
439078048312046,-0.006524739,0.003994738,-0.07696529
439078050794963,-0.002263685,-0.02583264,0.07323687
439078053277931,0.0062584234,0.02530001,-0.021571586
439078055760848,-0.006524739,-0.011984214,-0.045007385
439078058243817,0.0030626326,-0.006657897,0.079628445
439078060726733,0.001997369,0.027430536,-0.059921075
439078063209702,-0.008655266,-0.02902843,7.9894764E-4
439078065692671,0.004261054,0.0061252653,0.05832318
439078068175588,0.002130527,0.018908428,-0.07696529
439078070658556,-0.004261054,-0.027963167,0.04447475
439078073141473,0.0053263176,0.019973692,0.019973692
439078075624442,-0.006391581,-2.6631588E-4,-0.066312656
439078078107358,-0.0053263176,-0.018375795,0.07110634
439078080590327,0.004261054,0.027430536,-0.02902843
439078083073244,-0.0074568447,-0.019441059,-0.031158958
439078085556213,0.0,-0.0013315794,0.072171606
439078088039181,-0.0010652635,0.023169482,-0.064182125
439078090522098,-0.0053263176,-0.030093694,0.015712637
439078093005067,0.004261054,0.012516847,0.045540016
439078095487983,-0.0031957906,0.012516847,-0.0737695
439078097970952,-0.002130527,-0.02583264,0.055127386
439078100453869,0.004261054,0.022104219,0.003994738
439078102936838,-0.006391581,-0.006657897,-0.052464228
439078105419754,0.0010652635,-0.017310532,0.07536739
439078107902723,0.006391581,0.027430536,-0.039681066
439078110385692,-0.0074568447,-0.020506322,-0.009853687
439078112868608,0.002130527,0.0018642112,0.06258423
439078115351577,-0.0010652635,0.017843165,-0.07057371
439078117834494,-0.006391581,-0.030093694,0.029561063
439078120317463,0.004261054,0.017843165,0.0284958
439078122800379,-0.004261054,0.0061252653,-0.06737792
439078125283348,0.0010652635,-0.024767376,0.06258423
439078127766265,0.006391581,0.02530001,-0.018375795
439078130249233,-0.009587372,-0.014114741,-0.04287686
439078132732202,0.002130527,-0.009853687,0.07110634
439078135215119,0.0031957906,0.02530001,-0.05885581
439078137698088,-0.006391581,-0.032224223,-2.6631588E-4
439078140181004,0.004261054,0.0050600017,0.05299686
439078142663973,-0.002130527,0.014647374,-0.07163897
439078145146890,-0.002130527,-0.02902843,0.04340949
439078147629858,0.0053263176,0.018908428,0.01358211
439078150112827,-0.0053263176,-2.6631588E-4,-0.060986336
439078152595744,0.0,-0.021571586,0.07323687
439078155078713,0.006391581,0.02530001,-0.031158958
439078157561629,-0.006391581,-0.017310532,-0.027963167
439078160044598,0.0010652635,-2.6631588E-4,0.070041075
439078162527515,0.002130527,0.02530001,-0.065247394
439078165010483,-0.0053263176,-0.02902843,0.019973692
439078167493400,0.0053263176,0.012516847,0.040213697
439078169976369,-0.004261054,0.012516847,-0.074834764
439078172459338,-0.002130527,-0.02902843,0.05832318
439078174942254,0.008522108,0.016777901,-0.0013315794
439078177425223,-0.0053263176,-0.008788424,-0.05566002
439078179908140,-0.002130527,-0.011984214,0.07536739
439078182391108,0.0053263176,0.02530001,-0.04394212
439078184874025,-0.006391581,-0.02263685,-0.015180005
439078187356994,0.0031957906,0.0018642112,0.061518967
439078189839910,0.002130527,0.021038955,-0.06950845
439078192322879,-0.0053263176,-0.027963167,0.03169159
439078194805848,0.006391581,0.015712637,0.029561063
439078197288765,-0.0031957906,0.0029294747,-0.06844318
439078199771733,-0.0031957906,-0.021571586,0.06578002
439078202254650,0.0031957906,0.026365273,-0.019441059
439078204737619,-0.0074568447,-0.013049478,-0.04074633
439078207220535,0.0,-0.0077231606,0.07536739
439078209703504,0.0031957906,0.027430536,-0.056725282
439078212186421,-0.009587372,-0.024767376,0.0029294747
439078214669390,0.0010652635,0.009321056,0.055127386
439078217152358,0.0,0.016777901,-0.0737695
439078219635275,-0.004261054,-0.027963167,0.04447475
439078222118244,0.0053263176,0.018908428,0.01358211
439078224601160,-0.0053263176,7.9894764E-4,-0.06311686
439078227084129,-0.0010652635,-0.020506322,0.070041075
439078229567046,0.004261054,0.024234746,-0.033289485
439078232050015,-0.010652635,-0.017310532,-0.026897904
439078234532983,0.002130527,-0.002396843,0.070041075
439078237015900,0.0053263176,0.022104219,-0.066312656
439078239498869,-0.006391581,-0.030093694,0.016777901
439078241981785,0.002130527,0.01038632,0.04447475
439078244464754,-0.002130527,0.008255793,-0.0737695
439078246947671,-0.004261054,-0.023702113,0.055127386
439078249430640,0.004261054,0.026365273,-0.002396843
439078251913556,-0.0053263176,-0.0055926335,-0.054594755
439078254396525,0.0010652635,-0.014114741,0.07430213
439078256879494,0.0031957906,0.026365273,-0.045007385
439078259362410,-0.0074568447,-0.019441059,-0.014114741
439078261845379,0.0031957906,0.0029294747,0.06258423
439078264328296,0.002130527,0.022104219,-0.07270423
439078266811265,-0.006391581,-0.030093694,0.03169159
439078269294181,0.0053263176,0.015712637,0.029561063
439078271777150,-0.0031957906,0.0061252653,-0.06844318
439078274260067,-0.0031957906,-0.023702113,0.06471476
439078276743035,0.006391581,0.023169482,-0.015180005
439078279226004,-0.006391581,-0.016245268,-0.041811593
439078281708921,-0.0010652635,-0.0077231606,0.072171606
439078284191890,0.002130527,0.027430536,-0.056725282
439078286674806,-0.006391581,-0.027963167,0.0018642112
439078289157775,0.0010652635,0.007190529,0.054062124
439078291640692,-0.0031957906,0.016777901,-0.074834764
439078294123660,-0.0031957906,-0.02902843,0.04447475
439078296606629,0.004261054,0.023169482,0.018908428
439078299089546,-0.006391581,0.0029294747,-0.05885581
439078301572515,0.0,-0.017310532,0.070041075
439078304055431,0.004261054,0.0284958,-0.032224223
439078306538400,-0.006391581,-0.018375795,-0.031158958
439078309021317,0.0031957906,-0.0034621065,0.06897581
439078311504285,0.0,0.026365273,-0.06311686
439078313987202,-0.010652635,-0.02583264,0.015712637
439078316470171,0.004261054,0.01358211,0.041278962
439078318953140,-0.002130527,0.011451583,-0.0737695
439078321436056,0.0,-0.024767376,0.05619265
439078323919025,0.0053263176,0.024234746,-2.6631588E-4
439078326401942,-0.0074568447,-0.0055926335,-0.053529494
439078328884910,-0.0010652635,-0.015180005,0.07430213
439078331367827,0.006391581,0.026365273,-0.04394212
439078333850796,-0.006391581,-0.020506322,-0.008788424
439078336333713,0.0031957906,0.0029294747,0.061518967
439078338816681,0.0,0.022104219,-0.07163897
439078341299650,-0.0053263176,-0.030093694,0.032756854
439078343782567,0.009587372,0.018908428,0.029561063
439078346265535,-0.002130527,0.011451583,-0.06844318
439078348748452,-0.002130527,-0.02263685,0.0636495
439078351231421,0.009587372,0.023169482,-0.018375795
439078353714338,-0.008522108,-0.015180005,-0.041811593
439078356197306,0.0,-0.006657897,0.072171606
439078358680223,0.004261054,0.024234746,-0.05566002
439078361163192,-0.009587372,-0.031158958,-2.6631588E-4
439078363646160,0.002130527,0.007190529,0.05299686
439078366129077,-0.0010652635,0.016777901,-0.06950845
439078368612046,-0.0053263176,-0.02583264,0.045540016
439078371094963,0.0074568447,0.02530001,0.011451583
439078373577931,-0.0053263176,-2.6631588E-4,-0.060986336
439078376060848,-0.0010652635,-0.016245268,0.07110634
439078378543817,0.004261054,0.029561063,-0.032224223
439078381026838,-0.006391581,-0.017310532,-0.030093694
439078383509910,0.004261054,-0.002396843,0.07110634
439078385992931,-0.0010652635,0.023169482,-0.06311686
439078388476004,-0.008522108,-0.026897904,0.017843165
439078390959077,0.0053263176,0.01358211,0.041278962
439078393442150,-0.002130527,0.01038632,-0.07163897
439078395925223,-0.0031957906,-0.026897904,0.05832318
439078398408244,0.0053263176,0.023169482,-0.0013315794
439078400891317,-0.006391581,-0.0077231606,-0.053529494
439078403374390,-0.0010652635,-0.014114741,0.07536739
439078405857463,0.0031957906,0.026365273,-0.045007385
439078408340483,-0.008522108,-0.024767376,-0.014114741
439078410823556,0.0031957906,0.0029294747,0.06258423
439078413306629,0.002130527,0.022104219,-0.07057371
439078415789702,-0.004261054,-0.026897904,0.032756854
439078418272723,0.0053263176,0.018908428,0.0284958
439078420755796,-0.004261054,0.009321056,-0.06950845
439078423238869,0.002130527,-0.021571586,0.0636495
439078425721942,0.0053263176,0.02530001,-0.019441059
439078428204963,-0.0074568447,-0.010918951,-0.045007385
439078430688035,0.0010652635,-0.0077231606,0.07110634
439078433171108,0.004261054,0.026365273,-0.053529494
439078435654181,-0.009587372,-0.026897904,0.0061252653
439078438137202,0.002130527,0.009321056,0.051931597
439078440620275,-0.0010652635,0.017843165,-0.075900026
439078443103348,-0.004261054,-0.027963167,0.04447475
439078445586421,0.0053263176,0.018908428,0.011451583
439078448069442,-0.004261054,-0.0013315794,-0.06311686
439078450552515,-0.0010652635,-0.016245268,0.072171606
439078453035588,0.008522108,0.02530001,-0.02902843
439078455518660,-0.0053263176,-0.018375795,-0.02902843
439078458001733,0.0031957906,-0.0034621065,0.06897581
439078460484754,0.002130527,0.022104219,-0.06311686
439078462967827,-0.004261054,-0.027963167,0.018908428
439078465450900,0.006391581,0.011451583,0.041278962
439078467933973,-0.0010652635,0.01038632,-0.07270423
439078470416994,-0.0010652635,-0.024767376,0.055127386
439078472900067,0.006391581,0.023169482,-2.6631588E-4
439078475383140,-0.0074568447,-0.006657897,-0.052464228
439078477866213,0.0010652635,-0.010918951,0.07323687
439078480349233,0.006391581,0.02530001,-0.046072647
439078482832306,-0.004261054,-0.023702113,-0.013049478
439078485315379,0.0010652635,-2.6631588E-4,0.0636495
439078487798452,0.0,0.021038955,-0.06844318
439078490281473,-0.0074568447,-0.026897904,0.033822116
439078492764546,0.004261054,0.015712637,0.027430536
439078495247619,-0.002130527,0.0018642112,-0.066312656
439078497730692,-0.004261054,-0.023702113,0.06897581
439078500213713,0.0053263176,0.02530001,-0.019441059
439078502696785,-0.004261054,-0.016245268,-0.04074633
439078505179858,0.002130527,-0.011984214,0.07430213
439078507662931,0.0031957906,0.022104219,-0.05885581
