Time (s),x,y,z
33584637661848,-8.441068,-1.5313096,8.624921
33584640185077,9.732829,1.2636149,10.4898
33584642708306,-2.0798743,-1.4205188,9.259124
33584645231535,-4.401692,-0.5114347,9.174683
33584647754764,11.001235,0.9749598,10.526931
33584650277994,-8.193135,-2.3829024,8.564435
33584652801223,2.4901,0.89770555,10.067597
33584655324452,7.506232,-0.266497,10.109518
33584657847681,-10.39997,-1.8972191,8.522513
33584660370910,9.157914,1.4312984,10.490399
33584662894087,0.14492646,-1.3779991,9.37231
33584665417316,-6.9534755,-0.84380734,9.066886
33584667940546,11.972003,1.2630161,10.635924
33584670463775,-6.87682,-2.3302019,8.54587
33584672987004,0.20241794,0.89770555,9.99214
33584675510233,9.191451,-0.05030505,10.320919
33584678033462,-10.29936,-2.1038291,8.390762
33584680556691,7.5876784,1.5420893,10.513756
33584683079921,2.030767,-1.2576262,9.447767
33584685603150,-7.829622,-1.0025078,8.949508
33584688126379,11.359359,1.3205075,10.602987
33584690649608,-5.4598947,-2.3541565,8.6207285
33584693172837,-0.951005,0.68091476,9.82805
33584695696066,9.316016,0.13294905,10.302355
33584698219244,-9.50466,-2.1523376,8.437474
33584700742473,6.5109105,1.4408803,10.494592
33584703265702,2.5571733,-1.1372534,9.466332
33584705788931,-7.5038366,-0.97376204,8.907587
33584708312160,10.627541,1.2007337,10.616761
33584710835389,-4.832878,-2.205038,8.615937
33584713358619,-0.9893326,0.59467757,9.738818
33584715881848,8.803983,0.14253098,10.259834
33584718405077,-8.877644,-2.1571283,8.4422655
33584720928306,6.3054986,1.373807,10.456862
33584723451535,2.361343,-1.1420444,9.466332
33584725974764,-7.0588765,-0.9444174,8.930943
33584728497994,10.23049,1.1959426,10.598196
33584731021223,-4.856833,-2.1858742,8.677022
33584733544400,-0.76415765,0.58509564,9.827451
33584736067629,8.449451,0.055694874,10.255044
33584738590858,-8.719542,-2.0415466,8.531497
33584741114087,6.348617,1.3594341,10.414942
33584743637316,2.1122131,-1.2139088,9.419022
33584746160546,-6.785792,-0.87255305,9.024366
33584748683775,10.149044,1.152824,10.541304
33584751207004,-5.000561,-2.224202,8.70996
33584753730233,-0.5156267,0.69109553,9.813677
33584756253462,8.320695,-0.025751395,10.179586
33584758776691,-8.714751,-2.0223827,8.550062
33584761299921,6.492346,1.3785979,10.414942
33584763823150,1.8828461,-1.2618183,9.480106
33584766346379,-6.7139273,-0.8533892,8.930943
33584768869556,10.187371,1.1432421,10.6215515
33584771392785,-5.0909905,-2.2337837,8.6536665
33584773916014,-0.39106187,0.69109553,9.8885355
33584776439244,8.224875,-0.0017966089,10.184377
33584778962473,-8.777034,-1.9930382,8.550062
33584781485702,6.573792,1.4025527,10.475428
33584784008931,1.8445184,-1.291163,9.437587
33584786532160,-6.646854,-0.8390164,9.085451
33584789055389,10.220908,1.1288693,10.597597
33584791578619,-5.129318,-2.2721114,8.681813
33584794101848,-0.2760789,0.6863046,9.878954
33584796625077,8.200921,-0.054497138,10.212523
33584799148306,-8.771644,-1.9834563,8.465621
33584801671535,6.6360745,1.4175245,10.485009
33584804194712,1.7582812,-1.3342816,9.41423
33584806717941,-6.6228995,-0.80967176,9.052513
33584809241171,10.1921625,1.1671969,10.546094
33584811764400,-5.172437,-2.2816932,8.639294
33584814287629,-0.19463263,0.75816894,9.878954
33584816810858,8.139237,-0.06887001,10.15623
33584819334087,-8.728525,-1.9547105,8.559644
33584821857316,6.7175207,1.3881798,10.513157
33584824380546,1.6438972,-1.3390725,9.301643
33584826903775,-6.5701985,-0.776135,9.071078
33584829427004,10.14006,1.1384512,10.559868
33584831950233,-5.320358,-2.2289927,8.644084
33584834473462,-0.107796535,0.7970955,9.916682
33584836996691,8.009881,-0.10240671,10.170004
33584839519869,-8.747688,-1.9307557,8.573418
33584842043098,6.803758,1.4414792,10.433507
33584844566327,1.4953774,-1.4013549,9.3669195
33584847089556,-6.416888,-0.780926,9.029158
33584849612785,10.168806,1.157615,10.541304
33584852136014,-5.387431,-2.2433658,8.672231
33584854659244,-0.026350264,0.8354232,9.940039
33584857182473,7.971554,-0.14612418,10.085564
33584859705702,-8.766852,-1.910993,8.488977
33584862228983,6.8612494,1.4175245,10.503574
33584864752316,1.4330951,-1.4109368,9.3669195
33584867275598,-6.3779616,-0.6940899,9.127372
33584869798879,10.144852,1.1384512,10.546094
33584872322212,-5.4497137,-2.310439,8.591983
33584874845494,0.08384175,0.849796,9.953813
33584877368775,7.899689,-0.19882472,10.11371
33584879892108,-8.781225,-1.8870382,8.573418
33584882415389,6.9522777,1.460643,10.564659
33584884938671,1.3043381,-1.4253098,9.3669195
