Time (s),x,y,z
33185152692878,0.0029294747,0.024101587,-0.11478215
33185155216212,-0.009853687,0.056059495,-0.11584741
33185157739493,-0.0013315794,-0.01744369,0.06844318
33185160262826,9.321056E-4,-0.027031062,0.019441059
33185162786159,-0.0054594753,0.044341594,-0.08708529
33185165309441,-0.0011984215,-0.02916159,0.0940095
33185167832774,9.321056E-4,0.0017310532,-0.046605278
33185170356107,9.321056E-4,0.027297378,-0.032756854
33185172879441,-1.3315794E-4,-0.040879488,0.08761793
33185175402722,-0.0011984215,0.030493168,-0.09347688
33185177926055,-0.002263685,-0.0025300009,0.039681066
33185180449389,9.321056E-4,-0.031292114,0.04287686
33185182972722,-0.002263685,0.041145805,-0.08921582
33185185496003,0.001997369,-0.027031062,0.08761793
33185188019337,0.0030626326,-0.004660528,-0.030626327
33185190542670,-0.0011984215,0.032623697,-0.039148435
33185193066003,0.001997369,-0.03235738,0.09187898
33185195589284,0.0030626326,0.027297378,-0.07856318
33185198112618,-0.002263685,6.657897E-4,0.023702113
33185200635951,0.001997369,-0.027031062,0.045007385
33185203159232,-1.3315794E-4,0.041145805,-0.08602003
33185205682566,0.001997369,-0.022770008,0.075900026
33185208205899,0.0062584234,-0.0057257917,-0.022104219
33185210729232,-0.0033289485,0.028362641,-0.04340949
33185213252514,9.321056E-4,-0.034487907,0.084422134
33185215775847,9.321056E-4,0.024101587,-0.07536739
33185218299180,-1.3315794E-4,6.657897E-4,0.021571586
33185220822514,0.0062584234,-0.02916159,0.041811593
33185223345795,-1.3315794E-4,0.03368896,-0.081758976
33185225869128,-1.3315794E-4,-0.022770008,0.0737695
33185228392462,0.0030626326,-0.0035952644,-0.024234746
33185230915743,9.321056E-4,0.02516685,-0.039148435
33185233439076,9.321056E-4,-0.031292114,0.08122634
33185235962409,-0.0033289485,0.023036323,-0.07643266
33185238485743,-0.002263685,-0.0014647373,0.023702113
33185241009024,0.001997369,-0.027031062,0.04074633
33185243532357,-0.0033289485,0.03688475,-0.081758976
33185246055691,-1.3315794E-4,-0.022770008,0.0737695
33185248579024,9.321056E-4,-0.0025300009,-0.022104219
33185251102305,-0.0033289485,0.024101587,-0.039148435
33185253625639,-0.0011984215,-0.031292114,0.075900026
33185256148972,-0.0011984215,0.024101587,-0.07430213
33185258672253,-0.0054594753,-3.9947382E-4,0.024767376
33185261195587,0.001997369,-0.027031062,0.036485277
33185263718920,9.321056E-4,0.034754224,-0.07856318
33185266242253,-0.0011984215,-0.024900535,0.074834764
33185268765534,0.001997369,-0.0025300009,-0.023169482
33185271288868,-0.0033289485,0.02516685,-0.037017908
33185273812201,0.0030626326,-0.03342264,0.07803056
33185276335534,-0.0011984215,0.019840533,-0.07323687
33185278858816,-0.0011984215,-0.0035952644,0.027963167
33185281382149,0.0030626326,-0.024900535,0.03542001
33185283905482,-0.0011984215,0.03688475,-0.081758976
33185286428764,9.321056E-4,-0.019574217,0.074834764
33185288952097,0.0030626326,-3.9947382E-4,-0.026365273
33185291475430,-0.002263685,0.024101587,-0.037017908
33185293998764,0.001997369,-0.031292114,0.07803056
33185296522045,-0.0011984215,0.024101587,-0.07323687
33185299045378,-0.0054594753,-0.0014647373,0.026897904
33185301568712,0.00519316,-0.022770008,0.03755054
33185304092045,-0.0011984215,0.035819486,-0.07643266
33185306615326,-1.3315794E-4,-0.022770008,0.07270423
33185309138659,0.0030626326,-3.9947382E-4,-0.0284958
33185311661993,-1.3315794E-4,0.023036323,-0.037017908
33185314185274,9.321056E-4,-0.03235738,0.07909582
33185316708607,-1.3315794E-4,0.023036323,-0.07110634
33185319231941,-0.0011984215,-3.9947382E-4,0.026897904
33185321755274,0.001997369,-0.021704745,0.03542001
33185324278555,-0.002263685,0.035819486,-0.07749792
33185326801889,-1.3315794E-4,-0.021704745,0.074834764
33185329325222,9.321056E-4,-3.9947382E-4,-0.027430536
33185331848555,-0.0011984215,0.024101587,-0.033822116
33185334371837,9.321056E-4,-0.02916159,0.07696529
33185336895170,-1.3315794E-4,0.026232114,-0.07430213
33185339418503,-0.004394212,-0.0014647373,0.026897904
33185341941784,-0.0011984215,-0.021704745,0.03435475
33185344465118,-0.0011984215,0.037950013,-0.07856318
33185346988451,0.001997369,-0.021704745,0.074834764
33185349511784,0.001997369,-0.0025300009,-0.030626327
33185352035066,-0.0033289485,0.020905796,-0.03488738
33185354558399,0.001997369,-0.031292114,0.07696529
33185357081732,-1.3315794E-4,0.027297378,-0.07536739
33185359604962,-1.3315794E-4,0.0017310532,0.030093694
33185362128139,0.0030626326,-0.020639481,0.032224223
33185364651316,-0.0033289485,0.03155843,-0.07749792
33185367174545,-1.3315794E-4,-0.024900535,0.07270423
33185369697722,0.001997369,6.657897E-4,-0.030626327
33185372220899,9.321056E-4,0.023036323,-0.032756854
33185374744128,9.321056E-4,-0.03235738,0.07696529
33185377267305,-1.3315794E-4,0.02516685,-0.07430213
33185379790482,9.321056E-4,-0.0025300009,0.030093694
33185382313659,0.0030626326,-0.023835272,0.03435475
33185384836889,-0.0033289485,0.034754224,-0.07749792
33185387360066,9.321056E-4,-0.024900535,0.0737695
33185389883243,9.321056E-4,-0.0025300009,-0.03169159
33185392406472,-0.002263685,0.02516685,-0.03169159
33185394929649,0.001997369,-0.028096326,0.075900026
33185397452826,-1.3315794E-4,0.026232114,-0.07430213
33185399976003,-0.002263685,-0.004660528,0.033289485
33185402499232,9.321056E-4,-0.022770008,0.030093694
33185405022409,-0.0011984215,0.034754224,-0.07536739
33185407545587,-0.002263685,-0.022770008,0.075900026
33185410068816,0.001997369,-3.9947382E-4,-0.03169159
33185412591993,-0.0033289485,0.020905796,-0.03169159
33185415115170,9.321056E-4,-0.02916159,0.075900026
33185417638347,-0.0011984215,0.026232114,-0.07643266
33185420161576,-0.0011984215,-0.0057257917,0.02902843
33185422684753,0.001997369,-0.025965799,0.02902843
33185425207930,-0.0011984215,0.034754224,-0.07430213
33185427731107,-1.3315794E-4,-0.025965799,0.07803056
33185430254337,-1.3315794E-4,6.657897E-4,-0.030626327
33185432777514,-0.0033289485,0.02197106,-0.03169159
33185435300691,0.0030626326,-0.031292114,0.074834764
33185437823920,-0.002263685,0.028362641,-0.07536739
33185440347097,-0.002263685,-0.0014647373,0.031158958
33185442870274,0.0030626326,-0.022770008,0.02902843
33185445393451,-0.002263685,0.03155843,-0.07430213
33185447916680,-0.002263685,-0.024900535,0.075900026
33185450439857,9.321056E-4,0.0027963168,-0.032756854
33185452963034,-0.0011984215,0.020905796,-0.030626327
33185455486264,0.001997369,-0.03342264,0.07270423
33185458009441,-0.002263685,0.024101587,-0.07749792
33185460532618,-0.002263685,-0.0035952644,0.031158958
33185463055795,0.001997369,-0.019574217,0.027963167
33185465579024,-0.004394212,0.03155843,-0.072171606
33185468102201,-1.3315794E-4,-0.024900535,0.07803056
33185470625378,9.321056E-4,0.0017310532,-0.033822116
33185473148607,-0.004394212,0.01877527,-0.026365273
33185475671784,0.001997369,-0.03342264,0.074834764
33185478194962,9.321056E-4,0.024101587,-0.07643266
33185480718139,-1.3315794E-4,-0.0025300009,0.03542001
33185483241368,0.0030626326,-0.01744369,0.026897904
33185485764545,-0.0011984215,0.03368896,-0.07536739
33185488287722,-1.3315794E-4,-0.022770008,0.07696529
33185490810899,9.321056E-4,0.0027963168,-0.037017908
33185493334128,-1.3315794E-4,0.01877527,-0.026365273
33185495857305,0.001997369,-0.030226853,0.074834764
33185498380482,0.001997369,0.023036323,-0.07536739
33185500903712,0.001997369,-0.0057257917,0.03435475
33185503426889,0.001997369,-0.020639481,0.02583264
33185505950066,-0.0054594753,0.032623697,-0.072171606
33185508473243,-1.3315794E-4,-0.023835272,0.07696529
33185510996472,0.0030626326,6.657897E-4,-0.035952643
33185513519649,9.321056E-4,0.017710006,-0.0284958
33185516042826,0.0030626326,-0.02916159,0.0737695
33185518566055,-0.0011984215,0.026232114,-0.07749792
33185521089232,9.321056E-4,-0.006791055,0.036485277
33185523612409,0.0030626326,-0.021704745,0.026897904
33185526135587,-0.004394212,0.030493168,-0.07323687
33185528658816,-0.0011984215,-0.024900535,0.07696529
33185531181993,9.321056E-4,0.0027963168,-0.03808317
33185533705170,-0.0011984215,0.019840533,-0.024234746
33185536228347,0.001997369,-0.030226853,0.07270423
33185538751576,-0.0011984215,0.028362641,-0.079628445
33185541274753,-1.3315794E-4,-0.0057257917,0.03542001
33185543797930,0.001997369,-0.01744369,0.023702113
33185546321159,-0.004394212,0.030493168,-0.07323687
33185548844337,-1.3315794E-4,-0.02916159,0.07909582
33185551367514,0.0030626326,0.0027963168,-0.039148435
33185553890691,-0.0011984215,0.020905796,-0.024234746
33185556413920,0.0030626326,-0.031292114,0.07270423
33185558937097,-0.002263685,0.024101587,-0.079628445
33185561460274,-1.3315794E-4,-0.0057257917,0.039681066
33185563983503,0.00519316,-0.01744369,0.021571586
33185566506680,-0.002263685,0.03368896,-0.07430213
33185569029857,9.321056E-4,-0.024900535,0.07803056
33185571553034,-1.3315794E-4,0.0038615803,-0.040213697
33185574076264,-0.004394212,0.016644742,-0.024234746
33185576599441,9.321056E-4,-0.03235738,0.07270423
33185579122618,-0.0033289485,0.028362641,-0.07749792
33185581645847,9.321056E-4,-0.0035952644,0.038615804
33185584169024,0.0030626326,-0.018508954,0.021571586
33185586692201,-0.0011984215,0.032623697,-0.072171606
33185589215378,-0.0011984215,-0.023835272,0.07803056
33185591738607,9.321056E-4,0.0049268436,-0.039148435
33185594261784,-0.0011984215,0.016644742,-0.021038955
33185596784962,0.00519316,-0.028096326,0.07163897
33185599308139,-0.0011984215,0.026232114,-0.07856318
33185601831368,-0.0054594753,-0.0057257917,0.038615804
33185604354545,0.0030626326,-0.015313163,0.020506322
33185606877722,-0.004394212,0.03688475,-0.07110634
33185609400951,-1.3315794E-4,-0.022770008,0.07803056
33185611924128,0.001997369,0.0017310532,-0.042344224
33185614447305,-0.0011984215,0.017710006,-0.023169482
33185616970482,0.001997369,-0.027031062,0.07270423
33185619493712,-0.0011984215,0.03155843,-0.07643266
33185622016889,-0.0011984215,-0.008921582,0.039681066
33185624540066,0.001997369,-0.020639481,0.020506322
33185627063295,-1.3315794E-4,0.034754224,-0.072171606
33185629586472,-1.3315794E-4,-0.024900535,0.07803056
33185632109649,0.00519316,0.0070573706,-0.039148435
33185634632826,-0.004394212,0.01877527,-0.017843165
33185637156055,0.001997369,-0.03235738,0.06950845
33185639679232,9.321056E-4,0.028362641,-0.07856318
33185642202409,9.321056E-4,-0.007856319,0.041811593
33185644725639,9.321056E-4,-0.01744369,0.018375795
33185647248816,-0.0033289485,0.03368896,-0.06897581
33185649771993,9.321056E-4,-0.028096326,0.08122634
33185652295170,9.321056E-4,0.0038615803,-0.045540016
33185654818399,-0.002263685,0.01877527,-0.021038955
33185657341576,0.001997369,-0.030226853,0.06950845
33185659864753,-1.3315794E-4,0.027297378,-0.079628445
33185662387930,-0.0033289485,-0.009986846,0.04394212
33185664911159,0.001997369,-0.01744369,0.018375795
33185667434337,-0.0011984215,0.034754224,-0.07110634
33185669957514,9.321056E-4,-0.025965799,0.07696529
33185672480743,0.0041278964,0.008122634,-0.04447475
33185675003920,-0.002263685,0.016644742,-0.018908428
33185677527097,-1.3315794E-4,-0.02916159,0.06844318
33185680050274,-1.3315794E-4,0.027297378,-0.079628445
