Time (s),x,y,z
34682050147022,-7.1678705,-2.3918853,8.784819
34682052670251,1.3905753,0.14312984,9.6771345
34682055193532,8.225474,0.8162593,10.423326
34682057716813,-10.360445,-2.7092862,8.587192
34682060240095,8.383576,1.460643,10.127484
34682062763324,1.3570386,-0.4198076,9.817869
34682065286605,-7.919452,-2.118202,8.897407
34682067809886,12.127709,2.052925,10.362242
34682070333167,-5.999476,-2.136767,9.023767
34682072856449,-1.2510387,-0.18385299,9.563948
34682075379678,10.423326,1.1917505,10.348467
34682077902959,-10.53232,-2.8488228,8.653068
34682080426240,6.5654078,1.244451,9.995733
34682082949522,3.7315567,-0.13594341,9.85979
34682085472803,-9.330389,-2.31523,8.8782425
34682087996032,11.653404,1.869671,10.287382
34682090519313,-4.156754,-1.814575,9.131564
34682093042595,-2.921286,-0.58329904,9.451361
34682095565876,10.791631,1.3887787,10.310739
34682098089157,-9.555564,-2.8104951,8.760864
34682100612386,5.0766177,1.0282592,10.028671
34682103135667,4.7370586,0.046711832,9.911292
34682105658949,-9.163304,-2.2427669,8.831531
34682108182230,10.591009,1.6870158,10.310739
34682110705511,-3.2039526,-1.6271288,9.216603
34682113228740,-3.1943707,-0.6892989,9.395067
34682115752022,10.289179,1.3744059,10.273009
34682118275303,-8.736909,-2.6757495,8.7794285
34682120798584,4.5645843,0.8935135,10.0005245
34682123321865,4.612494,0.008384175,9.878355
34682125845095,-8.59857,-2.136767,8.929745
34682128368376,10.073586,1.5905977,10.268219
34682130891657,-3.1081333,-1.6223378,9.183666
34682133414938,-2.9644046,-0.6216267,9.428004
34682135938220,9.810682,1.258824,10.301157
34682138461449,-8.502751,-2.5745406,8.826739
34682140984730,4.6508217,0.9270502,10.0005245
34682143508011,4.272336,-0.04910731,9.808287
34682146031292,-8.291949,-2.0457387,8.944118
34682148554522,9.940039,1.5810158,10.249654
34682151077803,-3.2374892,-1.6462927,9.258525
34682153601084,-2.6200547,-0.5497623,9.469926
34682156124365,9.619044,1.254033,10.301157
34682158647647,-8.474006,-2.5841224,8.8123665
34682161170876,4.851443,0.9030954,10.038253
34682163694157,4.033387,-0.15510723,9.709474
34682166217438,-8.167384,-2.0361567,8.986039
34682168740720,10.030468,1.6486881,10.071191
34682171264001,-3.4003818,-1.6558745,9.230378
34682173787230,-2.4619532,-0.47250813,9.479507
34682176310511,9.580716,1.244451,10.183778
34682178833792,-8.560243,-2.5649586,8.854886
34682181357074,5.023917,0.9605869,9.981959
34682183880355,3.918404,-0.14552532,9.756186
34682186403584,-8.14343,-1.9732754,8.915971
34682188926865,10.073586,1.6151514,10.202343
34682191450147,-3.5057828,-1.6654564,9.20223
34682193973428,-2.370925,-0.48688102,9.479507
34682196496709,9.566343,1.2013324,10.263428
34682199019938,-8.584197,-2.6080773,8.854886
34682201543220,5.1197367,1.0043044,10.019688
34682204066501,3.8417487,-0.15989819,9.756186
34682206589782,-8.09552,-1.9828573,8.972265
34682209113063,10.145451,1.6007786,10.216716
34682211636292,-3.615376,-1.7522925,9.225587
34682214159574,-2.260733,-0.39585283,9.531011
34682216682855,9.523225,1.1869596,10.259235
34682219206136,-8.588988,-2.623049,8.8123665
34682221729417,5.167646,1.0234683,9.981959
34682224252647,3.7123928,-0.17906202,9.803496
34682226775928,-8.000299,-1.9780664,8.962683
