Time (s),x,y,z
34225119717346,0.0018642112,0.0142479,0.07270423
34225122240419,0.0018642112,-0.011451583,-0.027430536
34225124763492,-0.00452737,0.021571586,-0.08282424
34225127286565,7.9894764E-4,-0.016777901,0.08988161
34225129809638,-0.0013315794,-0.0017310532,-0.021038955
34225132332710,-0.0055926335,0.020639481,-0.05619265
34225134855783,0.003994738,-0.023036323,0.097205296
34225137378856,-2.6631588E-4,0.0142479,-0.07323687
34225139901929,-0.002396843,0.0057257917,0.011984214
34225142425002,0.0050600017,-0.01877527,0.059921075
34225144948075,-0.0034621065,0.025965799,-0.0956074
34225147471148,-0.0013315794,-0.013448952,0.07057371
34225149994221,0.003994738,-0.010253161,-7.9894764E-4
34225152517294,-0.0034621065,0.021704745,-0.06471476
34225155040367,0.0050600017,-0.01877527,0.09507477
34225157563440,-0.002396843,0.008921582,-0.0636495
34225160086513,-0.002396843,0.0025300009,-0.003994738
34225162609585,0.003994738,-0.020905796,0.065247394
34225165132606,-0.0034621065,0.021704745,-0.09241161
34225167655679,0.003994738,-0.011318425,0.0620516
34225170178752,0.0061252653,-0.0070573706,0.0034621065
34225172701825,-0.0077231606,0.016378427,-0.0636495
34225175224898,7.9894764E-4,-0.01877527,0.08761793
34225177747971,7.9894764E-4,0.013182636,-0.05938844
34225180271044,-0.0034621065,0.004660528,-0.0050600017
34225182794117,0.0061252653,-0.01877527,0.059921075
34225185317190,-0.002396843,0.019574217,-0.08708529
34225187840263,7.9894764E-4,-0.009187898,0.057790548
34225190363335,0.0029294747,-0.0070573706,0.0034621065
34225192886408,-0.00452737,0.01744369,-0.061518967
34225195409481,0.0018642112,-0.01877527,0.08229161
34225197932554,7.9894764E-4,0.008921582,-0.05938844
34225200455627,-0.0013315794,0.0014647373,-7.9894764E-4
34225202978700,0.003994738,-0.017710006,0.0620516
34225205501773,-0.002396843,0.019574217,-0.08282424
34225208024846,7.9894764E-4,-0.012383688,0.060986336
34225210547919,7.9894764E-4,-0.009187898,0.0013315794
34225213070992,-0.0034621065,0.018508954,-0.06258423
34225215594065,0.003994738,-0.015579479,0.084422134
34225218117138,7.9894764E-4,0.008921582,-0.057257913
34225220640210,-0.002396843,0.004660528,0.0013315794
34225223163283,0.003994738,-0.014514215,0.05885581
34225225686356,-0.002396843,0.01744369,-0.081758976
34225228209429,-0.0013315794,-0.013448952,0.0620516
34225230732502,0.0029294747,-0.0070573706,-0.0018642112
34225233255575,-0.0034621065,0.016378427,-0.05938844
34225235778648,-2.6631588E-4,-0.017710006,0.084422134
34225238301721,-2.6631588E-4,0.007856319,-0.060453705
34225240824794,-0.006657897,0.004660528,0.0013315794
34225243347867,0.003994738,-0.01877527,0.057790548
34225245870940,-2.6631588E-4,0.020639481,-0.079628445
34225248394013,-2.6631588E-4,-0.009187898,0.065247394
34225250917085,-0.0013315794,-0.009187898,-7.9894764E-4
34225253440158,-0.0055926335,0.01744369,-0.057257913
34225255963231,0.0018642112,-0.015579479,0.08335687
34225258486304,7.9894764E-4,0.007856319,-0.061518967
34225261009377,-0.0034621065,0.0025300009,2.6631588E-4
34225263532450,0.003994738,-0.016644742,0.056725282
34225266055523,-0.0034621065,0.020639481,-0.08602003
34225268578596,-2.6631588E-4,-0.011318425,0.0620516
34225271101669,7.9894764E-4,-0.0049268436,-0.0018642112
34225273624742,-0.006657897,0.018508954,-0.05832318
34225276147815,0.0018642112,-0.01877527,0.08335687
34225278670888,7.9894764E-4,0.007856319,-0.05938844
34225281193960,-0.0013315794,0.0025300009,0.002396843
34225283717033,0.0029294747,-0.015579479,0.052464228
34225286240106,-0.0055926335,0.022770008,-0.0838895
34225288763179,-0.00452737,-0.009187898,0.06311686
34225291286408,0.0029294747,-0.005992107,-0.0050600017
34225293809742,-0.00452737,0.015313163,-0.05938844
34225296333127,0.0018642112,-0.016644742,0.08335687
34225298856460,-2.6631588E-4,0.011052109,-0.061518967
34225301379846,-0.002396843,0.0035952644,0.0055926335
34225303903179,0.0061252653,-0.01877527,0.054594755
34225306426565,-0.002396843,0.018508954,-0.081758976
34225308949898,-2.6631588E-4,-0.011318425,0.0620516
34225311473231,0.003994738,-0.010253161,-0.003994738
34225313996617,-0.0013315794,0.0142479,-0.055127386
34225316519950,0.0061252653,-0.016644742,0.084422134
34225319043335,0.0018642112,0.007856319,-0.0636495
34225321566669,-0.002396843,0.0014647373,0.0055926335
34225324090054,0.0061252653,-0.014514215,0.05566002
34225326613388,-0.0055926335,0.020639481,-0.08282424
34225329136773,-0.0013315794,-0.011318425,0.064182125
34225331660106,0.0018642112,-0.0070573706,-0.008255793
34225334183492,-0.00452737,0.015313163,-0.05832318
34225336706825,0.0018642112,-0.01877527,0.08229161
34225339230158,-0.002396843,0.009986846,-0.06471476
34225341753544,-0.0034621065,0.0035952644,0.0077231606
34225344276877,0.003994738,-0.016644742,0.053529494
34225346800263,-0.00452737,0.020639481,-0.0838895
34225349323596,7.9894764E-4,-0.012383688,0.066312656
34225351846981,0.0018642112,-0.0038615803,-0.007190529
34225354370315,-0.00452737,0.015313163,-0.05299686
34225356893700,7.9894764E-4,-0.016644742,0.086552665
34225359417033,-0.0034621065,0.006791055,-0.0636495
34225361940419,-0.0013315794,0.0014647373,0.0077231606
34225364463752,0.0061252653,-0.016644742,0.052464228
34225366987085,-0.0034621065,0.020639481,-0.0838895
34225369510471,-0.0013315794,-0.011318425,0.065247394
34225372033804,0.0029294747,-0.0049268436,-0.01038632
34225374557190,-0.00452737,0.01744369,-0.054062124
34225377080523,0.0018642112,-0.017710006,0.084422134
34225379603908,-0.00452737,0.009986846,-0.06471476
34225382127242,-0.002396843,0.0025300009,0.010918951
34225384650627,0.0061252653,-0.013448952,0.053529494
34225387173960,-0.0034621065,0.023835272,-0.079628445
34225389697346,-2.6631588E-4,-0.012383688,0.065247394
34225392220679,0.0029294747,-0.0049268436,-0.01038632
34225394744013,-0.0013315794,0.0142479,-0.05299686
34225397267398,0.0050600017,-0.020905796,0.08229161
34225399790731,-0.002396843,0.011052109,-0.06471476
34225402314117,-0.0034621065,0.0014647373,0.010918951
34225404837450,0.0050600017,-0.015579479,0.048203174
34225407360835,-0.0055926335,0.022770008,-0.08282424
34225409884169,-0.0013315794,-0.009187898,0.06737792
34225412407554,0.0029294747,3.9947382E-4,-0.009321056
34225414930888,-0.00452737,0.015313163,-0.051931597
34225417454273,0.003994738,-0.020905796,0.08335687
34225419977606,0.0018642112,0.0142479,-0.06684528
34225422500940,-2.6631588E-4,3.9947382E-4,0.011984214
34225425024325,0.0050600017,-0.015579479,0.0503337
34225427547658,-0.00452737,0.022770008,-0.08495477
34225430071044,-0.002396843,-0.009187898,0.06844318
34225432594377,0.003994738,-0.0070573706,-0.01038632
34225435117763,-0.0034621065,0.0142479,-0.050866332
34225437641096,0.0029294747,-0.017710006,0.07909582
34225440164481,7.9894764E-4,0.015313163,-0.06684528
34225442687815,-0.002396843,0.0014647373,0.013049478
34225445211200,0.0029294747,-0.014514215,0.0503337
34225447734533,-0.0034621065,0.020639481,-0.080693714
34225450257867,0.0018642112,-0.015579479,0.06950845
34225452781252,0.003994738,-0.0070573706,-0.012516847
34225455304585,-0.00452737,0.011052109,-0.051931597
34225457827971,-2.6631588E-4,-0.02197106,0.08122634
34225460351304,-0.0013315794,0.011052109,-0.06791055
34225462874690,-0.002396843,0.0014647373,0.013049478
34225465398023,0.0050600017,-0.016644742,0.047137912
34225467921408,-0.002396843,0.019574217,-0.08602003
34225470444742,-2.6631588E-4,-0.010253161,0.066312656
34225472968127,0.0018642112,-0.0027963168,-0.012516847
34225475491460,-0.00452737,0.011052109,-0.047670543
34225478014794,0.0029294747,-0.019840533,0.08229161
34225480538179,-0.0013315794,0.013182636,-0.06791055
34225483061513,-0.002396843,3.9947382E-4,0.015180005
34225485584898,0.0029294747,-0.017710006,0.047137912
34225488108231,-0.0034621065,0.021704745,-0.081758976
34225490631617,-0.0013315794,-0.012383688,0.06844318
34225493154950,0.0018642112,-0.0049268436,-0.015712637
34225495678335,-0.002396843,0.012117373,-0.04980107
34225498201669,0.0018642112,-0.017710006,0.08016108
34225500725002,-2.6631588E-4,0.012117373,-0.06791055
34225503248388,-0.0034621065,3.9947382E-4,0.015180005
34225505771721,0.0018642112,-0.013448952,0.047137912
34225508295106,-0.0034621065,0.018508954,-0.081758976
34225510818440,7.9894764E-4,-0.015579479,0.06950845
34225513341825,0.003994738,-0.0049268436,-0.015712637
34225515865158,-0.002396843,0.016378427,-0.045540016
34225518388544,0.003994738,-0.016644742,0.08122634
34225520911877,-2.6631588E-4,0.013182636,-0.06897581
34225523435263,-2.6631588E-4,0.0014647373,0.017310532
34225525958596,0.0050600017,-0.014514215,0.048203174
34225528481929,-0.0013315794,0.020639481,-0.080693714
34225531005315,7.9894764E-4,-0.010253161,0.06737792
34225533528648,0.0029294747,-0.0017310532,-0.016777901
34225536052033,-0.0034621065,0.011052109,-0.046605278
34225538575367,0.0029294747,-0.015579479,0.08122634
34225541098752,-2.6631588E-4,0.0142479,-0.070041075
34225543622085,-0.0034621065,-6.657897E-4,0.017310532
34225546145471,0.003994738,-0.014514215,0.04394212
34225548668804,-0.0013315794,0.021704745,-0.081758976
34225551192190,0.0018642112,-0.015579479,0.07163897
34225553715523,0.003994738,-0.0049268436,-0.021038955
34225556238856,-2.6631588E-4,0.015313163,-0.04447475
34225558762242,0.0029294747,-0.017710006,0.08122634
34225561285575,-0.002396843,0.012117373,-0.06791055
34225563808960,-0.0013315794,3.9947382E-4,0.020506322
34225566332294,0.003994738,-0.012383688,0.04394212
34225568855679,-0.0034621065,0.018508954,-0.080693714
34225571379013,-0.0013315794,-0.012383688,0.07270423
34225573902398,0.0029294747,-0.0027963168,-0.017843165
