Time (s),x,y,z
35387906323733,10.46345,1.2923607,10.275405
35387908847014,-7.8260283,-2.512258,8.767451
35387911370244,2.2978628,0.64797693,9.927462
35387913893473,7.322379,0.1281581,10.177191
35387916416754,-10.244264,-2.2721114,8.608751
35387918939983,8.902197,1.5037616,10.332298
35387921463264,0.41082457,-1.0935359,9.566343
35387923986494,-7.242729,-1.3774002,9.030954
35387926509723,11.951042,1.6959988,10.501179
35387929033004,-6.5438485,-2.435603,8.739903
35387931556233,-0.3647116,0.45514092,9.731032
35387934079462,9.729835,0.50784147,10.3508625
35387936602744,-10.579032,-2.5799303,8.467418
35387939125973,7.183441,1.5037616,10.355654
35387941649254,2.880563,-0.7521803,9.665157
35387944172483,-8.592582,-1.7481005,8.796197
35387946695712,11.501291,1.7492982,10.5622635
35387949218994,-4.8161097,-2.1517386,8.951304
35387951742223,-2.0732868,0.10420331,9.561553
35387954265452,10.127484,0.83482426,10.482016
35387956788733,-9.588502,-2.6332297,8.533294
35387959311962,5.74316,1.4169255,10.284987
35387961835244,3.7567093,-0.54557025,9.825055
35387964358473,-8.463225,-1.7385186,8.72613
35387966881702,10.5820265,1.6576711,10.46345
35387969404983,-3.9351723,-1.9834563,9.002808
35387971928212,-2.2313883,-0.016169481,9.435191
35387974451441,9.634615,0.9024965,10.482016
35387976974723,-8.822548,-2.5368118,8.64109
35387979497952,5.374256,1.1959426,10.162818
35387982021233,3.5027885,-0.54557025,9.810682
35387984544462,-7.860164,-1.6612644,8.843508
35387987067691,10.15623,1.5420893,10.458659
35387989590973,-3.9064267,-1.9690833,9.0501175
35387992114202,-1.8487105,-0.04970618,9.51005
35387994637431,9.155519,0.7964966,10.33649
35387997160712,-8.568626,-2.4643486,8.665045
35387999683941,5.508403,1.1767788,10.162818
35388002207223,3.1536474,-0.5982708,9.810682
35388004730452,-7.515814,-1.594191,8.787214
35388007253681,10.036456,1.460643,10.444885
35388009776962,-4.050155,-1.9690833,9.0501175
35388012300191,-1.5277164,0.01736722,9.542988
35388014823421,8.954898,0.7054684,10.3838005
35388017346702,-8.559045,-2.416439,8.60396
35388019869931,5.7096233,1.2342703,10.190965
35388022393212,2.9524274,-0.64618033,9.702886
35388024916441,-7.3625035,-1.5600554,8.8716545
35388027439671,10.060411,1.5325074,10.3508625
35388029962952,-4.2417936,-2.0319648,9.007598
35388032486181,-1.350451,0.094621405,9.599281
35388035009410,8.906988,0.6958865,10.29936
35388037532691,-8.621327,-2.3637385,8.68361
35388040055921,5.838979,1.2486432,10.186173
35388042579202,2.7799528,-0.6222255,9.787327
35388045102431,-7.285848,-1.5456825,8.843508
35388047625660,10.161021,1.4414792,10.519744
35388050148941,-4.3711495,-2.0367556,8.993824
