Time (s),x,y,z
35587811115689,-0.017843165,0.050466858,-0.13062795
35587813638918,-0.0018642112,0.050466858,-0.067777395
35587816162147,0.002396843,-0.029427905,0.09201214
35587818685376,-0.0029294747,-0.0017310532,-0.035819486
35587821208606,-0.0050600017,0.027031062,-0.04008054
35587823731835,-0.0018642112,-0.029427905,0.09520793
35587826255116,-0.0061252653,0.019574217,-0.0880174
35587828778345,-0.0018642112,0.0025300009,0.019574217
35587831301574,0.0034621065,-0.02516685,0.055793177
35587833824803,-0.0061252653,0.034487907,-0.0997353
35587836348033,2.6631588E-4,-0.016644742,0.08029424
35587838871262,0.002396843,-0.010253161,-0.0070573706
35587841394491,-0.0018642112,0.02916159,-0.066712126
35587843917720,0.0034621065,-0.029427905,0.09946898
35587846440949,-0.003994738,0.013182636,-0.06990792
35587848964178,-0.0029294747,0.008921582,-0.0038615803
35587851487408,0.0034621065,-0.028362641,0.068576336
35587854010637,-0.0018642112,0.03235738,-0.096539505
35587856533866,-7.9894764E-4,-0.014514215,0.06218476
35587859057095,2.6631588E-4,-0.015579479,0.006791055
35587861580324,-0.003994738,0.02916159,-0.07310371
35587864103553,0.002396843,-0.027297378,0.09201214
35587866626783,-0.003994738,0.009986846,-0.05819002
35587869150012,-0.0029294747,0.012117373,-0.011318425
35587871673241,0.0013315794,-0.027297378,0.07177213
35587874196470,-0.0029294747,0.028096326,-0.086952135
35587876719699,-0.0018642112,-0.012383688,0.055793177
35587879242928,2.6631588E-4,-0.015579479,0.012117373
35587881766158,2.6631588E-4,0.02916159,-0.066712126
35587884289387,0.002396843,-0.024101587,0.08349003
35587886812616,-7.9894764E-4,0.007856319,-0.05179844
35587889335845,-7.9894764E-4,0.0142479,-0.0070573706
35587891859074,0.002396843,-0.026098955,0.06644581
35587894382303,-0.0050600017,0.029294748,-0.081758976
35587896905533,2.6631588E-4,-0.00905474,0.052464228
35587899428762,0.002396843,-0.014381058,0.00452737
35587901951991,-7.9894764E-4,0.026098955,-0.06471476
35587904475220,1.3315794E-4,-0.025033694,0.084422134
35587906998449,-0.001997369,0.00905474,-0.05299686
35587909521678,-0.0030626326,0.0122505305,-0.0029294747
35587912044908,0.0011984215,-0.025033694,0.0620516
35587914568137,-0.001997369,0.026098955,-0.081758976
35587917091366,1.3315794E-4,-0.0122505305,0.054594755
35587919614595,0.0011984215,-0.015446321,0.0034621065
35587922137876,-9.321056E-4,0.023968428,-0.05832318
35587924661106,1.3315794E-4,-0.025033694,0.08229161
35587927184335,1.3315794E-4,0.0101200035,-0.057257913
35587929707564,-0.001997369,0.0101200035,-7.9894764E-4
35587932230793,0.0011984215,-0.025033694,0.0620516
35587934754022,-0.0041278964,0.026098955,-0.079628445
35587937277251,-9.321056E-4,-0.013315794,0.05885581
35587939800481,0.0011984215,-0.0101200035,0.00452737
35587942323710,1.3315794E-4,0.025033694,-0.060453705
35587944846939,0.0011984215,-0.025033694,0.08122634
35587947370168,-9.321056E-4,0.007989476,-0.05619265
35587949893397,1.3315794E-4,0.007989476,-0.0018642112
35587952416626,0.002263685,-0.021837901,0.059921075
35587954939856,-0.0041278964,0.026098955,-0.081758976
35587957463085,0.002263685,-0.0101200035,0.057790548
35587959986314,0.0033289485,-0.013315794,-7.9894764E-4
35587962509543,-0.001997369,0.026098955,-0.060453705
35587965032772,0.0011984215,-0.022903167,0.08229161
35587967556001,-0.001997369,0.011185267,-0.05619265
35587970079231,0.0011984215,0.007989476,0.002396843
35587972602460,0.002263685,-0.025033694,0.057790548
35587975125689,-0.001997369,0.02716422,-0.0838895
35587977648918,1.3315794E-4,-0.013315794,0.056725282
35587980172147,0.0033289485,-0.011185267,0.002396843
35587982695376,-0.0041278964,0.026098955,-0.05619265
35587985218606,0.0011984215,-0.021837901,0.08229161
35587987741835,-9.321056E-4,0.0122505305,-0.060453705
35587990265064,-0.001997369,0.0058589494,-0.003994738
35587992788293,0.0011984215,-0.023835272,0.05566002
35587995311522,-0.001997369,0.028362641,-0.08282424
35587997834751,-9.321056E-4,-0.011052109,0.059921075
35588000357981,1.3315794E-4,-0.0142479,-7.9894764E-4
35588002881210,-9.321056E-4,0.02516685,-0.057257913
35588005404439,1.3315794E-4,-0.021704745,0.08229161
35588007927668,-9.321056E-4,0.012383688,-0.057257913
35588010450897,0.0011984215,0.0049268436,0.002396843
35588012974126,1.3315794E-4,-0.024900535,0.05566002
35588015497356,-0.001997369,0.032623697,-0.08282424
35588018020637,0.0033289485,-0.009986846,0.059921075
35588020543866,0.002263685,-0.012117373,2.6631588E-4
35588023067095,-0.001997369,0.027297378,-0.05619265
35588025590324,0.0033289485,-0.024900535,0.08122634
35588028113553,1.3315794E-4,0.010253161,-0.05832318
35588030636783,-0.001997369,0.008122634,0.00452737
35588033160012,0.0011984215,-0.019574217,0.056725282
35588035683241,-9.321056E-4,0.027297378,-0.080693714
35588038206470,0.0011984215,-0.0142479,0.059921075
35588040729699,0.0011984215,-0.012117373,-0.0029294747
35588043252928,-0.001997369,0.026232114,-0.054062124
35588045776158,1.3315794E-4,-0.022770008,0.08229161
35588048299387,-0.001997369,0.012383688,-0.060453705
35588050822616,-9.321056E-4,0.008122634,0.0034621065
35588053345845,0.004394212,-0.025965799,0.05566002
35588055869074,1.3315794E-4,0.024101587,-0.0838895
35588058392303,-0.001997369,-0.013182636,0.060986336
35588060915533,1.3315794E-4,-0.011052109,-0.007190529
35588063438762,-9.321056E-4,0.026232114,-0.054062124
35588065961991,-9.321056E-4,-0.022770008,0.08335687
35588068485220,-0.0030626326,0.012383688,-0.060453705
35588071008449,-9.321056E-4,0.008122634,0.00452737
35588073531678,0.0033289485,-0.025965799,0.054594755
35588076054908,-0.00519316,0.028362641,-0.081758976
35588078578137,-9.321056E-4,-0.012117373,0.0620516
35588081101366,-9.321056E-4,-0.008921582,-0.0061252653
35588083624595,-0.0041278964,0.024101587,-0.05619265
35588086147824,0.002263685,-0.027031062,0.08016108
35588088671053,-0.0030626326,0.010253161,-0.061518967
35588091194283,-0.001997369,0.0070573706,0.006657897
35588093717512,0.0033289485,-0.024900535,0.052464228
35588096240741,-0.00519316,0.028362641,-0.08282424
35588098763970,-9.321056E-4,-0.013182636,0.0620516
35588101287199,0.002263685,-0.006791055,-0.0050600017
35588103810428,-0.0041278964,0.02516685,-0.048735805
35588106333658,0.0033289485,-0.025965799,0.08122634
35588108856887,1.3315794E-4,0.011318425,-0.0636495
35588111380116,-9.321056E-4,0.0049268436,0.0055926335
35588113903397,0.0011984215,-0.021704745,0.053529494
35588116426626,-0.0041278964,0.026232114,-0.081758976
35588118949856,-9.321056E-4,-0.011052109,0.064182125
35588121473085,1.3315794E-4,-0.012117373,-0.0061252653
35588123996314,-0.0030626326,0.020905796,-0.048735805
35588126519543,0.0011984215,-0.024900535,0.08335687
35588129042772,-9.321056E-4,0.013448952,-0.06258423
35588131566001,-9.321056E-4,0.0070573706,0.008788424
35588134089231,0.002263685,-0.022770008,0.04926844
35588136612460,-0.001997369,0.029427905,-0.0838895
35588139135689,1.3315794E-4,-0.008921582,0.0620516
35588141658918,0.002263685,-0.006791055,-0.009321056
35588144182147,-0.001997369,0.020905796,-0.04980107
35588146705376,1.3315794E-4,-0.02916159,0.08122634
35588149228606,-0.0030626326,0.012383688,-0.06258423
35588151751835,0.0011984215,0.0038615803,0.009853687
35588154275064,0.0033289485,-0.024900535,0.04926844
35588156798293,-9.321056E-4,0.028362641,-0.08282424
35588159321522,-9.321056E-4,-0.012117373,0.0620516
35588161844751,0.0033289485,-0.0057257917,-0.01358211
35588164367981,-9.321056E-4,0.02197106,-0.050866332
35588166891210,-9.321056E-4,-0.025965799,0.08229161
35588169414439,0.0011984215,0.015579479,-0.06471476
35588171937668,0.0011984215,0.009187898,0.010918951
35588174460897,0.0011984215,-0.020639481,0.04926844
35588176984126,-0.0030626326,0.030493168,-0.07856318
35588179507356,0.002263685,-0.012117373,0.06737792
35588182030585,1.3315794E-4,-0.007856319,-0.012516847
35588184553814,-0.001997369,0.02516685,-0.048735805
35588187077043,1.3315794E-4,-0.022770008,0.08229161
35588189600272,-0.0030626326,0.014514215,-0.06578002
35588192123501,-9.321056E-4,0.0038615803,0.008788424
35588194646731,0.002263685,-0.021704745,0.04926844
35588197169960,-9.321056E-4,0.030493168,-0.081758976
35588199693189,0.002263685,-0.013182636,0.065247394
35588202216418,-9.321056E-4,-0.007856319,-0.012516847
35588204739647,-0.0041278964,0.020905796,-0.048735805
35588207262876,0.0033289485,-0.023835272,0.08229161
35588209786106,-9.321056E-4,0.013448952,-0.06578002
35588212309387,-0.0030626326,0.0049268436,0.014114741
35588214832616,-9.321056E-4,-0.021704745,0.0503337
35588217355845,1.3315794E-4,0.029427905,-0.080693714
35588219879074,0.0011984215,-0.0142479,0.064182125
35588222402303,1.3315794E-4,-0.007856319,-0.01358211
35588224925533,0.002263685,0.020905796,-0.048735805
35588227448762,0.0054594753,-0.023835272,0.08122634
35588229971991,-0.0041278964,0.014514215,-0.06578002
35588232495220,-9.321056E-4,0.0027963168,0.011984214
35588235018449,0.002263685,-0.021704745,0.046072647
35588237541678,-9.321056E-4,0.030493168,-0.081758976
35588240064908,0.002263685,-0.0142479,0.06737792
35588242588137,0.0011984215,-0.007856319,-0.014647374
35588245111366,-0.0030626326,0.020905796,-0.045540016
35588247634595,0.0033289485,-0.023835272,0.07803056
35588250157824,1.3315794E-4,0.016644742,-0.06791055
35588252681053,-0.00519316,0.0027963168,0.014114741
35588255204283,1.3315794E-4,-0.023835272,0.04394212
35588257727512,-0.001997369,0.029427905,-0.08282424
35588260250741,-9.321056E-4,-0.015313163,0.06737792
35588262773970,-9.321056E-4,-0.006791055,-0.017843165
35588265297199,-0.001997369,0.02516685,-0.04447475
35588267820428,0.002263685,-0.024900535,0.08229161
35588270343658,-9.321056E-4,0.014514215,-0.06684528
35588272866887,0.0011984215,0.0017310532,0.014114741
35588275390116,0.0033289485,-0.023835272,0.046072647
35588277913345,-0.0030626326,0.028362641,-0.080693714
35588280436574,-0.0030626326,-0.0142479,0.06950845
35588282959803,0.0011984215,-0.009986846,-0.017843165
35588285483033,0.0011984215,0.017710006,-0.047670543
35588288006262,0.002263685,-0.023835272,0.07803056
35588290529491,-0.001997369,0.01877527,-0.070041075
35588293052720,-0.0030626326,0.0049268436,0.015180005
35588295575949,-9.321056E-4,-0.021704745,0.04287686
35588298099178,-0.0041278964,0.027297378,-0.07856318
35588300622408,0.002263685,-0.0142479,0.06737792
35588303145637,0.0011984215,-0.007856319,-0.015712637
35588305668866,1.3315794E-4,0.02197106,-0.039148435
35588308192147,0.0011984215,-0.023835272,0.08122634
35588310715376,-0.0030626326,0.016644742,-0.06791055
35588313238606,0.0011984215,0.0027963168,0.021571586
35588315761835,0.0033289485,-0.019574217,0.041811593
35588318285064,-0.0041278964,0.029427905,-0.079628445
35588320808293,1.3315794E-4,-0.016378427,0.07057371
35588323331522,0.002263685,-0.0025300009,-0.015712637
35588325854751,0.0011984215,0.02197106,-0.041278962
35588328377981,0.004394212,-0.023835272,0.08016108
35588330901210,-9.321056E-4,0.017710006,-0.06897581
35588333424439,1.3315794E-4,-3.9947382E-4,0.018375795
35588335947668,0.002263685,-0.022770008,0.041811593
35588338470897,1.3315794E-4,0.027297378,-0.080693714
35588340994126,1.3315794E-4,-0.016378427,0.06950845
35588343517356,0.0011984215,-0.006791055,-0.019973692
35588346040585,-9.321056E-4,0.02197106,-0.04340949
35588348563814,1.3315794E-4,-0.027031062,0.07803056
35588351087043,-0.0030626326,0.016644742,-0.07110634
35588353610272,1.3315794E-4,6.657897E-4,0.021571586
35588356133606,0.0033289485,-0.01744369,0.039681066
35588358656991,-0.0041278964,0.030493168,-0.07856318
35588361180376,0.0011984215,-0.016378427,0.06950845
35588363703762,0.0011984215,-0.0025300009,-0.021038955
35588366227147,0.0011984215,0.024101587,-0.039148435
35588368750533,0.002263685,-0.025965799,0.07909582
35588371273866,1.3315794E-4,0.016644742,-0.06791055
35588373797251,1.3315794E-4,0.0027963168,0.021571586
35588376320637,0.0011984215,-0.023835272,0.038615804
35588378844022,-0.0030626326,0.026232114,-0.079628445
35588381367408,1.3315794E-4,-0.019574217,0.07057371
35588383890793,0.0011984215,-0.007856319,-0.021038955
35588386414126,1.3315794E-4,0.01877527,-0.040213697
35588388937512,0.002263685,-0.022770008,0.07696529
35588391460897,-0.001997369,0.02197106,-0.072171606
35588393984283,0.0033289485,0.0049268436,0.023702113
35588396507668,0.002263685,-0.015313163,0.038615804
35588399031001,-0.0041278964,0.030493168,-0.07749792
35588401554387,0.002263685,-0.01744369,0.07270423
35588404077772,-0.001997369,-0.0057257917,-0.022104219
35588406601158,-0.001997369,0.019840533,-0.040213697
35588409124543,0.002263685,-0.023835272,0.075900026
35588411647928,-9.321056E-4,0.019840533,-0.06897581
35588414171262,0.0011984215,-3.9947382E-4,0.02263685
35588416694647,0.0033289485,-0.021704745,0.03542001
35588419218033,1.3315794E-4,0.030493168,-0.07536739
35588421741418,0.002263685,-0.016378427,0.07270423
35588424264803,0.0011984215,-0.0035952644,-0.02530001
35588426788189,-9.321056E-4,0.020905796,-0.03808317
35588429311522,0.002263685,-0.022770008,0.07803056
35588431834908,-0.001997369,0.017710006,-0.07323687
35588434358293,0.0011984215,-0.0025300009,0.026897904
35588436881678,0.002263685,-0.01744369,0.03435475
35588439405064,-0.0041278964,0.026232114,-0.07856318
35588441928397,1.3315794E-4,-0.019574217,0.07270423
35588444451783,-0.001997369,-0.0025300009,-0.026365273
35588446975168,-0.0030626326,0.02197106,-0.033822116
35588449498553,0.004394212,-0.025965799,0.08122634
35588452021939,-0.001997369,0.020905796,-0.07323687
35588454545324,1.3315794E-4,6.657897E-4,0.024767376
35588457068658,0.002263685,-0.019574217,0.033289485
35588459592043,-0.0041278964,0.026232114,-0.07856318
35588462115428,-0.001997369,-0.016378427,0.07270423
35588464638814,1.3315794E-4,-0.0035952644,-0.024234746
35588467162199,1.3315794E-4,0.017710006,-0.033822116
35588469685585,0.0054594753,-0.025965799,0.07696529
