Time (s),x,y,z
591509763707,0.011056155,0.006124139,-0.05800438
591529956103,0.005060792,0.0060063303,-0.07896519
591550148499,-0.0063762367,0.012608796,-0.05972576
591570340894,-3.1083822E-5,0.002915971,-0.08839226
591590533290,-0.0012094676,0.00457111,-0.07903099
591610725686,0.0043266714,0.010809958,-0.063165665
591630918134,-0.0037807822,2.4854392E-4,-0.076182365
591651110530,0.005169064,-7.9897046E-4,-0.08321667
591671301571,0.0032604337,0.008404821,-0.06786537
591691492353,0.0021888167,0.033148333,-0.06554794
591711683082,0.021291196,0.016946822,-0.05850792
591731873811,0.0050958693,-0.04418447,-0.083810806
591752064540,0.0032394528,0.020549774,-0.060829163
591772255269,0.008126378,0.009238131,-0.07901955
591792445999,0.036267117,-0.031488284,-0.08792877
591812636728,0.021234244,0.006198503,-0.07962036
591832827457,-0.0063459724,0.0013500154,-0.08627987
591853018186,0.0012464672,-0.015479028,-0.08492851
591873208915,1.5348196E-5,-0.020178571,-0.05910206
591893399644,0.0025122017,0.021366388,-0.06374359
591913590426,0.011947945,-0.004372202,-0.079009056
591933781155,-0.00204058,-0.012869805,-0.077884674
591953971884,-0.003611803,0.0014394671,-0.065535545
591974162613,-0.0030192137,0.009779066,-0.088368416
591994353342,0.008411989,0.0028920025,-0.07145214
592014544071,0.004233852,-0.015884802,-0.078487396
592034734801,-0.007254198,0.008190028,-0.07017517
592054925530,-0.002595961,-0.00861273,-0.06860161
592075116259,0.007442668,-0.0036791041,-0.054973602
592095306988,0.005353093,0.008630097,-0.06732559
592115497769,0.0034159124,-0.0067187175,-0.05497551
592135688499,-0.0043424666,0.010034509,-0.07444
592155879228,0.0075437576,0.0022387132,-0.073765755
592176067926,0.00940913,0.0029590875,-0.07428837
592196256624,0.0030973554,0.011043549,-0.06911373
592216445321,-0.006045252,-0.005279191,-0.07494831
592236634019,-0.0125501305,0.020916574,-0.092541695
592256822769,-0.009378314,0.007866196,-0.06200409
592277011467,0.014285684,0.010927953,-0.06724167
592297200165,0.0065411925,-0.0065256655,-0.07195759
592317388863,-0.017420635,0.0018736273,-0.05496216
592337577561,-0.01283823,-0.002904676,-0.06843376
592357766311,0.005537197,0.010848798,-0.066711426
592377955009,0.0110669285,0.002607748,-0.064391136
592398143707,0.0017536879,-0.002183348,-0.07060146
592418332405,-0.0111694485,-0.0100960955,-0.07569313
592438521103,-0.01044175,0.0019211993,-0.05159092
592458709853,0.022922993,0.0072693676,-0.066262245
592478898551,5.9515238E-5,-0.001149483,-0.07157612
592499087249,-0.010017753,0.006055258,-0.06446552
592519275946,-0.009601355,0.011430696,-0.07853794
592539464696,0.017072663,0.028955787,-0.05981636
592559653394,0.00545156,-0.0064600185,-0.073820114
592579842092,-0.018939778,0.0023614317,-0.059078217
592600030790,0.00128299,0.007240154,-0.07441902
592620219488,0.007161081,-0.0021129623,-0.06379318
592640408238,-0.007760331,-0.0056344196,-0.055483818
592660597092,0.018551871,0.004734054,-0.057430267
592680786624,-0.0121797025,0.007741399,-0.06550884
592700976103,-0.013295829,-0.018868752,-0.058476448
592721165634,0.020461857,-0.006178148,-0.0732193
592741355113,-0.0011345446,0.004671216,-0.08197403
592761544644,-0.01431188,-5.767718E-4,-0.06370735
592781734176,-0.010772139,-0.022931904,-0.059064865
592801923655,-0.004862979,0.0040965676,-0.083621025
592822113186,-0.0137918,0.008825175,-0.061837196
