Time (s),x,y,z
591359498551,-6.985814,-0.96477896,9.299847
591362022613,3.0242918,0.69528764,9.604073
591364546676,3.2255118,-0.3724969,10.365235
591367070738,-6.9792266,-0.50724256,9.124977
591369594749,7.198413,0.753378,10.144253
591372118811,-2.2164166,-0.882135,9.88075
591374642874,-3.169218,0.12755923,9.007598
591377166936,7.404424,0.43058726,10.538309
591379690946,-6.4719844,-1.0845529,9.524423
591382215009,2.17749,0.66654193,9.4393835
591384739071,3.890856,-0.3389602,10.402366
591387263134,-7.0223455,-0.6467792,9.120186
591389787196,6.628888,0.69528764,10.055021
591392311207,-1.5558633,-0.85818017,9.960999
591394835269,-3.4512856,-0.030542351,9.035745
591397359332,7.207995,0.54137814,10.453868
591399883394,-5.940188,-0.98334396,9.514841
591402407405,1.6846203,0.65216905,9.359734
591404931467,3.9818842,-0.30482465,10.383202
591407455530,-6.6726055,-0.61264366,9.129767
591409979592,6.1360183,0.67133284,10.068795
591412503603,-1.2306771,-0.74259835,10.00771
591415027665,-3.427331,-0.05030505,9.077666
591417551728,6.868436,0.5365872,10.364636
591420075790,-5.552719,-0.9545982,9.495677
591422599801,1.5888011,0.5755137,9.444174
591425123863,3.8621104,-0.23775125,10.355055
591427647926,-6.4240746,-0.54557025,9.186061
591430171988,5.8964705,0.62821424,10.017292
591432695999,-1.2067223,-0.67552495,9.908897
591435220061,-3.2644384,-0.064677924,9.035745
591437744124,6.6720066,0.46472284,10.364636
591440268186,-5.4281545,-0.8917169,9.462739
591442792196,1.5983831,0.5174234,9.46753
591445316259,3.6950257,-0.32398847,10.326908
591447840321,-6.2132726,-0.4928697,9.176479
591450364384,5.834188,0.59467757,10.012502
591452888394,-1.2785866,-0.7090616,9.885541
591455412457,-3.1452634,-0.03593218,9.101621
591457936519,6.5761876,0.43118614,10.435304
591460460582,-5.4137816,-0.8629711,9.500468
591462984592,1.6462927,0.5461691,9.505259
591465508655,3.6375341,-0.30482465,10.355055
591468032717,-6.174945,-0.50724256,9.110603
591470556780,5.8629336,0.5755137,10.055021
591473080842,-1.2594229,-0.7138526,9.908897
591475604853,-3.0494442,-0.05030505,9.059101
591478128915,6.5330687,0.37309578,10.510162
591480652978,-5.4329453,-0.82943445,9.514841
591483177040,1.7277389,0.49346858,9.444174
591485701051,3.5225513,-0.29524273,10.33649
591488225113,-6.117453,-0.45873415,9.181271
591490749176,5.8916793,0.55096006,10.040648
591493273238,-1.4025527,-0.7617622,9.92327
591495797249,-2.9871616,-0.05030505,9.063892
591498321311,6.513905,0.39705056,10.364636
591500845374,-5.480855,-0.82943445,9.528615
591503369436,1.8043942,0.5461691,9.472321
591505893446,3.431523,-0.3191975,10.313134
591508417509,-6.1222444,-0.45873415,9.204626
591510941571,5.949171,0.5461691,10.059214
591513465634,-1.4600441,-0.7521803,9.857394
591515989644,-2.9296703,-0.006587566,9.106412
591518513707,6.494741,0.4162144,10.453868
591521037769,-5.5096006,-0.81985253,9.519631
591523561832,1.8954223,0.48388666,9.444174
591526085842,3.345286,-0.3191975,10.280196
591528609905,-6.1222444,-0.42519745,9.124977
591531133967,6.0162444,0.55096006,10.055021
591533658030,-1.6229367,-0.7090616,9.866976
591536182040,-2.833851,0.041322004,9.134559
591538706103,6.4707866,0.33955908,10.402366
591541230165,-5.576674,-0.82943445,9.462739
591543754228,1.942733,0.5365872,9.491485
591546278290,3.2830033,-0.32398847,10.331699
591548802301,-6.079126,-0.41561553,9.134559
591551326363,6.0114536,0.5701239,10.116106
591553850426,-1.6804281,-0.75697124,9.88075
591556374488,-2.7763596,0.060485832,9.082457
591558898499,6.4234757,0.35393196,10.482016
591561422561,-5.6389565,-0.8533892,9.46753
591563946624,2.0385523,0.5222143,9.458547
591566470686,3.192574,-0.34854212,10.313134
591568994696,-6.055171,-0.44436127,9.124977
591571518759,6.0833178,0.5365872,10.040648
