Time (s),x,y,z
537411533318,0.023147255,0.0075418353,-0.073675156
537431722484,0.020861939,-0.008226931,-0.059976578
537451911651,0.015568912,0.011603713,-0.058779716
537472100765,0.030898064,0.016511798,-0.058252335
537492289932,0.024882704,-0.0024516433,-0.05256176
537512479099,0.014119431,-0.0017026514,-0.050686836
537532668213,0.019061118,-5.44101E-4,-0.056456566
537552857380,0.019824758,0.01207085,-0.07247639
537573046547,0.028065145,0.0075517297,-0.06708145
537593235661,0.022038072,0.021358848,-0.058921814
537613424828,0.018279895,-0.017125353,-0.08175182
537633613995,0.028374508,-8.881241E-4,-0.07291603
537653803109,0.04030697,0.0063893497,-0.080099106
537673992224,0.022065416,-5.9846044E-4,-0.06242466
537694181338,0.027387112,0.01192908,-0.030684471
537714370453,0.021591872,0.017513826,-0.042512894
537734559568,0.027495414,-0.010640144,-0.061153412
537754748682,0.023811236,0.0029949397,-0.09244156
537774937797,0.03658235,0.009672955,-0.06526375
537795126963,0.02337426,-4.5582652E-5,-0.061222076
537815316078,0.022703573,0.0048879683,-0.05485344
537835505193,0.017298773,-0.001112014,-0.09220886
537855694307,0.026785001,0.0053554624,-0.06301308
537875883422,0.017373756,0.0014922023,-0.057611465
537896072536,0.01790899,0.00679633,-0.047132492
537916261651,0.020521075,0.0043373257,-0.056490898
537936450765,0.029673725,0.008071482,-0.057691574
537956639880,0.032258913,0.015761375,-0.05769539
537976828995,0.024962425,-0.006483242,-0.078207016
537997018161,0.018599674,6.9114566E-4,-0.06360531
538017207276,-0.00357081,-0.006210819,-0.0635252
538037396390,0.017371818,0.015562087,-0.063596725
538057585505,-0.011302963,-0.0052789003,-0.060533524
538077774620,0.02451381,0.0026766956,-0.079919815
538097963734,0.021323904,0.017474234,-0.08351421
538118152849,0.035675272,0.015035033,-0.055965424
538138341963,0.018837601,0.012134209,-0.049523354
538158531286,0.0027040541,0.003721714,-0.061273575
538178721755,0.012194827,0.020621553,-0.074071884
538198912276,0.029024139,0.012762427,-0.06891155
538219102745,0.015862495,0.0012992918,-0.071082115
538239293265,0.008558542,0.0077718794,-0.0847044
538259483786,0.019996509,0.002502337,-0.06186962
538279674255,0.023602381,-0.0021461248,-0.060599327
538299864776,0.010082394,0.0038233101,-0.070773125
538320055245,0.017081216,-0.0056004524,-0.059548378
538340245765,0.015103281,0.0077896267,-0.06837559
538360436234,0.01989919,-0.018009022,-0.06006527
538380626755,0.013166726,0.004736617,-0.052503586
538400817276,0.019319892,0.017476767,-0.063658714
538421007745,-0.0015513599,6.453693E-4,-0.055574417
538441198265,0.023681536,-6.7189336E-5,-0.03499031
538461388734,0.011772811,0.013074771,-0.06665802
538481579255,0.031066686,0.014693201,-0.073916435
538501769724,0.026380941,0.0071139783,-0.097800255
538521960245,-0.0015812218,0.007869422,-0.08387756
538542150765,0.008999482,0.0140809715,-0.07144451
538562341234,0.032814845,0.013089448,-0.0633564
538582531755,-0.00813216,3.8026273E-4,-0.07038689
538602722224,0.0031039864,0.008489072,-0.05031967
538622912745,0.0039486736,0.0215704,-0.06791496
538643103265,0.014811337,0.0026314855,-0.07674599
538663293838,0.02533491,0.0056150258,-0.077941895
538683484515,0.010939971,-0.0092817545,-0.07501888
538703675245,-0.005318105,7.0518255E-4,-0.063941956
538723865974,-0.18810804,-0.0489026,-0.07038689
538744056703,-0.24937233,-0.0031068772,-0.059911728
538764247432,-0.063717246,0.0053137243,-0.047563553
538784438161,0.019095019,0.018578291,-0.07047272
538804628838,0.026486441,0.0378121,-0.06695652
538824819568,0.03538701,0.014551714,-0.055200577
538845010297,0.03210734,0.044140086,-0.05407524
538865201026,0.031495586,0.022668079,-0.0645504
538885391755,0.025762036,0.040188953,-0.066495895
538905582484,0.014467925,0.030601084,-0.04119587
538925773213,0.025139317,0.030470297,-0.06866932
538945963890,0.03231886,0.02934517,-0.06238079
538966154620,0.02395901,4.6922266E-4,-0.05826187
538986345349,0.014941275,0.03648609,-0.05107498
539006536078,0.017919019,0.031718835,-0.061779976
539026726807,0.018901035,0.02622509,-0.07173252
539046917536,0.021094725,0.028670251,-0.063570976
539067108265,0.02403453,0.028567314,-0.045378685
539087298943,0.018067196,0.008811787,-0.046649933
539107489672,0.018878743,0.025241822,-0.06297207
539127680401,0.015597999,0.029871866,-0.057204247
539147871130,0.0258722,0.033354253,-0.05144024
539168061859,0.02657181,0.012851134,-0.05960083
539188252588,0.025579602,0.012382641,-0.068964005
539208443370,0.0076444596,0.013513431,-0.050248146
539228634151,0.0051272064,0.025748909,-0.056755066
539248824880,-0.0011099875,0.02023068,-0.054955482
539269015661,0.0030142516,0.029183269,-0.07838631
539289206443,0.023866981,0.04584971,-0.06027031
539309397172,0.007081181,0.01787521,-0.06109619
539329587953,0.011617944,0.033389166,-0.06431961
539349778734,0.0011928678,0.03491111,-0.053625107
539369969463,0.006299734,0.027718678,-0.07660198
539390160245,0.0015455931,0.021832734,-0.065971375
539410351026,0.0037947297,0.018402427,-0.0611763
539430541755,0.006436527,0.024493858,-0.06289196
539450732536,0.004000768,0.022048146,-0.057127953
539470923318,0.020479754,0.021896869,-0.05884552
539491114047,0.008683383,0.026883736,-0.06700516
539511304828,0.01834695,0.030366465,-0.058841705
539531495609,0.024553746,0.01228033,-0.062434196
539551686338,0.010949329,6.6298246E-4,-0.06468773
539571877120,0.019923598,0.016516373,-0.050610542
539592067901,0.014959127,0.043893293,-0.07583809
539612258630,0.008926272,0.017940983,-0.0628891
539632449411,0.012216657,0.03456767,-0.05869484
539652640193,0.017054811,0.0248985,-0.072172165
539672830661,0.0051399916,0.0368115,-0.05405712
539693021078,0.014646187,0.031479582,-0.058699608
539713211495,0.010665119,0.024293363,-0.055708885
539733401911,0.008589879,0.020542547,-0.058101654
539753592380,0.016479,0.013339162,-0.06161976
539773782797,0.009195566,0.019352183,-0.054582596
539793973213,0.004598528,0.026478574,-0.050470352
539814163630,0.017386049,0.026522473,-0.0673933
539834354099,0.001800701,0.012705386,-0.06567001
539854544515,0.0070129186,0.0282671,-0.06678963
539874734932,0.022136599,0.030106947,-0.058558464
539894925349,-0.0041445345,0.022390783,-0.056313515
539915115818,0.030778363,0.034354106,-0.058552742
539935306234,0.004443288,0.025885284,-0.052791595
539955496651,0.014176786,0.016847849,-0.064471245
539975687068,-0.0117587,0.0012628138,-0.0420866
539995877536,0.02351746,0.022220358,-0.057282448
540016067953,-0.008769438,0.010223344,-0.07667351
540036258370,0.004912451,0.024563953,-0.07083416
540056448786,-0.0025428534,0.023572907,-0.05848503
540076639203,0.015912533,0.015918389,-0.047851562
540096829672,3.5335124E-4,0.017712146,-0.06783867
540117020088,0.0094188005,0.021225244,-0.059081078
540137210505,0.01038748,0.025282457,-0.044932365
540157400870,0.024097756,0.013340443,-0.05728054
540177590193,-0.00156115,0.008041859,-0.05069256
540197779568,0.04241082,0.01694028,-0.057652473
540217968943,0.009449109,0.01907219,-0.055408478
540238158265,0.010574549,0.0053108633,-0.062968254
540258347640,-0.017104074,0.018632859,-0.06363964
540278537015,0.02040942,0.019101605,-0.06468487
540298726338,-0.0048058033,0.019944608,-0.0780077
540318915713,0.016648442,0.032390997,-0.0719471
540339105088,0.0074293762,0.030605048,-0.06602764
540359294411,0.03216754,0.010016024,-0.05674076
540379483786,0.0016307682,0.033319205,-0.0671463
540399673161,0.026822224,0.021621048,-0.074412346
540419862484,-0.002353847,0.02608256,-0.06969738
540440051859,0.022090241,0.030155703,-0.060715675
540460241234,0.005501583,0.018677488,-0.059142113
540480430557,0.045174837,0.02223964,-0.08316612
540500619932,0.004454419,0.024692759,-0.059734344
540520809307,0.016551316,0.025351614,-0.058537483
540540998630,-0.0045025647,0.02278477,-0.04873085
540561188005,0.04199423,0.021578118,-0.06504917
540581377380,0.0017243475,0.025165468,-0.07275581
540601566703,0.017906219,0.010223269,-0.055685043
540621756078,0.009911776,0.024501503,-0.05927658
540641945453,0.04449965,0.011959389,-0.06803131
540662134984,0.0092442185,0.0040355176,-0.08210659
540682325036,0.014029324,0.021572083,-0.06975269
540702515088,-9.353608E-4,0.01888685,-0.08037758
540722705193,0.012707919,0.02223213,-0.06398487
540742895245,0.011630356,0.016231537,-0.05155945
540763085297,0.018156573,0.045819074,-0.055823326
540783275349,0.0015259087,0.018682048,-0.059345245
540803465401,0.027855486,0.026527435,-0.07349396
540823655453,0.008195505,0.009798259,-0.07880688
540843845557,0.021722883,0.023064673,-0.06585312
540864035609,0.020243794,0.01948762,-0.07341671
540884225661,0.0035731941,0.01963967,-0.04534626
540904415713,0.028880358,0.038843855,-0.0651865
540924605765,-0.010594755,0.02014938,-0.07237244
540944795818,0.030572727,0.022585958,-0.06241417
540964985922,0.011975691,0.01849085,-0.07229233
540985175974,0.039326295,0.045571283,-0.030070305
541005366026,-0.0017757416,0.035728097,-0.077010155
541025556078,0.026060134,0.023350522,-0.061205864
541045746130,-0.0032970011,0.01618652,-0.04308796
541065936182,0.0347867,0.02109915,-0.04652691
541086126286,-0.0018108487,-0.0059754997,-0.071302414
541106316338,0.004417196,0.0062138587,-0.08066177
541126506390,-0.021892682,0.034873158,-0.06965923
541146696443,0.024557263,0.020487726,-0.045622826
541166886078,-0.004193783,0.0163631,-0.070628166
541187075401,0.01079908,0.025330648,-0.072423935
541207264724,0.021245062,0.021771416,-0.044270515
541227454047,0.019620359,0.009102449,-0.072571754
541247643370,0.00787285,0.008486122,-0.062540054
541267832693,-0.003595665,0.024164334,-0.06433487
541288022015,0.0030838847,0.025582254,-0.050710678
541308211338,0.012039766,0.027604133,-0.08507347
541328400661,0.023323312,0.021734849,-0.066729546
541348589984,0.0017493963,0.0378125,-0.059845924
541368779307,0.1098859,0.04188478,-0.08678055
541388968630,0.110101864,0.036326632,-0.03219509
541409157953,0.0080507845,0.03455329,-0.080319405
541429347276,0.014328375,0.0037977695,-0.04975891
541449536599,0.007581219,0.026682734,-0.043981552
541469725922,-0.0019396842,0.028270632,-0.057374
541489915245,-0.0013684928,0.035210803,-0.07142544
541510104568,-0.0025382936,0.0057754815,-0.07903957
541530293890,0.009038061,0.027617693,-0.03559971
541550483213,0.018640801,0.015797094,-0.0632391
541570672536,0.0024804473,0.03181006,-0.0761919
541590861911,0.007249683,-4.2815506E-4,-0.04040718
541611051234,0.021732256,0.02184461,-0.07514191
541631240557,0.010481223,0.039245024,-0.09266281
541651429880,0.0036974102,0.02290003,-0.0561409
541671619515,-8.4482133E-4,0.019381464,-0.072836876
541691809255,0.0048529506,0.021260798,-0.06855297
541711998995,0.01968202,0.013837323,-0.07028675
541732188786,0.024159327,0.016149178,-0.073275566
541752378526,0.017829716,0.026221931,-0.057398796
541772568265,0.0052073896,0.027234204,-0.07095146
541792758005,0.013780519,0.012338512,-0.06682396
541812947797,0.009715289,0.016703635,-0.06734753
541833137536,0.019205421,0.034114778,-0.056866646
541853327276,-0.0016691089,0.03652206,-0.046833992
541873517015,0.007366672,0.019164056,-0.07565594
541893706807,0.02353768,0.0241151,-0.061657906
541913896547,0.007811755,0.019811839,-0.0544672
541934086286,0.021590456,0.011978433,-0.0767746
541954276026,0.015748069,0.018606678,-0.044513702
541974465818,0.024704918,0.016724482,-0.07086468
541994655557,0.008587033,0.023234993,-0.05342579
542014845297,-0.006933585,0.029943451,-0.031716347
542035035036,0.002994582,0.028519616,-0.05866146
542055224776,0.012049645,0.035684444,-0.07341194
542075414568,0.0076922625,0.034264185,-0.068618774
542095604307,0.0231345,0.034478836,-0.07400608
542115794047,0.0041829795,0.022227183,-0.057541847
542135983786,0.012216389,0.012232073,-0.05580902
542156173578,0.014082342,0.024853185,-0.06270027
542176363422,0.014069319,0.0031584874,-0.06868744
542196553265,0.007998601,0.030473202,-0.0792408
542216743161,0.01930523,0.013015643,-0.07205105
542236933005,0.009928346,0.019037269,-0.0757246
542257122849,-0.0050335675,0.036404215,-0.05229187
542277312745,-0.0035355687,0.02542644,-0.04113865
542297502588,-0.011556104,0.029889643,-0.07939243
542317692432,0.015183762,0.025369927,-0.044137
542337882328,0.022394598,0.02259124,-0.07056713
542358072172,0.018775806,0.03641408,-0.060536385
542378262015,0.0066686124,0.01678136,-0.03066349
542398451911,0.009005532,0.014383741,-0.051246643
542418641755,0.009467408,0.031839527,-0.04600525
542438831599,0.011928827,0.04278604,-0.07175827
542459021495,0.01643543,0.01552777,-0.071154594
542479211338,0.0031051338,0.04030522,-0.057826996
542499401182,0.0078087896,0.010264799,-0.07533932
