Time (s),x,y,z
537261293109,-2.4469814,-1.1683947,9.813677
537263816807,-4.199274,-0.042519744,8.8650675
537266340505,9.346559,0.909683,10.813789
537268864255,-7.6355877,-1.552869,9.316016
537271387953,2.0044167,0.85698247,9.494479
537273911651,5.8192163,-0.14851967,10.362841
537276435349,-9.339971,-1.1588128,9.137553
537278959047,7.6948757,1.3372759,10.029869
537281482745,-0.6006662,-0.9761575,9.898716
537284006443,-6.1432047,-0.44256467,9.076468
537286530140,9.814875,1.2510387,10.414942
537289053838,-6.6941648,-1.6786315,9.598682
537291577536,0.079050794,0.7216379,9.274096
537294101130,7.172662,0.047909573,10.448479
537296624776,-9.264513,-1.3612307,9.213011
537299148422,6.407306,1.3468578,9.837631
537301672068,0.8264401,-0.7162481,10.109518
537304195713,-6.703148,-0.6875023,9.039338
537306719359,9.236366,1.2797844,10.377812
537309243005,-5.558708,-1.4857956,9.5980835
537311766651,-0.80607855,0.5533555,9.203428
537314290297,7.1636786,0.21199985,10.467044
537316813943,-8.507542,-1.1875585,9.297451
537319337588,5.521578,1.1594117,9.771756
537321861234,1.1085078,-0.56712955,10.133473
537324384880,-6.4013176,-0.6443837,9.100423
537326908526,8.590186,0.9959202,10.311936
537329432172,-5.0514655,-1.2743946,9.644795
537331955818,-0.67193174,0.49586406,9.264513
537334479463,6.6181083,0.10120897,10.462253
537337003109,-7.9619718,-1.0528128,9.348954
537339526755,5.43594,1.0438298,9.823258
537342050401,0.86476773,-0.58150244,10.062806
537344574047,-5.9803123,-0.5575476,9.067485
537347097693,8.288356,0.909683,10.330502
537349621338,-5.1377025,-1.2648127,9.602875
537352144984,-0.42280197,0.5102369,9.236366
537354668578,6.330651,-0.019163828,10.386795
537357192224,-7.8853164,-1.0096942,9.302242
537359715870,5.535951,1.0683835,9.813677
537362239515,0.6252199,-0.6731295,10.128682
537364763161,-5.783883,-0.4952652,9.024965
537367286807,8.321893,0.9384287,10.330502
537369810453,-5.310177,-1.2839766,9.6310215
537372334099,-0.1934349,0.5677284,9.278886
537374857745,6.2587867,-0.0670734,10.467044
537377381390,-7.9763446,-0.99532133,9.302242
537379905036,5.7084255,1.0827563,9.804693
537382428682,0.4575364,-0.71145713,10.053225
537384952328,-5.7216005,-0.5096381,9.067485
537387475974,8.403338,0.9623835,10.292772
537389999620,-5.434742,-1.331886,9.635813
537392523265,-0.08324288,0.60665494,9.259723
537395046911,6.22525,-0.043118615,10.401168
537397570557,-8.04761,-1.0629936,9.33518
537400094203,5.866527,1.1546206,9.82805
537402617849,0.41920874,-0.7162481,10.067597
537405141495,-5.664109,-0.48089233,9.071677
537407665140,8.432084,1.0007112,10.32571
537410188786,-5.549126,-1.3803945,9.677733
537412712432,-0.020960437,0.64977354,9.254931
537415236078,6.186922,-0.119773924,10.396377
537417759672,-8.071565,-1.03844,9.259723
537420283318,5.8856907,1.1402478,9.818468
537422806963,0.31440654,-0.8126661,10.090954
