Time (s),x,y,z
2302760609739,-0.008255793,0.006791055,0.09627319
2302763132864,-0.0018642112,3.9947382E-4,0.045140542
2302765655989,0.006657897,0.0035952644,-0.06884266
2302768179114,-0.0050600017,-0.0017310532,0.028096326
2302770702239,-0.003994738,0.0035952644,0.020639481
2302773225312,0.002396843,0.0035952644,-0.05819002
2302775748437,-0.003994738,-0.0049268436,0.05685844
2302778271562,0.0013315794,0.004660528,-0.02197106
2302780794687,-7.9894764E-4,-0.0027963168,-0.026232114
2302783317812,-0.0018642112,-0.005992107,0.06005423
2302785840937,0.006657897,0.004660528,-0.05179844
2302788364062,-0.0029294747,-0.0070573706,0.01744369
2302790887187,-0.0018642112,-0.0017310532,0.031292114
2302793410312,0.002396843,0.0035952644,-0.053928968
2302795933437,-0.0050600017,-0.0038615803,0.04833633
2302798456562,0.00452737,0.0057257917,-0.010253161
2302800979687,-7.9894764E-4,-0.0038615803,-0.026232114
2302803502812,-7.9894764E-4,-0.005992107,0.054727912
2302806025937,0.00452737,0.007856319,-0.04540686
2302808549062,-0.0061252653,-0.0070573706,0.011052109
2302811072187,-0.0018642112,3.9947382E-4,0.030226853
2302813595312,0.0013315794,0.006791055,-0.050733175
2302816118437,-0.0050600017,-0.0027963168,0.043010015
2302818641562,0.0034621065,0.004660528,-0.013448952
2302821164687,-7.9894764E-4,-0.0017310532,-0.02516685
2302823687812,-0.003994738,-0.0049268436,0.049401596
2302826210937,0.00452737,0.008921582,-0.041145805
2302828734062,-0.0029294747,-0.0027963168,0.015313163
2302831257187,0.0013315794,-0.0017310532,0.022770008
2302833780312,2.6631588E-4,0.0035952644,-0.048602648
2302836303437,-0.007190529,-0.0038615803,0.045140542
2302838826562,0.0034621065,0.0025300009,-0.012383688
2302841349687,-0.0018642112,-0.0027963168,-0.023036323
2302843872812,-0.003994738,-0.0049268436,0.046205804
2302846395937,0.002396843,0.0057257917,-0.042211067
2302848919010,-0.0050600017,-0.0049268436,0.01744369
2302851442135,2.6631588E-4,-0.0027963168,0.022770008
2302853965260,0.0034621065,0.0035952644,-0.04647212
2302856488385,-0.003994738,-0.0038615803,0.040879488
2302859011510,0.00452737,0.004660528,-0.019840533
2302861534635,2.6631588E-4,-0.0017310532,-0.01877527
2302864057760,-7.9894764E-4,-0.0017310532,0.04727107
2302866580885,0.006657897,0.007856319,-0.044341594
2302869104010,-0.0029294747,-0.005992107,0.015313163
2302871627135,-7.9894764E-4,-6.657897E-4,0.021704745
2302874150260,0.002396843,0.004660528,-0.04540686
2302876673385,-0.003994738,-0.0049268436,0.043010015
2302879196510,0.002396843,0.006791055,-0.023036323
2302881719635,0.0013315794,-6.657897E-4,-0.023036323
2302884242760,-0.003994738,-0.0038615803,0.04833633
2302886765885,0.002396843,0.004660528,-0.044341594
2302889289010,-0.007190529,-0.005992107,0.018508954
2302891812135,2.6631588E-4,3.9947382E-4,0.022770008
2302894335260,0.002396843,0.0014647373,-0.04647212
2302896858385,-0.0061252653,-0.0049268436,0.044075277
2302899381510,0.00452737,0.0057257917,-0.019840533
2302901904635,-0.0018642112,-0.0017310532,-0.020905796
2302904427760,-0.0029294747,-0.0017310532,0.04727107
2302906950885,0.00452737,0.008921582,-0.04540686
2302909474010,-0.0029294747,-0.0038615803,0.019574217
2302911997135,2.6631588E-4,3.9947382E-4,0.021704745
2302914520260,0.00452737,0.004660528,-0.04540686
2302917043385,-0.003994738,-0.0017310532,0.043010015
2302919566510,0.00452737,0.006791055,-0.017710006
2302922089583,-7.9894764E-4,-0.008122634,-0.019840533
2302924612708,-0.0018642112,-0.0038615803,0.043010015
2302927135833,0.0077231606,0.008921582,-0.04647212
2302929658958,-0.0050600017,-0.0027963168,0.018508954
2302932182083,0.0013315794,0.0025300009,0.018508954
2302934705208,0.0034621065,0.0014647373,-0.04647212
2302937228333,-0.0050600017,-0.005992107,0.044075277
2302939751458,0.0013315794,0.006791055,-0.01877527
2302942274583,-0.003994738,-0.005992107,-0.017710006
2302944797708,-0.0050600017,-0.005992107,0.043010015
2302947320833,0.002396843,0.007856319,-0.047537386
2302949843958,-0.0050600017,-0.009187898,0.019574217
2302952367083,2.6631588E-4,0.0014647373,0.018508954
2302954890208,2.6631588E-4,0.004660528,-0.044341594
2302957413333,-0.0050600017,-0.0049268436,0.044075277
2302959936458,0.002396843,0.0057257917,-0.020905796
2302962459583,-0.0029294747,-0.0049268436,-0.016644742
2302964982708,-7.9894764E-4,-0.0017310532,0.045140542
2302967505833,0.0055926335,0.009986846,-0.04540686
2302970028958,-0.003994738,-0.0038615803,0.022770008
2302972552083,2.6631588E-4,0.0014647373,0.018508954
2302975075208,0.0013315794,0.0035952644,-0.041145805
2302977598333,-0.003994738,-0.005992107,0.04727107
2302980121458,0.002396843,0.006791055,-0.017710006
2302982644583,-7.9894764E-4,-0.005992107,-0.009187898
2302985167708,2.6631588E-4,-0.0070573706,0.043010015
2302987690833,0.0034621065,0.008921582,-0.04647212
2302990213958,-0.0029294747,-0.0070573706,0.021704745
2302992737083,2.6631588E-4,3.9947382E-4,0.018508954
2302995260155,2.6631588E-4,0.0014647373,-0.042211067
2302997783280,-0.003994738,-0.0038615803,0.046205804
2303000306405,0.00452737,0.006791055,-0.020905796
2303002829530,-0.0029294747,-0.0017310532,-0.014514215
2303005352655,-0.0029294747,-0.0049268436,0.043010015
2303007875780,0.0055926335,0.006791055,-0.04540686
2303010398905,-0.003994738,-0.0070573706,0.020639481
2303012922030,-7.9894764E-4,0.0025300009,0.012117373
2303015445155,-7.9894764E-4,0.0014647373,-0.043276332
2303017968280,-0.0050600017,-0.005992107,0.04727107
2303020491405,0.006657897,0.006791055,-0.023036323
2303023014530,-7.9894764E-4,-0.005992107,-0.014514215
2303025537655,-0.003994738,-0.005992107,0.044075277
2303028060780,0.002396843,0.0057257917,-0.04540686
2303030583905,-0.0061252653,-0.005992107,0.020639481
2303033107030,0.0034621065,0.0014647373,0.016378427
2303035630155,2.6631588E-4,0.0014647373,-0.04008054
2303038153280,-0.0050600017,-0.008122634,0.044075277
2303040676405,0.002396843,0.0035952644,-0.020905796
2303043199530,-7.9894764E-4,-0.005992107,-0.011318425
2303045722655,-7.9894764E-4,-0.008122634,0.04194475
2303048245780,0.006657897,0.008921582,-0.044341594
2303050768905,-0.0018642112,-0.0049268436,0.024900535
2303053292030,2.6631588E-4,0.0035952644,0.012117373
