Time (s),x,y,z
488082709679,-0.0013315794,0.026631588,-0.07270423
488085233221,0.01038632,0.03928159,-0.097205296
488087756762,-0.0013315794,-0.004394212,0.026365273
488090280356,-0.0013315794,-0.015046847,0.05299686
488092803898,0.003994738,0.019041585,-0.07909582
488095327439,-0.0034621065,-0.006391581,0.060453705
488097850981,-2.6631588E-4,-0.004261054,7.9894764E-4
488100374523,7.9894764E-4,0.015978953,-0.05566002
488102898064,-0.0034621065,-0.013848426,0.0838895
488105421606,7.9894764E-4,0.010652635,-0.053529494
488107945148,-0.0034621065,0.0053263176,-0.0077231606
488110468689,-0.00452737,-0.017044216,0.06471476
488112992231,0.003994738,0.015978953,-0.07909582
488115515773,-0.002396843,-0.0010652635,0.046605278
488118039314,-0.002396843,-0.010652635,0.014647374
488120562856,0.003994738,0.013848426,-0.0620516
488123086398,-2.6631588E-4,-0.014913689,0.07643266
488125609939,0.0029294747,0.0053263176,-0.038615804
488128133533,7.9894764E-4,0.011717899,-0.017310532
488130657075,-0.0034621065,-0.013848426,0.06471476
488133180616,0.0061252653,0.017044216,-0.06950845
488135704158,-0.002396843,-0.0031957906,0.035952643
488138227700,-0.0013315794,-0.009587372,0.01877527
488140751241,0.0018642112,0.014913689,-0.061119493
488143274783,-0.002396843,-0.012783162,0.065646864
488145798325,0.003994738,0.004261054,-0.03555317
488148321866,-0.0013315794,0.006391581,-0.019574217
488150845408,-0.0055926335,-0.013848426,0.05499423
488153368950,0.0018642112,0.014913689,-0.06644581
488155892491,-2.6631588E-4,-0.008522108,0.034754224
488158416033,-0.0013315794,-0.009587372,0.014514215
488160939575,0.0029294747,0.012783162,-0.05685844
488163463169,-0.0013315794,-0.013848426,0.062451076
488165986710,0.0029294747,0.004261054,-0.036618434
488168510252,7.9894764E-4,0.006391581,-0.013182636
488171033794,-2.6631588E-4,-0.014913689,0.05499423
488173557335,0.0050600017,0.014913689,-0.06005423
488176080877,-0.002396843,-0.0053263176,0.037950013
488178604419,-2.6631588E-4,-0.008522108,0.011318425
488181127960,0.003994738,0.014913689,-0.05366265
488183651502,-0.002396843,-0.013848426,0.06138581
488186175044,7.9894764E-4,0.0010652635,-0.039814223
488188698585,-2.6631588E-4,0.0053263176,-0.008921582
488191222127,-2.6631588E-4,-0.012783162,0.052863702
488193745669,0.0050600017,0.012783162,-0.061119493
488196269210,-0.0013315794,-0.004261054,0.03901528
488198792752,-2.6631588E-4,-0.0053263176,0.008122634
488201316346,-2.6631588E-4,0.011717899,-0.050466858
488203839887,-0.002396843,-0.012783162,0.062451076
488206363429,0.003994738,0.010785793,-0.040879488
488208886971,-2.6631588E-4,0.004394212,-0.0057257917
488211410512,-0.0013315794,-0.017976321,0.052863702
488213934054,0.0018642112,0.017177375,-0.06218476
488216457596,-0.0013315794,-0.0030626326,0.03901528
488218981137,-0.0013315794,-0.0041278964,0.0049268436
488221504679,0.0029294747,0.0139815835,-0.05366265
488224028221,-2.6631588E-4,-0.015845794,0.065646864
488226551762,0.0029294747,0.006524739,-0.03874896
488229075304,-2.6631588E-4,0.004394212,-0.007856319
488231598846,-0.0034621065,-0.013715268,0.049667913
488234122387,0.0029294747,0.016112112,-0.06431528
488236645929,-3.9947382E-4,-0.00519316,0.042211067
488239169523,-3.9947382E-4,-0.0041278964,0.008122634
488241693064,6.657897E-4,0.015046847,-0.049401596
488244216606,-0.0025300009,-0.014780532,0.066712126
488246740148,0.0038615803,0.0075900024,-0.043010015
488249263689,6.657897E-4,0.006524739,-0.0057257917
488251787231,-0.0014647373,-0.013715268,0.050733175
488254310773,0.0049268436,0.019307902,-0.06431528
488256834314,-0.0014647373,-0.007323687,0.042211067
488259357856,-0.0014647373,-0.007323687,0.0027963168
488261881398,-3.9947382E-4,0.01291632,-0.04727107
488264404939,-0.004660528,-0.013715268,0.065646864
488266928481,0.0049268436,0.0054594753,-0.040879488
488269452023,-3.9947382E-4,0.0054594753,-0.0057257917
488271975564,-0.0014647373,-0.013715268,0.04540686
488274499158,0.0038615803,0.018242639,-0.06325002
488277022700,-0.0014647373,-0.0030626326,0.041145805
488279546241,-3.9947382E-4,-0.0062584234,0.0027963168
488282069783,-0.0014647373,0.010785793,-0.04833633
488284593325,-0.0025300009,-0.014780532,0.0645816
488287116866,6.657897E-4,0.008655266,-0.044075277
488289640408,-3.9947382E-4,0.002263685,-0.0057257917
488292163950,-0.0035952644,-0.014780532,0.047537386
488294687491,0.0027963168,0.016112112,-0.067511074
488297211033,-3.9947382E-4,-0.0030626326,0.042211067
488299734575,-0.0014647373,-0.0041278964,0.0027963168
488302258116,0.0017310532,0.010785793,-0.049401596
488304781658,-0.0014647373,-0.019041585,0.065646864
488307305200,0.0017310532,0.0075900024,-0.040879488
488309828741,-0.0025300009,0.004394212,-0.004660528
488312352335,-0.0025300009,-0.014780532,0.047537386
488314875877,0.0038615803,0.017310532,-0.06431528
488317399419,-0.004660528,-0.0050600017,0.044341594
488319922960,-3.9947382E-4,-0.003994738,0.0017310532
488322446502,0.0017310532,0.011984214,-0.046205804
488324970044,-0.0025300009,-0.016777901,0.06351634
488327493585,-3.9947382E-4,0.008788424,-0.043010015
488330017127,-3.9947382E-4,0.00452737,6.657897E-4
488332540669,-0.0014647373,-0.014647374,0.047537386
488335064210,0.0049268436,0.017310532,-0.06644581
488337587752,-0.0035952644,-0.0029294747,0.042211067
488340111294,-0.0014647373,-0.0029294747,6.657897E-4
488342634835,0.0017310532,0.016245268,-0.046205804
488345158377,-0.0014647373,-0.014647374,0.0645816
488347681971,0.0027963168,0.008788424,-0.04727107
488350205512,0.0017310532,0.00452737,-3.9947382E-4
488352729054,-3.9947382E-4,-0.014647374,0.048602648
488355252596,0.0027963168,0.013049478,-0.06431528
