Time (s),x,y,z
565342753526,0.17307332,-0.094022535,9.682525
565345277015,0.19163829,-0.06527679,9.805292
565347800557,0.19702812,-0.079649664,9.66875
565350324047,0.18744619,-0.11318636,9.725044
565352847588,0.19223715,-0.12755923,9.771756
565355371130,0.21140099,-0.09881349,9.762174
565357894620,0.18325411,-0.11797732,9.7765465
565360418161,0.21199985,-0.011977393,9.724445
565362941651,0.19762698,-0.064677924,9.70588
565365465193,0.19283602,-0.11258749,9.714863
565367988682,0.21679081,-0.09821462,9.7100725
565370512224,0.17906202,-0.079050794,9.7430105
565373035765,0.19822586,-0.064677924,9.761575
565375559255,0.21738967,-0.10300558,9.733428
565378082797,0.18864393,-0.055096008,9.747801
565380606286,0.19882472,-0.11258749,9.723846
565383129828,0.25152525,-0.107796535,9.681926
565385653370,0.18924281,-0.11258749,9.733428
565388176859,0.17007898,-0.10300558,9.751993
565390700401,0.18924281,-0.122169405,9.751993
565393223890,0.18984167,-0.078451924,9.742412
565395747432,0.18984167,-0.06887001,9.770558
565398270922,0.20421454,-0.092824794,9.732829
565400794463,0.20421454,-0.08803384,9.751394
565403318005,0.18564959,-0.10240671,9.742412
565405841495,0.20481342,-0.09761575,9.676536
565408365036,0.23355916,-0.08803384,9.709474
565410888526,0.21439533,-0.107197665,9.798106
565413412068,0.17127672,-0.053898267,9.695101
565415935609,0.20062132,-0.04910731,9.704083
565418459099,0.21020325,-0.04431635,9.760377
565420982640,0.22936708,-0.08743497,9.718456
565423506130,0.16708463,-0.09701688,9.769959
565426029672,0.14851967,-0.09701688,9.788525
565428553213,0.21080211,-0.11138975,9.72744
565431076703,0.1676835,-0.08743497,9.778942
565433600245,0.15810159,-0.106598794,9.73223
565436123734,0.1772654,-0.092225924,9.708276
565438647276,0.21619193,-0.13055357,9.703485
565441170765,0.21619193,-0.106598794,9.750795
565443694307,0.19223715,-0.06288131,9.736423
565446217849,0.16349141,-0.11618071,9.726841
565448741338,0.22577386,-0.091627054,9.754988
565451264880,0.18804507,-0.08204514,9.675338
565453788370,0.18804507,-0.07246323,9.707677
565456311911,0.19762698,-0.10120897,9.759179
565458835453,0.20241794,-0.06767227,9.693903
565461358943,0.20780776,-0.12995471,9.712468
565463882484,0.20780776,-0.12995471,9.745405
565466405974,0.18864393,-0.091627054,9.693304
565468929515,0.18864393,-0.058090355,9.754389
565471453057,0.21738967,-0.057491485,9.768163
565473976547,0.17966089,-0.0670734,9.768163
565476500088,0.20840663,-0.14911854,9.759179
565479023578,0.21798855,-0.15390949,9.655575
565481547120,0.26110715,-0.08623723,9.721451
565484070609,0.1754688,-0.119773924,9.71666
565486594151,0.18984167,-0.08623723,9.702287
565489117693,0.22337838,-0.095819145,9.768163
565491641182,0.18984167,-0.062282443,9.781937
565494164724,0.18025976,-0.0670734,9.739417
565496688213,0.19044055,-0.057491485,9.805292
565499211755,0.19044055,-0.09102818,9.748999
565501735297,0.24314107,-0.119773924,9.734626
565504258786,0.21439533,-0.11498297,9.83344
565506782328,0.18624845,-0.06647453,9.678332
565509305818,0.21978515,-0.095220275,9.743609
565511829359,0.20062132,-0.0808474,9.7484
565514352901,0.22457612,-0.047310703,9.725044
565516876390,0.22936708,-0.1676835,9.79032
565519399932,0.16289254,-0.15271176,9.687315
565521923422,0.21559307,-0.056892615,9.720253
565524446963,0.2347569,-0.08563836,9.808886
565526970453,0.1772654,-0.104802184,9.644795
565529493995,0.20661002,-0.0808474,9.738818
565532017536,0.20661002,-0.10001123,9.724445
565534541026,0.2305648,-0.07066662,9.696299
565537064568,0.2305648,-0.094621405,9.78553
565539588057,0.15870045,-0.15271176,9.653778
565542111599,0.21199985,-0.10420331,9.719654
565544635140,0.23595464,-0.08503949,9.747801
