Time (s),x,y,z
513120843846,0.010041088,0.0018122271,-0.08822155
513141033377,-0.0031318218,-0.017276801,-0.06882954
513161222856,-0.002668485,-0.0070008487,-0.074147224
513181412283,-0.013266817,0.009640306,-0.07841301
513201601762,-0.008267969,0.0029663146,-0.084329605
513221791189,0.0028443784,-0.009436235,-0.058127403
513241980616,-0.017694086,-0.008611411,-0.05160904
513262170096,0.0018277019,0.0034878254,-0.068675995
513282359523,-0.015174672,-0.021460451,-0.06709576
513302549002,-0.022526756,2.4020672E-5,-0.06881523
513322738429,-0.012316823,-0.017553382,-0.053020477
513342927856,-0.10287236,-0.008957788,-0.085962296
513363117335,-0.01613842,-0.0069629773,-0.068514824
513383306762,-0.024256513,-0.007750824,-0.06732178
513403496189,-0.021713316,-0.012096584,-0.07914543
513423685669,-0.021117404,0.010122828,-0.06701374
513443875096,-0.030029848,0.0026282594,-0.051735878
513464064575,-0.005518228,-0.021866694,-0.059967995
513484254002,-0.011004537,-0.019660525,-0.05532646
513504443429,-0.030075625,-0.013748147,-0.060120583
513524632908,-0.013221011,-0.022829197,-0.07524395
513544822335,-0.0072948188,0.0023358762,-0.072250366
513565011762,-0.03659703,-0.010809094,-0.043504715
513585201241,-0.034343764,-0.012054883,-0.077635765
513605390669,-0.015089005,-0.003910713,-0.058851242
513625580148,-0.018564552,-0.009197906,-0.075844765
513645769575,-0.022325963,-0.011543237,-0.072924614
513665958794,-0.027287677,-0.016874567,-0.05712223
513686147856,-0.030159026,-0.008386128,-0.07643795
513706336919,-0.014783651,-0.026712343,-0.06476021
513726525981,-0.02323927,-0.0076030493,-0.07463646
513746715044,-0.01671733,-0.017706878,-0.053525925
513766904106,-0.02761145,-0.0016423985,-0.082344055
513787093169,-0.0139002055,-0.005912401,-0.06939411
513807282231,-0.012115896,-0.0040865317,-0.08870697
513827471294,-0.02962415,-6.547421E-4,-0.075904846
513847660356,-0.035592914,0.0023065656,-0.063554764
513867849419,-0.016054317,-0.018749274,-0.0764246
513888038481,-0.015492529,-0.014471881,-0.051120758
513908227544,-0.020266697,-0.009192511,-0.070586205
513928416606,-0.014968827,-0.017649956,-0.048801422
513948605669,-0.022738338,-0.018379204,-0.048279762
513968794731,-0.02290386,-0.031637594,-0.0746994
513988983794,-0.0014370233,-0.005114034,-0.064144135
514009172856,-0.0049187094,-0.0091266185,-0.05995083
514029361919,-0.033669814,-0.007176891,-0.057556152
514049550981,-0.0026985407,-0.014962584,-0.06533909
514069739991,0.0044409484,0.015985921,-0.07252598
514089929054,0.029117197,-0.021761566,-0.064291
514110118116,0.013551563,-0.0095503405,-0.07611847
514130307179,0.0049901307,-0.010692596,-0.08015633
514150496241,-0.0134013,-0.01191166,-0.08427715
514170684471,-0.006206095,-0.025261447,-0.07896328
514190872283,0.003330484,-0.017348118,-0.0707283
514211060148,-0.0028591603,-0.0051075965,-0.07326698
514231247960,-0.007359937,-0.0068553984,-0.0826149
514251435825,0.003837794,0.0033497885,-0.07010841
514271623637,0.012199134,-0.022568844,-0.07961464
514291811502,0.0067855865,-0.02331844,-0.075572014
514311999366,0.013920635,-0.008137062,-0.06089592
514332187179,-0.009758383,-0.008165196,-0.06606865
514352375044,0.006337166,-0.019534439,-0.04675293
514372562856,-0.0061214566,-0.0038401708,-0.07033539
514392750721,-0.010352984,-0.0062148646,-0.071982384
514412938585,-0.0035713762,-0.006190397,-0.0655489
514433126398,0.016584039,-0.030385315,-0.09039974
514453314262,0.008438274,-0.020660467,-0.059708595
514473502075,0.007923529,-0.0032703504,-0.07206249
514493689939,-0.0020359308,-0.011623479,-0.050883293
514513877752,3.619939E-4,-0.013938919,-0.07505989
514534065616,-2.5384128E-4,-0.02426584,-0.058667183
514554253481,-0.0010065436,-0.014573991,-0.07273388
514574441294,0.0019422323,-5.64985E-4,-0.08613205
514594629158,6.7554414E-4,-0.01188606,-0.06621742
514614816971,1.1064112E-4,0.0067238584,-0.095638275
514635004835,-0.004641995,0.018503733,-0.07856846
514655192700,-0.011193067,-0.007397838,-0.072203636
514675380460,0.005327061,-0.014107183,-0.06276989
514695568325,-3.1352043E-5,0.0033582672,-0.066287994
514715756189,6.49333E-4,0.00826598,-0.06561375
514735944054,-0.008037433,0.005913146,-0.071671486
514756131919,0.004698813,-0.010945268,-0.09263325
514776319783,-0.0016685128,-0.013832577,-0.06568813
514796507648,0.008929685,-0.0018519312,-0.049289703
514816695512,-0.0114678,-0.0056260973,-0.085746765
514836883377,0.0017898381,-0.008514211,-0.08507347
514857071241,-0.0059244633,-0.009704426,-0.06823349
514877259106,0.005531028,-0.009657688,-0.06523895
514897446919,-0.0073211193,-0.0037954152,-0.06463528
514917634783,-0.0038526803,-0.010874942,-0.06934452
514937822648,0.0021213293,0.016817652,-0.05998707
514958010512,-0.0037327707,0.008813739,-0.08461857
514978198377,0.0010383129,-3.0584633E-4,-0.072193146
514998386241,0.020456508,-0.008447379,-0.061255455
515018574106,-0.0011770278,-0.0044091567,-0.06357384
515038761971,-0.00265871,-0.0036356822,-0.06821728
515058949835,-0.0041397065,-0.0010384396,-0.06934166
515079137700,-0.009535924,-0.008893684,-0.0765295
515099325564,-0.004653156,-0.002956286,-0.060063362
515119513377,0.0025140494,0.0032324493,-0.06590462
515139701241,-0.0202173,0.0069450885,-0.08005428
515159889471,-0.0021838844,0.004338078,-0.06755829
515180079054,0.006201133,-0.007641591,-0.06823063
515200268637,0.013909712,0.0055508614,-0.05415821
