Time (s),x,y,z
512973125096,0.1754688,-0.1143841,9.304638
512975648794,0.39944604,-0.16289254,10.239473
512978172491,-0.0029943483,-0.061683573,9.516638
512980696189,0.2605083,-0.028146872,9.535202
512983219887,0.2605083,-0.06647453,10.141258
512985743533,0.04551409,-0.109593146,9.23457
512988267231,0.404237,-0.06647453,9.953214
512990790929,0.11677958,-0.07126549,9.938841
512993314627,0.13594341,-0.119175054,9.267508
512995838325,0.32818055,-0.109593146,10.26762
512998362023,0.026949134,-0.15750271,9.539394
513000885669,0.30422577,-0.0035932178,9.464536
513003409366,0.3138077,-0.109593146,10.216117
513005933064,-0.006587566,-0.13833888,9.243553
513008456762,0.37728786,-0.07066662,9.905304
513010980460,0.123966016,-0.07545757,9.933451
513013504158,0.105401054,-0.05090392,9.195643
513016027804,0.37848562,-0.05090392,10.195756
513018551502,0.04431635,-0.21379647,9.556762
513021075200,0.26949134,-0.08384175,9.486095
513023598898,0.3036269,-0.025751395,10.270016
513026122596,-0.025751395,-0.10300558,9.297451
513028646294,0.41501665,-0.09761575,9.841824
513031169991,0.14732192,-0.07366096,9.968185
513033693637,0.10001123,-0.015570611,9.235767
513036217335,0.39285848,-0.0011977393,10.183778
513038741033,0.05030505,-0.15331063,9.544785
513041264731,0.25571734,-0.047310703,9.497474
513043788429,0.3371636,-0.119175054,10.249055
513046312127,-0.0077853054,-0.12935585,9.291462
513048835773,0.43717483,-0.09042931,9.878355
513051359471,0.17846315,-0.052101657,9.9675865
513053883169,0.11618071,-0.028146872,9.23996
513056406866,0.3653105,-0.056892615,10.202343
513058930564,0.04431635,-0.19163829,9.554366
513061454262,0.28326535,-0.0670734,9.489089
513063977908,0.34075683,-0.095819145,10.254445
513066501606,-0.027548004,-0.16289254,9.291462
513069025304,0.41262117,-0.105401054,9.850806
513071549002,0.17307332,-0.0335367,9.968185
513074072700,0.105999924,-0.014372871,9.211813
513076596398,0.4024404,-0.0670734,10.202942
513079120044,0.043118615,-0.20181906,9.597485
513081643741,0.2587117,-0.057491485,9.489089
513084167439,0.34973988,-0.062282443,10.189168
513086691137,-0.004790957,-0.120372795,9.278287
513089214835,0.3826777,-0.110790886,9.846615
513091738533,0.13833888,-0.0868361,10.025078
513094262179,0.052101657,0.004790957,9.203428
513096785877,0.37309578,-0.038926527,10.203541
513099309575,0.037728786,-0.2503275,9.550773
513101833273,0.29105064,-0.04850844,9.49927
513104356971,0.33416927,-0.029344613,10.203541
513106880669,-0.025152525,-0.1401355,9.287869
513109404314,0.4060336,-0.13055357,9.884343
513111928012,0.16648576,-0.0868361,9.950219
