Time (s),x,y,z
512983219887,0.0029294747,0.006391581,0.001997369
512985743533,-0.0013315794,0.002130527,0.0041278964
512988267231,-0.0013315794,-0.011717899,-1.3315794E-4
512990790929,0.0050600017,0.006391581,-0.0033289485
512993314627,-0.00452737,-0.004261054,0.0030626326
512995838325,-0.002396843,-0.0053263176,9.321056E-4
512998362023,0.0029294747,0.014913689,-0.002396843
513000885669,-0.006657897,-0.008522108,-2.6631588E-4
513003409366,0.0018642112,-0.0010652635,-0.002396843
513005933064,0.0029294747,0.008522108,-2.6631588E-4
513008456762,-0.0034621065,-0.011717899,0.0018642112
513010980460,0.003994738,0.009587372,-0.0013315794
513013504158,-0.0034621065,-0.0010652635,7.9894764E-4
513016027804,-0.0034621065,-0.006391581,-2.6631588E-4
513018551502,0.003994738,0.012783162,-0.0013315794
513021075200,-0.00452737,-0.006391581,7.9894764E-4
513023598898,0.0018642112,0.0010652635,7.9894764E-4
513026122596,0.0018642112,0.006391581,-2.6631588E-4
513028646294,-0.0077231606,-0.010652635,-2.6631588E-4
513031169991,0.0061252653,0.008522108,-0.0013315794
513033693637,-2.6631588E-4,0.0010652635,-2.6631588E-4
513036217335,7.9894764E-4,-0.007323687,0.0018642112
513038741033,0.0050600017,0.009587372,-0.0011984215
513041264731,-0.0034621065,-0.008522108,9.321056E-4
513043788429,-2.6631588E-4,-0.004261054,-1.3315794E-4
513046312127,0.0018642112,0.008522108,-1.3315794E-4
513048835773,-0.0034621065,-0.009587372,-0.002263685
513051359471,0.003994738,0.006391581,-1.3315794E-4
513053883169,-0.0013315794,-0.0010652635,0.001997369
513056406866,-0.0013315794,-0.006391581,9.321056E-4
513058930564,7.9894764E-4,0.010652635,-1.3315794E-4
513061454262,-0.0034621065,-0.008522108,9.321056E-4
513063977908,0.0029294747,0.0010652635,-1.3315794E-4
513066501606,7.9894764E-4,0.0074568447,0.001997369
513069025304,-0.0034621065,-0.013848426,9.321056E-4
513071549002,0.0050600017,0.006391581,-0.002263685
513074072700,-0.0034621065,-0.002130527,0.001997369
513076596398,-0.002396843,-0.0074568447,0.0041278964
513079120044,0.0050600017,0.012783162,-0.002263685
513081643741,-0.0055926335,-0.0074568447,-1.3315794E-4
513084167439,7.9894764E-4,0.0,9.321056E-4
513086691137,0.0029294747,0.0053263176,-0.0011984215
513089214835,-0.0034621065,-0.009587372,0.001997369
513091738533,0.0029294747,0.008522108,-1.3315794E-4
513094262179,-0.0013315794,-0.0031957906,9.321056E-4
513096785877,-0.0013315794,-0.006391581,-0.0033289485
513099309575,0.0029294747,0.010652635,-0.002263685
513101833273,-0.0034621065,-0.0053263176,0.0041278964
513104356971,0.0029294747,0.0,9.321056E-4
513106880669,0.0029294747,0.008522108,9.321056E-4
513109404314,-0.0055926335,-0.010785793,0.0030626326
513111928012,0.003994738,0.0062584234,9.321056E-4
513114451710,-2.6631588E-4,-1.3315794E-4,-1.3315794E-4
513116975408,-0.00452737,-0.006524739,9.321056E-4
513119499106,0.0029294747,0.009454214,9.321056E-4
513122022804,-0.002396843,-0.010785793,9.321056E-4
513124546502,0.003994738,-0.0033289485,-1.3315794E-4
513127070148,0.0029294747,0.0083889505,-0.0011984215
513129593846,-0.0033289485,-0.009720529,0.0030626326
513132117544,0.0041278964,0.007323687,0.001997369
513134641241,-1.3315794E-4,-0.004394212,9.321056E-4
513137164939,9.321056E-4,-0.0075900024,-0.0011984215
513139688637,0.0030626326,0.009454214,9.321056E-4
513142212283,-0.0054594753,-0.008655266,0.001997369
513144735981,0.0030626326,0.001997369,-1.3315794E-4
513147259679,-1.3315794E-4,0.007323687,9.321056E-4
513149783377,-0.0054594753,-0.0118510565,-1.3315794E-4
513152307075,0.00519316,0.00519316,-0.002263685
513154830773,-0.0033289485,0.001997369,0.0030626326
513157354419,9.321056E-4,-0.0075900024,9.321056E-4
513159878116,0.00519316,0.0083889505,-0.002263685
513162401814,-0.0054594753,-0.0075900024,-1.3315794E-4
513164925512,9.321056E-4,0.00519316,-1.3315794E-4
513167449158,0.001997369,0.007323687,9.321056E-4
513169972856,-0.0033289485,-0.009720529,0.001997369
513172496554,0.0030626326,0.007323687,9.321056E-4
513175020200,-0.0054594753,-0.002263685,-0.0011984215
513177543898,-1.3315794E-4,-0.0033289485,9.321056E-4
513180067596,0.0062584234,0.007323687,-0.002263685
513182591241,-0.0054594753,-0.010785793,-0.0011984215
513185114939,0.001997369,0.0030626326,-0.0011984215
513187638637,0.001997369,0.0030626326,0.0030626326
513190162283,-0.0033289485,-0.006524739,-1.3315794E-4
513192685981,0.0041278964,0.010519478,-0.0011984215
513195209679,-0.0011984215,-0.0033289485,9.321056E-4
513197733325,-0.0011984215,-0.0075900024,-0.002263685
513200257023,0.0041278964,0.011584741,-0.0011984215
513202780721,-0.0033289485,-0.0075900024,9.321056E-4
513205304366,0.0030626326,9.321056E-4,0.0030626326
513207828064,0.0030626326,0.00519316,-0.0011984215
513210351762,-0.002263685,-0.010785793,9.321056E-4
513212875408,0.0030626326,0.010519478,-1.3315794E-4
513215399106,-0.0033289485,9.321056E-4,0.0030626326
513217922804,-0.002263685,-0.0075900024,9.321056E-4
513220446450,0.0062584234,0.0083889505,-1.3315794E-4
513222970148,-0.0011984215,-0.009720529,0.0030626326
513225493846,9.321056E-4,0.0030626326,-1.3315794E-4
513228017491,-1.3315794E-4,0.00519316,-0.0011984215
513230541189,-0.0011984215,-0.01291632,0.0030626326
513233064887,0.0041278964,0.00519316,9.321056E-4
513235588533,-1.3315794E-4,-0.0033289485,9.321056E-4
513238112231,-1.3315794E-4,-0.004394212,0.001997369
513240635929,9.321056E-4,0.0083889505,-0.0011984215
513243159575,-0.002263685,-0.009720529,-1.3315794E-4
513245683273,0.0030626326,-1.3315794E-4,-1.3315794E-4
513248206971,-1.3315794E-4,0.001997369,9.321056E-4
513250730616,-0.0054594753,-0.008655266,0.0041278964
513253254314,0.0041278964,0.009454214,-0.0011984215
513255778012,-0.004394212,-0.004394212,9.321056E-4
513258301658,-0.0011984215,-0.008655266,-1.3315794E-4
513260825356,0.0041278964,0.011584741,-0.002263685
513263349054,-0.002263685,-0.009720529,9.321056E-4
513265872700,0.0030626326,0.0030626326,0.001997369
513268396398,9.321056E-4,0.007323687,-1.3315794E-4
513270920096,-0.0033289485,-0.009720529,0.0030626326
513273443741,0.00519316,0.0083889505,-1.3315794E-4
513275967439,-0.0011984215,-0.0054594753,0.001997369
513278491137,-1.3315794E-4,-0.008655266,-1.3315794E-4
513281014783,0.001997369,0.009454214,-0.0011984215
513283538481,-0.0033289485,-0.0118510565,0.0041278964
513286062179,-1.3315794E-4,-1.3315794E-4,-1.3315794E-4
513288585825,-1.3315794E-4,0.00519316,-1.3315794E-4
513291109523,-0.004394212,-0.01291632,0.001997369
513293633221,0.0062584234,0.0083889505,-0.0033289485
513296156866,-1.3315794E-4,-1.3315794E-4,-1.3315794E-4
513298680564,-0.002263685,-0.0054594753,-1.3315794E-4
513301204262,0.0030626326,0.010519478,-0.002263685
513303727960,-0.0033289485,-0.009720529,0.001997369
513306251606,-1.3315794E-4,0.001997369,-1.3315794E-4
513308775304,-0.002263685,0.0062584234,-1.3315794E-4
513311299002,-0.004394212,-0.01291632,0.001997369
513313822648,0.0062584234,0.009454214,-1.3315794E-4
513316346346,-0.002263685,-0.0033289485,0.001997369
513318870044,9.321056E-4,-0.006524739,0.001997369
513321393689,0.00519316,0.011584741,-0.0033289485
513323917387,-0.0033289485,-0.008655266,0.001997369
513326441085,0.0030626326,-1.3315794E-4,-0.002263685
513328964731,9.321056E-4,0.00519316,-0.004394212
513331488429,-0.002263685,-0.01291632,0.0083889505
513334012127,0.00519316,0.009321056,-0.0075900024
513336535773,-0.002263685,-0.002396843,-0.0011984215
513339059471,-0.0011984215,-0.008788424,0.012650005
513341583169,0.007323687,0.01358211,-0.015046847
513344106814,-0.0011984215,-0.0055926335,0.0030626326
513346630512,-1.3315794E-4,-0.00452737,0.012650005
513349154210,0.0030626326,0.009321056,-0.02143843
513351677856,-0.0011984215,-0.0077231606,0.020106848
513354201554,-1.3315794E-4,0.0029294747,0.001997369
513356725252,9.321056E-4,0.0050600017,-0.015046847
513359248898,-0.002263685,-0.011984214,0.022237375
513361772596,9.321056E-4,0.008255793,-0.015046847
513364296294,-0.002263685,-0.002396843,-1.3315794E-4
513366819939,-1.3315794E-4,-0.006657897,0.015845794
513369343637,0.0030626326,0.007190529,-0.022503693
513371867335,9.321056E-4,-0.013049478,0.016911058
513374390981,0.0041278964,0.0050600017,9.321056E-4
513376914679,-0.0011984215,0.009321056,-0.016112112
513379438377,-0.0033289485,-0.010918951,0.017976321
513381962023,0.00519316,0.003994738,-0.018242639
513384485721,-0.002263685,-0.0034621065,-1.3315794E-4
513387009419,0.001997369,-0.0034621065,0.016911058
513389533064,0.0041278964,0.011451583,-0.023568956
513392056762,-0.0011984215,-0.0077231606,0.017976321
513394580460,9.321056E-4,7.9894764E-4,-1.3315794E-4
513397104106,-0.002263685,0.003994738,-0.019307902
513399627804,-0.002263685,-0.013049478,0.022237375
513402151502,0.0030626326,0.009321056,-0.016112112
513404675148,-0.002263685,-0.0013315794,9.321056E-4
513407198846,-1.3315794E-4,-0.008788424,0.014780532
513409722544,0.001997369,0.008255793,-0.025699483
513412246189,9.321056E-4,-0.008788424,0.019041585
513414769887,0.0030626326,0.0018642112,-1.3315794E-4
513417293585,0.001997369,0.007190529,-0.018242639
513419817231,-0.0011984215,-0.009853687,0.023302639
513422340929,0.001997369,0.008255793,-0.02143843
513424864627,-0.0033289485,-0.0055926335,9.321056E-4
513427388273,-1.3315794E-4,-0.010918951,0.019041585
513429911971,0.0041278964,0.009321056,-0.026764747
513432435669,-0.0033289485,-0.009853687,0.013715268
513434959314,0.002130527,-2.6631588E-4,-0.0033289485
513437483012,0.002130527,0.0050600017,-0.018242639
513440006710,-0.002130527,-0.013049478,0.024367902
513442530356,0.0031957906,0.008255793,-0.019307902
513445054054,-0.002130527,-2.6631588E-4,9.321056E-4
513447577752,0.0,-0.009853687,0.017976321
513450101398,0.0,0.007190529,-0.025699483
513452625096,0.0,-0.009853687,0.021172112
513455148794,0.002130527,0.0050600017,9.321056E-4
513457672491,-0.002130527,0.0050600017,-0.015046847
513460196137,-0.0031957906,-0.011984214,0.023302639
513462719835,0.0031957906,0.0050600017,-0.018242639
513465243533,-0.0031957906,-0.00452737,0.001997369
513467767179,-0.0010652635,-0.002396843,0.015845794
513470290877,0.0010652635,0.01038632,-0.025699483
513472814575,-0.002130527,-0.008788424,0.020106848
513475338221,0.002130527,-2.6631588E-4,-0.002263685
513477861919,-0.0010652635,0.003994738,-0.017177375
513480385616,0.0,-0.010918951,0.02649843
513482909262,0.006391581,0.009321056,-0.019307902
513485432960,0.0010652635,-0.002396843,-0.0011984215
513487956658,0.002130527,-0.0055926335,0.012650005
513490480304,0.0,0.011451583,-0.02783001
513493004002,-0.0031957906,-0.009853687,0.020106848
513495527700,0.0031957906,-2.6631588E-4,-0.0011984215
513498051346,0.0,0.009321056,-0.017177375
513500575044,-0.0031957906,-0.008788424,0.027563693
513503098741,0.004261054,0.009321056,-0.019307902
513505622387,-0.0010652635,-0.0013315794,0.001997369
513508146085,-0.002130527,-0.0055926335,0.015845794
513510669783,0.0010652635,0.01038632,-0.028895274
513513193429,-0.002130527,-0.009853687,0.020106848
513515717127,0.002130527,0.0018642112,-0.002263685
513518240825,0.0,0.007190529,-0.016112112
513520764471,-0.002130527,-0.006657897,0.027563693
513523288169,0.0031957906,0.009321056,-0.019307902
513525811866,-0.002130527,-0.0055926335,0.001997369
513528335512,0.0010652635,-0.008788424,0.017976321
513530859210,0.002130527,0.011451583,-0.023568956
513533382908,-0.0053263176,-0.009853687,0.021172112
513535906554,0.002130527,0.003994738,-0.002263685
513538430252,0.0010652635,0.01038632,-0.017177375
513540953950,0.0010652635,-0.008788424,0.02649843
513543477596,0.004261054,0.007190529,-0.018242639
513546001294,-0.0010652635,-0.006657897,9.321056E-4
513548524991,0.002130527,-0.006657897,0.016911058
513551048637,0.002130527,0.011451583,-0.02463422
513553572335,-0.0010652635,-0.009853687,0.019041585
513556096033,0.0,0.0029294747,-0.0033289485
513558619679,-0.0010652635,0.0061252653,-0.017177375
513561143377,-0.0031957906,-0.010918951,0.02649843
513563667075,0.002130527,0.008255793,-0.019307902
513566190721,-0.004261054,-0.0013315794,0.001997369
513568714419,-0.0010652635,-0.008788424,0.015845794
513571238116,0.004261054,0.011451583,-0.025699483
513573761762,-0.0010652635,-0.006657897,0.022237375
513576285460,0.0,-2.6631588E-4,-0.0033289485
