Time (s),x,y,z
823775524593,-0.0037284223,-0.021038955,0.0101200035
823778048134,0.007989476,-0.0018642112,0.00905474
823780571676,0.0026631588,0.009853687,-0.031425275
823783095218,-0.0037284223,-0.0018642112,-0.02077264
823785618759,-5.3263176E-4,-0.014647374,0.061252654
823788142301,0.004793686,0.014114741,-0.038882118
823790665843,0.0015978953,0.00452737,-0.0058589494
823793189384,-0.0015978953,-0.015712637,0.041012645
823795713030,0.0037284223,0.016245268,-0.05805686
823798236624,-0.0026631588,-0.01038632,0.033555802
823800760218,-0.0015978953,-0.0050600017,0.00905474
823803283811,0.0015978953,0.016245268,-0.046338964
823805807405,-5.3263176E-4,-0.016777901,0.05060002
823808330999,0.0026631588,0.0077231606,-0.033555802
823810854593,-0.0015978953,0.00452737,-0.0058589494
823813378238,-0.004793686,-0.015712637,0.044208437
823815901832,0.004793686,0.013049478,-0.053795807
823818425426,-0.0037284223,-0.0050600017,0.033555802
823820949020,-0.0015978953,-0.008255793,0.007989476
823823472613,0.0026631588,0.011984214,-0.044208437
823825996207,-0.0026631588,-0.017843165,0.05166528
823828519853,0.0026631588,0.008788424,-0.031425275
823831043447,-5.3263176E-4,0.008788424,-0.00905474
823833567040,5.3263176E-4,-0.015712637,0.04207791
823836090634,0.0037284223,0.018375795,-0.054861072
823838614228,-0.0026631588,-0.0061252653,0.034621064
823841137822,0.0015978953,-0.009321056,0.007989476
823843661415,0.0026631588,0.011984214,-0.044208437
823846185061,-0.0037284223,-0.015712637,0.054861072
823848708655,0.004793686,0.0034621065,-0.032490537
823851232249,5.3263176E-4,0.00452737,-0.00905474
823853755843,-0.0015978953,-0.017843165,0.04314317
823856279436,0.0026631588,0.016245268,-0.052730545
823858803030,-0.0015978953,-0.0050600017,0.032490537
823861326624,5.3263176E-4,-0.0061252653,0.007989476
823863850270,-0.0026631588,0.015180005,-0.046338964
823866373863,-0.0037284223,-0.017843165,0.052730545
823868897457,0.004793686,0.0034621065,-0.032490537
823871421051,5.3263176E-4,0.008788424,-0.006924213
823873944645,-0.004793686,-0.015712637,0.0452737
823876468238,0.0037284223,0.014114741,-0.052730545
823878991832,-0.0015978953,-0.008255793,0.031425275
823881515478,-5.3263176E-4,-0.008255793,0.006924213
823884039072,5.3263176E-4,0.015180005,-0.04314317
823886562665,-0.004793686,-0.01358211,0.052730545
