Time (s),x,y,z
2335988723648,-0.03008397,0.026435092,-0.08480072
2336008911252,-0.013498709,0.012475111,-0.1183424
2336029098856,-0.033059627,0.020095266,-0.09857559
2336049286408,-0.034813717,0.029744111,-0.11227989
2336069474013,-0.038503587,0.021977179,-0.09932804
2336089661617,-0.04197909,0.017236233,-0.10321331
2336109847919,-0.04088463,0.013796501,-0.10485268
2336130033388,-0.037973106,0.004207842,-0.09692192
2336150218908,-0.021702245,0.0141372755,-0.10657501
2336170404377,-0.031601578,0.008766301,-0.09661865
2336190589846,-0.02175732,0.0129296705,-0.11264038
2336210775367,-0.030978233,0.027831547,-0.107479095
2336230960835,-0.025378048,0.03022281,-0.102313995
2336251146304,-0.023479342,0.011624388,-0.099702835
2336271331773,-0.026367053,0.019107454,-0.092214584
2336291517294,-0.015907302,7.0376694E-4,-0.09512997
2336311702763,-0.027305573,0.014184684,-0.103583336
2336331888231,-0.016787171,0.042011313,-0.10021496
2336352073700,-0.03191659,-2.6391447E-4,-0.10448074
2336372259221,-0.034073353,0.026779696,-0.08352184
2336392444690,-0.044092312,0.022110209,-0.08673954
2336412630158,-0.03103432,0.013604701,-0.1037302
2336432815627,-0.03596814,0.015557803,-0.07797241
2336453001148,-0.02474916,0.02114521,-0.110012054
2336473186617,-0.046904072,0.00968229,-0.12879753
2336493372085,-0.021549433,0.034557976,-0.0885191
2336513557554,-0.02667047,0.019577056,-0.10693836
2336533743075,-0.010424241,0.023130156,-0.09353638
2336553928544,-0.014865771,0.017878108,-0.10304165
2336574114013,-0.03664346,0.023210682,-0.10843754
2336594299481,-0.032918558,0.022005111,-0.10221958
2336614485888,-0.028532535,0.037401743,-0.11292076
2336634672554,-0.016318738,0.017034948,-0.108281136
2336654859221,-0.014632568,0.025120161,-0.11605549
2336675045888,-0.028606623,0.032299846,-0.112091064
2336695232554,-0.022370934,0.021641746,-0.08289242
2336715419221,-0.011304915,0.016835757,-0.08491993
2336735605888,-0.025069997,0.025290407,-0.10738182
2336755792554,-0.0130948275,0.022073619,-0.10625458
2336775979221,-0.0175201,0.024669938,-0.12399769
2336796165888,-0.025947288,0.042807557,-0.106557846
2336816352554,-0.014621362,0.01061888,-0.091952324
2336836539221,-0.022085771,0.019774824,-0.09749222
2336856725888,-0.012367278,0.03662532,-0.10572529
2336876912554,-0.01788944,0.03048344,-0.10535622
2336897099221,-0.038348734,0.02702871,-0.10326576
2336917285888,-0.03484738,0.016214646,-0.10977268
2336937472554,-0.04032594,0.033074997,-0.09397411
2336957659221,-0.033116966,0.02419217,-0.09749317
2336977845888,-0.02466385,0.030795746,-0.099289894
2336998032554,-0.03680545,0.011969693,-0.10340023
2337018219221,-0.027724251,0.01319354,-0.102355
2337038405888,-0.033376545,0.007414162,-0.08342552
2337058592554,-0.04397866,0.009591982,-0.08350468
2337078779221,-0.029406428,0.002999954,-0.06763935
2337098965783,-0.04131049,0.012601018,-0.08815098
2337119151669,-0.021397889,0.03743741,-0.09272289
2337139337606,-0.021483123,0.018645413,-0.08703232
2337159523544,-0.028625563,0.025970288,-0.08995342
2337179709429,-0.03943181,0.027016819,-0.09294891
2337199895367,-0.042691007,0.025359198,-0.086354256
2337220081252,-0.029523686,7.533878E-4,-0.102822304
2337240267190,-0.024881586,0.037419662,-0.10693264
2337260453075,-0.039281353,0.009604491,-0.08762169
2337280639013,-0.04222104,0.02157411,-0.1133728
2337300824950,0.05558534,0.030807637,-0.103933334
2337321010835,0.07058486,0.0426433,-0.101091385
2337341196773,0.019384563,0.07116376,-0.080581665
2337361382658,-0.037504762,0.047037102,-0.09345913
2337381568596,-0.045214683,0.040997125,-0.09645271
2337401754533,-0.0339586,0.04154721,-0.09353542
2337421940419,-0.0198351,0.038468823,-0.11643696
2337442126356,-0.019869164,0.031352878,-0.10281086
2337462312242,-0.020868838,0.033257462,-0.06643295
2337482498179,-0.013569742,0.028863408,-0.09173679
2337502684117,-0.029170364,0.01198674,-0.103489876
2337522870002,-0.04007949,0.032973714,-0.10056782
2337543055940,-0.024698883,0.037214153,-0.08574009
2337563241825,-0.010472193,0.041460082,-0.082294464
2337583427763,-0.018606871,0.034097575,-0.09989071
2337603613752,-0.017367288,0.04018619,-0.094052315
2337623799898,-0.028805315,0.03896322,-0.088134766
2337643986096,-0.009782612,0.023235187,-0.07937527
2337664172242,-0.031239241,0.042499535,-0.09284973
2337684358440,-0.021817014,0.029280365,-0.077578545
2337704544585,-0.035406455,0.03703761,-0.087613106
2337724730731,-0.0056407303,0.032896146,-0.07997322
2337744916929,-0.023559794,0.040048733,-0.0969677
2337765103075,-0.030273467,0.031729564,-0.080571175
2337785289273,-0.028214574,0.030352265,-0.08409691
2337805475419,-0.0037553608,0.041724727,-0.089860916
2337825661617,-0.01220724,0.04592625,-0.09936619
2337845847763,-0.01754956,0.032567315,-0.09405708
2337866033908,-0.006733462,0.042896733,-0.08050823
2337886220106,-0.019573689,0.030742943,-0.08664417
2337906406252,-0.024350807,0.036040857,-0.0882864
2337926592450,-0.018967628,0.047095053,-0.095700264
2337946778596,-0.021702051,0.040844306,-0.10161781
2337966964794,-0.017597288,0.05249361,-0.09876919
2337987150940,-0.033471674,0.02779635,-0.09346104
2338007337085,-0.02990356,0.04751464,-0.0817852
2338027523283,-0.012029201,0.027838357,-0.10640907
2338047709429,-0.014247686,0.033361845,-0.0847044
2338067895627,-0.0213373,0.045297563,-0.0782671
2338088081773,-0.02428411,0.051614337,-0.08597374
2338108268492,-0.018823683,0.04092685,-0.097579
2338128455679,-0.013318509,0.016616829,-0.111130714
2338148642867,-0.012157813,0.03785465,-0.08178425
2338168830054,-0.004391074,0.06472182,-0.10469246
2338189017294,-0.029277861,0.046089277,-0.119971275
2338209204481,-0.01861006,0.031748362,-0.095336914
2338229391669,-0.020691589,0.028050758,-0.085988045
2338249578856,-0.011073604,0.032838106,-0.08771038
2338269766044,-0.020886973,0.032891385,-0.07364559
2338289953283,-0.0012494475,0.04094646,-0.08951187
2338310140471,-0.01386185,0.04010862,-0.104932785
2338330327658,-0.01808983,0.04805281,-0.09250355
2338350514846,-0.017498896,0.03315963,-0.0960207
2338370702033,-0.022791207,0.03434789,-0.08014965
2338390889273,-0.0047653764,0.04297535,-0.08194542
2338411076460,-0.006161228,0.04526443,-0.09084797
2338431263648,-0.023426443,0.04886215,-0.10192871
2338451450835,-0.0089889765,0.033046104,-0.083143234
2338471638075,-0.029396847,0.035434194,-0.09549332
2338491825263,-0.0011909902,0.04247208,-0.08838463
2338512012450,-0.023893118,0.04794842,-0.07498646
2338532199638,-0.021963686,0.031778358,-0.09557629
2338552386825,-0.009946108,0.024602063,-0.09797096
2338572574065,-0.024758458,0.044514313,-0.07671642
2338592761252,-0.023017734,0.035473086,-0.0803051
2338612948283,-0.02160883,0.029952697,-0.08203316
2338633135263,-0.025303781,0.036007002,-0.10029507
2338653322242,-0.010871083,0.04011395,-0.08150387
2338673509273,-0.0075487047,0.030469753,-0.102622986
2338693696252,-0.012427315,0.028931119,-0.09101677
2338713883231,-0.018471763,0.031315006,-0.0827055
2338734070210,-0.018993989,0.03905534,-0.09745693
2338754257190,-0.0040936023,0.030073635,-0.09565544
2338774444221,-0.01730071,0.045009598,-0.0804615
2338794631200,-0.02250716,0.03300543,-0.10516739
2338814818179,-0.021744639,0.03772396,-0.07515621
2338835005158,-0.014647961,0.027517214,-0.08750343
2338855192138,-0.02269043,0.033471644,-0.10098457
2338875379169,-0.004610628,0.03340345,-0.103458405
2338895566148,-0.014835805,0.032168686,-0.075092316
2338915753127,-0.023990393,0.042333856,-0.097325325
2338935940106,-0.031842306,0.04584632,-0.0854969
2338956127085,-0.019371897,0.022967502,-0.101439476
2338976314117,-0.017079577,0.035266325,-0.08556461
2338996501096,-0.011068374,0.041390494,-0.07387066
2339016688075,-0.010505974,0.03606853,-0.07312012
2339036875054,-0.011596516,0.030851528,-0.0590477
2339057062085,-1.9943714E-4,0.025508903,-0.10021877
2339077249065,-0.019284666,0.04513456,-0.09311104
2339097436044,-0.022380129,0.028323136,-0.085624695
2339117622815,-0.027611002,0.04041244,-0.07784653
2339137809638,-0.02638553,0.025767103,-0.08840656
2339157996408,-0.022834808,0.0326012,-0.08841038
2339178183231,-0.0168062,0.011467628,-0.08953571
2339198370054,-0.003927961,0.026747577,-0.084285736
2339218556825,-0.03311637,0.036564708,-0.09028149
2339238743648,-0.020656973,0.040019877,-0.09776592
2339258930471,-0.00863038,0.036424816,-0.09492302
2339279117242,-0.03353168,0.043085866,-0.106007576
2339299304065,-0.017144203,0.03858132,-0.089544296
2339319490888,-0.008743346,0.032498993,-0.09306431
2339339677658,-0.02981247,0.03899844,-0.10848427
2339359864481,-0.0091790855,0.033027485,-0.10727596
2339380051304,-0.01288186,0.016815998,-0.08316994
2339400238075,-0.021760002,3.600046E-4,-0.123672485
2339420424898,-0.0066459477,0.026204191,-0.124723434
2339440611721,-0.013944462,0.030822434,-0.12891293
2339460798492,-0.025364757,0.027588151,-0.09305763
2339480985315,-0.013875663,0.01737947,-0.0923872
2339501172138,-0.023014054,0.019364208,-0.069625854
2339521358908,-0.021916002,0.029272638,-0.08317566
2339541545731,-0.026174352,0.021435075,-0.087290764
2339561732554,-0.02199851,0.052554168,-0.09493065
2339581919325,-0.012581885,0.02484756,-0.09372711
2339602106044,-0.00836736,0.047108084,-0.09949303
2339622292190,-0.004392192,0.04107155,-0.084293365
2339642478388,-0.028154239,0.049420625,-0.071349144
2339662664585,-0.023913652,0.026258834,-0.10593891
2339682850783,-0.014578387,0.011682868,-0.08242607
2339703036981,-0.028216362,0.036747895,-0.094184875
2339723223127,-0.026110992,0.026966251,-0.083102226
2339743409325,-0.011902049,0.044869877,-0.063035965
2339763595523,-0.020850778,0.015051909,-0.08766651
2339783781721,-0.027342752,0.028498992,-0.09522915
2339803967919,-0.0348911,0.038774125,-0.07652187
2339824154065,-0.015728295,0.027048096,-0.080117226
2339844340263,-0.011502877,0.01990395,-0.10826588
2339864526460,-0.01211676,0.030334294,-0.08535671
2339884712658,-0.023532853,0.013842687,-0.089325905
2339904898804,-0.006983131,0.025422014,-0.09000015
2339925085002,-0.02311784,0.027873956,-0.09112358
2339945271200,-0.02427265,0.04268107,-0.106399536
2339965457398,-0.03203748,0.020472057,-0.065898895
2339985643596,-0.024157614,0.033383816,-0.08641243
2340005829742,-0.029009655,0.026703969,-0.076379776
2340026015940,-0.020282626,0.0387801,-0.08528137
2340046202138,-0.016065016,0.025100045,-0.10923958
2340066388335,-0.023022994,0.014257342,-0.11875439
2340086574533,-0.024944633,0.025748692,-0.10864258
2340106760158,-0.023153543,0.041257948,-0.09517288
2340126945106,-0.036437675,0.029329538,-0.09516907
2340147130106,-0.011858761,0.0176173,-0.085289955
2340167315106,-0.021407261,0.027688488,-0.0864172
2340187500106,-0.018463671,0.028948791,-0.09809303
2340207685106,-0.029977724,0.021919385,-0.087013245
2340227870106,-0.017763302,0.02161806,-0.105796814
2340248055054,-0.022356331,0.030953683,-0.09390068
2340268240054,-0.031285465,0.043646447,-0.06410885
2340288425054,-0.01123856,0.029753134,-0.11980152
2340308610054,-0.014810726,0.009725414,-0.11440849
2340328795054,-0.012939304,0.026127465,-0.07743168
2340348980002,-0.015854537,0.03500113,-0.101613045
2340369165002,-0.03090471,0.019826032,-0.07810688
2340389350002,-0.021054953,0.025785446,-0.08859348
2340409535002,-0.019251063,0.031671993,-0.08567524
2340429720002,-0.023720965,0.023092873,-0.10049057
2340449905002,-0.02719371,0.02677121,-0.10692978
2340470089950,-0.02057138,0.020596027,-0.11321926
2340490274950,-0.018148482,0.025878526,-0.086271286
2340510459950,-0.012153506,0.043356508,-0.08380604
2340530644950,-0.028432116,0.014983021,-0.08103466
2340550829950,-0.0226935,0.01771143,-0.080283165
2340571014950,-0.02202706,0.018101543,-0.0698061
2340591199898,-0.004908949,0.013864875,-0.09854603
2340611385315,-0.029876918,0.010175869,-0.09683037
2340631570888,-0.0065823942,0.030100688,-0.09862614
2340651756460,-0.020193085,0.024617739,-0.09675789
2340671942033,-0.029204085,0.017426737,-0.068011284
2340692127606,-0.03341824,0.03831684,-0.099152565
2340712313179,-0.021371722,0.032279104,-0.087926865
2340732498804,-0.019513488,0.032533742,-0.08920479
2340752684377,-0.01815556,0.015711538,-0.08973122
2340772869950,-0.02436021,0.037102424,-0.08965492
2340793055523,-0.02436681,0.042804934,-0.10612869
2340813241096,-0.10324365,0.004941717,-0.08906269
2340833426669,-0.051464945,0.025048882,-0.083218575
2340853612294,-0.025925726,0.0441133,-0.09324646
2340873797867,-0.017999947,0.015943915,-0.08733463
2340893983440,-0.026344195,0.03374938,-0.0797739
2340914169013,-0.027458176,0.020167075,-0.0886116
2340934354585,-0.023302928,0.026030667,-0.09100628
2340954540158,-0.021336809,0.027229592,-0.091760635
2340974725783,-0.025794819,0.032519616,-0.09048176
2340994911356,-0.022625566,0.048579477,-0.07102394
2341015096929,-0.043638468,0.027521148,-0.094602585
2341035282502,-0.04080765,0.017365769,-0.0869627
2341055468075,-0.019422218,0.05198045,-0.093997955
2341075653648,-0.02351807,0.033769958,-0.094599724
