Time (s),x,y,z
2335838496408,-1.4570498,0.56293744,9.622039
2335841019846,7.0001874,0.057491485,9.476513
2335843543283,-7.579294,-0.88512933,10.00232
2335846066721,3.5291388,0.89411235,9.660366
2335848590210,3.2171278,-0.42879066,9.571135
2335851113648,-7.5960627,-0.53958154,10.046038
2335853637085,8.045215,0.849796,9.496875
2335856160523,-2.3134334,-1.0504173,9.675937
2335858683960,-3.926788,0.32698283,9.805292
2335861207450,8.547068,0.5341917,9.396265
2335863730888,-7.148108,-1.2600217,10.04005
2335866254325,1.7451061,0.89471126,9.678332
2335868777763,5.17603,-0.39944604,9.448965
2335871301200,-8.235655,-0.72642887,10.068795
2335873824690,6.9900064,1.0001123,9.537598
2335876348127,-0.6587566,-0.85638356,9.580117
2335878871565,-5.0287085,-0.07725418,9.951417
2335881395002,8.411723,0.7887113,9.3405695
2335883918492,-5.9431825,-1.1642026,9.894525
2335886441929,0.5138301,0.74978477,9.768163
2335888965367,5.669499,-0.25511846,9.457948
2335891488804,-7.709249,-0.6976831,10.063405
2335894012242,5.884493,0.9042932,9.650186
2335896535731,0.0071864356,-0.6545645,9.542389
2335899059169,-4.990381,-0.2742823,9.932253
2335901582606,7.689486,0.72642887,9.457948
2335904106044,-5.1478834,-0.97196543,9.790919
2335906629481,0.35153648,0.60126513,9.805292
2335909152971,5.2389116,-0.2982371,9.38249
2335911676408,-7.01456,-0.5581465,9.99753
2335914199846,5.4640865,0.80787516,9.626829
2335916723283,-0.07425983,-0.5964742,9.542389
2335919246721,-4.4394207,-0.20720889,9.904106
2335921770210,7.254108,0.63001084,9.514242
2335924293648,-5.047273,-0.9767564,9.83344
2335926817085,0.62462103,0.5533555,9.786129
2335929340523,4.8035336,-0.34135568,9.443575
2335931864013,-6.7318935,-0.46172848,9.988546
2335934387450,5.535951,0.7312198,9.683124
2335936910888,-0.38028222,-0.6731295,9.579518
2335939434325,-4.1471725,-0.20181906,9.9082985
2335941957763,7.106187,0.5485646,9.480705
2335944481252,-5.1377025,-0.89471126,9.823857
2335947004690,0.8354232,0.6204289,9.729835
2335949528127,4.5597935,-0.3653105,9.4525585
2335952051565,-6.7079387,-0.47610137,9.983157
2335954575002,5.6653066,0.74080175,9.66875
2335957098492,-0.53778493,-0.6635476,9.5980835
2335959621929,-4.060935,-0.08623723,9.847214
2335962145367,7.1636786,0.5964742,9.442976
2335964668804,-5.2622676,-0.89471126,9.847214
2335967192294,0.96537787,0.61084706,9.786129
2335969715731,4.5262566,-0.42280197,9.495078
2335972239169,-6.736086,-0.46172848,9.95501
2335974762606,5.7802896,0.7647565,9.602875
2335977286044,-0.6096493,-0.68271136,9.645394
2335979809533,-4.0124264,-0.095819145,9.922072
2335982332971,7.158888,0.52940077,9.466332
2335984856408,-5.3574877,-0.8893214,9.856196
2335987379846,1.0324513,0.6354007,9.757982
2335989903283,4.5316467,-0.34614664,9.513643
2335992426773,-6.7648315,-0.42759293,9.992739
2335994950210,5.7904706,0.76056445,9.640004
2335997473648,-0.6761238,-0.6922933,9.62623
2335999997085,-3.9405622,-0.09102818,9.870569
2336002520575,7.1882324,0.5389827,9.424412
2336005044013,-5.3718605,-0.91806716,9.818468
2336007567450,1.1043156,0.6449826,9.795112
2336010090888,4.4358273,-0.3653105,9.447767
2336012614325,-6.711532,-0.49047422,9.926863
2336015137815,5.8767076,0.7318187,9.588502
2336017661252,-0.7473893,-0.6875023,9.635214
2336020184690,-3.8782797,-0.028146872,9.931055
2336022708127,7.135532,0.5389827,9.489688
2336025231565,-5.46229,-0.93244004,9.898117
2336027755054,1.157615,0.6833103,9.780739
2336030278492,4.350189,-0.34075683,9.475914
2336032801929,-6.677995,-0.49945727,9.945428
2336035325367,5.906052,0.7126549,9.593292
2336037848856,-0.85279036,-0.71145713,9.550773
2336040372294,-3.8058167,-0.061683573,9.846615
2336042895731,7.097803,0.5102369,9.447168
2336045419169,-5.485646,-0.8318299,9.898117
2336047942606,1.267807,0.7270277,9.762174
2336050466096,4.250178,-0.3647116,9.456751
2336052989533,-6.701351,-0.4419658,9.94962
2336055512971,5.9827075,0.72223675,9.61605
2336058036408,-0.94321966,-0.7593667,9.578919
2336060559846,-3.7004154,-0.052101657,9.9077
2336063083335,7.069057,0.5204177,9.423813
2336065606773,-5.5335555,-0.8797395,9.898117
2336068130210,1.3252985,0.6887001,9.7430105
2336070653648,4.1687317,-0.37908447,9.489688
2336073177085,-6.6869783,-0.47071153,9.9544115
2336075700575,5.9827075,0.7509825,9.635214
2336078224013,-0.9911292,-0.74020284,9.607067
2336080747450,-3.6141782,-0.028146872,9.8885355
2336083270888,7.0361195,0.5108358,9.419022
2336085794377,-5.595239,-0.8695587,9.874163
2336088317815,1.4025527,0.6743272,9.775948
2336090841252,4.1357937,-0.3886664,9.456152
2336093364690,-6.629487,-0.44675675,9.963394
2336095888127,5.9928885,0.7126549,9.606468
2336098411617,-1.1198862,-0.76415765,9.6441965
2336100935054,-3.527342,-0.0041920873,9.837032
2336103458492,6.983419,0.5156267,9.419022
2336105981929,-5.60003,-0.9132762,9.860389
2336108505210,1.4983718,0.6743272,9.7430105
2336111028388,4.006438,-0.38387543,9.512445
2336113551565,-6.6480517,-0.46053076,10.0340605
2336116074742,6.055171,0.698282,9.620841
2336118597919,-1.1486319,-0.7539769,9.587903
2336121121096,-3.4746416,0.03473444,9.836433
2336123644325,6.960063,0.49646294,9.49388
2336126167502,-5.6281767,-0.8791406,9.907101
2336128690679,1.6133548,0.6455815,9.705281
2336131213856,3.9399633,-0.40303928,9.49388
2336133737033,-6.609724,-0.52341205,9.981959
2336136260210,6.0988884,0.698282,9.634615
2336138783388,-1.2582251,-0.7731407,9.625032
2336141306617,-3.3404949,0.04431635,9.864581
2336143829794,6.9888086,0.49167198,9.465135
2336146352971,-5.69525,-0.91267735,9.878954
2336148876148,1.6522813,0.6892989,9.686117
2336151399325,3.863308,-0.36411273,9.502863
2336153922502,-6.551634,-0.4988584,9.9675865
2336156445731,6.1707525,0.6892989,9.615451
2336158968908,-1.3151177,-0.7635588,9.620242
2336161492085,-3.3255231,0.053898267,9.793914
2336164015263,6.931916,0.47250813,9.456152
2336166538440,-5.6850696,-0.88872254,9.981959
2336169061617,1.7624733,0.6940899,9.770558
2336171584846,3.7585058,-0.36411273,9.493281
2336174108023,-6.546843,-0.4988584,9.929857
2336176631200,6.247408,0.67013514,9.625032
2336179154377,-1.4492645,-0.8066774,9.629824
2336181677554,-3.21054,0.07366096,9.836433
2336184200731,6.946289,0.48688102,9.441779
2336186723908,-5.761725,-0.9270502,9.958004
2336189247138,1.8439196,0.67971706,9.704682
2336191770315,3.6968222,-0.335367,9.478909
2336194293492,-6.518097,-0.45094883,9.962795
2336196816669,6.2911253,0.65576226,9.592095
2336199339846,-1.5157391,-0.8162593,9.577723
2336201863023,-3.10993,0.107197665,9.802897
2336204386252,6.8271136,0.4437624,9.498073
2336206909429,-5.8042445,-0.9174683,9.911292
2336209432606,1.9547105,0.6940899,9.723248
2336211955783,3.5578845,-0.3545308,9.478909
2336214478960,-6.4647975,-0.42160422,9.962795
2336217002138,6.36299,0.68450797,9.577723
2336219525367,-1.625931,-0.7485871,9.638806
2336222048544,-3.018303,0.12636149,9.873564
2336224571721,6.879814,0.4539432,9.455553
