Time (s),x,y,z
705774984822,0.0034621065,-0.01291632,0.096140034
705777508520,0.008788424,-0.015046847,0.10146635
705780032270,-7.9894764E-4,0.00519316,-0.03488738
705782555968,-0.0018642112,0.0083889505,-0.027430536
705785079666,-0.003994738,-0.023568956,0.07696529
705787603364,0.0055926335,0.020106848,-0.07110634
705790127062,-0.0018642112,-1.3315794E-4,0.017310532
705792650656,-0.0029294747,-0.019307902,0.041811593
705795174301,0.0013315794,0.024367902,-0.07749792
705797697947,-0.0018642112,-0.009720529,0.066312656
705800221541,0.0013315794,-0.0011984215,-0.011451583
705802745187,-7.9894764E-4,0.014780532,-0.04980107
705805268781,-0.0050600017,-0.02143843,0.07909582
705807792426,0.002396843,0.016911058,-0.061518967
705810316072,-0.0018642112,0.0041278964,0.00452737
705812839666,-0.0018642112,-0.022503693,0.052464228
705815363312,0.0055926335,0.019041585,-0.07749792
705817886906,-0.0029294747,-0.006524739,0.05566002
705820410551,2.6631588E-4,-0.004394212,2.6631588E-4
705822934197,0.0034621065,0.015845794,-0.050866332
705825457791,2.6631588E-4,-0.020373166,0.0737695
705827981437,0.0034621065,0.012650005,-0.04980107
705830505031,-0.0018642112,0.0041278964,0.002396843
705833028676,-7.9894764E-4,-0.02143843,0.053529494
705835552322,0.00452737,0.021172112,-0.07323687
705838075916,-0.0018642112,-0.008655266,0.052464228
705840599562,0.0013315794,-0.0075900024,0.002396843
705843123156,0.0013315794,0.015845794,-0.04980107
705845646801,-7.9894764E-4,-0.018242639,0.06950845
705848170395,0.00452737,0.011584741,-0.04980107
705850694041,-7.9894764E-4,0.00519316,-7.9894764E-4
705853217687,-0.0029294747,-0.019307902,0.052464228
705855741281,0.0034621065,0.020106848,-0.06897581
705858264926,-0.003994738,-0.0075900024,0.04926844
705860788520,-0.0029294747,-0.006524739,-0.003994738
705863312166,2.6631588E-4,0.012650005,-0.047670543
705865835812,-7.9894764E-4,-0.019307902,0.06950845
705868359406,0.0055926335,0.012650005,-0.050866332
705870883051,-0.0018642112,0.0041278964,0.002396843
705873406645,-0.0018642112,-0.016112112,0.047137912
705875930291,0.002396843,0.020106848,-0.070041075
705878453937,-0.0018642112,-0.0075900024,0.052464228
705880977531,0.0013315794,-0.004394212,-0.0018642112
