Time (s),x,y,z
655226738710,0.003048107,0.0055943504,-0.084775925
655246929700,-0.0066063404,-5.985573E-4,-0.06890392
655267120689,-0.009593472,-0.0031833947,-0.07706833
655287311627,-2.55391E-4,0.00111866,-0.06704044
655307502616,-0.0027186573,-5.245656E-4,-0.07886696
655327693606,-0.015321955,-0.016385175,-0.068312645
655347884596,0.0023664534,-0.0032873526,-0.08410454
655368075585,-0.006091416,-0.013181195,-0.055802345
655388266523,4.2675436E-4,-0.005390443,-0.048763275
655408457512,-0.016565934,0.0042353794,-0.06815052
655428648502,-0.010597408,-0.008827463,-0.06919956
655448839491,0.0024533272,0.006835811,-0.086940765
655469030481,-0.0029556602,0.004985407,-0.08559418
655489221418,-0.007319048,6.40966E-4,-0.083945274
655509412408,-0.0021280497,-8.1551075E-4,-0.08918476
655529603398,0.010502219,0.005713254,-0.07211876
655549794387,0.0020515025,-0.002672635,-0.0638113
655569985325,0.0014904737,0.007380143,-0.072647095
655590176314,-0.009752378,-0.005117364,-0.07159901
655610367304,-0.0010491014,-0.005946316,-0.0650835
655630558293,-0.010022834,0.0043577924,-0.070773125
655650749283,-0.008061409,0.007875778,-0.053183556
655670939127,-0.004221916,-0.0010806844,-0.068525314
655691128658,-0.015255198,-0.0056680143,-0.0655241
655711318241,-0.011567071,0.0031858608,-0.05250454
655731507773,-0.006359577,0.017551996,-0.06971741
655751697356,-0.012883544,-0.013475001,-0.060881615
655771886887,-0.010552138,-9.489432E-4,-0.06612396
655792076471,0.0017770231,-0.0073428974,-0.055493355
655812266002,-0.015554473,0.0041032657,-0.08536434
655832455585,-0.008832157,0.007675804,-0.037153244
655852645116,6.11797E-4,-0.023221076,-0.07952213
655872834700,0.003302291,-0.007130772,-0.07773304
655893024231,-0.0021585375,0.0133333355,-0.057144165
655913213814,-0.02256389,-0.006641209,-0.068823814
655933403346,-0.019709438,-0.013335213,-0.06770229
655953592929,-0.028210118,0.0034592226,-0.06605244
655973782460,0.005325675,-0.0117942095,-0.06882286
655993972043,-0.0065308213,-0.009810239,-0.0776577
656014161575,-0.015811384,-0.014625542,-0.06537819
656034351106,-0.0068951547,-0.00730402,-0.061707497
656054540689,-0.02450949,-0.0037377551,-0.05691433
656074730221,-0.006434202,0.008366443,-0.04238987
656094919804,-0.015033722,-0.012745239,-0.08520985
656115109335,-0.007859737,0.0035550296,-0.07690048
656135298918,-0.028233454,-0.020471856,-0.06746769
656155488450,-0.011036545,-0.015830457,-0.06754112
656175677512,-0.021154016,-0.00626868,-0.048151016
656195866627,-0.011182144,-0.009923175,-0.07690334
656216055741,-0.014107123,0.013550915,-0.07451153
656236244804,-0.01758942,0.007977851,-0.06575298
656256433918,-0.004406169,0.0015427321,-0.06687546
656276623033,-0.00794287,9.705052E-4,-0.06874561
