Time (s),x,y,z
655073960898,6.4390464,-0.120971665,10.660479
655076484752,-9.236965,-1.1258749,9.026163
655079008658,7.3385487,1.249841,10.077778
655081532512,0.10120897,-0.74619156,10.092151
655084056366,-6.887001,-0.52520865,8.96987
655086580273,9.860389,1.0815586,10.576037
655089104127,-6.207883,-1.4965752,9.501067
655091627981,-0.78032714,0.65336674,9.012389
655094151887,7.9547853,0.061683573,10.801811
655096675741,-9.360931,-1.2606206,9.09144
655099199596,5.888685,1.2696036,9.6178465
655101723502,1.7774451,-0.63060975,10.387993
655104247356,-7.662537,-0.7318187,8.894412
655106771210,9.439982,1.2306771,10.482016
655109295116,-4.804731,-1.4097391,9.678931
655111818971,-1.8277501,0.47071153,8.955497
655114342825,8.018266,0.3311749,10.815586
655116866731,-8.562039,-1.3474567,9.186061
655119390585,4.849646,1.0432309,9.641202
655121914439,2.1930606,-0.43837258,10.387993
655124438346,-7.289441,-0.7414006,8.885428
655126962200,8.711757,1.0480219,10.41614
655129486106,-4.2208333,-1.2366658,9.71666
655132009960,-1.7846315,0.3120111,9.026163
655134533814,7.4337687,0.34554777,10.707789
655137057721,-7.997904,-1.1408466,9.195643
655139581575,4.5861435,0.9228581,9.669948
655142105429,1.9630947,-0.41920874,10.322716
655144629335,-6.8157353,-0.65037245,8.899801
655147153189,8.353034,0.8893214,10.364636
655149677043,-4.2645507,-1.1264738,9.707677
655152200950,-1.4594454,0.3311749,9.054909
655154724804,7.103193,0.18684733,10.6610775
655157248658,-7.8260283,-1.0635924,9.200435
655159772564,4.7580194,0.91806716,9.707677
655162296418,1.6468915,-0.4575364,10.346072
655164820273,-6.59595,-0.53958154,8.97466
655167344179,8.314107,0.8264401,10.393382
655169868033,-4.451398,-1.1887562,9.674739
655172391887,-1.244451,0.4078302,9.064491
655174915793,6.997792,0.09042931,10.679643
655177439648,-7.960175,-1.00131,9.228581
655179963502,4.8771944,0.96118575,9.669948
655182487408,1.5361006,-0.5347906,10.261631
655185011262,-6.518696,-0.5299996,8.923158
655187535168,8.439271,0.8462028,10.41614
655190059023,-4.599319,-1.2462478,9.678931
655192582877,-1.1719879,0.46592057,9.073474
655195106783,7.0031815,0.06647453,10.580829
655197630637,-7.983531,-1.0588015,9.190852
655200154491,5.0981774,0.97555864,9.698095
655202678398,1.4079425,-0.5683273,10.261631
655205202252,-6.5426507,-0.5299996,8.880638
655207726106,8.525508,0.87494856,10.397574
655210250012,-4.7574205,-1.2606206,9.67414
655212773866,-1.1049144,0.43717483,9.040536
655215297721,6.950481,0.03293783,10.608975
655217821627,-8.0595875,-1.0492196,9.138751
655220345481,5.227533,1.0049032,9.678931
655222869335,1.3600329,-0.5779092,10.237677
655225393241,-6.513905,-0.5102369,8.875847
655227917096,8.520718,0.8893214,10.449078
655230440950,-4.800539,-1.2510387,9.641801
655232964856,-1.0234683,0.54317474,9.078265
655235488710,6.9313173,0.0041920873,10.679643
655238012564,-8.097916,-1.0588015,9.181271
655240536471,5.2754426,1.03844,9.721451
655243060325,1.2737957,-0.6354007,10.308343
655245584231,-6.4468317,-0.53958154,8.885428
655248108085,8.511135,0.89411235,10.425721
655250631939,-4.895759,-1.2708014,9.660366
655253155846,-0.8899203,0.5575476,9.068683
655255679700,6.835498,0.018564958,10.655687
655258203554,-8.12187,-1.0971292,9.204626
655260727460,5.347307,1.0001123,9.71666
655263251314,1.134858,-0.63060975,10.308343
655265775168,-6.3318486,-0.4910731,8.908785
655268299075,8.549463,0.9132762,10.3508625
655270822929,-5.0059514,-1.2947562,9.637011
655273346783,-0.8180559,0.59587526,9.078265
655275870689,6.7875886,-0.010180783,10.637122
655278394543,-8.117678,-1.0300558,9.190852
655280918398,5.4521093,1.0959314,9.71666
655283442304,1.0102931,-0.6839091,10.270615
655285966158,-6.28873,-0.52520865,8.923158
655288490012,8.611147,0.91806716,10.411947
655291013918,-5.1353073,-1.2564285,9.693304
655293537773,-0.65037245,0.5719205,9.134559
655296061627,6.734888,-0.06827114,10.580829
655298585533,-8.122469,-1.0300558,9.143541
655301109387,5.5287642,1.0767676,9.744806
655303633293,0.87614626,-0.6551634,10.21432
655306157148,-6.188719,-0.48149118,8.932739
655308681002,8.596773,0.90848523,10.425721
655311204908,-5.2215443,-1.3330839,9.627428
655313728762,-0.5353895,0.6006662,9.13935
655316252616,6.6630235,-0.077853054,10.599394
655318776523,-8.208107,-1.0156829,9.171688
655321300377,5.6437473,1.0911405,9.772954
655323824231,0.75697124,-0.72223675,10.252049
655326348137,-6.150391,-0.48149118,8.913576
655328871991,8.639893,0.8845304,10.449078
655331395846,-5.3173633,-1.3378748,9.632219
655333919752,-0.43537822,0.61024815,9.111202
655336443606,6.5678034,-0.14492646,10.608975
655338967460,-8.17996,-1.006101,9.204626
655341491366,5.7922673,1.1198862,9.726242
655344015221,0.6563611,-0.7845192,10.190965
655346539075,-6.0401993,-0.44795448,8.923158
655349062981,8.668638,0.91806716,10.420931
655351586835,-5.389228,-1.3043381,9.613654
655354110689,-0.32039526,0.62462103,9.092039
655356634596,6.4528203,-0.13055357,10.613767
655359158450,-8.213497,-1.0156829,9.209417
655361682356,5.8785043,1.0767676,9.810682
655364206210,0.52700526,-0.7509825,10.228693
655366730064,-5.963544,-0.43837258,8.927949
655369253971,8.644683,0.8893214,10.440094
655371777825,-5.528166,-1.3570386,9.618445
655374301679,-0.1814575,0.6581577,9.162705
655376825585,6.409702,-0.15450837,10.613767
655379349439,-8.237452,-0.94860953,9.157914
655381873293,6.0024705,1.1055133,9.815474
655384397200,0.4024404,-0.8138638,10.219111
655386921054,-5.8629336,-0.40004492,8.923158
655389444908,8.639893,0.90848523,10.496388
655391968814,-5.60003,-1.415129,9.637011
655394492668,-0.028146872,0.67732155,9.200435
655397016523,6.3090916,-0.14492646,10.618558
655399540429,-8.247034,-0.904892,9.073474
655402064283,6.0887074,1.1198862,9.810682
655404588137,0.29703933,-0.8521915,10.186173
655407112043,-5.7862782,-0.4239997,8.932739
655409635898,8.649474,0.8845304,10.501179
655412159804,-5.7581315,-1.3330839,9.613654
655414683658,0.057491485,0.7449938,9.157914
655417207512,6.1893177,-0.18864393,10.637122
655419731418,-8.299734,-0.95340043,9.167497
655422255273,6.174945,1.1055133,9.838829
655424779127,0.1341468,-0.8186548,10.144253
655427303033,-5.6431484,-0.3473444,8.895011
655429826887,8.615937,0.840813,10.468242
655432350741,-5.8150244,-1.4007561,9.585507
655434874648,0.26350263,0.70127636,9.205225
655437398502,6.1078715,-0.18385299,10.599993
655439922356,-8.242243,-0.94860953,9.162705
655442446262,6.3234644,1.143841,9.801101
655444970116,-0.019163828,-0.8857282,10.1394615
655447493971,-5.55212,-0.33776248,8.9045925
655450017877,8.649474,0.93244004,10.425721
655452541731,-5.9347982,-1.3762025,9.575926
655455065585,0.37848562,0.7737396,9.153124
