Time (s),x,y,z
733357974770,-0.002789393,-0.0035180375,-0.068912506
733378164301,-0.003325507,-0.02102618,-0.09474182
733398353885,0.006946638,0.016121216,-0.071312904
733418543416,1.0879338E-4,-0.0010890961,-0.08658314
733438732947,-0.00946112,-0.005762525,-0.07662678
733458922479,-0.008330643,-0.011910662,-0.09885979
733479112010,-0.010035574,-0.0027784407,-0.08059502
733499301541,0.006199047,-0.008276559,-0.09661579
733519491072,-0.0074579865,-0.001643151,-0.086512566
733539680656,-0.0055722445,0.008033909,-0.0795517
733559870187,3.9939582E-4,-0.0056407154,-0.07655525
733580059718,-0.015705228,0.007548347,-0.10897064
733600249249,-0.0011618882,0.002500981,-0.10298061
733620438781,0.0041365325,-0.0042438284,-0.0895071
733640628312,0.0017531663,0.016344577,-0.07258892
733660817791,-0.019763157,0.008584559,-0.08950615
733681007166,3.683567E-5,-7.965863E-4,-0.08891106
733701196489,-0.00218907,-0.0033034682,-0.09535313
733721385812,-8.7453425E-4,0.0066020265,-0.07424927
733741575135,-0.003231272,-0.004802704,-0.07896519
733761764510,-0.0052250326,0.0035212412,-0.08659935
733781953833,-4.7546625E-4,0.017964333,-0.09647846
733802143156,-0.017959625,0.0028548837,-0.08307743
733822331749,-0.009731352,-0.015143216,-0.11107731
733842519926,-0.013093516,-0.001448445,-0.07289791
733862708104,-0.004745111,0.04105396,-0.08570099
733882896229,-0.0022052824,0.006423548,-0.0669117
733903084406,0.0044641644,-0.024115086,-0.083893776
733923272531,-0.017028898,0.018683523,-0.10807228
733943460708,-0.020422012,-0.017178789,-0.08516884
733963648885,-0.013713002,-0.0065846145,-0.093408585
733983837010,0.012070909,0.013014987,-0.08809662
734004025187,0.0033318251,0.008629896,-0.08337402
734024213312,-0.013034403,-0.013531551,-0.0805254
734044401489,-0.009479433,0.0038040504,-0.088609695
734064589666,8.9870393E-4,0.025926426,-0.068626404
734084777791,0.0114758015,0.007901177,-0.10687542
734104965968,-0.0022854805,-0.017874762,-0.092279434
734125154093,-5.031228E-4,-0.0022242218,-0.08815956
734145342270,-0.001609683,0.0074255094,-0.08576584
734165530864,0.015737146,0.0032472536,-0.11331463
734185719979,0.009201556,0.0018095449,-0.086956024
734205909041,-0.0010710061,0.0030317307,-0.07759571
734226098156,-0.006375268,0.004980661,-0.0799036
734246287270,0.0045203418,-0.006372787,-0.08275032
734266476333,-0.00989227,-0.008899383,-0.09158325
734286665447,-0.020107195,-0.0076475367,-0.06583023
734306854562,-0.007024333,0.0059812814,-0.08102703
734327043676,-0.001181528,0.0059684664,-0.07219124
734347232739,-0.0036996305,-0.0084031895,-0.08521366
734367421854,0.0043765754,0.0040059313,-0.07570267
734387610968,-0.00584431,-0.009661682,-0.088124275
734407800083,-0.0071609616,-1.1818111E-4,-0.08041382
734427989145,-0.002540633,-0.017453432,-0.07681656
734448178260,0.007025048,-0.0014950484,-0.08452988
734468367374,-0.0037410557,5.045533E-4,-0.07449627
734488556489,-0.0097899735,0.011903778,-0.08520031
734508745551,-0.001709342,-0.0056710765,-0.06565571
734528934666,-4.5014918E-4,-0.006904505,-0.089240074
734549123781,6.5357983E-4,-0.0010990873,-0.0845232
734569312895,-0.2069257,2.8751045E-4,-0.113264084
734589501958,-0.047087625,-0.023983084,-0.08796883
734609691072,-6.80536E-5,0.008774519,-0.093354225
734629880187,0.007721171,-0.011812799,-0.085567474
734650069301,-0.010602325,1.5366077E-4,-0.098073006
734670257531,-0.020236015,-0.017774284,-0.09043789
734690445447,-0.011394963,-0.011632092,-0.0932045
734710633364,-0.020721957,-0.005750686,-0.0881052
734730821281,-0.02122195,-0.008374952,-0.08915806
734751009197,-0.023127884,-0.023213968,-0.084513664
734771197114,-0.028575018,-0.0045260414,-0.086232185
734791385031,-0.0074199736,0.0072297007,-0.092749596
734811572947,-0.0069027543,-0.019003153,-0.107271194
734831760916,-0.011158466,-0.017773084,-0.098062515
734851948833,-0.02078481,-0.018358178,-0.08652687
734872136749,-0.026074812,-0.010372601,-0.08974838
734892324666,0.0029910356,-0.015924782,-0.09722805
734912512583,-0.016816422,-0.020630024,-0.10478592
734932700499,-0.02583082,-0.017162032,-0.09362984
734952888416,-0.012123138,-0.011159755,-0.12065506
734973076333,-0.011044189,-0.017139323,-0.09654713
734993264301,-0.011108518,-0.017655462,-0.08434391
735013452218,-0.020176813,-0.0075001344,-0.08239746
735033640135,-0.031940877,-0.01673004,-0.10014343
735053828051,1.4011562E-4,-0.010011315,-0.07423401
735074015968,-0.0014082491,-0.0052761883,-0.09138489
735094203885,-0.012276545,-0.023851886,-0.09295654
735114391801,-0.022483796,-0.017825171,-0.097146034
735134579718,-0.024311647,-9.5920265E-4,-0.10246086
735154767687,-0.0071888864,-0.031037599,-0.08426857
735174957114,-0.014569387,-0.014087394,-0.11061382
735195146593,-0.021948874,-0.03181927,-0.10424709
735215336124,-0.019218579,-0.020229176,-0.115846634
735235525656,0.004607126,-0.014885984,-0.103717804
735255715135,-0.025390193,-0.004187368,-0.085300446
735275904666,-0.009913102,-0.022766702,-0.08537197
735296094197,-0.011826903,-0.019060083,-0.09652424
735316283676,-0.00634484,-0.0106952265,-0.08185387
735336473208,-0.011335582,-0.015350476,-0.09996414
735356662739,-0.0067609847,-0.008839086,-0.08124828
735376852218,0.0035045743,-0.002976358,-0.07129383
735397041749,-0.019934118,-0.038467027,-0.104307175
735417231281,-0.014631733,-0.01444865,-0.09000683
735437420760,-0.016514108,-0.00944823,-0.090078354
735457610291,-0.012331188,-0.01547952,-0.098835945
735477799822,-0.019286588,-0.021499418,-0.08521557
735497989354,-0.017131373,-0.010093689,-0.09831047
735518178833,-0.020833448,-0.010743409,-0.0806427
735538368364,-0.0034846663,-0.014463857,-0.09119797
735558557895,-0.028684393,-0.022521809,-0.103551865
735578747374,-0.027949646,-0.014544301,-0.08708382
735598936906,0.0035342425,-0.030589528,-0.09464073
735619126437,-0.0133802295,-0.041592136,-0.089921
735639315916,-0.0064689964,-0.033889763,-0.09291077
735659505395,-0.026831329,-0.0038212389,-0.09298229
735679694718,-0.003126651,-0.013887174,-0.10054016
735699884041,-0.018153757,-0.019935228,-0.085790634
735720073312,-0.01729396,-0.013001651,-0.10862732
735740262635,-0.008901238,-0.019634917,-0.10877609
735760451958,-0.006156534,-0.0140423775,-0.10233021
