Time (s),x,y,z
733207732166,-0.002263685,-0.0054594753,9.321056E-4
733210255864,-1.3315794E-4,-1.3315794E-4,9.321056E-4
733212779562,0.001997369,-1.3315794E-4,-0.0011984215
733215303260,9.321056E-4,-1.3315794E-4,9.321056E-4
733217826958,-1.3315794E-4,-1.3315794E-4,9.321056E-4
733220350656,9.321056E-4,-1.3315794E-4,-0.0011984215
733222874354,9.321056E-4,-0.0033289485,9.321056E-4
733225397999,-0.0011984215,-0.0033289485,-0.0011984215
733227921697,9.321056E-4,-1.3315794E-4,9.321056E-4
733230445395,0.001997369,-1.3315794E-4,9.321056E-4
733232969093,9.321056E-4,-0.002263685,-1.3315794E-4
733235492791,-1.3315794E-4,9.321056E-4,-0.0033289485
733238016489,0.001997369,-1.3315794E-4,-0.0011984215
733240540187,-1.3315794E-4,-0.0011984215,-0.0011984215
733243063885,-1.3315794E-4,9.321056E-4,-0.002263685
733245587583,-1.3315794E-4,0.001997369,0.001997369
733248111229,-1.3315794E-4,9.321056E-4,-1.3315794E-4
733250634926,-0.0011984215,9.321056E-4,9.321056E-4
733253158624,-1.3315794E-4,-0.0011984215,9.321056E-4
733255682322,-0.0011984215,9.321056E-4,-0.0011984215
733258206020,-0.0011984215,-0.0033289485,-0.002263685
733260729718,9.321056E-4,-0.0033289485,-1.3315794E-4
733263253416,0.001997369,-1.3315794E-4,9.321056E-4
733265777114,0.001997369,-1.3315794E-4,0.001997369
733268300812,-0.0011984215,0.0030626326,9.321056E-4
733270824458,0.0030626326,9.321056E-4,-1.3315794E-4
733273348156,9.321056E-4,0.0030626326,-0.0011984215
733275871854,-0.0033289485,0.0030626326,-1.3315794E-4
733278395551,-1.3315794E-4,-1.3315794E-4,-1.3315794E-4
733280919249,-0.0011984215,0.001997369,-0.002263685
733283442947,-1.3315794E-4,9.321056E-4,-1.3315794E-4
733285966645,0.001997369,9.321056E-4,-1.3315794E-4
733288490343,-0.0033289485,9.321056E-4,9.321056E-4
733291014041,9.321056E-4,-1.3315794E-4,-1.3315794E-4
733293537687,-1.3315794E-4,9.321056E-4,-0.0033289485
733296061385,-1.3315794E-4,-0.0011984215,-0.0011984215
733298585083,9.321056E-4,9.321056E-4,0.001997369
733301108781,-1.3315794E-4,0.0041278964,0.001997369
733303632479,-0.0011984215,-0.0011984215,-1.3315794E-4
733306156176,-0.0011984215,-1.3315794E-4,-1.3315794E-4
733308679874,-1.3315794E-4,9.321056E-4,9.321056E-4
733311203572,9.321056E-4,0.001997369,0.001997369
733313727270,0.0030626326,9.321056E-4,-1.3315794E-4
733316250968,-0.0011984215,9.321056E-4,-1.3315794E-4
733318774614,9.321056E-4,9.321056E-4,-0.0011984215
733321298312,9.321056E-4,-1.3315794E-4,9.321056E-4
733323822010,9.321056E-4,9.321056E-4,9.321056E-4
733326345708,-1.3315794E-4,9.321056E-4,-0.0033289485
733328869406,-1.3315794E-4,-1.3315794E-4,9.321056E-4
733331393104,-0.0011984215,9.321056E-4,9.321056E-4
733333916801,-0.0011984215,-0.002263685,-0.0011984215
733336440499,9.321056E-4,-0.0033289485,-1.3315794E-4
733338964197,9.321056E-4,-1.3315794E-4,-1.3315794E-4
733341487843,-0.002263685,-0.002263685,-0.002263685
733344011541,-1.3315794E-4,-0.002263685,-0.002263685
733346535239,-1.3315794E-4,-1.3315794E-4,-0.0011984215
733349058937,9.321056E-4,9.321056E-4,-1.3315794E-4
733351582635,-0.0011984215,0.0041278964,-0.0011984215
733354106333,-0.002263685,9.321056E-4,9.321056E-4
733356630031,0.0041278964,-0.002263685,-0.0011984215
733359153729,0.001997369,-0.0011984215,-0.0011984215
733361677426,0.001997369,-1.3315794E-4,-0.0011984215
733364201072,0.001997369,-0.0011984215,9.321056E-4
733366724770,0.001997369,-0.002263685,9.321056E-4
733369248468,9.321056E-4,-0.002263685,9.321056E-4
733371772166,-0.0011984215,-1.3315794E-4,-1.3315794E-4
733374295864,-1.3315794E-4,9.321056E-4,-0.002263685
733376819562,0.0041278964,0.0030626326,-0.0033289485
733379343260,0.001997369,9.321056E-4,-0.002263685
733381866958,-1.3315794E-4,-0.0011984215,9.321056E-4
733384390656,-0.0011984215,0.001997369,-1.3315794E-4
733386914301,9.321056E-4,-0.0011984215,-0.002263685
733389437999,9.321056E-4,-0.002263685,-0.0011984215
733391961697,-0.0011984215,-1.3315794E-4,-1.3315794E-4
733394485395,-1.3315794E-4,-1.3315794E-4,9.321056E-4
733397009093,0.001997369,0.0030626326,-0.0011984215
733399532791,-1.3315794E-4,-0.002263685,9.321056E-4
733402056489,-1.3315794E-4,9.321056E-4,0.001997369
733404580187,-0.0011984215,0.0041278964,9.321056E-4
733407103885,0.001997369,-1.3315794E-4,-0.0011984215
733409627531,0.001997369,0.001997369,0.001997369
733412151229,0.001997369,0.001997369,9.321056E-4
733414674926,9.321056E-4,-0.0011984215,-1.3315794E-4
733417198624,0.001997369,-1.3315794E-4,9.321056E-4
733419722322,-0.0011984215,-0.0033289485,0.001997369
733422246020,9.321056E-4,-0.0054594753,9.321056E-4
733424769718,0.001997369,-0.002263685,-0.0011984215
733427293416,0.0030626326,-0.002263685,-1.3315794E-4
733429817114,-1.3315794E-4,-1.3315794E-4,-1.3315794E-4
733432340812,-1.3315794E-4,0.0030626326,9.321056E-4
733434864458,-1.3315794E-4,0.0030626326,-1.3315794E-4
733437388156,-0.0011984215,-0.0011984215,-0.002263685
733439911854,-0.0011984215,-0.002263685,-0.0011984215
733442435551,0.001997369,-0.0033289485,9.321056E-4
733444959249,0.001997369,9.321056E-4,-1.3315794E-4
733447482947,-1.3315794E-4,-1.3315794E-4,-1.3315794E-4
733450006645,-1.3315794E-4,-1.3315794E-4,-1.3315794E-4
733452530343,-0.0011984215,0.001997369,-1.3315794E-4
733455054041,-0.0011984215,-0.0011984215,0.001997369
733457577687,0.001997369,0.001997369,-1.3315794E-4
733460101385,9.321056E-4,-0.0011984215,9.321056E-4
733462625083,9.321056E-4,-0.0033289485,-0.0011984215
733465148781,0.001997369,9.321056E-4,-0.0011984215
733467672479,-1.3315794E-4,-0.002263685,-0.002263685
733470196176,-1.3315794E-4,9.321056E-4,-0.0011984215
733472719874,9.321056E-4,0.0030626326,0.001997369
733475243572,-0.0011984215,-0.004394212,9.321056E-4
733477767270,9.321056E-4,-1.3315794E-4,-0.0011984215
