Time (s),x,y,z
19315903060941,-3.0542363E-4,-4.5813544E-4,0.0012216945
19315905473701,0.0021379655,0.0019852535,-0.0012216945
19315907886462,-0.0015271181,-4.5813544E-4,0.0013744063
19315910299222,-3.0542363E-4,-0.0018325418,0.0012216945
19315912711982,-0.0051922016,-0.0029015245,0.0013744063
19315915124743,-0.100026235,-0.02260135,-0.002443389
19315917537503,-0.062000997,0.004123219,-0.003970507
19315919950264,0.04902049,0.045966256,-0.007482879
19315922363024,0.06566608,0.029626092,-0.0030542363
19315924775732,0.014507622,-0.051769305,0.00671932
19315927188545,-0.038941514,0.0013744063,6.1084726E-4
19315929601253,-0.05054761,-0.029626092,0.004123219
19315932000576,-0.031764057,-0.002443389,-0.004428643
19315934426774,0.043217443,0.058488626,-0.002443389
19315936839534,0.054212693,-0.0038177953,0.00167983
19315939300784,0.0193944,0.014049487,-0.0
19315941762034,-0.026724568,-0.051158458,0.005955761
19315944223284,-0.0723854,-0.031611346,-0.0030542363
19315946684378,0.053449135,0.022295926,7.635591E-4
19315949145368,0.0659715,0.04199575,0.0019852535
19315951606357,0.00335966,-0.06642964,0.005497625
19315954067347,-0.08246438,-0.052685577,-6.1084726E-4
19315956528337,-0.05207473,0.013896775,-3.0542363E-4
19315958989326,0.02367033,0.043981,-0.0047340663
19315961436618,0.0762032,0.07406523,-0.0013744063
19315963911305,0.033596598,-0.06566608,0.008704574
19315966372295,-0.048409645,-0.04703524,0.0027488125
19315968833284,-0.05619795,-0.008399149,7.635591E-4
19315971294274,-0.02260135,0.032222193,-0.005497625
19315973755264,0.048409645,0.075897776,-0.005955761
19315976216253,0.048409645,-0.048409645,0.0013744063
19315978677243,0.0076355906,-0.029320668,0.0045813546
19315981138232,-0.029778805,-0.021226943,0.0051922016
19315983599222,-0.056808796,0.017867282,-0.0051922016
19315986060212,0.004428643,0.055434387,-0.004275931
19315988521201,0.03771982,-0.038330667,-0.0021379655
19315990982139,0.05070032,0.004886778,0.005497625
19315993443128,0.014049487,-0.011911522,0.0071774554
19315995904170,-0.06322269,0.004123219,-3.0542363E-4
19315998351409,-0.045966256,0.020005248,-3.0542363E-4
19316000826097,-0.00335966,-0.03771982,-0.0051922016
19316003287087,0.06566608,0.029626092,7.635591E-4
19316005748076,0.054365408,0.0022906773,0.0030542363
19316008209066,-0.035276428,0.0062611843,0.0018325418
19316010670055,-0.065818794,-0.009468133,0.0021379655
19316013117347,-0.048409645,-0.048104223,-0.005955761
19316015592034,0.052685577,0.045966256,-0.0025961008
19316018053024,0.07773031,0.0219905,4.5813544E-4
19316020514014,0.007330167,0.019241689,0.0062611843
19316022975003,-0.055434387,-0.036956258,0.0053449133
19316025435993,-0.08261709,-0.06383354,-0.0056503373
19316027896982,0.018783553,0.043981,-9.162709E-4
19316030357972,0.07559235,0.035581853,-6.1084726E-4
19316032818962,0.05131117,0.033443887,0.0045813546
19316035279951,-0.026571855,-0.046118967,0.0061084726
19316037740941,-0.097277425,-0.0723854,-6.1084726E-4
19316040201930,-0.02260135,0.03466558,-0.0029015245
19316042662920,0.052685577,0.040926766,-0.0051922016
19316045123909,0.07956286,0.055434387,0.004428643
19316047584899,0.014660334,-0.046729814,0.00671932
19316050032191,-0.086434886,-0.0749815,0.00167983
19316052506878,-0.050853033,0.0151184695,-0.0015271181
19316054967868,0.013744064,0.03420745,-0.005955761
19316057428857,0.084755056,0.07269082,-3.0542363E-4
19316059889847,0.04382829,-0.03970507,3.0542363E-4
19316062303024,-0.056045234,-0.06810947,0.00503949
19316064715784,-0.060932014,-0.00335966,0.005803049
19316067128545,-0.027640838,0.022295926,-0.004275931
19316069541253,0.06429167,0.078035735,-0.002443389
