Time (s),x,y,z
19270767790446,0.020937199,0.011365907,9.810573
19270770203258,0.016151553,0.016151553,9.820144
19270772616071,0.0017946169,0.011964113,9.810573
19270775028831,0.020937199,-0.0071784677,9.815358
19270777441643,0.016151553,0.0023928226,9.801002
19270779854404,0.016151553,0.0065802624,9.810573
19270782267216,0.016151553,0.0023928226,9.810573
19270784680029,0.011365907,0.0023928226,9.815358
19270787092789,0.011365907,0.0023928226,9.815358
19270789505602,0.011365907,0.016151553,9.820144
19270791918362,0.035294134,0.010767702,9.844072
19270794331175,-0.019740786,0.019142581,9.580862
19270796743987,0.061615184,-0.029910283,10.116854
19270799156748,0.0071784677,0.025124637,9.853643
19270801569560,-0.12801601,0.06520442,8.825328
19270803982321,0.30149564,-0.09930214,11.593824
19270806395133,-0.24047868,0.13040884,8.10449
19270808794508,0.11066805,-0.0023928226,10.633704
19270811220706,0.014356935,-0.13998012,10.269397
19270813633518,-0.19202402,0.20638095,8.507083
19270816046279,0.42532423,-0.0424726,11.45863
19270818507268,-0.24765715,0.19082761,7.783852
19270820968258,0.16450655,-0.17228323,11.407782
19270823429404,-0.2321038,0.16570297,8.842078
19270825876696,0.42891344,-0.07956135,11.39163
19270828351435,-0.25124636,0.15553348,7.9704924
19270830812477,0.3080759,-0.19740787,11.855838
19270833259768,-0.1268196,0.10707881,8.471788
19270835734508,-0.23928227,0.11066805,9.138788
19270838195550,0.28953153,-0.18305093,11.429915
19270840642841,-0.16211374,0.12323037,8.300103
19270843117581,0.35114673,-0.12023934,11.784652
19270845578571,-0.123828575,0.15134603,8.2660055
19270848039612,-0.23389842,-0.023928227,9.827323
19270850500654,0.2219343,-0.14297116,10.865808
19270852961643,-0.15553348,0.10707881,8.457432
19270855408987,0.32542387,-0.0849452,11.589038
19270857883675,-0.2739782,0.23090738,7.559525
19270860344716,-0.044865426,-0.11306087,10.514063
19270862805758,0.19441684,-0.08733802,10.512268
19270865266748,-0.111266255,0.07716853,9.037093
19270867727789,0.3397808,-0.09451649,11.5932255
19270870175081,-0.2638087,0.22612174,7.578069
19270872649821,-0.020338992,-0.0951147,10.552348
19270875110862,0.13160525,-0.038285162,9.942777
19270877571852,-0.06281159,0.03888337,9.553345
19270880032893,0.2853441,-0.08733802,11.3880415
19270882493883,-0.4109673,0.23090738,7.25444
19270884941227,0.15254244,-0.106480606,11.068001
19270887415966,0.09930214,0.041874398,9.51805
19270889876956,-0.035294134,-0.046660043,10.021141
19270892337998,0.23509483,-0.10887343,11.201401
19270894798987,-0.4354937,0.2219343,7.2305117
19270897260029,0.25004998,-0.109471634,11.273186
19270899721071,0.019142581,0.09930214,9.078967
19270902182060,0.02632105,-0.09451649,10.470992
19270904643102,0.19381863,-0.08135597,10.8759775
19270907090393,-0.43908295,0.23030917,7.3118677
19270909565133,0.35294133,-0.10767702,11.473584
19270912026175,-0.032303106,0.11246266,8.753544
19270914487164,0.08255238,-0.14177474,10.83829
19270916948206,0.1268196,-0.076570325,10.441082
19270919409248,-0.421735,0.22253251,7.6133633
19270921856539,0.36789647,-0.12323037,11.559128
19270924331279,-0.13100705,0.13459627,8.514859
19270926792268,0.148355,-0.14536397,11.163714
19270929253310,0.069391854,-0.01375873,9.891331
19270931714352,-0.39780676,0.21774685,8.078169
19270934175341,0.357727,-0.13220344,11.525628
19270936622685,-0.16091733,0.13160525,8.376674
19270939097373,0.2219343,-0.12921242,11.364113
19270941511487,0.0011964113,0.04546363,9.284152
19270943924300,-0.33020952,0.13040884,8.665607
19270946337060,0.31764722,-0.1591227,11.382059
19270948749873,-0.15613168,0.13160525,8.381459
19270951149196,0.28175488,-0.11246266,11.517254
19270953575446,-0.061016977,0.11784652,8.715259
19270955988258,-0.25782663,0.04366901,9.263215
19270958387581,0.26261228,-0.14117654,11.114063
19270960813831,-0.13579269,0.13519448,8.514859
19270963226591,0.30149564,-0.09930214,11.574681
19270965625966,-0.15792629,0.16689938,8.199605
19270968052216,-0.17647067,-0.03888337,9.826126
19270970464977,0.20578274,-0.14177474,10.741381
19270972877789,-0.12801601,0.11306087,8.82114
19270975290550,0.30149564,-0.089132644,11.550753
19270977703362,-0.22372891,0.20458634,7.7886376
19270980116175,-0.07058827,-0.08255238,10.328021
19270982528935,0.18305093,-0.061615184,10.296914
19270984941748,-0.07537391,0.06580263,9.237492
19270987341071,0.2955136,-0.09750752,11.445469
19270989767321,-0.35174492,0.20398813,7.4829545
19270992180133,0.08255238,-0.08853444,10.767104
19270994592893,0.15493527,-0.008973085,9.823135
19270997005706,-0.0424726,-0.0011964113,9.725029
19270999418518,0.27936205,-0.11485548,11.311471
19271001817841,-0.42532423,0.23090738,7.2783685
19271004244091,0.19621146,-0.08853444,11.120045
19271006656852,0.0741775,0.06281159,9.379267
19271009069664,-0.0047856453,-0.06759724,10.169497
19271011482425,0.20997019,-0.09750752,11.053046
19271013895237,-0.45403808,0.2548356,7.259824
19271016294560,0.29491538,-0.09212367,11.3880415
19271018720810,-0.015553347,0.11964113,8.988638
19271021133623,0.032303106,-0.11485548,10.5996065
19271023546383,0.15314065,-0.09332009,10.680364
19271025959196,-0.44745782,0.24825534,7.4273214
19271028372008,0.35832518,-0.098703936,11.507084
19271030784768,-0.09032906,0.13280165,8.668
19271033197581,0.11724831,-0.15254244,10.947762
19271035610393,0.086141616,-0.054436713,10.202397
19271038009716,-0.41994038,0.21595225,7.800602
19271040435966,0.37746778,-0.12801601,11.559128
19271042848727,-0.15074782,0.13100705,8.462815
19271045248102,0.19680966,-0.15613168,11.230115
19271047674300,0.037686955,0.0035892338,9.623335
19271050087112,-0.36670008,0.16749759,8.340781
19271052486487,0.35234314,-0.13160525,11.449059
19271054912685,-0.17048861,0.13220344,8.371888
19271057325498,0.24227329,-0.12083755,11.445469
19271059738310,-0.015553347,0.07178468,9.040682
