Time (s),x,y,z
19270764847685,0.0021379655,-4.5813544E-4,-0.0
19270767260446,-3.0542363E-4,7.635591E-4,0.0013744063
19270769673258,-0.0015271181,7.635591E-4,0.0038177953
19270772086071,9.162709E-4,-4.5813544E-4,0.0013744063
19270774498831,7.635591E-4,-0.00167983,-0.0
19270776911643,-0.0015271181,9.162709E-4,0.0013744063
19270779324404,9.162709E-4,7.635591E-4,-0.0010689828
19270781737216,9.162709E-4,9.162709E-4,-0.0022906773
19270784150029,-3.0542363E-4,9.162709E-4,-0.0010689828
19270786562789,-3.0542363E-4,-4.5813544E-4,1.5271181E-4
19270788975602,-3.0542363E-4,-4.5813544E-4,1.5271181E-4
19270791388362,0.0151184695,-0.015576605,0.00335966
19270793801175,0.0013744063,-0.04031592,0.009468133
19270796213987,-0.1253764,-0.07437065,0.005955761
19270798626748,-0.08322794,0.03955236,-0.011911522
19270801039560,0.015882028,0.02183779,-0.007330167
19270803452321,0.111479625,0.014049487,0.002443389
19270805865133,0.069178455,0.018478129,0.0018325418
19270808264508,-0.084449634,-0.09239065,0.006413896
19270810690706,-0.08567133,0.033291176,-0.011911522
19270813103518,-0.03298575,0.0025961008,-0.004275931
19270815516279,0.09361234,0.027946262,-9.162709E-4
19270817977268,0.107050985,0.030236939,1.5271181E-4
19270820438258,-0.054059982,-0.081700824,0.009773556
19270822899404,-0.07849387,-0.030236939,-0.0053449133
19270825346696,0.07666133,0.027182704,-0.009315421
19270827821435,0.11682454,0.035123717,-0.0022906773
19270830282477,-0.012216945,-0.047493376,0.010842538
19270832729768,-0.062459134,0.047798797,-0.0022906773
19270835204508,-0.11071607,-0.07330167,-0.004123219
19270837665550,0.056808796,0.007482879,-0.010384403
19270840112841,0.10567658,0.02535016,-0.0022906773
19270842587581,0.00503949,-0.036650836,0.011911522
19270845048571,-0.0503949,0.0413849,0.002443389
19270847509612,-0.10262234,-0.028709821,-0.002443389
19270849970654,0.054059982,0.049784053,-0.011147963
19270852431643,0.103385895,0.034054734,-0.00335966
19270854878987,0.023364907,-0.029473381,0.012980504
19270857353675,-0.049784053,0.009009997,0.0045813546
19270859814716,-0.13423368,-0.09529217,-3.0542363E-4
19270862275758,0.04535541,0.0387888,-0.009926268
19270864736748,0.097277425,0.03298575,-0.005803049
19270867197789,0.016340164,-0.011911522,0.009620844
19270869645081,-0.053449135,0.011606098,0.0045813546
19270872119821,-0.114228435,-0.060779303,-0.0076355906
19270874580862,0.06123744,0.048409645,-0.01007898
19270877041852,0.1007898,0.025502874,-0.0071774554
19270879502893,0.015271181,-0.0056503373,0.008399149
19270881963883,-0.07070557,-0.005497625,0.0010689828
19270884411227,-0.103385895,-0.06704049,-0.0077883024
19270886885966,0.0697893,0.05207473,-0.0076355906
19270889346956,0.09941539,0.016798299,-0.0022906773
19270891807998,-0.003970507,0.0019852535,0.011300675
19270894268987,-0.07925743,-0.007941014,0.0047340663
19270896730029,-0.083686076,-0.049936764,-0.010384403
19270899191071,0.082006246,0.056808796,-0.006566608
19270901652060,0.09315421,0.004428643,0.0025961008
19270904113102,-0.022143213,0.0010689828,0.006566608
19270906560393,-0.08674031,-0.020310672,0.005955761
19270909035133,-0.05803049,-0.036650836,-0.009315421
19270911496175,0.09544489,0.06291727,-0.007941014
19270913957164,0.07956286,-0.012827792,0.0038177953
19270916418206,-0.0413849,0.01007898,0.008093726
19270918879248,-0.09544489,-0.03130592,0.0035123718
19270921326539,-0.026266431,-0.022295926,-0.009620844
19270923801279,0.10995251,0.06139015,-0.006872032
19270926262268,0.05619795,-0.026266431,0.008857286
19270928723310,-0.05451812,0.021532366,-1.5271181E-4
19270931184352,-0.10414946,-0.039857782,-1.5271181E-4
19270933645341,0.003206948,-0.003970507,-0.01343864
19270936092685,0.11712996,0.055128966,-0.008246438
19270938567373,0.029167956,-0.036956258,0.007941014
19270940981487,-0.060321167,0.031611346,0.002443389
19270943394300,-0.10659285,-0.042301174,0.0010689828
19270945807060,0.0387888,0.009009997,-0.008857286
19270948219873,0.12048962,0.037567105,-0.004886778
19270950619196,0.0012216945,-0.041537613,0.009468133
19270953045446,-0.067498624,0.03283304,0.0013744063
19270955458258,-0.09804098,-0.041079476,-0.003970507
19270957857581,0.070552856,0.025961008,-0.004275931
19270960283831,0.10552386,0.019088976,-0.0022906773
19270962696591,-0.033902023,-0.044744562,0.008704574
19270965095966,-0.07116371,0.035429142,0.0025961008
19270967522216,-0.068873025,-0.031611346,-0.0030542363
19270969934977,0.10689827,0.029015245,-0.0035123718
19270972347789,0.089489125,-4.5813544E-4,-0.0022906773
19270974760550,-0.06765133,-0.03802524,0.00671932
19270977173362,-0.075897776,0.03802524,3.0542363E-4
19270979586175,-0.03466558,-0.022143213,-0.009468133
19270981998935,0.11300674,0.02779355,-0.0010689828
19270984411748,0.0697893,-0.016340164,0.0013744063
19270986811071,-0.090558104,-0.026419144,0.0071774554
19270989237321,-0.07101099,0.04046863,-0.0021379655
19270991650133,-7.635591E-4,-0.02015796,-0.0062611843
19270994062893,0.11300674,0.023975754,-0.0012216945
19270996475706,0.038941514,-0.040774055,0.0053449133
19270998888518,-0.102316916,-0.01007898,0.0013744063
19271001287841,-0.052685577,0.050089475,-0.0061084726
19271003714091,0.03939965,-0.018325418,-0.007941014
19271006126852,0.103080474,0.019088976,0.0025961008
