Time (s),x,y,z
19182537290361,-0.0015648566,-0.0020153113,-0.070744514
19182556979267,-0.023807067,-0.001756236,-0.13709736
19182576668173,-0.0016880166,-0.026333973,0.07978821
19182596357079,0.04473897,-0.026975894,0.18886852
19182615998954,-0.036990024,0.0133104175,-0.22769928
19182635302027,-0.037093714,-0.014291216,-0.066402435
19182654591663,0.05317098,-0.028958097,0.22650051
19182673908173,-0.0035217833,-0.015398029,-0.016346931
19182693211246,-0.0145914275,0.021327036,-0.19433308
19182712514319,-0.0029451363,-0.02062152,0.09482384
19182731817392,-5.1930547E-4,-0.012963448,0.07777023
19182751120465,0.010777437,-0.029375436,0.033629417
19182770410048,-0.027583202,0.0077726766,-0.19740582
19182789726611,-0.008745076,-0.009390382,0.043652534
19182809029683,0.040438507,-0.026409324,0.21415901
19182828332756,-0.025400797,0.0048419535,-0.18730545
19182847635777,-0.04259313,-0.001061609,-0.119374275
19182866938902,0.042196415,-0.028441416,0.21835041
19182886228486,-0.0039607454,-0.015753774,0.025547028
19182905544996,-0.016648997,0.014412373,-0.16014957
19182924850850,-0.01417377,-0.01791374,0.011185646
19182944140485,0.008587554,-0.015493102,0.078743935
19182963456996,0.016305314,-0.030462068,0.0957222
19182982760069,-0.03213343,0.014567444,-0.22792912
19183002063142,-0.015643034,-0.013813261,0.020238876
19183021366214,0.043758824,-0.028391652,0.22478199
19183040669287,-0.017385261,-0.006322993,-0.13897419
19183059958923,-0.037192725,-0.0041594543,-0.15678024
19183079275433,0.030779975,-0.029410766,0.18902397
19183098578506,0.0032524746,-0.014244167,0.048215866
19183117881579,-0.0063834116,7.805005E-4,-0.11877632
19183137184652,-0.02029224,-0.008875446,-0.04866886
19183156487725,0.003779184,-0.010148438,0.07986641
19183175790798,0.022267085,-0.025481697,0.13470078
19183195093819,-0.033631366,0.016557503,-0.23451519
19183214396892,-0.02277191,-0.013398403,-0.022932053
19183233686527,0.048553616,-0.020820443,0.23974419
19183253003037,-0.013175979,-0.008717062,-0.0912447
19183272306110,-0.028603356,0.0033793226,-0.17166996
19183291609183,0.009840861,-0.02903514,0.14622688
19183310912256,0.004521015,-0.010265226,0.065496445
19183330215329,0.002627219,-0.008979097,-0.06259155
19183349504964,-0.027737327,-0.0047511943,-0.11802387
