Time (s),x,y,z
19182450684736,0.02213361,0.011365907,9.807582
19182453097600,0.016749758,-0.0029910284,9.807582
19182455510517,0.0077766734,0.011365907,9.812367
19182457923381,0.03589234,0.0017946169,9.802796
19182460336246,0.0029910284,0.011365907,9.817153
19182462749163,0.0029910284,0.0065802624,9.812367
19182465162027,0.011964113,0.0065802624,9.807582
19182467574944,0.012562319,0.016151553,9.802796
19182469987808,0.016749758,0.0065802624,9.793225
19182472400673,0.0023928226,0.020937199,9.793823
19182474813590,0.013160525,0.015553347,9.888938
19182477226454,-0.03888337,0.034097724,9.492328
19182479639319,0.09451649,-0.038285162,10.415359
19182482052236,-0.07776674,0.054436713,9.373284
19182484465100,-0.078963146,0.04127619,9.277572
19182486878017,0.24825534,-0.14536397,11.499906
19182489290881,-0.21714866,0.18484555,7.8813596
19182491690308,0.24646074,-0.0041874396,11.1320095
19182494116663,-0.14356937,-0.066400826,9.219545
19182496529527,-0.12622139,0.12203395,9.321838
19182498942444,0.33080772,-0.10827523,11.51845
19182501403590,-0.28115666,0.15314065,7.77129
19182503864736,0.34217364,-0.14895321,11.78166
19182506325986,-0.19082761,0.06759724,9.614362
19182508787079,0.25543383,-0.16271193,11.279168
19182511248225,-0.19441684,0.13280165,8.283354
19182513709319,0.3912265,-0.10767702,11.843874
19182516156715,-0.20817557,0.20937198,7.785647
19182518631558,-0.050249275,-0.101694964,10.789237
19182521092652,0.1692922,-0.11365908,10.767702
19182523540048,-0.44805604,0.21655045,7.29452
19182526014892,0.41994038,-0.1363909,11.871989
19182528475986,-0.13339986,0.2105684,8.072785
19182530923381,0.15613168,-0.16749759,11.404791
19182533398225,0.06759724,-0.05383851,10.104292
19182535859319,-0.31405798,0.15314065,8.270193
19182538306767,0.3684947,-0.050847482,11.399407
19182540781558,-0.22253251,0.19501504,7.795816
19182543242652,0.17587246,-0.1680958,11.423934
19182545703798,0.01794617,0.005383851,9.443872
19182548164892,-0.2644069,0.11784652,8.930613
19182550626038,0.33918262,-0.11724831,11.461022
19182553073433,-0.22612174,0.16510476,7.9387875
19182555548225,0.26919255,-0.14656039,11.629118
19182558009371,-0.08554341,0.09092726,8.616554
19182560470465,-0.21834506,0.066400826,9.288938
19182562931611,0.293719,-0.1680958,11.293525
19182565392704,-0.15672988,0.1381855,8.2253275
19182567840100,0.32303107,-0.14895321,11.786447
19182570314944,-0.11246266,0.13220344,8.3013
19182572776038,-0.20338993,-0.049052864,9.919446
19182575237131,0.22253251,-0.12861422,10.805388
19182577698277,-0.15972091,0.1363909,8.383254
19182580159371,0.32183465,-0.08554341,11.590833
19182582606767,-0.22731815,0.20458634,7.785647
19182585081611,-0.053240303,-0.11365908,10.54517
19182587542704,0.18484555,-0.071186475,10.346565
19182590003850,-0.1052842,0.07298109,9.005388
19182592464944,0.33140594,-0.11365908,11.590235
19182594926038,-0.26739794,0.2117648,7.6139617
19182597373486,0.020937199,-0.09750752,10.731212
19182599848277,0.11724831,-0.0035892338,9.787243
19182602309423,-0.076570325,0.029312078,9.52164
19182604770517,0.2955136,-0.106480606,11.394622
19182607231611,-0.4001996,0.22552353,7.2993054
19182609692756,0.17407785,-0.098703936,11.19482
19182612153850,0.06520442,0.06281159,9.333803
19182614614944,-0.05742774,-0.047258247,10.043275
19182617076090,0.23150559,-0.10887343,11.199008
19182619523486,-0.39481574,0.22492532,7.351948
19182621998329,0.24765715,-0.096909314,11.380862
19182624412392,-0.025124637,0.111266255,8.855837
19182626825256,-5.9820566E-4,-0.104087785,10.5015
19182629238173,0.17527425,-0.08554341,10.825727
19182631651038,-0.4331009,0.22971097,7.3573313
19182634050465,0.35533416,-0.12861422,11.638091
19182636476819,-0.09032906,0.15314065,8.554939
19182638889683,0.069391854,-0.15134603,10.87837
19182641302600,0.13220344,-0.066400826,10.36152
19182643715465,-0.38524446,0.2009971,7.8311105
19182646128329,0.38823548,-0.11844472,11.546566
19182648527756,-0.1369891,0.14237295,8.268398
19182650954111,0.18305093,-0.16091733,11.213366
19182653366975,0.05503492,-0.021535404,9.783055
19182655766454,-0.3379862,0.18245272,8.222935
19182658192756,0.3595216,-0.15194423,11.603993
19182660605621,-0.19501504,0.15732808,8.192427
19182663005100,0.25782663,-0.12622139,11.46162
19182665431402,-0.008374879,0.04127619,9.200403
19182667844319,-0.28414768,0.09451649,8.9013
19182670243746,0.32303107,-0.14416756,11.317452
19182672670048,-0.18065812,0.1477568,8.216354
19182675082965,0.29312077,-0.11844472,11.600404
19182677482392,-0.08075777,0.11485548,8.574081
19182679908694,-0.2213361,0.02632105,9.48455
19182682321611,0.2727818,-0.1268196,11.054242
19182684721038,-0.14955142,0.1692922,8.426923
19182687147392,0.3272185,-0.11006984,11.672189
19182689560256,-0.14656039,0.17587246,8.206185
19182691973121,-0.14476576,-0.040677983,9.995419
19182694386038,0.2009971,-0.08315059,10.576276
19182696798902,-0.1369891,0.10348958,8.790034
19182699198329,0.32183465,-0.09451649,11.586047
19182701624683,-0.276371,0.22492532,7.6713896
19182704037548,-0.019142581,-0.0951147,10.578669
19182706450413,0.16390835,-0.02213361,10.155738
19182708863329,-0.098703936,0.061016977,9.239884
19182711276194,0.30149564,-0.10767702,11.499906
19182713675621,-0.32063824,0.19322042,7.609176
19182716101975,0.093918286,-0.0849452,10.840683
19182718514840,0.07716853,0.02751746,9.572487
19182720927756,-0.07956135,-0.0011964113,9.741779
19182723340621,0.25603202,-0.10049855,11.270793
19182725753486,-0.45822555,0.24586253,7.2041907
19182728152965,0.2428715,-0.124426775,11.371291
19182730579267,0.054436713,0.08853444,9.176475
19182732992183,-0.032303106,-0.08673982,10.210175
19182735405048,0.18664017,-0.106480606,11.012368
19182737817913,-0.38404804,0.23330021,7.442875
19182740230829,0.27218357,-0.101694964,11.414362
19182742643694,-0.046061836,0.093918286,8.73141
19182745056611,0.04366901,-0.13459627,10.663614
19182747469475,0.16869399,-0.05922236,10.605588
19182749868902,-0.43130627,0.23330021,7.5056863
19182752295256,0.36550367,-0.14356937,11.690135
19182754708121,-0.11006984,0.13998012,8.478967
19182757120986,0.119042926,-0.14297116,10.983654
19182759533902,0.096311115,-0.05383851,10.089336
19182761946767,-0.3924229,0.1896312,8.05125
19182764346194,0.38344982,-0.13220344,11.536994
19182766772548,-0.16091733,0.1471586,8.254042
19182769185413,0.21296121,-0.14297116,11.309078
19182771598329,0.028115666,0.005383851,9.501301
19182774011194,-0.32063824,0.15074782,8.533403
19182776424058,0.33918262,-0.16091733,11.493923
19182778823486,-0.17587246,0.14297116,8.221141
19182781249840,0.26859435,-0.12203395,11.52862
19182783662756,-0.014955142,0.091525465,8.961719
19182786075621,-0.27696922,0.05922236,9.136395
19182788488486,0.2739782,-0.13220344,11.16491
19182790901402,-0.1698904,0.16091733,8.321639
19182793300829,0.29790643,-0.104087785,11.609976
19182795727131,-0.12622139,0.14117654,8.38804
19182798140048,-0.18125631,-0.023330022,9.71845
19182800552913,0.24227329,-0.11485548,10.853246
19182802965777,-0.15254244,0.15792629,8.603992
19182805378694,0.293719,-0.10887343,11.648261
19182807778121,-0.19680966,0.16869399,8.024929
19182810204423,-0.08015956,-0.06699903,10.167702
19182812617340,0.17527425,-0.061615184,10.356734
19182815030204,-0.12023934,0.09212367,9.005388
19182817443121,0.28773692,-0.11246266,11.533405
19182819855986,-0.31106696,0.19800608,7.5996046
19182822268850,0.044865426,-0.09750752,10.716854
19182824681767,0.1471586,-0.0,9.906884
19182827094631,-0.096311115,0.020937199,9.45464
19182829494058,0.2865405,-0.09750752,11.423335
19182831920413,-0.36011982,0.21894327,7.4566336
19182834333277,0.14356937,-0.096311115,11.026725
19182836746194,0.07058827,0.03888337,9.396016
19182839159058,-0.049052864,-0.04127619,9.942178
19182841571923,0.22612174,-0.11306087,11.150554
19182843971402,-0.4235296,0.23030917,7.3046894
19182846397704,0.27218357,-0.111266255,11.408978
19182848810569,0.009571291,0.11485548,8.980862
19182851223486,0.0029910284,-0.09810573,10.396216
19182853636350,0.17527425,-0.08075777,10.849656
19182856049215,-0.421735,0.22851457,7.4913297
19182858448694,0.33080772,-0.11306087,11.523235
19182860874996,-0.06580263,0.13339986,8.626724
19182863287913,0.083748795,-0.11724831,10.802398
19182865700777,0.12801601,-0.052043892,10.37169
19182868113642,-0.41455653,0.21655045,7.75454
19182870526558,0.36490545,-0.1381855,11.632708
19182872925986,-0.12622139,0.14117654,8.383254
19182875352340,0.17288144,-0.13579269,11.131411
19182877765204,0.06999006,-0.0029910284,9.821341
19182880164631,-0.36670008,0.15373886,8.270791
19182882590986,0.3397808,-0.16091733,11.532208
19182885003850,-0.18005991,0.15194423,8.259425
19182887403277,0.2428715,-0.12981063,11.404791
19182889829631,-0.0023928226,0.050847482,9.238688
19182892242496,-0.30867413,0.11485548,8.815757
19182894641923,0.29970104,-0.148355,11.341381
19182897068277,-0.18005991,0.1477568,8.25464
19182899481142,0.2644069,-0.11246266,11.567503
19182901894058,-0.084346995,0.104087785,8.698508
19182904306923,-0.24586253,0.023330022,9.394221
19182906719788,0.25782663,-0.13040884,10.996815
19182909119267,-0.15373886,0.15493527,8.455637
19182911545569,0.28893334,-0.10887343,11.619547
19182913958433,-0.15613168,0.17587246,8.211569
19182916371350,-0.14057833,-0.04965107,9.947562
19182918784215,0.23030917,-0.078963146,10.619347
19182921197131,-0.14177474,0.104087785,8.775677
19182923596558,0.29312077,-0.11784652,11.586047
19182926022861,-0.23150559,0.18484555,7.8628154
19182928435777,-0.025124637,-0.06999006,10.425529
19182930856527,0.1591227,-0.031106694,10.14138
19182933269391,-0.11306087,0.06580263,9.211171
19182935677204,0.3062813,-0.10289137,11.466406
19182938076631,-0.33080772,0.21296121,7.533204
19182940502985,0.098703936,-0.09930214,10.874183
19182942915850,0.1160519,0.021535404,9.663414
19182945328714,-0.06580263,-0.010169496,9.693324
19182947741631,0.27038896,-0.1052842,11.279766
19182950154496,-0.37507495,0.22911277,7.3950186
19182952553923,0.1788635,-0.10348958,11.204392
19182954980277,0.044865426,0.059820566,9.214162
19182957393142,-0.023330022,-0.081954174,10.167104
19182959806006,0.20518455,-0.101694964,10.992627
19182962218923,-0.41814575,0.23928227,7.37109
19182964631787,0.28713873,-0.11724831,11.485549
19182967044652,-0.044865426,0.10707881,8.822337
19182969457569,0.047856454,-0.124426775,10.577473
19182971870433,0.1585245,-0.0735793,10.615159
19182974269860,-0.4109673,0.22253251,7.605587
19182976696214,0.34516466,-0.12801601,11.575878
19182979109079,-0.1052842,0.12502499,8.516654
19182981521996,0.11365908,-0.13399807,10.964512
19182983934860,0.11066805,-0.044865426,10.113265
19182986347725,-0.3786642,0.19441684,8.008179
19182988747204,0.37387854,-0.13280165,11.580065
19182991173506,-0.16031912,0.15134603,8.292327
19182993586423,0.18364914,-0.13280165,11.261222
19182995999287,0.048454657,0.03708875,9.558728
19182998412152,-0.33559337,0.1363909,8.538189
19183000825069,0.3290131,-0.16031912,11.441281
19183003224496,-0.16570297,0.17108682,8.245069
19183005650798,0.23928227,-0.12622139,11.486147
19183008063714,-0.02871387,0.08135597,8.995218
19183010476579,-0.2632105,0.04965107,9.116654
19183012889496,0.2835495,-0.12801601,11.169098
19183015302360,-0.16031912,0.14656039,8.340183
19183017701787,0.2835495,-0.12263216,11.600404
19183020128142,-0.1058824,0.12562318,8.468798
19183022541006,-0.19142582,-0.01794617,9.665807
19183024953871,0.2321038,-0.10468599,10.8149605
19183027366787,-0.16211374,0.14356937,8.608778
19183029779652,0.29790643,-0.10887343,11.609976
19183032179079,-0.18723837,0.17347965,8.029715
19183034605433,-0.08015956,-0.07178468,10.191629
19183037018298,0.20458634,-0.053240303,10.380065
19183039431214,-0.12083755,0.08733802,8.98146
19183041844079,0.30149564,-0.1268196,11.519048
19183044256944,-0.2955136,0.19142582,7.733603
19183046669860,0.029312078,-0.091525465,10.640285
19183049082725,0.14237295,-0.014356935,9.892527
19183051495589,-0.116650105,0.020937199,9.45464
19183053895069,0.26679972,-0.11545369,11.365908
19183056321371,-0.35533416,0.19980069,7.4566336
19183058734235,0.15314065,-0.106480606,11.06501
19183061147152,0.08075777,0.061615184,9.439087
19183063560017,-0.044865426,-0.055633128,9.917651
19183065972933,0.25004998,-0.11784652,11.145169
19183068372360,-0.39900318,0.22432712,7.3806615
19183070798662,0.24705894,-0.11066805,11.342578
19183073211579,0.019142581,0.08554341,9.013762
19183075624444,0.0071784677,-0.10289137,10.372288
19183078037308,0.18424734,-0.0951147,10.805987
19183080450225,-0.39780676,0.24705894,7.476374
19183082849652,0.33080772,-0.10348958,11.532807
19183085276006,-0.07477571,0.13758731,8.674581
19183087688871,0.068793654,-0.1268196,10.773684
19183090101735,0.1274178,-0.047258247,10.362119
19183092514652,-0.39960137,0.2105684,7.821539
19183094927517,0.3499503,-0.13280165,11.575878
19183097326944,-0.13579269,0.14536397,8.38804
19183099753298,0.1585245,-0.13100705,11.108081
19183102166162,0.07477571,0.0059820567,9.816555
19183104565589,-0.36670008,0.16331014,8.275578
19183106991944,0.34396824,-0.17048861,11.517852
19183109404808,-0.16091733,0.15672988,8.244471
19183111804235,0.20937198,-0.124426775,11.371291
19183114230589,0.0023928226,0.04546363,9.253045
19183116643454,-0.30388847,0.09092726,8.819944
19183119042933,0.2943172,-0.16331014,11.307881
19183121469235,-0.17048861,0.1471586,8.282756
19183123882100,0.2638087,-0.11724831,11.552547
19183126295017,-0.060418773,0.11306087,8.69791
19183128707881,-0.2321038,0.01794617,9.398409
19183131120798,0.26261228,-0.12143575,11.0016
19183133520225,-0.14955142,0.14476576,8.455039
19183135946527,0.31226337,-0.13280165,11.618949
19183138359444,-0.14177474,0.17048861,8.254042
19183140772308,-0.15493527,-0.04965107,9.93799
19183143185173,0.22073789,-0.078963146,10.609776
19183145598089,-0.1363909,0.1268196,8.813962
19183147997517,0.28773692,-0.11784652,11.581262
19183150423871,-0.23629123,0.19441684,7.867601
19183152836735,-0.030508488,-0.07477571,10.411171
19183155249600,0.16869399,-0.016749758,10.122238
19183157662517,-0.11844472,0.061016977,9.230313
19183160075381,0.30149564,-0.09810573,11.475977
19183162474808,-0.31585258,0.21714866,7.5900335
19183164901162,0.098703936,-0.08015956,10.840683
19183167314027,0.12083755,0.021535404,9.6580305
19183169726892,-0.0849452,-0.005383851,9.689137
19183172139808,0.24646074,-0.10468599,11.266007
19183174552673,-0.39361933,0.22372891,7.4333034
19183176952100,0.18843478,-0.09930214,11.209178
19183179378454,0.04007978,0.0741775,9.190233
19183181791319,-0.032901313,-0.07178468,10.1288185
19183184204235,0.21475583,-0.09212367,10.983056
19183186617100,-0.39840496,0.23808585,7.428518
19183189029964,0.26261228,-0.13519448,11.442478
19183191442881,-0.020937199,0.116650105,8.822337
19183193855746,0.043070808,-0.11545369,10.596615
19183196268610,0.16331014,-0.0735793,10.600802
19183198668089,-0.4109673,0.2219343,7.6343007
19183201094392,0.33080772,-0.12801601,11.571092
19183203507256,-0.10049855,0.13938192,8.507083
19183205920173,0.11365908,-0.15254244,10.95494
19183208333037,0.09571291,-0.039481573,10.084551
19183210745954,-0.37806597,0.1896312,8.036295
19183213145381,0.3595216,-0.14237295,11.560923
19183215571683,-0.15553348,0.14656039,8.311469
19183217984600,0.19860429,-0.11365908,11.266007
19183220397464,0.047856454,0.028115666,9.530014
19183222810329,-0.33499518,0.1363909,8.5525465
19183225223246,0.32004002,-0.13100705,11.437094
19183227622673,-0.17527425,0.17108682,8.25464
19183230049027,0.26799613,-0.111864455,11.480763
19183232461892,-0.034097724,0.08673982,8.980862
19183234874756,-0.26799613,0.068793654,9.116654
19183237287673,0.2835495,-0.13280165,11.178669
19183239700537,-0.16031912,0.15074782,8.340183
19183242099964,0.27876383,-0.10887343,11.609976
19183244526319,-0.1058824,0.13519448,8.454441
19183246939183,-0.17228323,-0.018544376,9.665807
19183249352100,0.23688944,-0.10049855,10.8149605
19183251764964,-0.15732808,0.12921242,8.617751
19183254177829,0.30269206,-0.11844472,11.60519
19183256577256,-0.18664017,0.1680958,8.058429
19183259003610,-0.0849452,-0.062213387,10.177273
19183261416475,0.1896312,-0.062213387,10.356136
19183263829392,-0.12023934,0.07298109,9.010174
19183266242256,0.30209386,-0.10348958,11.519048
19183268655121,-0.28594232,0.19621146,7.7096744
19183271068037,0.029312078,-0.096311115,10.64507
19183273480902,0.1471586,-0.014356935,9.91167
19183275893819,-0.101694964,0.025722843,9.445069
19183278293246,0.26679972,-0.12502499,11.370693
19183280719548,-0.34037903,0.21355942,7.494919
19183283132464,0.13399807,-0.08255238,11.036895
19183285545329,0.06580263,0.043070808,9.419945
19183287958194,-0.0634098,-0.04127619,9.942178
19183290371110,0.23090738,-0.10827523,11.150554
19183292770537,-0.4139583,0.22971097,7.3567333
19183295196892,0.23330021,-0.096311115,11.356935
19183297609756,0.0047856453,0.0951147,9.018549
19183300022621,0.016749758,-0.10767702,10.367502
19183302435485,0.18903299,-0.08554341,10.805987
19183304848402,-0.40259242,0.23748764,7.5050883
19183307247829,0.29671,-0.10767702,11.514262
19183309674183,-0.0849452,0.123828575,8.645866
19183312087048,0.0735793,-0.11724831,10.783256
19183314499912,0.1274178,-0.05682954,10.352547
19183316912829,-0.3900301,0.21535404,7.811968
19183319325694,0.3499503,-0.14237295,11.584851
19183321725121,-0.13579269,0.14057833,8.38804
19183324151475,0.15373886,-0.13579269,11.108081
19183326564339,0.07956135,-0.0035892338,9.826126
19183328963767,-0.3475575,0.14895321,8.274979
19183331390121,0.35353956,-0.14596218,11.493923
19183333802985,-0.16091733,0.15194423,8.249256
19183336202412,0.21415763,-0.13399807,11.385649
19183338628767,-0.012562319,0.04127619,9.253045
19183341041631,-0.28953153,0.09092726,8.82473
19183343441110,0.29910284,-0.148355,11.322239
19183345867412,-0.16570297,0.1471586,8.268398
19183348280277,0.25902304,-0.1268196,11.557333
19183350693194,-0.060418773,0.10827523,8.717052
19183353106058,-0.22253251,0.01794617,9.393623
19183355518923,0.2434697,-0.116650105,11.0016
19183357918402,-0.14955142,0.14057833,8.4502535
19183360344704,0.29312077,-0.12801601,11.60519
19183362757621,-0.16570297,0.17108682,8.245069
19183365170485,-0.14536397,-0.035294134,9.928419
19183367583350,0.21595225,-0.078963146,10.60499
19183369996267,-0.14117654,0.11784652,8.79482
19183372395694,0.30269206,-0.10887343,11.586047
19183374821996,-0.23629123,0.19441684,7.891529
19183377234912,-0.04007978,-0.0741775,10.4016
19183379647777,0.1585245,-0.03589234,10.131809
19183382060642,-0.11306087,0.06580263,9.211171
19183384473558,0.29132617,-0.10707881,11.456835
19183386872985,-0.32542387,0.212363,7.576275
19183389299339,0.093918286,-0.08973085,10.85504
19183391712204,0.10229317,0.040677983,9.663414
19183394125069,-0.0849452,-0.005383851,9.679565
19183396537985,0.27038896,-0.124426775,11.274981
19183398950850,-0.3696911,0.21894327,7.437491
19183401350277,0.17407785,-0.093918286,11.185249
19183403776631,0.04965107,0.069391854,9.195019
19183406189496,-0.0424726,-0.08135597,10.162318
19183408602360,0.20997019,-0.096909314,10.983056
19183411015277,-0.40857446,0.22911277,7.409375
19183413428142,0.27696922,-0.10229317,11.447264
19183415841058,-0.020338992,0.12083755,8.831908
19183418253923,0.0424726,-0.12921242,10.577473
19183420666787,0.1680958,-0.0735793,10.6103735
19183423066214,-0.401396,0.22671995,7.643872
19183425492569,0.33080772,-0.11365908,11.561521
19183427905433,-0.11006984,0.14895321,8.512466
19183430318350,0.11365908,-0.124426775,10.95494
19183432731214,0.11066805,-0.025722843,10.118051
