Time (s),x,y,z
19294995762425,0.0049441103,0.0072611757,-0.0082063675
19295010239039,-0.019243635,-0.013917552,0.0013694763
19295024715706,-0.0025229007,-0.009146826,-0.0061120987
19295039219143,-0.0068929363,0.0023972997,0.0012960434
19295058521331,0.004595481,0.011289551,9.727478E-5
19295077823518,-0.003679553,-0.002074886,-6.504059E-4
19295097125706,-0.011202661,-0.01304808,-0.0019207001
19295116427893,-0.009875074,-0.004009044,-0.004091263
19295135730133,-4.3683313E-4,0.0033291467,-0.010676384
19295155032321,-0.002496522,-0.0011829389,-0.002445221
19295174334508,-0.0048490874,-0.0054226387,0.011321068
19295193636696,-0.0072549693,-0.0028906707,-0.0029678345
19295212938883,-0.009838959,-0.002339229,-0.023319244
19295232241123,0.004597405,-0.005531651,0.0023422241
19295251543310,0.0011495091,-0.0074743386,0.014238358
19295270845498,-0.010390351,-0.00735966,-0.010150909
19295290147685,-0.012793744,-3.5213865E-4,-0.013667107
19295309449873,0.0018082727,-0.0029125921,0.0058603287
19295328752060,0.00564963,0.0029261755,0.010347366
19295348054300,-0.010824297,-0.0065777013,-0.02264595
19295367356487,-0.010900183,-0.0083101615,-0.020851135
19295386658675,0.00878937,-0.005770429,0.016781807
19295405960862,-0.0020009447,-7.614214E-5,0.0018939972
19295425263050,-0.007789368,-0.008694223,-0.0328207
19295444565289,-0.008920932,-0.011160835,-0.017258644
19295463867477,0.0033470541,-0.004439745,0.016781807
19295483169664,-0.0029734448,0.005715143,0.008551598
19295502471852,-0.012363087,0.004500486,-0.036188126
19295521774039,-0.0034568682,-4.7455635E-4,-0.0028944016
19295541076227,0.002226023,-0.004899257,0.03406334
19295560378466,-0.007565148,-0.007352952,-0.0072345734
19295579680654,-0.011425268,-7.273676E-4,-0.03169918
19295598982841,2.3639761E-4,0.0023769941,0.012516022
19295618285029,0.0036588702,-0.013073786,0.024413109
19295637587216,-0.0032976493,-0.01042135,-0.029304504
19295656889404,-0.010639867,-0.005689202,-0.034765244
19295676191591,-6.515533E-4,-0.009418717,0.026808739
19295695493831,-0.0011811908,-0.002396984,0.019102097
19295714796018,-0.0072430857,-0.0077510355,-0.036634445
19295734098206,-0.009712564,-0.0020977026,-0.019203186
19295753400393,-0.00476381,-6.369231E-4,0.036610603
19295772702581,-0.011472268,0.0021101227,0.0078058243
19295792004768,-0.010213068,0.0014906833,-0.04246998
19295811306956,0.0056198277,-0.0062557403,-8.72612E-4
19295830609196,0.0076976977,-0.0037226267,0.030999184
19295849911383,-0.005672306,-0.0019997787,-0.015536308
19295869213571,-0.014122497,-0.009586792,-0.05451584
19295888515758,-0.002218699,-0.009069456,0.013641357
