Time (s),x,y,z
19207982533142,-0.016539311,-0.0033757668,-0.028707504
19208001836058,0.01445033,-0.011102727,0.060697556
19208021138923,0.009725101,-0.001735229,0.013489723
19208040441787,-0.010650557,0.0014419137,-0.05751133
19208059744652,-0.005937201,-0.0017650239,0.0041360855
19208079047569,0.012277574,-0.011659193,0.06129551
19208098350433,0.0070875036,-0.008085566,-0.010451317
19208117653298,-0.020645905,-7.2735734E-4,-0.062150955
19208136956162,0.0037717419,-0.00617007,0.03271675
19208156259079,0.015114271,-0.017590735,0.048052788
19208175561944,0.0011034617,-0.0020572795,-0.03536606
19208194864808,-0.02175326,0.0014938219,-0.05025482
19208214167673,0.012852134,-0.010325041,0.05239296
19208233470537,0.014895483,-0.008107982,0.030843735
19208252773454,-0.0074013453,0.004030724,-0.05092907
19208272076319,-0.004195988,0.0024088286,-0.017486572
19208291379183,0.010395697,-0.008996155,0.061968803
19208310682048,0.0012402842,-0.006631064,0.0015916824
19208329984912,-0.0108859595,-4.1333027E-5,-0.065218925
19208349287829,-7.425109E-4,-0.003351991,0.009522438
19208368590694,0.008509009,-0.008261482,0.058377266
19208387893558,-0.0019620014,-0.0013741078,-0.01269722
19208407196423,-0.014198809,-0.0048212567,-0.06162834
19208426499287,0.0046547353,-0.014269649,0.03623104
19208445802204,0.015183268,-0.012550824,0.03974724
19208465105069,-0.005836729,-0.0047109276,-0.046215057
19208484407933,-0.018346898,-0.0045966133,-0.041277885
19208503710798,0.011364412,-0.004418372,0.05485916
19208523013662,0.012644418,0.0032488173,0.028524399
19208542316527,-0.0050798357,-4.89681E-4,-0.05511856
19208561619444,-0.011110715,-0.0072489083,-0.013297081
19208580922308,0.007935483,-0.0065201,0.05897522
19208600225173,0.0076665385,0.002037392,0.0045833588
19208619528037,-0.0113485595,-0.0024167327,-0.06162834
19208638830902,0.0011356184,-0.007674517,0.013563156
19208658133767,0.010516975,-0.010727685,0.0517931
19208677436631,-0.0012714323,0.0030854763,-0.02519226
19208696739548,-0.01757321,-0.004326137,-0.05683899
19208716042412,0.006839128,-0.0055913236,0.04520893
19208735345277,0.0125276735,-0.007077188,0.04408741
19208754648142,-0.007976697,-0.0010526227,-0.046141624
19208773951006,-0.006474071,-0.0034198146,-0.037686348
19208793253871,0.011987304,-0.009103263,0.057852745
19208812556735,0.009556241,-0.002221562,0.025009155
19208831859600,-0.01074452,3.1972677E-4,-0.06207657
19208851162464,-0.002545042,-0.00463357,-0.0072374344
19208870465381,0.008080156,-0.01044964,0.0584507
19208889768246,-0.004650536,-0.005568155,-0.007836342
19208909071110,-0.012825778,-0.004988728,-0.0628252
19208928373975,0.0076016607,-0.004534968,0.025531769
19208947676839,0.012228515,-0.0055483943,0.054260254
19208966979704,-0.0016439119,0.003646886,-0.034096718
19208986282569,-0.01574286,-0.003051442,-0.048983574
19209005585433,0.008419986,-0.008486969,0.049996376
19209024888298,0.008401001,-0.0030091712,0.037576675
19209044191214,-0.0062077604,-0.0016692774,-0.05100441
19209063494079,-0.011591161,-0.0018451456,-0.030507088
19209082796892,0.017248433,-8.655619E-4,0.05732727
19209102099808,0.009468183,-0.0075839125,0.014832497
