Time (s),x,y,z
19207896324235,0.013160525,0.0029910284,9.80818
19207898785329,0.022731815,0.0077766734,9.817751
19207901246423,0.023330022,0.02213361,9.81835
19207903707517,0.01794617,0.0077766734,9.798609
19207906168610,0.013160525,0.017347964,9.808778
19207908629704,0.01794617,-0.0011964113,9.784252
19207911090746,0.008374879,0.0077766734,9.813564
19207913551839,0.02751746,0.012562319,9.817751
19207916012933,0.037686955,0.0071784677,9.88475
19207918474027,-0.028115666,0.029910283,9.52164
19207920935121,0.0849452,-0.016749758,10.291531
19207923386527,-0.032901313,0.044865426,9.503095
19207925799392,-0.02871387,0.02632105,9.440284
19207928212256,0.16151553,-0.06460621,10.76471
19207930625121,-0.12502499,0.089132644,8.943773
19207933037985,0.054436713,-0.019142581,10.124631
19207935450850,0.07776674,-0.014356935,10.07139
19207937863662,-0.13220344,0.04366901,9.22134
19207940276527,0.1585245,-0.0526421,10.4871435
19207942689392,-0.10289137,0.05802595,9.206984
19207945102256,0.069391854,-0.010169496,10.143175
19207947515121,0.05742774,0.020937199,9.894321
19207949927985,-0.10468599,0.03589234,9.4941225
19207952340850,0.1471586,-0.021535404,10.286146
19207954753714,-0.10707881,0.06281159,9.206984
19207957166579,0.09451649,-0.050249275,10.325029
19207959579444,0.03589234,0.032901313,9.635897
19207961992256,-0.059820566,0.024526432,9.665807
19207964405173,0.12263216,-0.025722843,10.257433
19207966817985,-0.14656039,0.06819545,9.159725
19207969230850,0.124426775,-0.046660043,10.439287
19207971643714,-0.018544376,0.04965107,9.459426
19207974056579,-0.029910283,0.013160525,9.799207
19207976469444,0.10289137,-0.029312078,10.162318
19207978882308,-0.14656039,0.06759724,9.193225
19207981295173,0.14356937,-0.052043892,10.444073
19207983708037,-0.053240303,0.06520442,9.35474
19207986120902,5.9820566E-4,-0.012562319,9.970892
19207988533714,0.08255238,-0.0041874396,10.022936
19207990946579,-0.12143575,0.033499517,9.302696
19207993359444,0.16271193,-0.05682954,10.438689
19207995772308,-0.07836494,0.066400826,9.245269
19207998185173,0.05922236,-0.019142581,10.1288185
19208000598037,0.066400826,0.011365907,9.865608
19208003010902,-0.09571291,0.0317049,9.440882
19208005423767,0.15314065,-0.041874398,10.391431
19208007836631,-0.11246266,0.06759724,9.173484
19208010249496,0.07537391,-0.04007978,10.281959
19208012662308,0.046061836,0.03708875,9.702896
19208015075173,-0.07537391,0.025124637,9.579665
19208017488037,0.12323037,-0.040677983,10.300504
19208019900902,-0.1274178,0.07298109,9.154342
19208022313767,0.1381855,-0.0317049,10.362717
19208024726631,0.0059820567,0.03888337,9.550353
19208027139496,-0.030508488,0.008973085,9.741779
19208029552360,0.10827523,-0.015553347,10.195817
19208031965225,-0.1369891,0.05802595,9.192626
19208034378089,0.13878371,-0.061016977,10.429716
19208036790954,-0.023928227,0.050249275,9.406784
19208039203767,-0.0,-0.011964113,9.923036
19208041616631,0.106480606,-0.0047856453,10.066605
19208044029496,-0.14117654,0.047856454,9.273982
19208046442360,0.148355,-0.0424726,10.444073
19208048855225,-0.06819545,0.0849452,9.283554
19208051268089,0.035294134,-0.01375873,10.091131
19208053680954,0.08135597,0.015553347,9.908679
19208056093819,-0.1058824,0.03708875,9.384052
19208058506683,0.148355,-0.03708875,10.410573
19208060919548,-0.11724831,0.07238288,9.206984
19208063332412,0.07477571,-0.034695927,10.238888
19208065745277,0.0317049,0.02751746,9.745967
19208068158089,-0.0849452,0.030508488,9.527023
19208070570954,0.12861422,-0.04127619,10.343575
19208072983819,-0.12263216,0.058624156,9.173484
19208075396683,0.119042926,-0.036490545,10.3340025
19208077809548,0.0017946169,0.04366901,9.593424
19208080222412,-0.050249275,0.014356935,9.694521
19208082635277,0.12263216,-0.035294134,10.23829
19208085048142,-0.1369891,0.06281159,9.183055
19208087461006,0.148355,-0.051445685,10.410573
19208089873819,-0.008973085,0.054436713,9.445069
19208092286735,-0.010169496,-0.016151553,9.870992
19208094699548,0.09750752,-0.014955142,10.100104
19208097112412,-0.1363909,0.048454657,9.235697
19208099525277,0.15314065,-0.061016977,10.438689
19208101938142,-0.0634098,0.051445685,9.32124
19208104351006,0.025124637,-0.008374879,10.028319
19208106763871,0.11006984,-0.008374879,9.955936
19208109176735,-0.111266255,0.037686955,9.3409815
19208111589600,0.13878371,-0.041874398,10.415359
19208114002464,-0.08793623,0.062213387,9.226126
19208116415329,0.06460621,-0.03888337,10.186246
