Time (s),x,y,z
19207898255329,-4.5813544E-4,-4.5813544E-4,0.0013744063
19207900716423,9.162709E-4,7.635591E-4,0.0013744063
19207903177517,7.635591E-4,-0.0018325418,0.0013744063
19207905638610,0.0019852535,-4.5813544E-4,1.5271181E-4
19207908099704,9.162709E-4,0.0019852535,1.5271181E-4
19207910560746,-0.0015271181,-4.5813544E-4,1.5271181E-4
19207913021839,-3.0542363E-4,0.0019852535,0.0013744063
19207915482933,0.053449135,0.031000499,-0.0013744063
19207917944027,0.102316916,0.04902049,-0.004428643
19207920405121,0.016340164,-0.010689827,0.0047340663
19207922856527,-0.002443389,0.018172706,0.0029015245
19207925269392,-0.016645588,-0.028862532,0.0013744063
19207927682256,-0.0027488125,-4.5813544E-4,-0.0010689828
19207930095121,0.019547112,0.031611346,-0.0021379655
19207932507985,-9.162709E-4,-0.026571855,0.002443389
19207934920850,0.0035123718,0.010689827,3.0542363E-4
19207937333662,-0.013896775,-0.006566608,3.0542363E-4
19207939746527,-0.009009997,-0.009009997,1.5271181E-4
19207942159392,0.012216945,0.024128467,3.0542363E-4
19207944572256,0.0029015245,-0.019241689,0.002443389
19207946985121,0.0047340663,0.013133216,0.0015271181
19207949397985,-0.018783553,-0.011453386,0.003970507
19207951810850,-0.006566608,-0.0029015245,-9.162709E-4
19207954223714,0.010842538,0.016798299,1.5271181E-4
19207956636579,0.0029015245,-0.016798299,0.0036650836
19207959049444,0.009620844,0.015576605,-0.0022906773
19207961462256,-0.016492875,-0.0151184695,3.0542363E-4
19207963875173,-0.006413896,0.0045813546,-9.162709E-4
19207966287985,0.0047340663,0.015576605,-0.0021379655
19207968700850,0.0018325418,-0.014202199,0.002443389
19207971113714,0.015729317,0.016645588,-0.0010689828
19207973526579,-0.02015796,-0.02260135,0.0015271181
19207975939444,-0.0025961008,0.0070247436,-0.0021379655
19207978352308,-1.5271181E-4,0.011911522,-0.00335966
19207980765173,0.0030542363,-0.012980504,-0.002443389
19207983178037,0.016951011,0.017867282,-0.0022906773
19207985590902,-0.017714571,-0.02015796,1.5271181E-4
19207988003714,0.0035123718,0.013133216,0.0015271181
19207990416579,-0.0015271181,0.0070247436,-9.162709E-4
19207992829444,0.004275931,-0.00671932,0.0
19207995242308,0.010842538,0.015576605,-0.0022906773
19207997655173,-0.018936265,-0.023823043,1.5271181E-4
19208000068037,0.0022906773,0.015576605,3.0542363E-4
19208002480902,-3.0542363E-4,0.003206948,-0.0022906773
19208004893767,0.006872032,-0.0018325418,-0.002443389
19208007306631,0.010689827,0.010537115,-0.0022906773
19208009719496,-0.017867282,-0.027640838,0.0013744063
19208012132308,0.0022906773,0.010689827,0.0015271181
19208014545173,-0.0027488125,9.162709E-4,-0.0047340663
19208016958037,0.009315421,0.0030542363,1.5271181E-4
19208019370902,0.011911522,0.010537115,1.5271181E-4
19208021783767,-0.02015796,-0.023823043,-0.0010689828
19208024196631,-1.5271181E-4,0.013133216,3.0542363E-4
19208026609496,-0.006566608,-0.0053449133,-0.0010689828
19208029022360,0.011911522,0.009315421,1.5271181E-4
19208031435225,0.015423893,0.00671932,0.0012216945
19208033848089,-0.012827792,-0.02015796,0.0013744063
19208036260954,-0.002443389,0.015729317,4.5813544E-4
19208038673767,-0.009009997,-0.009009997,-0.0022906773
19208041086631,0.010689827,0.009315421,1.5271181E-4
19208043499496,0.010537115,0.004275931,0.0025961008
19208045912360,-0.009162709,-0.012827792,-0.0010689828
19208048325225,-0.0013744063,0.014354911,3.0542363E-4
19208050738089,-0.0077883024,-0.010384403,0.0025961008
19208053150954,0.008399149,0.01175881,0.0013744063
19208055563819,0.009162709,-0.004428643,0.002443389
19208057976683,-0.009162709,-0.012827792,1.5271181E-4
19208060389548,-0.0025961008,0.013133216,3.0542363E-4
19208062802412,-0.005497625,-0.014049487,-0.0010689828
19208065215277,0.010842538,0.019241689,-0.0021379655
19208067628089,0.009009997,-0.011911522,0.002443389
19208070040954,-0.010231691,-0.009009997,-9.162709E-4
19208072453819,-0.0013744063,0.011911522,3.0542363E-4
19208074866683,-0.004123219,-0.009162709,0.0013744063
19208077279548,0.0132859275,0.021685077,-0.0010689828
19208079692412,0.00167983,-0.016645588,-0.0012216945
19208082105277,-0.009009997,-0.004123219,-9.162709E-4
19208084518142,-0.006413896,0.0045813546,0.0015271181
19208086931006,-0.0018325418,-0.010384403,1.5271181E-4
19208089343819,0.018325418,0.02535016,-0.0022906773
19208091756735,-0.0019852535,-0.017867282,0.0012216945
19208094169548,-0.0051922016,0.0045813546,3.0542363E-4
19208096582412,-0.011300675,-0.0015271181,3.0542363E-4
19208098995277,-0.0030542363,-0.010384403,1.5271181E-4
19208101408142,0.018172706,0.022906773,1.5271181E-4
19208103821006,-0.003206948,-0.020310672,0.004886778
19208106233871,-0.0013744063,0.011911522,-0.00335966
19208108646735,-0.016187452,-0.0027488125,-0.0021379655
19208111059600,-0.00167983,-0.004123219,-0.0010689828
19208113472464,0.015729317,0.021685077,1.5271181E-4
19208115885329,-0.0056503373,-0.021532366,0.002443389
19208118298142,0.005955761,0.013133216,-9.162709E-4
19208120711006,-0.017561859,-0.010231691,0.0015271181
19208123123871,0.0019852535,7.635591E-4,0.0025961008
19208125536735,0.0132859275,0.016645588,-0.0010689828
19208127949600,-0.0056503373,-0.021532366,0.0012216945
19208130362464,0.005955761,0.013133216,3.0542363E-4
19208132775329,-0.021226943,-0.01267508,3.0542363E-4
19208135188194,0.0045813546,0.0056503373,0.0013744063
19208137601058,0.010842538,0.015576605,-0.0010689828
19208140013923,-0.004428643,-0.017867282,0.0025961008
19208142426735,0.0071774554,0.013133216,-0.0010689828
19208144839600,-0.020005248,-0.016340164,3.0542363E-4
19208147252464,0.0070247436,0.010537115,1.5271181E-4
19208149665329,0.014354911,0.012980504,1.5271181E-4
19208152078194,-0.003206948,-0.019088976,0.0036650836
19208154491058,0.0010689828,0.009468133,0.0015271181
19208156903923,-0.021379653,-0.021226943,3.0542363E-4
19208159316787,0.010842538,0.012980504,0.0013744063
19208161729652,0.014354911,0.009162709,1.5271181E-4
19208164142517,-0.0018325418,-0.012827792,1.5271181E-4
19208166555329,0.0010689828,0.011911522,3.0542363E-4
19208168968194,-0.018936265,-0.018783553,3.0542363E-4
19208171381058,0.0071774554,0.016798299,3.0542363E-4
19208173793923,0.012980504,0.0030542363,-0.0012216945
19208176206787,0.0019852535,-0.00671932,1.5271181E-4
19208178619652,0.0010689828,0.009468133,3.0542363E-4
19208181032517,-0.021379653,-0.017561859,3.0542363E-4
19208183445381,0.0047340663,0.016798299,3.0542363E-4
19208185858246,0.012980504,-0.0019852535,-0.0012216945
19208188271110,0.003206948,-6.1084726E-4,0.0025961008
19208190683975,9.162709E-4,0.0056503373,0.0015271181
19208193096787,-0.015271181,-0.016340164,-0.0010689828
19208195509652,0.004886778,0.020616096,-0.0045813546
19208197922517,0.007941014,-0.006872032,-0.002443389
19208200335381,7.635591E-4,-4.5813544E-4,-0.0022906773
19208202748246,-0.004123219,-0.00167983,-0.0010689828
19208205161110,-0.0151184695,-0.01267508,-0.0021379655
19208207573975,0.0061084726,0.023059484,-0.0021379655
19208209986839,0.004275931,-0.010537115,0.0012216945
19208212399704,0.00335966,0.006872032,1.5271181E-4
19208214812517,-0.006566608,-0.006566608,0.0025961008
19208217225381,-0.01267508,-0.011453386,0.0027488125
19208219638246,0.012216945,0.024128467,0.0015271181
19208222051110,0.0053449133,-0.014202199,0.0012216945
19208224463975,0.008399149,0.01175881,1.5271181E-4
19208226876839,-0.011453386,-0.011606098,0.0027488125
19208229289704,-0.009009997,-0.006566608,-9.162709E-4
19208231702569,0.01099525,0.021685077,3.0542363E-4
19208234115433,0.004123219,-0.014202199,0.0012216945
19208236528298,0.0071774554,0.015576605,0.0015271181
19208238941162,-0.0151184695,-0.013896775,0.0015271181
19208241353975,-0.006413896,-0.00167983,-0.0021379655
