Time (s),x,y,z
19431584191347,0.034097724,0.0065802624,9.803394
19431586604056,0.029312078,0.020937199,9.798609
19431589016816,0.019740786,0.011365907,9.822537
19431591429472,0.019740786,0.0071784677,9.798609
19431593842181,0.014955142,0.016151553,9.803992
19431596254889,0.024526432,0.0065802624,9.798609
19431598667597,0.005383851,0.011365907,9.813564
19431601080254,0.010169496,0.016151553,9.813564
19431603492962,0.024526432,0.016151553,9.80818
19431605905670,0.010169496,0.016151553,9.813564
19431608318379,-0.009571291,0.0023928226,9.794421
19431610731087,0.019740786,0.011365907,9.803394
19431613143795,0.014955142,0.011964113,9.794421
19431615556504,0.010169496,0.030508488,9.813564
19431617969160,0.019740786,-0.0077766734,9.836894
19431620381920,-0.0065802624,0.023928227,9.569496
19431622794577,0.1268196,-0.0634098,10.539785
19431625207285,-0.17826529,0.11006984,8.671589
19431627619993,0.12143575,-0.05802595,10.477572
19431630032649,0.06999006,0.008374879,10.062417
19431632445410,-0.10767702,0.039481573,9.029316
19431634858066,0.16450655,-0.07716853,10.936396
19431637270774,-0.17527425,0.106480606,8.541779
19431639683483,0.096311115,-0.05623133,10.343575
19431642096191,0.0951147,-0.016749758,10.195817
19431644508899,-0.054436713,0.033499517,9.110074
19431646921608,0.11006984,-0.06999006,10.774282
19431649334264,-0.16510476,0.13998012,8.52802
19431651747024,0.1268196,-0.029312078,10.473385
19431654159681,0.083748795,-5.9820566E-4,10.022936
19431656572389,-0.032303106,0.04007978,9.363713
19431658985097,0.0741775,-0.04366901,10.521241
19431661397806,-0.13579269,0.086141616,8.641679
19431663810514,0.1471586,-0.059820566,10.640285
19431666223170,0.023928227,0.011964113,9.760324
19431668635879,-0.04127619,0.020338992,9.483355
19431671048587,0.06819545,-0.041874398,10.392029
19431673461295,-0.13459627,0.08973085,8.790632
19431675874004,0.15314065,-0.061016977,10.755139
19431678286712,-0.016749758,0.03888337,9.483355
19431680699420,-0.03888337,0.008374879,9.703494
19431683112077,0.07716853,-0.012562319,10.2723875
19431685524785,-0.13878371,0.089132644,8.84806
19431687937493,0.17288144,-0.08554341,10.826326
19431690350202,-0.023928227,0.06460621,9.263813
19431692762910,-0.012562319,-0.0035892338,9.928419
19431695175566,0.046061836,-0.010169496,10.0576315
