Time (s),x,y,z
19411072620315,0.010731354,-0.01674229,0.09473705
19411092114065,-0.017267574,0.02738986,-0.27993584
19411111801512,-0.002782791,-0.008157065,0.030247688
19411131489012,-0.012576958,0.0032125544,-0.11452198
19411151176512,0.01140539,-0.009050408,-0.007757187
19411170864012,6.331131E-4,-0.008267266,0.032567024
19411190551512,0.026077086,-0.019743638,0.108281136
19411210144637,-0.015704878,0.013242845,-0.13951015
19411229446252,-0.010012129,-0.0039288793,-0.08346844
19411248747919,0.03766706,-0.024050632,0.20030212
19411268049585,-0.003720847,-0.007918416,-0.047556877
19411287351252,-0.017775293,-0.002142759,-0.16778946
19411306652919,0.029785976,-0.017638315,0.103943825
19411325941096,0.0031580077,-0.011787513,0.05224514
19411345256200,0.015589796,-0.0023711585,-0.039928436
19411364557867,-0.00525924,-0.0082322825,-0.08653736
19411383859533,-2.8428622E-5,-0.015790652,-0.00461483
19411403161200,0.03315223,-0.023392733,0.16865826
19411422462867,-0.011557746,0.0092605,-0.12761116
19411441751044,-0.021462549,-5.4851174E-4,-0.125741
19411461066148,0.03524168,-0.03182404,0.19372272
19411480367815,-0.0027978094,-0.015543256,0.0024938583
19411499656044,-0.016266856,0.008743716,-0.14377117
19411518971148,0.018667735,-0.017398153,0.03481579
19411538272762,-0.002698157,-0.013346385,0.05052471
19411557574429,0.021056276,-0.021225022,0.04558754
19411576876096,-0.01137046,-0.0010846406,-0.13127899
19411596177762,-0.0115545085,-0.0053464565,-0.05099678
19411615465940,0.032308638,-0.018930146,0.20531845
19411634781044,-0.010576207,0.0034710318,-0.094688416
19411654082710,-0.018752538,0.0037669875,-0.15140247
19411673384377,0.0415073,-0.027542748,0.14764023
19411692686044,0.0021792613,-0.014571389,0.04154682
19411711987710,-0.0045414176,0.005012568,-0.09999752
19411731289325,0.0065799737,-0.008253418,-0.028553963
19411750590992,0.0066826586,-0.019946096,0.030630112
19411769892658,0.030998204,-0.02857281,0.12077999
19411789194325,-0.014992813,0.004913116,-0.14017296
19411808495992,-0.011947006,0.0016254392,-0.091098785
19411827797606,0.036387812,-0.03478428,0.19844246
19411847099273,-0.00316008,-0.013279235,-0.053539276
19411866400940,-0.026470743,4.8369542E-4,-0.16568375
19411885702606,0.030079458,-0.021261703,0.09743881
19411904990783,0.0027154982,-0.01951107,0.05539608
19411924305887,0.009764178,-0.002805898,-0.031394005
19411943607554,7.115975E-4,-0.008483896,-0.08892155
19411962909221,0.0048687737,-0.012723694,-0.0015411377
19411982210835,0.024652004,-0.028695837,0.17480278
19412001512502,-0.01696914,0.001381075,-0.12865162
19412020800731,-0.01804949,5.9047714E-4,-0.12139225
19412040115835,0.042004798,-0.027586516,0.18669605
19412059417502,0.0030050185,-0.012016483,-2.6512146E-4
19412078705679,-0.013760365,0.0017568264,-0.1460104
19412098020783,0.020207448,-0.018068347,0.032953262
19412117322450,0.014128194,-0.009747775,0.04993248
19412136624117,0.023926403,-0.017474936,0.046792984
19412155925783,-0.008002595,-0.0056109447,-0.12827873
19412175227398,-0.010496078,-0.019767059,-0.04672432
19412194515627,0.037282642,-0.02979959,0.19926357
19412213830731,-0.0030417982,-1.5310943E-6,-0.10298538
19412233132398,-0.02005006,-0.003868809,-0.15386486
19412252434012,0.032959387,-0.03577756,0.15198517
19412271735679,-0.0032613082,-0.012086395,0.039909363
19412291037346,-0.0021775207,0.0045081694,-0.10530567
19412310339012,0.005108067,-0.01887998,-0.033183098
19412329640627,0.0024588313,-0.021567572,0.0307827
19412348942294,0.0222914,-0.02948637,0.12153816
19412368243960,-0.0108213,0.0027097948,-0.14503479
19412387545627,-0.017804416,-0.006155202,-0.089814186
19412406847242,0.04106513,-0.03193894,0.20569992
19412426148908,-0.002047821,-0.011799175,-0.046797752
19412445450575,-0.01915038,-0.0025653318,-0.16643238
19412464752242,0.03104546,-0.023073072,0.097598076
19412484040419,0.0011945637,-0.017733196,0.056520462
19412503355523,0.0048866672,-0.009077966,-0.034451485
19412522657190,-0.002532524,-0.013888616,-0.090042114
19412541958856,8.091051E-5,-0.014399698,-0.0013093948
19412561260471,0.029330656,-0.025909912,0.1712904
19412580562137,-0.011726028,-0.0016994774,-0.13769817
19412599850367,-0.01894921,-0.005926043,-0.1256504
19412619165419,0.03892105,-0.03034294,0.1830368
19412638467085,-0.0030772202,-0.01126652,0.0028829575
19412657755315,-0.013699697,0.0018172581,-0.1477232
19412677070419,0.020358745,-0.021905968,0.034832
19412696372033,0.0056221494,-0.02457985,0.052332878
19412715673700,0.017043334,-0.025694298,0.049197197
19412734975367,-0.012695656,-0.008161381,-0.13350868
19412754277033,-0.001999041,-0.011798963,-0.047538757
19412773565210,0.037663244,-0.02872423,0.20458412
19412792880315,-0.008754231,-0.0076750387,-0.09819031
19412812181981,-0.02256414,-0.0093749445,-0.1543808
19412831483648,0.044211656,-0.031156525,0.14705563
19412850785262,0.0035347585,-0.020384204,0.044034004
19412870086929,-0.0027797492,-1.1643395E-5,-0.10230446
19412889388596,0.011377973,-0.019068342,-0.027264595
19412908690262,0.004449659,-0.017283075,0.02854824
19412927991877,0.025070516,-0.028694782,0.1214695
19412947293544,-0.017469503,-0.0105187055,-0.14734173
19412966595210,-0.010646199,-0.010701805,-0.09115505
19412985896825,0.043610018,-0.039578654,0.20324326
19413005198492,-0.010770619,-0.012414342,-0.045666695
19413024500158,-0.02612885,-0.014795596,-0.17128181
19413043801825,0.035889924,-0.02626113,0.0998497
19413063090002,0.013928735,-0.0210444,0.05638218
19413082405106,0.0070902887,-0.019178612,-0.038107872
19413101706773,-0.00545852,-0.018134622,-0.08718872
19413121008387,7.296093E-4,-0.016028937,-0.005563736
19413140310054,0.03869609,-0.040755544,0.1734705
19413159611721,-0.0099681,-0.0075891092,-0.13297367
