Time (s),x,y,z
19381382526512,0.006862466,0.013567785,-0.18499947
19381402214117,0.0031856112,-0.0089480225,-0.014572144
19381421888023,0.007968218,-0.005879484,0.039222717
19381441589325,0.030049581,-0.028360706,0.16880035
19381461276929,-0.021701291,0.011173159,-0.22128391
19381480676044,-0.0051375628,0.004178445,-0.06769085
19381499977815,0.056516845,-0.022860963,0.23561382
19381519279585,-0.014973479,-0.008008107,-0.07068443
19381538567919,-0.024246085,0.0082466565,-0.19188118
19381557883179,0.035716258,-0.016536977,0.14732742
19381577184898,0.009948257,-0.008496547,0.07116985
19381596486721,0.004480898,-0.0048762467,-0.05100918
19381615788492,-0.004467481,-0.0054458138,-0.095891
19381635090262,9.328658E-4,-7.946212E-4,0.015501022
19381654378596,0.03948234,-0.030345663,0.20651054
19381673693804,-0.016887538,0.018561926,-0.19547844
19381692995575,-0.01896309,0.0022010524,-0.11774063
19381712283908,0.051565982,-0.023365956,0.21959972
19381731599117,-0.011165497,-0.017412063,-0.01449585
19381750900887,-0.013242202,0.013369845,-0.19203472
19381770202658,0.028199412,-0.01601827,0.08096504
19381789504429,0.006332022,-0.006056864,0.060320854
19381808806200,0.016556658,-0.018191066,0.038469315
19381828094533,-0.011156557,0.003298128,-0.16502285
19381847409742,-0.007978644,0.0020701168,-0.010160446
19381866711512,0.049183592,-0.023588274,0.22873116
19381886013283,-0.01460912,0.0062971553,-0.15193653
19381905315054,-0.018203773,0.003029584,-0.15672112
19381924616825,0.05213449,-0.016510813,0.19505882
19381943905158,-0.009052238,-0.011776143,0.04191208
19381963220367,-0.004275297,0.012955554,-0.15672398
19381982522137,0.01254981,-0.014444562,0.0057764053
19382001823908,4.2561302E-4,-0.004775257,0.04378414
19382021125679,0.023822967,-0.021597836,0.12824821
19382040427450,-0.022760995,0.012974821,-0.20377827
19382059729221,-0.0064198384,-0.004436305,-0.053256035
19382079030992,0.04612259,-0.022536648,0.22745705
19382098332762,-0.013709926,1.4354661E-4,-0.087221146
