Time (s),x,y,z
19354094141357,-4.5813544E-4,-0.0015271181,-0.0
19354096602295,7.635591E-4,9.162709E-4,-0.0012216945
19354099063284,-4.5813544E-4,-3.0542363E-4,-0.0012216945
19354101524222,-4.5813544E-4,0.0021379655,0.0012216945
19354103985212,-0.00167983,0.0021379655,0.0012216945
19354106446149,-4.5813544E-4,-3.0542363E-4,-0.0012216945
19354108907139,-4.5813544E-4,-3.0542363E-4,-0.0
19354111323232,-4.5813544E-4,9.162709E-4,0.0012216945
19354113735993,7.635591E-4,9.162709E-4,-0.0012216945
19354116148701,-0.00167983,9.162709E-4,-0.0
19354118561462,-0.00167983,-3.0542363E-4,-0.0
19354120974170,7.635591E-4,9.162709E-4,-0.0
19354123386930,7.635591E-4,-3.0542363E-4,-0.0
19354125799691,7.635591E-4,-0.0015271181,-0.0012216945
19354128212399,0.043217443,0.0015271181,6.1084726E-4
19354130625107,0.060932014,-0.019852536,0.003970507
19354133037868,-0.08903099,-0.06872032,0.010384403
19354135450628,-0.108119965,0.008857286,-0.005803049
19354137863337,-0.057725064,-0.019241689,-0.0018325418
19354140276097,0.103385895,0.047798797,-0.0021379655
19354142688805,0.11560284,0.05131117,-0.0022906773
19354145088076,-0.013744064,-0.061084725,0.010689827
19354147514274,-0.080326416,0.00335966,-0.0013744063
19354149927034,-0.11667182,-0.060779303,0.0045813546
19354152387712,0.011147963,0.033138465,-0.010842538
19354154848389,0.105982,0.057725064,-0.005803049
19354157309066,0.072232686,0.0021379655,0.008857286
19354159770107,-0.13255386,-0.12888877,0.0053449133
19354162231097,-0.06230642,-0.005497625,-0.01267508
19354164692034,0.042759307,0.045049984,-0.009926268
19354167139326,0.11560284,0.047646087,0.0038177953
19354169613962,0.07330167,0.05451812,0.0019852535
19354172074951,-0.10323319,-0.113159455,0.01007898
19354174535941,-0.108730815,-0.024739314,-0.009773556
19354176996878,-0.020616096,0.022448637,-0.003206948
19354179457868,0.11835165,0.07116371,-9.162709E-4
19354181905107,0.12308572,0.062459134,0.0027488125
19354184379795,-0.06826218,-0.12110047,0.009468133
19354186840732,-0.12003148,-0.04199575,-0.0036650836
19354189301722,-0.07437065,-0.004123219,-0.0027488125
19354191762659,0.08842014,0.08903099,-0.0051922016
19354194223649,0.14049487,0.082006246,-0.0035123718
19354196670889,-0.01099525,-0.10582929,0.011300675
19354199145576,-0.08857285,-0.049936764,0.004428643
19354201606514,-0.11010522,-0.03603999,0.0061084726
19354204067503,0.026724568,0.08750387,-0.009315421
19354206528441,0.12003148,0.08857285,-0.006872032
19354208989430,0.050242186,-0.07452337,0.010842538
19354211450368,-0.02779355,-0.037261683,0.007330167
19354213911357,-0.11300674,-0.05955761,0.009468133
19354216372295,-0.04031592,0.06994201,-0.01099525
19354218819587,0.06139015,0.067193195,-0.007482879
19354221294222,0.08582404,-0.046424393,0.0045813546
19354223755212,0.04046863,-0.017103724,0.00671932
19354226216149,-0.09132166,-0.062459134,0.009162709
19354228677139,-0.08292252,0.055739813,-0.010537115
19354231138128,-0.0070247436,0.037108973,-0.006872032
19354233585368,0.09132166,-0.017867282,0.0010689828
19354236060055,0.09300149,0.009468133,0.0025961008
19354238520993,-0.052380152,-0.056808796,0.008704574
19354240981982,-0.09544489,0.038483378,-0.0056503373
19354243442920,-0.0659715,-0.005497625,-0.0029015245
19354245903909,0.07452337,-0.0051922016,-0.0035123718
19354248351149,0.12613995,0.034971006,-1.5271181E-4
19354250825837,-0.012216945,-0.042453885,0.009620844
19354253286774,-0.08108997,0.027029991,0.0013744063
19354255747764,-0.10659285,-0.040926766,0.0010689828
19354258208701,0.03466558,0.00167983,-0.0077883024
19354260669691,0.12659809,0.052532863,-0.007330167
19354263116930,0.041690327,-0.016034741,0.010384403
19354265591618,-0.044897273,0.02260135,0.00335966
19354268052555,-0.13041589,-0.07788303,0.00335966
19354270499847,-0.011300675,0.0012216945,-0.009620844
19354272974534,0.10246963,0.05787778,-0.008093726
19354275389274,0.079715565,0.009620844,0.006413896
19354277802034,-0.004886778,0.023364907,0.0051922016
19354280214743,-0.14049487,-0.09880454,0.00335966
19354282627451,-0.047646087,-7.635591E-4,-0.012827792
19354285026774,0.0659715,0.053449135,-0.01007898
19354287452972,0.10567658,0.034054734,0.0062611843
19354289865680,0.033902023,0.023975754,0.008399149
19354292278441,-0.13713521,-0.117588095,0.00671932
19354294691149,-0.07559235,-0.0015271181,-0.011300675
19354297103909,0.03191677,0.046424393,-0.007330167
19354299503180,0.1241547,0.05482354,0.00503949
19354301929378,0.06795676,0.025961008,0.005497625
19354304342087,-0.13255386,-0.12766708,0.0077883024
19354306754847,-0.08185353,-0.009009997,-0.0076355906
19354309167555,0.01007898,0.043064732,-0.009468133
19354311580316,0.1281252,0.068567604,0.0027488125
19354313979587,0.07375981,0.018325418,0.006566608
19354316405784,-0.12644538,-0.12888877,0.006566608
19354318818493,-0.08551861,-0.011453386,-0.0062611843
19354321231253,-0.013133216,0.035887275,-0.0056503373
19354323643962,0.13438639,0.08460235,0.0015271181
19354326056722,0.08704574,0.015729317,0.0027488125
19354328455993,-0.10827268,-0.12430742,0.0076355906
19354330882191,-0.09407048,-0.020005248,-0.0025961008
19354333294951,-0.031458635,0.027640838,-0.009162709
19354335707659,0.13591352,0.09834641,-0.0019852535
19354338120420,0.09315421,0.013133216,1.5271181E-4
19354340533128,-0.09361234,-0.12323844,0.01099525
19354342945889,-0.09910997,-0.028709821,0.0022906773
19354345358597,-0.048409645,0.024128467,-0.01007898
19354347771357,0.13011047,0.10827268,-0.004275931
19354350170628,0.09666658,0.013133216,-0.002443389
19354352596826,-0.07040015,-0.10995251,0.009620844
19354355009534,-0.09804098,-0.0361927,0.005955761
19354357422295,-0.065513365,0.018172706,-0.0062611843
19354359835003,0.11193776,0.114839286,-0.006413896
19354362247764,0.097888276,0.011911522,-0.004886778
19354364647034,-0.037414394,-0.0943759,0.010537115
19354367073232,-0.08979455,-0.047493376,0.006872032
19354369485941,-0.0801737,0.01343864,-0.007330167
19354371898701,0.09132166,0.11270132,-0.0062611843
19354374311409,0.09544489,0.0070247436,-0.0036650836
19354376724170,-0.005497625,-0.0749815,0.010384403
19354379123441,-0.0801737,-0.050089475,0.005497625
19354381549639,-0.08994726,0.009773556,-0.007330167
19354383962399,0.07070557,0.11056335,-0.009620844
19354386375107,0.0904054,-0.00167983,-0.004886778
19354388787868,0.015271181,-0.06154286,0.011453386
19354391200576,-0.064444385,-0.051616594,0.0077883024
19354393599847,-0.1007898,0.008704574,-0.0047340663
19354396026045,0.045049984,0.1021642,-0.0056503373
19354398438805,0.07925743,-0.009009997,-0.0036650836
19354400838076,0.037414394,-0.04566083,0.01007898
19354403264274,-0.049784053,-0.049325917,0.008704574
19354405676982,-0.10445488,0.01007898,-0.0070247436
19354408076305,0.024281178,0.09009997,-0.007941014
19354410502451,0.07543964,-0.018783553,-0.002443389
19354412915212,0.053449135,-0.033596598,0.008704574
19354415327920,-0.03420745,-0.05207473,0.007330167
19354417740680,-0.103080474,0.017409148,-0.008246438
19354420153389,0.015576605,0.08154811,-0.009162709
19354422566149,0.07543964,-0.025044737,-0.002443389
19354424978857,0.06215371,-0.018783553,0.0051922016
19354427391618,-0.03420745,-0.055739813,0.008551862
19354429790889,-0.106745556,0.017561859,-0.0070247436
19354432217087,-0.0027488125,0.070552856,-0.009009997
19354434629847,0.070552856,-0.026266431,-0.0036650836
19354437042555,0.076966755,-0.0027488125,0.0062611843
19354439455316,-0.031764057,-0.05467083,0.008551862
19354441868024,-0.10796725,0.020005248,-0.004428643
19354444267295,-0.02015796,0.045966256,-0.006566608
19354446693493,0.07070557,-0.017561859,1.5271181E-4
19354449106253,0.09544489,0.013133216,0.0025961008
19354451518962,-0.02443389,-0.053449135,0.0071774554
19354453931722,-0.10903624,0.021226943,-0.0056503373
19354456344430,-0.051005747,0.020310672,-0.0027488125
19354458743753,0.06474981,-0.008704574,-0.0045813546
19354461169899,0.11529742,0.031458635,-0.0012216945
19354463582659,-0.007330167,-0.046271678,0.011911522
19354465995368,-0.0981937,0.02107423,-0.0021379655
19354468408128,-0.076966755,-0.009162709,-0.0015271181
19354470820837,0.057572354,-0.007330167,-0.0070247436
19354473233597,0.12507097,0.042606596,-0.0036650836
19354475646305,0.0036650836,-0.036498122,0.008246438
19354478059066,-0.07986828,0.02443389,-0.0022906773
19354480458337,-0.09926268,-0.03603999,-3.0542363E-4
19354482884534,0.037108973,-9.162709E-4,-0.004123219
19354485297295,0.12644538,0.049936764,-0.002443389
19354487710003,0.020921519,-0.025655584,0.009315421
19354490122712,-0.065513365,0.021685077,0.0022906773
19354492535472,-0.1227803,-0.06306998,0.0035123718
19354494934743,0.019088976,0.0056503373,-0.008704574
19354497360941,0.12171131,0.05390727,-0.008399149
19354499773701,0.046729814,-0.0061084726,0.010384403
19354502186409,-0.04123219,0.02015796,0.0056503373
19354504599170,-0.13392825,-0.07788303,0.0022906773
19354507011878,0.005803049,0.0132859275,-0.008551862
19354509411201,0.10353861,0.05283829,-0.0070247436
19354511837347,0.060168456,0.002443389,0.009009997
19354514250107,-0.02687728,0.013744064,0.005497625
19354516662816,-0.14034216,-0.09147438,0.0021379655
19354519075576,0.0,0.022143213,-0.009620844
19354521488284,0.09147438,0.051769305,-0.008093726
19354523887607,0.07375981,0.0132859275,0.010231691
19354526313753,-0.013744064,0.0022906773,0.0076355906
19354528726514,-0.14660335,-0.10491302,9.162709E-4
19354531139222,-0.008551862,0.022295926,-0.008246438
19354533551982,0.08292252,0.05314371,-0.009162709
19354535964691,0.08246438,0.028098974,0.010231691
19354538364014,-0.011453386,-0.006413896,0.0038177953
19354540790212,-0.14904673,-0.103691325,-3.0542363E-4
19354543202920,-0.0132859275,0.02611372,-0.01175881
19354545615680,0.07818845,0.0581832,-0.011453386
19354548028389,0.09849912,0.044133715,0.006566608
19354550441149,-0.008093726,-0.018936265,0.0061084726
19354552853857,-0.1575986,-0.109799795,-0.0013744063
19354555266618,-0.034054734,0.02015796,-0.00671932
19354557679326,0.06368083,0.056045234,-0.011300675
19354560078597,0.1279725,0.06352811,0.00503949
19354562504795,0.013591352,-0.022906773,0.0070247436
19354564917555,-0.15286453,-0.1123959,0.0045813546
19354567330264,-0.05833591,0.010537115,-0.006413896
19354569743024,0.047798797,0.05375456,-0.011147963
19354572155732,0.13789877,0.076966755,0.00503949
19354574555055,0.031611346,-0.03191677,0.009162709
19354576981201,-0.15164283,-0.114839286,0.0021379655
19354579393962,-0.072996244,0.005803049,-0.0025961008
19354581806670,0.04535541,0.054976255,-0.007330167
19354584219430,0.14049487,0.084449634,0.0051922016
19354586632139,0.0387888,-0.038177952,0.003970507
19354589031462,-0.13942589,-0.105065726,7.635591E-4
19354591457607,-0.088878274,-0.0027488125,-0.002443389
19354593870368,0.030847786,0.05390727,-0.0071774554
19354596283076,0.14431266,0.095597595,0.003970507
19354598695837,0.05451812,-0.03970507,0.00503949
19354601108545,-0.11987878,-0.09926268,0.005497625
19354603507868,-0.09636115,-0.013744064,0.0012216945
19354605934066,0.0151184695,0.054212693,-0.0070247436
19354608346774,0.13728791,0.10567658,-0.0019852535
19354610759534,0.05803049,-0.049784053,0.004886778
19354613172243,-0.10384403,-0.08704574,0.00671932
19354615585003,-0.09651387,-0.018783553,0.0022906773
19354617984274,0.010231691,0.055434387,-0.006872032
19354620410472,0.13728791,0.107050985,-0.004428643
19354622823180,0.055434387,-0.05833591,0.007330167
19354625222503,-0.09651387,-0.079715565,0.006566608
19354627648649,-0.09666658,-0.026266431,0.0022906773
19354630061409,0.00671932,0.060473878,-0.009315421
19354632460680,0.12995775,0.107050985,-0.005497625
19354634886878,0.047798797,-0.07070557,0.008399149
19354637299587,-0.08292252,-0.06994201,0.006566608
19354639712347,-0.10414946,-0.03863609,0.0047340663
19354642125055,0.0019852535,0.064444385,-0.011606098
19354644537816,0.12507097,0.10353861,-0.007941014
19354646950524,0.050242186,-0.07452337,0.009620844
19354649363284,-0.062000997,-0.054212693,0.0076355906
19354651775993,-0.103080474,-0.042301174,0.00335966
19354654175316,-0.0015271181,0.071927264,-0.011453386
19354656601462,0.11774081,0.098651834,-0.007941014
19354659014222,0.051463883,-0.07207998,0.009620844
19354661426930,-0.038941514,-0.04703524,0.00503949
19354663839691,-0.11163234,-0.04963134,0.005955761
19354666252451,-0.018478129,0.072232686,-0.013744064
19354668651722,0.10292777,0.0827698,-0.011606098
19354671077920,0.062459134,-0.0659715,0.0070247436
19354673490628,-0.018019995,-0.034971006,0.007330167
19354675903389,-0.11300674,-0.055892523,0.005955761
19354678316097,-0.025655584,0.074676074,-0.008704574
19354680728857,0.07711947,0.064444385,-0.006566608
19354683128128,0.0723854,-0.058641337,0.008246438
19354685554326,0.0062611843,-0.031611346,0.0045813546
19354687967034,-0.11529742,-0.05207473,0.0047340663
19354690379795,-0.031611346,0.08108997,-0.01099525
19354692792503,0.050089475,0.046271678,-0.01007898
19354695205264,0.07986828,-0.047493376,0.005803049
19354697617972,0.020921519,-0.025502874,0.0056503373
19354700030732,-0.11774081,-0.050853033,0.0047340663
19354702443441,-0.031611346,0.08231167,-0.01099525
19354704842764,0.03771982,0.03268033,-0.009926268
19354707268909,0.08964183,-0.036498122,0.005803049
19354709681670,0.030542362,-0.027029991,0.00671932
19354712094430,-0.11514471,-0.043370154,0.004886778
19354714507139,-0.031764057,0.07605048,-0.008551862
19354716919899,0.024128467,0.018019995,-0.008704574
19354719319170,0.09972081,-0.020463383,0.005803049
19354721745368,0.0452027,-0.02351762,0.006566608
19354724158076,-0.10781454,-0.040926766,0.0047340663
19354726570837,-0.04886778,0.06627693,-0.0047340663
19354728983545,0.0056503373,9.162709E-4,-0.007482879
19354731396305,0.11224318,-0.0021379655,0.0045813546
19354733795576,0.050089475,-0.019852536,0.006566608
19354736221774,-0.10766183,-0.034818295,0.0010689828
19354738634482,-0.058794048,0.054059982,-0.005955761
19354741047243,-0.0018325418,-0.0076355906,-0.009926268
19354743459951,0.11957335,0.006566608,0.00335966
19354745872712,0.058641337,-0.014965758,0.0051922016
19354748271982,-0.103996746,-0.03115321,0.0047340663
19354750698180,-0.06872032,0.039246935,-0.0035123718
19354753110889,-0.01175881,-0.018630842,-0.008551862
19354755523649,0.12110047,0.02015796,0.0022906773
19354757936357,0.06963659,-0.006413896,0.0027488125
19354760349118,-0.09651387,-0.018783553,0.004886778
19354762748389,-0.07986828,0.02443389,1.5271181E-4
19354765174587,-0.019241689,-0.029778805,-0.009926268
19354767587295,0.11270132,0.029015245,-0.0
19354770000055,0.07834116,-3.0542363E-4,0.0038177953
19354772412764,-0.07574506,-0.010384403,0.0070247436
19354774825524,-0.08872557,0.005955761,0.002443389
19354777238232,-0.032527618,-0.033291176,-0.01099525
19354779650993,0.10567658,0.039094225,-0.0047340663
19354782063753,0.08185353,-0.0015271181,0.0025961008
19354784463024,-0.06230642,-0.0019852535,0.005803049
19354786889170,-0.09269607,-0.008857286,0.002443389
19354789301930,-0.033749312,-0.033291176,-0.0071774554
19354791714691,0.10720369,0.051463883,-0.0045813546
19354794127399,0.083075225,-4.5813544E-4,0.0062611843
19354796540107,-0.056045234,0.0029015245,0.0070247436
19354798939430,-0.097888276,-0.027488127,0.005955761
19354801365628,-0.048409645,-0.03298575,-0.009468133
19354803778337,0.10124794,0.05787778,-0.0056503373
19354806191097,0.0917798,0.004428643,0.007482879
