Time (s),x,y,z
19394245133335,-0.0,0.0065802624,9.812965
19394247546044,0.0047856453,0.0059820567,9.812965
19394249958752,0.009571291,0.015553347,9.803394
19394252371460,0.0047856453,0.0017946169,9.798609
19394254784169,0.0047856453,0.010767702,9.80818
19394257196877,0.009571291,0.0017946169,9.80818
19394259609585,-0.0,0.015553347,9.817751
19394262022346,0.019142581,0.015553347,9.803394
19394264435054,0.02871387,0.020338992,9.803394
19394266847762,0.02871387,0.0059820567,9.803394
19394269260471,0.0047856453,0.025124637,9.80818
19394271673179,0.019142581,0.011365907,9.789038
19394274085887,0.014356935,0.010767702,9.80818
19394276498596,0.023928227,0.0011964113,9.817751
19394278911304,0.033499517,0.010767702,9.798609
19394281324065,0.014356935,0.020338992,9.789038
19394283736773,0.02871387,0.015553347,9.812965
19394286149481,0.023928227,0.020338992,9.812965
19394288562190,0.023928227,0.015553347,9.822537
19394290974898,0.014356935,0.020338992,9.80818
19394293387606,0.014356935,0.020338992,9.812965
19394295800367,0.023928227,0.025124637,9.80818
19394298213075,0.014955142,0.029910283,9.817751
19394300625783,0.0047856453,0.015553347,9.80818
19394303038492,0.023928227,0.010767702,9.803394
19394305451200,0.009571291,0.015553347,9.812965
19394307863908,0.009571291,0.015553347,9.798609
19394310276617,0.0047856453,0.0065802624,9.798609
19394312689325,0.019142581,0.010767702,9.798609
19394315102085,0.014356935,0.0065802624,9.793823
19394317514794,0.009571291,0.0065802624,9.803394
19394319927502,0.009571291,0.015553347,9.80818
19394322340210,0.019142581,-0.0035892338,9.822537
19394324752919,0.019142581,0.0011964113,9.798609
19394327165627,0.009571291,0.015553347,9.803394
19394329578335,0.019142581,0.010767702,9.803394
19394331991096,0.02871387,0.015553347,9.812965
19394334403804,0.014356935,0.0059820567,9.812965
19394336816512,0.009571291,0.0059820567,9.80818
19394339229221,0.01375873,-0.0029910284,9.793823
19394341641929,0.019142581,0.010767702,9.80818
19394344054637,0.009571291,0.020338992,9.812965
19394346467346,0.014356935,0.010767702,9.803394
19394348880106,-0.0,0.015553347,9.803394
19394351292815,0.014356935,0.015553347,9.812965
19394353705523,0.019142581,0.010767702,9.817751
19394356118231,-0.009571291,0.011365907,9.80818
19394358530940,0.0047856453,0.015553347,9.793823
19394360943648,0.023928227,0.025124637,9.80818
19394363356356,0.033499517,0.025124637,9.80818
19394365769065,0.014356935,0.025124637,9.80818
19394368181825,0.019142581,0.020338992,9.789038
19394370594533,0.014356935,0.015553347,9.80818
19394373007242,0.0047856453,0.010767702,9.822537
19394375419950,0.014356935,-0.0029910284,9.803394
19394377832658,0.019142581,-0.0035892338,9.812367
19394380245367,-5.9820566E-4,0.0017946169,9.789038
19394382658075,-0.0,0.010767702,9.803394
19394385070835,0.023928227,0.0011964113,9.8219385
19394387483544,0.033499517,0.0011964113,9.798011
19394389896252,0.033499517,-0.013160525,9.826724
19394392308960,0.01375873,0.011365907,9.779466
19394394721669,0.014356935,-0.0029910284,9.803394
19394397134377,0.023928227,-0.0035892338,9.826724
19394399547085,-5.9820566E-4,0.0065802624,9.77468
19394401959846,0.014356935,-0.008374879,9.836894
19394404372554,0.008973085,-0.0077766734,9.765109
19394406785262,0.014356935,0.015553347,9.803394
19394409197971,0.033499517,0.0059820567,9.826724
19394411610679,0.01375873,-0.0029910284,9.760324
19394414023387,0.019142581,0.010767702,9.8321085
19394416436096,-5.9820566E-4,-0.0029910284,9.765109
19394418848856,0.02871387,0.010767702,9.798609
19394421261565,0.014955142,0.020338992,9.836894
19394423674273,-0.010169496,0.011365907,9.769895
19394426086981,0.024526432,0.014955142,9.846465
19394428499690,0.008973085,0.0065802624,9.784252
19394430912398,0.023928227,0.015553347,9.812965
19394433325106,0.0047856453,0.0011964113,9.822537
19394435737867,-5.9820566E-4,0.0065802624,9.769895
19394438150575,0.019740786,0.014955142,9.860822
19394440563283,-0.005383851,0.020937199,9.741181
19394442975992,0.024526432,0.024526432,9.846465
19394445388700,0.019142581,0.0011964113,9.80818
19394447801408,0.0041874396,0.011365907,9.765109
19394450214117,0.024526432,0.010169496,9.88475
19394452626825,-0.005383851,0.0071784677,9.736395
19394455039585,0.029312078,0.010169496,9.851251
19394457452294,0.019142581,0.015553347,9.784252
19394459865002,0.018544376,0.016151553,9.77468
19394462277710,0.029312078,5.9820566E-4,9.869795
19394464690419,-0.0011964113,0.0023928226,9.736395
19394467103127,0.034097724,0.005383851,9.860224
19394469515835,0.0047856453,0.025722843,9.779466
19394471928596,0.019142581,0.0059820567,9.793823
19394474341304,0.033499517,5.9820566E-4,9.850653
19394476754012,0.008374879,0.016749758,9.717253
19394479166721,0.029312078,5.9820566E-4,9.898509
19394481579429,0.008973085,0.016151553,9.745967
19394483992137,0.014356935,0.015553347,9.827323
19394486404846,0.02871387,0.005383851,9.84168
19394488817606,0.01375873,0.0017946169,9.750752
19394491230315,0.04366901,0.0047856453,9.888938
19394493643023,-0.005383851,0.0071784677,9.736395
19394496055731,0.019142581,0.010767702,9.836894
19394498468440,0.019142581,0.015553347,9.827323
19394500881148,0.0041874396,0.011365907,9.745967
19394503293856,0.029312078,-0.0041874396,9.903295
19394505706565,-0.0011964113,-0.0023928226,9.722038
19394508119325,0.019740786,0.005383851,9.894321
19394510532033,0.0041874396,0.0065802624,9.784252
19394512944742,0.023330022,0.011365907,9.750752
19394515357450,0.029312078,0.005383851,9.889536
19394517770158,-0.0059820567,0.017347964,9.674182
19394520182867,0.019740786,0.010169496,9.889536
19394522595575,0.018544376,0.016151553,9.765109
19394525008335,0.01375873,0.0065802624,9.784252
19394527421044,0.019740786,0.010169496,9.88475
19394529833752,-0.015553347,0.021535404,9.698111
19394532246460,0.025124637,0.0047856453,9.91825
19394534659169,-0.010169496,0.016749758,9.731609
19394537071877,0.023928227,0.010767702,9.803394
19394539484585,0.03888337,0.019740786,9.875179
19394541897346,0.0035892338,0.02632105,9.698111
19394544310054,0.034695927,0.009571291,9.91825
19394546722762,0.0035892338,0.011964113,9.712467
19394549135471,0.02871387,0.010767702,9.8321085
19394551548179,0.014955142,0.0011964113,9.851251
19394553960887,-0.0059820567,0.0029910284,9.698111
19394556373596,0.04426722,0.0047856453,9.932009
19394558786304,-0.020338992,0.02632105,9.703494
19394561199065,0.034097724,0.005383851,9.888938
19394563611773,0.02871387,0.010767702,9.827323
19394566024481,0.008973085,0.011964113,9.726824
19394568437190,0.04426722,-0.0,9.932009
19394570849898,0.0035892338,0.04546363,9.665209
19394573262606,0.03888337,-0.01375873,9.8937235
19394575675315,-5.9820566E-4,0.016151553,9.765109
19394578088075,0.008973085,0.011365907,9.765109
19394580500783,0.04366901,-0.009571291,9.90808
19394582913492,-0.016151553,0.017347964,9.659825
19394585326200,0.049052864,0.0047856453,9.922438
19394587738908,-5.9820566E-4,0.011365907,9.755538
19394590151617,0.009571291,0.0017946169,9.793823
19394592564325,0.029910283,0.014356935,9.899107
19394594977033,0.008374879,0.016749758,9.678967
19394597389794,0.04426722,-0.0,9.94158
19394599802502,-0.0011964113,0.011964113,9.722038
19394602215210,0.014356935,0.015553347,9.8321085
19394604627919,0.019740786,0.005383851,9.856036
19394607040627,-0.0059820567,0.02213361,9.678967
19394609453335,0.04426722,-0.0,9.951151
19394611866044,-0.0059820567,0.031106694,9.688539
19394614278804,0.029312078,0.014955142,9.88475
19394616691512,0.019142581,0.0059820567,9.817751
19394619104221,-0.010767702,0.0023928226,9.717253
19394621516929,0.05383851,-0.014955142,9.965508
19394623929637,-0.0017946169,0.026919255,9.645468
19394626342346,0.058624156,0.0047856453,9.903295
19394628755054,0.02871387,0.025124637,9.793823
19394631167762,0.0041874396,0.021535404,9.731609
19394633580523,0.039481573,-0.009571291,9.951151
19394635993231,-0.011365907,0.026919255,9.640682
19394638405940,0.04426722,-0.009571291,9.927223
19394640818648,0.008973085,-0.0029910284,9.760324
19394643231356,0.023330022,0.011365907,9.769895
19394645644065,0.034695927,-0.009571291,9.932009
19394648056773,-0.011365907,0.017347964,9.650253
19394650469533,0.049052864,-5.9820566E-4,9.951151
19394652882242,-0.015553347,0.021535404,9.707682
19394655294950,0.019142581,0.020338992,9.793823
19394657707658,0.014955142,0.014955142,9.889536
19394660120367,-0.025124637,0.0317049,9.655638
19394662533075,0.04007978,0.0041874396,9.979865
19394664945783,-0.010767702,0.026919255,9.669396
19394667358492,0.048454657,5.9820566E-4,9.855438
19394669771252,0.024526432,0.014955142,9.860822
19394672183960,-0.0011964113,0.017347964,9.678967
19394674596669,0.054436713,-0.010169496,9.984651
19394677009377,-0.020937199,0.017347964,9.645468
19394679422085,0.025124637,0.005383851,9.9038925
19394681834794,0.0047856453,0.010767702,9.817751
19394684247554,-0.0011964113,0.016749758,9.707682
19394686660262,0.04007978,0.0041874396,9.970294
19394689072971,-0.035294134,0.013160525,9.626924
19394691485679,0.049052864,-0.0,9.936794
19394693898387,-5.9820566E-4,0.0017946169,9.779466
19394696311096,0.008973085,0.011964113,9.736395
19394698723804,0.04426722,-0.014356935,9.955936
19394701136512,-0.020937199,0.02751746,9.612567
19394703549273,0.034695927,-0.014356935,9.970294
19394705961981,-0.010767702,-0.0065802624,9.712467
19394708374690,0.014356935,0.0065802624,9.789038
19394710787398,0.034695927,-0.0047856453,9.912866
19394713200106,-0.016151553,0.02751746,9.611969
19394715612815,0.05922236,-0.014955142,9.989436
19394718025523,-0.010767702,0.031106694,9.679565
19394720438283,0.019142581,0.010767702,9.836894
19394722850992,0.029312078,-0.0041874396,9.888938
19394725263700,-0.016151553,0.01794617,9.635897
19394727676408,0.044865426,0.013160525,9.999606
19394730089117,-0.0065802624,0.036490545,9.636495
19394732501825,0.04366901,5.9820566E-4,9.888938
19394734914533,0.010169496,0.0059820567,9.846465
19394737327294,-0.0065802624,0.012562319,9.664611
19394739740002,0.064008005,0.013160525,9.979865
19394742152710,-0.0065802624,0.041874398,9.602996
19394744565419,0.04426722,0.0047856453,9.917651
19394746978127,0.0047856453,0.025124637,9.789038
19394749390835,-0.014955142,0.02632105,9.717851
19394751803544,0.04007978,-5.9820566E-4,9.984651
19394754216252,-0.016151553,0.03708875,9.598209
19394756629012,0.049052864,-5.9820566E-4,9.960723
19394759041721,0.0041874396,0.025722843,9.741181
19394761454429,0.01375873,0.025722843,9.765109
19394763867137,0.04426722,-0.014356935,9.955936
19394766279846,-0.016749758,0.022731815,9.597611
19394768692554,0.064008005,-0.0059820567,10.003794
19394771105262,-0.0059820567,0.02213361,9.659825
19394773517971,0.02871387,0.010767702,9.822537
19394775930731,0.034695927,0.009571291,9.923036
19394778343440,-0.020937199,0.046660043,9.612567
19394780756148,0.044865426,-0.015553347,10.032507
19394783168856,-0.016151553,0.01794617,9.62154
19394785581565,0.024526432,5.9820566E-4,9.879965
19394787994273,0.029312078,5.9820566E-4,9.860224
19394790406981,-0.020937199,0.0317049,9.646067
19394792819742,0.05922236,-0.0059820567,10.008579
19394795232450,-0.04007978,0.032303106,9.598209
