Time (s),x,y,z
19394249428752,-0.0018325418,-0.0012216945,0.0010689828
19394251841460,0.0018325418,-0.0,0.0022906773
19394254254169,-6.1084726E-4,0.0012216945,-1.5271181E-4
19394256666877,-6.1084726E-4,0.0012216945,0.0010689828
19394259079585,6.1084726E-4,-0.0012216945,-1.5271181E-4
19394261492346,0.0018325418,-0.0,0.0022906773
19394263905054,-6.1084726E-4,-0.0,0.0010689828
19394266317762,4.5813544E-4,-0.0038177953,0.0010689828
19394268730471,6.1084726E-4,-0.0013744063,0.0047340663
19394271143179,6.1084726E-4,-0.0,0.0022906773
19394273555887,0.00167983,-0.0012216945,-1.5271181E-4
19394275968596,-6.1084726E-4,0.0012216945,-0.0025961008
19394278381304,6.1084726E-4,-0.0,0.0010689828
19394280794065,0.0018325418,-0.0,0.0022906773
19394283206773,-6.1084726E-4,-0.0012216945,0.0035123718
19394285619481,-6.1084726E-4,-0.0012216945,-1.5271181E-4
19394288032190,-0.0018325418,-0.0,-1.5271181E-4
19394290444898,-6.1084726E-4,0.0012216945,-1.5271181E-4
19394292857606,-6.1084726E-4,0.0012216945,-1.5271181E-4
19394295270367,-6.1084726E-4,-0.0012216945,-1.5271181E-4
19394297683075,-6.1084726E-4,0.0012216945,-0.0013744063
19394300095783,6.1084726E-4,0.0012216945,-0.0013744063
19394302508492,-6.1084726E-4,-0.0,-0.0013744063
19394304921200,-0.0018325418,0.0012216945,-1.5271181E-4
19394307333908,-6.1084726E-4,0.0012216945,-0.0013744063
19394309746617,0.0018325418,0.002443389,-0.0013744063
19394312159325,-0.0018325418,-0.002443389,-0.0013744063
19394314572085,6.1084726E-4,-0.0012216945,0.0022906773
19394316984794,-0.0018325418,0.0012216945,-0.0013744063
19394319397502,-0.0030542363,0.0025961008,-1.5271181E-4
19394321810210,6.1084726E-4,-0.0,-1.5271181E-4
19394324222919,6.1084726E-4,-0.0012216945,0.0010689828
19394326635627,-6.1084726E-4,0.002443389,0.0010689828
19394329048335,-6.1084726E-4,-0.0012216945,0.0010689828
19394331461096,0.00167983,-0.002443389,-1.5271181E-4
19394333873804,-0.0018325418,-0.002443389,-0.0013744063
19394336286512,6.1084726E-4,0.0012216945,0.0010689828
19394338699221,-0.0018325418,-0.0,-0.0013744063
19394341111929,-0.0018325418,-0.0012216945,-1.5271181E-4
19394343524637,-0.0030542363,0.0012216945,0.0010689828
19394345937346,-6.1084726E-4,-0.0012216945,0.0010689828
19394348350106,4.5813544E-4,-0.002443389,-1.5271181E-4
19394350762815,-6.1084726E-4,0.0012216945,0.0010689828
19394353175523,-0.0018325418,0.0012216945,0.0010689828
19394355588231,6.1084726E-4,-0.0,0.0010689828
19394358000940,0.0018325418,0.0012216945,0.0010689828
19394360413648,-6.1084726E-4,-0.0,-1.5271181E-4
19394362826356,-6.1084726E-4,-0.0,-0.0013744063
19394365239065,6.1084726E-4,-0.0,-1.5271181E-4
19394367651825,6.1084726E-4,-0.0,-0.0038177953
19394370064533,0.00167983,-0.0012216945,-1.5271181E-4
19394372477242,-6.1084726E-4,0.00503949,-0.0013744063
19394374889950,0.0018325418,0.0036650836,0.0010689828
19394377302658,4.5813544E-4,-0.002443389,-1.5271181E-4
19394379715367,6.1084726E-4,-0.0012216945,-1.5271181E-4
19394382128075,-6.1084726E-4,-0.0,0.0010689828
19394384540835,-0.0030542363,-0.0012216945,0.0010689828
19394386953544,0.0018325418,0.002443389,-1.5271181E-4
19394389366252,-0.0018325418,0.0012216945,-1.5271181E-4
19394391778960,0.0030542363,-0.0,0.0010689828
19394394191669,-0.004275931,0.0013744063,-1.5271181E-4
19394396604377,-0.0030542363,0.0012216945,-1.5271181E-4
19394399017085,0.0018325418,0.002443389,0.0022906773
19394401429846,6.1084726E-4,-0.0012216945,0.0035123718
19394403842554,6.1084726E-4,0.002443389,0.0010689828
19394406255262,-0.0030542363,-0.0012216945,-0.0013744063
19394408667971,0.0018325418,-0.0,-0.0025961008
19394411080679,-6.1084726E-4,0.002443389,-1.5271181E-4
19394413493387,-0.0018325418,-0.0012216945,0.0047340663
19394415906096,0.0030542363,0.0036650836,0.0022906773
19394418318856,-0.004275931,-0.002443389,0.0010689828
19394420731565,0.0018325418,0.0036650836,0.0010689828
19394423144273,-0.0030542363,-0.0012216945,0.0010689828
19394425556981,-0.0030542363,-0.0012216945,-1.5271181E-4
19394427969690,0.004275931,0.0012216945,-0.0013744063
19394430382398,0.0053449133,-1.5271181E-4,-3.0542363E-4
19394432795106,0.0018325418,-0.0013744063,0.0022906773
19394435207867,-0.003206948,-0.0036650836,0.0022906773
19394437620575,-0.0030542363,-0.0012216945,-1.5271181E-4
19394440033283,0.0018325418,0.002443389,-0.0013744063
19394442445992,-6.1084726E-4,-0.0,0.0010689828
19394444858700,0.0030542363,0.0036650836,-1.5271181E-4
19394447271408,-0.0019852535,-0.004886778,0.0010689828
19394449684117,-0.0030542363,-0.002443389,-1.5271181E-4
19394452096825,-0.004275931,0.0013744063,-1.5271181E-4
19394454509585,-0.004275931,-0.0012216945,-1.5271181E-4
19394456922294,0.0030542363,0.0036650836,-0.0013744063
19394459335002,-6.1084726E-4,0.0012216945,-1.5271181E-4
19394461747710,0.0030542363,0.002443389,0.0022906773
19394464160419,-0.0018325418,0.0012216945,0.0022906773
