ID,Item,Weight (g)
0,Apple,130
1,Apple,148
2,Apple,153
3,Apple,142
4,Apple,186
5,Apple,81
6,Apple,149
7,Apple,75
8,Apple,148
9,Apple,157
10,Apple,118
11,Apple,157
12,Apple,148
13,Apple,191
14,Apple,124
15,Apple,147
16,Apple,71
17,Apple,125
18,Apple,137
19,Apple,74
20,Apple,124
21,Apple,100
22,Apple,106
23,Apple,134
24,Onion,102
25,Onion,105
26,Onion,110
27,Onion,92
28,Onion,275
29,Onion,186
30,Onion,289
31,Onion,153
32,Onion,77
33,Onion,78
34,Onion,237
35,Onion,123
36,Onion,221
37,Onion,193
38,Onion,64
39,Onion,102
40,Pepper,220
41,Pepper,232
42,Pepper,264
43,Pepper,171
44,Pepper,227
45,Pepper,117
46,Tableware,284
47,Tableware,179
48,Tableware,108
49,Tableware,287
50,Tableware,380
51,Tableware,131
