CLASS,MODEL,MAE,MAPE,TRAIN TIME,TEST TIME
Apples,Linear Regression,75.27,93.3499,0.001114,0.000266
Apples,Lasso,14.3957,16.2278,0.000396,0.000242
Apples,Ridge,16.1817,18.4148,0.000436,0.00024
Apples,Random Forest,14.2984,14.2663,0.097395,0.006864
Onions,Linear Regression,121.3587,79.8004,0.000336,0.000246
Onions,Lasso,41.2501,20.1605,0.001817,0.000243
Onions,Ridge,47.2827,23.0441,0.000534,0.000236
Onions,Random Forest,52.8689,27.5149,0.08786,0.006674
Pears,Linear Regression,12.3261,9.3253,0.000341,0.000242
Pears,Lasso,4.3196,3.2492,0.000302,0.00024
Pears,Ridge,4.4818,3.4003,0.000479,0.000239
Pears,Random Forest,5.3097,4.0177,0.085647,0.00613
All Food,Linear Regression,32.3306,25.3898,0.00055,0.000251
All Food,Lasso,23.3078,16.9414,0.000422,0.000242
All Food,Ridge,23.9285,17.0669,0.000409,0.000237
All Food,Random Forest,22.7238,15.1501,0.136141,0.006622
