CLASS,MODEL,MAE,MAPE,TRAIN TIME,TEST TIME
Apples,Linear Regression,2586615.3309,2173164.9243,0.000333,0.000248
Apples,Lasso,20.3715,17.237,0.001624,0.00025
Apples,Ridge,19.8367,16.4885,0.000376,0.000242
Apples,Elastic Net,24.4207,20.8407,0.001533,0.000242
Apples,Random Forest,17.638,14.3428,0.116409,0.007075
Onions,Linear Regression,2680.6968,1751.1,0.000323,0.000239
Onions,Lasso,33.8844,19.8874,0.000319,0.000239
Onions,Ridge,33.6735,19.6564,0.000364,0.000237
Onions,Elastic Net,35.8724,21.3801,0.000302,0.000239
Onions,Random Forest,32.4516,19.411,0.094839,0.006613
Pears,Linear Regression,7.0326,5.494,0.00032,0.000239
Pears,Lasso,5.5749,4.3801,0.000288,0.00024
Pears,Ridge,5.1083,4.0089,0.000365,0.000239
Pears,Elastic Net,5.5788,4.383,0.000278,0.000223
Pears,Random Forest,5.1524,4.0559,0.09015,0.006343
All Food,Linear Regression,44752.7069,37036.5879,0.000336,0.000228
All Food,Lasso,22.9332,18.3287,0.001116,0.000249
All Food,Ridge,22.0529,16.9975,0.000397,0.000244
All Food,Elastic Net,28.4121,23.5061,0.001198,0.000233
All Food,Random Forest,20.7211,15.1214,0.18741,0.008022
