CLASS,MODEL,MAE,MAPE,TRAIN TIME,TEST TIME
Apples,Linear Regression,2305569203.854,1937862469.3986,0.001033,0.000294
Apples,Lasso,21.8538,14.9442,0.000874,0.000274
Apples,Ridge,20.0423,13.8042,0.000457,0.000263
Apples,Random Forest,16.5245,11.0761,0.098051,0.007046
Onions,Linear Regression,37.0512,18.7686,0.000311,0.000235
Onions,Lasso,32.6285,16.2935,0.000323,0.000227
Onions,Ridge,36.3881,18.3026,0.000518,0.00026
Onions,Random Forest,32.5352,17.0006,0.082256,0.00655
Pears,Linear Regression,24.0787,19.3228,0.000334,0.000242
Pears,Lasso,7.1722,5.6351,0.00028,0.000225
Pears,Ridge,7.4118,5.8081,0.000473,0.000258
Pears,Random Forest,8.7405,6.9779,0.082613,0.006145
All Food,Linear Regression,28755403.5355,24176624.9902,0.000584,0.000268
All Food,Lasso,26.0608,16.9835,0.000885,0.000265
All Food,Ridge,25.6368,16.8421,0.000441,0.00026
All Food,Random Forest,25.4777,16.652,0.134516,0.007475
